F2 U B R F'
F2 L U B R F'
F2 L' U B R F'
F2 L2 U B R F'
F2 U B R D F'
F2 U B R D' F'
F2 U B R D2 F'
F2 U B R F' D
F2 U B R F' D'
F2 U B R F' D2
F2 U B' R F' B2
F2 U B' R B2 F'
F2 U B2 R F' B'
F2 U B2 R B' F'
B U' F2 U R F'
U' F2 U B R F'
U2 F2 U B R F'
U F2 U B R F'
F2 B' U R F' B2
F2 B' U R B2 F'
F2 B' U B2 R F'
B' F2 U R F' B2
B' F2 U R B2 F'
B' F2 U B2 R F'
B2 F2 U R F' B'
F2 B2 U R F' B'
B2 F2 U R B' F'
F2 B2 U R B' F'
B2 F2 U B' R F'
F2 B2 U B' R F'
F2 L U B R D F'
F2 L U B R D' F'
F2 L U B R D2 F'
F2 L U B R F' D
F2 L U B R F' D'
F2 L U B R F' D2
F2 L U B' R F' B2
F2 L U B' R B2 F'
F2 L U B2 R F' B'
F2 L U B2 R B' F'
F' L F' U B R F'
F2 L B' U R F' B2
F2 L B' U R B2 F'
F2 L B' U B2 R F'
F2 L B2 U R F' B'
F2 L B2 U R B' F'
F2 L B2 U B' R F'
F2 L' U B R D F'
F2 L' U B R D' F'
F2 L' U B R D2 F'
F2 L' U B R F' D
F2 L' U B R F' D'
F2 L' U B R F' D2
F2 L' U B' R F' B2
F2 L' U B' R B2 F'
F2 L' U B2 R F' B'
F2 L' U B2 R B' F'
D2 L' U' B2 U' F B'
D2 L' U' B2 U' B' F
D2 L' U2 D F L2 B
D2 L' U2 D F B L2
D2 L' U2 D B F L2
D' L' U2 D' L' F B
D' L' U2 D' L' B F
D' L' U2 D' B L' F
D2 L' U2 F D L2 B
D2 L' U2 F D B L2
D' L' U2 B D' L' F
D2 L' D U2 F L2 B
D2 L' D U2 F B L2
D2 L' D U2 B F L2
D2 L' D' R2 F' U2 F2
D' L' D' U2 L' F B
D' L' D' U2 L' B F
D' L' D' U2 B L' F
F' L' F' U B R F'
F2 L' B' U R F' B2
F2 L' B' U R B2 F'
F2 L' B' U B2 R F'
F2 L' B2 U R F' B'
F2 L' B2 U R B' F'
F2 L' B2 U B' R F'
F2 L2 U B R D F'
F2 L2 U B R D' F'
F2 L2 U B R D2 F'
F2 L2 U B R F' D
F2 L2 U B R F' D'
F2 L2 U B R F' D2
F2 L2 U B' R F' B2
F2 L2 U B' R B2 F'
F2 L2 U B2 R F' B'
F2 L2 U B2 R B' F'
F' L2 F' U B R F'
F2 L2 B' U R F' B2
F2 L2 B' U R B2 F'
F2 L2 B' U B2 R F'
F2 L2 B2 U R F' B'
F2 L2 B2 U R B' F'
F2 L2 B2 U B' R F'
B R U' F2 U R F
B R D' F2 R F L2
B R F' U' F' U R
B' R F2 U R F B2
B' R F2 U R B2 F
B' R F2 U B2 R F
B2 R F2 U R F B'
B2 R F2 U R B' F
B2 R F2 U B' R F
D R2 D L' F' U2 F2
F2 U L B L' R F'
F2 U L B R L' F'
F2 U L2 B L2 R F'
F2 U L2 B R L2 F'
F2 U L2 B R F' L2
F2 U R F' R' B R
F2 U D B R D' F2
F2 U D' B D R F'
R' D' L' B U2 L' B'
F2 U D2 B D2 R F'
F2 U F B R F' R
F' U F' U B R F'
B' U F2 U R F' B2
B' U F2 U R B2 F'
B' U F2 U B2 R F'
B2 U F2 U R F' B'
B2 U F2 U R B' F'
B2 U F2 U B' R F'
F2 U B L' R F' L
F2 U B L2 R F' L2
F2 U B R L' F' L
F2 U B R L2 F' L2
F2 U B R D F' D
F2 U B R D F' D'
F2 U B R D F' D2
F2 U B R D' F' D
F2 U B R D' F' D'
F2 U B R D' F' D2
F2 U B R D2 F' D
F2 U B R D2 F' D'
F2 U B R D2 F' D2
F2 U B R F2 D F
F2 U B R F2 D' F
F2 U B R F2 D2 F
F2 U B R' F R2 F'
F2 U B R' F' R2 F'
F2 U B R' F2 R2 F'
F2 U B R2 D R' F'
F2 U B R2 D' R' F'
F2 U B R2 D2 R' F'
F2 U B R2 F R' F'
F2 U B R2 F' R' F'
F2 U B R2 F2 R' F'
F2 U B F R F' R
F2 U B' R F' B2 D
F2 U B' R F' B2 D'
F2 U B' R F' B2 D2
F2 U B' R B2 D F'
F2 U B' R B2 D' F'
F2 U B' R B2 D2 F'
F2 U B' R B2 F' D
F2 U B' R B2 F' D'
F2 U B' R B2 F' D2
F2 U B2 R D F' B'
F2 U B2 R D B' F'
F2 U B2 R D' F' B'
F2 U B2 R D' B' F'
F2 U B2 R D2 F' B'
F2 U B2 R D2 B' F'
F2 U B2 R F' D B'
F2 U B2 R F' D' B'
F2 U B2 R F' D2 B'
F2 U B2 R F' B' D
F2 U B2 R F' B' D'
F2 U B2 R F' B' D2
F2 U B2 R B' D F'
F2 U B2 R B' D' F'
F2 U B2 R B' D2 F'
F2 U B2 R B' F' D
F2 U B2 R B' F' D'
F2 U B2 R B' F' D2
F2 U' L U2 B R F'
F2 U' L' U2 B R F'
F2 U' L2 U2 B R F'
R' D' B L' U2 L' B'
B U' R F2 U R F
F' U' F' U B R F'
B' U' F2 U R F' B2
B' U' F2 U R B2 F'
B' U' F2 U B2 R F'
B2 U' F2 U R F' B'
B2 U' F2 U R B' F'
B2 U' F2 U B' R F'
B U' F2 R' U R2 F'
B U' F2 U R D F'
B U' F2 U R D' F'
B U' F2 U R D2 F'
B U' F2 U R F' D
B U' F2 U R F' D'
B U' F2 U R F' D2
B U' F2 B U R F'
B U' F2 B' U R F'
B U' F2 B2 U R F'
F2 U' B' R F' B2 L
F2 U' B' R B2 L F'
F2 U' B' R B2 F' L
F2 U' B' U2 R F' B2
F2 U' B' U2 R B2 F'
F2 U' B' U2 B2 R F'
B U' B F2 U R F'
F2 U' B2 U2 R F' B'
F2 U' B2 U2 R B' F'
F2 U' B2 U2 B' R F'
B U' B' F2 U R F'
F2 U2 L U' B R F'
B U' B2 F2 U R F'
F2 U2 L' U' B R F'
F2 U2 L2 U' B R F'
F' U2 F' U B R F'
B' U2 F2 U R F' B2
B' U2 F2 U R B2 F'
B' U2 F2 U B2 R F'
B2 U2 F2 U R F' B'
B2 U2 F2 U R B' F'
B2 U2 F2 U B' R F'
F2 D U B R D' F2
U' F2 L U B R F'
F2 D' U B D R F'
U' F2 L' U B R F'
U2 F2 L U B R F'
U' F2 L2 U B R F'
U2 F2 L' U B R F'
U F2 L U B R F'
U2 F2 L2 U B R F'
U F2 L' U B R F'
U F2 L2 U B R F'
R' F2 R2 U F' R' B
U' F2 U B R D F'
U' F2 U B R D' F'
U' F2 U B R D2 F'
U' F2 U B R F' D
U' F2 U B R F' D'
U' F2 U B R F' D2
R F2 R' U F B R2
R F2 R' U B R2 F
R F2 R' U B F R2
U' F2 U B' R F' B2
U' F2 U B' R B2 F'
U' F2 U B2 R F' B'
U' F2 U B2 R B' F'
U2 F2 U B R D F'
U2 F2 U B R D' F'
U2 F2 U B R D2 F'
U2 F2 U B R F' D
U2 F2 U B R F' D'
U2 F2 U B R F' D2
U2 F2 U B' R F' B2
U2 F2 U B' R B2 F'
U2 F2 U B2 R F' B'
U2 F2 U B2 R B' F'
R F2 U R F D2 B2
R F2 U R' F B R2
R F2 U R' B R2 F
R F2 U R' B F R2
U F2 U B R D F'
U F2 U B R D' F'
U F2 U B R D2 F'
U F2 U B R F' D
U F2 U B R F' D'
U F2 U B R F' D2
U F2 U B' R F' B2
U F2 U B' R B2 F'
U F2 U B2 R F' B'
U F2 U B2 R B' F'
F2 D2 L' U B R F
U' F2 B' U R F' B2
U' F2 B' U R B2 F'
U' F2 B' U B2 R F'
D F2 B R D' F2 L'
U' F2 B2 U R F' B'
U' F2 B2 U R B' F'
U' F2 B2 U B' R F'
U2 F2 B' U R F' B2
U2 F2 B' U R B2 F'
U2 F2 B' U B2 R F'
F2 D2 U B D2 R F'
U2 F2 B2 U R F' B'
U2 F2 B2 U R B' F'
U2 F2 B2 U B' R F'
U F2 B' U R F' B2
U F2 B' U R B2 F'
U F2 B' U B2 R F'
U F2 B2 U R F' B'
U F2 B2 U R B' F'
U F2 B2 U B' R F'
D B R D' F2 L' R
D B R D' F2 R L'
U' B U' F2 U R F'
U2 B U' F2 U R F'
U B U' F2 U R F'
R' B D' L' U2 L' B'
F2 B R F' U' F U
F2 B R F2 D' F L2
D B F2 R D' F2 L'
F' B U' F' U R F'
F2 B' L U R F' B2
F2 B' L U R B2 F'
F2 B' L U B2 R F'
F2 B' L' U R F' B2
F2 B' L' U R B2 F'
F2 B' L' U B2 R F'
F2 B' L2 U R F' B2
F2 B' L2 U R B2 F'
F2 B' L2 U B2 R F'
F2 B' R' U R2 F' B2
F2 B' R' U R2 B2 F'
F2 B' U R F' B2 D
F2 B' U R F' B2 D'
F2 B' U R F' B2 D2
F2 B' U R B2 D F'
F2 B' U R B2 D' F'
F2 B' U R B2 D2 F'
F2 B' U R B2 F' D
F2 B' U R B2 F' D'
F2 B' U R B2 F' D2
F2 B' U B' R F' B'
F2 B' U B' R B' F'
F2 B' U B2 R D F'
F2 B' U B2 R D' F'
F2 B' U B2 R D2 F'
F2 B' U B2 R F' D
F2 B' U B2 R F' D'
F2 B' U B2 R F' D2
F2 B' U' R F' B2 L
F2 B' U' R B2 L F'
F2 B' U' R B2 F' L
U' B' F2 U R F' B2
U' B' F2 U R B2 F'
U' B' F2 U B2 R F'
B F' U' F' U R F'
U2 B' F2 U R F' B2
U2 B' F2 U R B2 F'
U2 B' F2 U B2 R F'
U B' F2 U R F' B2
U B' F2 U R B2 F'
U B' F2 U B2 R F'
B' F2 L U R F' B2
B' F2 L U R B2 F'
B' F2 L U B2 R F'
B' F2 L' U R F' B2
B' F2 L' U R B2 F'
B' F2 L' U B2 R F'
B' F2 L2 U R F' B2
B' F2 L2 U R B2 F'
B' F2 L2 U B2 R F'
B' F2 R' U R2 F' B2
B' F2 R' U R2 B2 F'
B2 F2 R' U R2 F' B'
B2 F2 R' U R2 B' F'
F2 B2 R' U R2 F' B'
F2 B2 R' U R2 B' F'
B F2 R F' U' F U
B F2 R F2 D' F L2
B' F2 U R F' B2 D
B' F2 U R F' B2 D'
B' F2 U R F' B2 D2
B' F2 U R B2 D F'
B' F2 U R B2 D' F'
B' F2 U R B2 D2 F'
B' F2 U R B2 F' D
B' F2 U R B2 F' D'
B' F2 U R B2 F' D2
B' F2 U B' R F' B'
B' F2 U B' R B' F'
B' F2 U B2 R D F'
B' F2 U B2 R D' F'
B' F2 U B2 R D2 F'
B' F2 U B2 R F' D
B' F2 U B2 R F' D'
B' F2 U B2 R F' D2
B2 F2 U R D F' B'
B2 F2 U R D B' F'
B2 F2 U R D' F' B'
B2 F2 U R D' B' F'
B2 F2 U R D2 F' B'
B2 F2 U R D2 B' F'
B2 F2 U R F' D B'
B2 F2 U R F' D' B'
B2 F2 U R F' D2 B'
B2 F2 U R F' B' D
B2 F2 U R F' B' D'
B2 F2 U R F' B' D2
B2 F2 U R B' D F'
B2 F2 U R B' D' F'
B2 F2 U R B' D2 F'
B2 F2 U R B' F' D
B2 F2 U R B' F' D'
B2 F2 U R B' F' D2
F2 B2 U R D F' B'
F2 B2 U R D B' F'
F2 B2 U R D' F' B'
F2 B2 U R D' B' F'
F2 B2 U R D2 F' B'
F2 B2 U R D2 B' F'
F2 B2 U R F' D B'
F2 B2 U R F' D' B'
F2 B2 U R F' D2 B'
F2 B2 U R F' B' D
F2 B2 U R F' B' D'
F2 B2 U R F' B' D2
F2 B2 U R B' D F'
F2 B2 U R B' D' F'
F2 B2 U R B' D2 F'
F2 B2 U R B' F' D
F2 B2 U R B' F' D'
F2 B2 U R B' F' D2
B' F2 U' R F' B2 L
B' F2 U' R B2 L F'
B' F2 U' R B2 F' L
B2 F2 U B R F' B2
B2 F2 U B R B2 F'
B2 F2 U B' R D F'
B2 F2 U B' R D' F'
B2 F2 U B' R D2 F'
B2 F2 U B' R F' D
B2 F2 U B' R F' D'
B2 F2 U B' R F' D2
F2 B2 U B R F' B2
F2 B2 U B R B2 F'
F2 B2 U B' R D F'
F2 B2 U B' R D' F'
F2 B2 U B' R D2 F'
F2 B2 U B' R F' D
F2 B2 U B' R F' D'
F2 B2 U B' R F' D2
U' B2 F2 U R F' B'
U' B2 F2 U R B' F'
U' B2 F2 U B' R F'
U2 B2 F2 U R F' B'
U2 B2 F2 U R B' F'
U2 B2 F2 U B' R F'
U B2 F2 U R F' B'
U B2 F2 U R B' F'
U B2 F2 U B' R F'
