B L B2 R2 F' U R'
F' L' R2 F U R B
U' L' R2 F U R' B'
B L' R2 F L2 U R'
U L' R2 F U R' B
R2 L' F U R B R2
L2 R2 U R B L R2
R2 L2 U R B L R2
R2 L2 U R B R2 L
L2 R2 U R B R2 L
L' R2 F U R B R2
U L2 R2 U R' B L
L' U R2 F U R' B
D2 L2 B' R' B U' R2
L2 U D' R F2 B L
L2 U D' R B L F2
L2 U D' R B F2 L
R U' L' R F U B'
R U' R L' F U B'
B' R' B2 L B' U' R2
F' R2 L' F U R B
U' R2 L' F U R' B'
B R2 L' F L2 U R'
U R2 L' F U R' B
U R2 L2 U R' B L
U2 R2 F' L' F U R'
B' R2 F2 L' F U R'
D' U R F2 B' L B2
D' U R B' L F2 B2
D' U R B' L B2 F2
D' U R B' F2 L B2
D' U B' L R F2 B
D' U B' L R B F2
D' U B' R L F2 B
D' U B' R L B F2
D' U B' R F2 L B
D' U B2 R F2 B L
D' U B2 R B L F2
D' U B2 R B F2 L
D' U' L' R F2 B' L
U' D' L' R F2 B' L
U' D' L' R B' L F2
D' U' L' R B' L F2
U' D' L' R B' F2 L
D' U' L' R B' F2 L
D' U' L' B' L R F2
U' D' L' B' L R F2
U' D' L' B' R L F2
D' U' L' B' R L F2
U' D' L' B' R F2 L
D' U' L' B' R F2 L
L2 D' U R F2 B L
L2 D' U R B L F2
L2 D' U R B F2 L
U' D' R L' F2 B' L
D' U' R L' F2 B' L
U' D' R L' B' L F2
D' U' R L' B' L F2
U' D' R L' B' F2 L
D' U' R L' B' F2 L
U' D' R F2 L' B' L
D' U' R F2 L' B' L
U D' R F2 B' L B2
U D' R B' L F2 B2
U D' R B' L B2 F2
U D' R B' F2 L B2
L D' B' R' U' R2 F2
L D' B' R' U' F2 R2
U D' B' L R F2 B
U D' B' L R B F2
U D' B' R L F2 B
U D' B' R L B F2
U D' B' R F2 L B
L' D2 L2 B' R' U' R2
U D' B2 R F2 B L
U D' B2 R B L F2
U D' B2 R B F2 L
L D2 B' L2 R' U' R2
L D2 B' R' L2 U' R2
U2 F' L' R2 F U R
U2 F' L' F R2 U R'
U2 F' R2 L' F U R
B2 D' R F2 L2 B' L
B2 D' R' B R2 F2 L'
B' D2 L2 R' B U' R2
B' D2 R' L2 B U' R2
B' D2 R' B L2 U' R2
L2 B L R2 F U R'
L' B R2 F L U R'
L2 B R2 L F U R'
D' B' L R F2 D B2
D2 B' L2 R' B U' R2
D' B' R L F2 D B2
D' B' R F2 L D B2
D' B' R F2 D L B2
D2 B' R' L2 B U' R2
D' B' R' U' L R2 F2
D' B' R' U' L F2 R2
D' B' R' U' R2 L F2
D' B' R' U' R2 F2 L
D' B' R' U' F2 L R2
D' B' R' U' F2 R2 L
D2 B' R' B L2 U' R2
L B' R' U2 R' U R'
L B' D' R' U' R2 F2
L B' D' R' U' F2 R2
L B' D2 L2 R' U' R2
L B' D2 R' L2 U' R2
