U L2 B U2 L' B'
L2 B U L U L2
L2 B U2 L' D' B2
U' L R2 F' D2 B2 R'
U L R2 F' B2 R' B
U L R2 B2 F' R' B
U L U2 L F B U2
U L U2 L B F U2
U' L U2 F L B U2
R2 L F' B2 D' R' B
U' L F L B U2 L'
R' L B2 D' R' F' B
R' L B2 D' R' B F'
R2 L B2 D' F' R' B
R2 L B2 F' D' R' B
L R' B2 D' R' F' B
L R' B2 D' R' B F'
U' L' B L' U2 L' B2
U' L' B L' U2 B2 L'
U L' B L' U2 L' B'
U' L' B U2 L2 B2 R'
B L2 U D L' F U
L R2 F' B2 D' R' B
D2 L2 U' L' R2 F' B'
D2 L2 U' L' R2 B' F'
D2 L2 U' R2 L' F' B'
D2 L2 U' R2 L' B' F'
U L2 U2 L' B' D2 F2
B L2 U2 B' L D' B2
B L2 D U L' F U
U L2 D B U2 L' B'
B2 L2 D' R' U2 F B
B2 L2 D' R' U2 B F
L R2 B2 D' F' R' B
L R2 B2 F' D' R' B
U L2 D' B U2 L' B'
L' U L' B U2 L' B'
U L2 D2 B U2 L' B'
R2 U L2 U2 L' F' B'
R2 U L2 U2 L' B' F'
F' L2 B U L U L2
F' L2 B U2 L' D' B2
U L2 F2 B R U2 B
U' L2 B U2 L B' L2
F2 L2 B U L U L2
F2 L2 B U2 L' D' B2
F L2 B U L U L2
U L2 B R U2 L' B
U L2 B R U2 B L'
F L2 B U2 L' D' B2
U L2 B U2 L' D B'
U L2 B U2 L' D' B'
U L2 B U2 L' D2 B'
U L2 B U2 L' B' D
U L2 B U2 L' B' D'
U L2 B U2 L' B' D2
U L2 B U2 D L' B'
U L2 B U2 D' L' B'
U L2 B U2 D2 L' B'
U L2 B U2 B L' B'
U L2 B U2 B' L' B'
U L2 B U2 B2 L' B'
U L2 B D U2 L' B'
U L2 B D' U2 L' B'
U L2 B D2 U2 L' B'
U L2 B F2 R U2 B
D2 R U L R F' B
D2 R U L R B F'
D2 R U R L F' B
D2 R U R L B F'
D2 R U R F' L B
L' U B L' U2 L' B'
R2 U' L F' D2 B2 R'
L' U' L' B U2 L' B2
L' U' L' B U2 B2 L'
L' U' B L' U2 B' L'
B2 R' B' L2 U L' U
U' R2 L F' D2 B2 R'
U R2 L F' B2 R' B
U R2 L B2 F' R' B
R2 U2 F' L D' B2 R'
U R2 D2 L F' R2 B'
U R2 D2 L F' B' R2
U R2 D2 L B' F' R2
U R2 D2 F' L R2 B'
U R2 D2 F' L B' R2
U R2 D2 F' R2 L B'
U2 R2 F' L D' B2 R'
U R2 F' L B2 R' B
U R2 F' D2 L R2 B'
U R2 F' D2 L B' R2
U R2 F' D2 R2 L B'
D2 U L R B R F'
