B L F U2 L U' R'
D L' F B' R' U' F
D L' B' R' F U' F
D L' B' F R' U' F
U2 L2 U' R B L R'
U2 L2 U' R B R' L
B L2 U2 L' F U R'
U2 L2 F R B U' R'
U R B R' D L F2
U R B R' D F2 L
U R B D L R' F2
U R B D L F2 R'
U R B D R' L F2
U R B D R' F2 L
U R B D F2 L R'
U R B D F2 R' L
D2 R2 F' U R B L
L' D B' L' R' F U'
L' D B' L' F R' U'
L' D B' R' L' F U'
U2 F L2 R B U' R'
U2 F R L2 B U' R'
U2 F R B L2 U' R'
B D L F U R' F
B D L F U F R'
B D2 L F R2 U R
D B L F B' U F
D B L B' F U F
L' B' L' R' U L2 U2
L' B' L' R' U' D2 R2
L' B' L' R' D F2 U'
L' B' L' R' D2 U' R2
L' B' L' D R' F2 U'
L' B' L' D F2 R' U'
L' B' L' D2 R' U' R'
L' B' R' L' U L2 U2
L' B' R' L' U' D2 R2
L' B' R' L' D F2 U'
L' B' R' L' D2 U' R2
