F2 L' R2 B D' R2
U L' F2 L' B' R'
F2 L' B D' R2 B
U L2 F2 B' L' R'
U L2 F2 B' R' L'
U L2 B' F2 L' R'
U L2 B' F2 R' L'
U' R F U2 R F
U R F U2 F R
F2 R2 L' B D' R2
U' F U2 R F L'
U F U2 F L' R
U F U2 F R L'
F L U' F U' L' F
F' L F' L' D R2 B
F' L F' D L' R2 B
F' L F' D R2 L' B
F' L F' D R2 B L'
U L F2 L B' L2 R'
U L F2 L B' R' L2
F2 L' R2 U' B' U B2
F2 L' R2 D B D' R2
F2 L' R2 D' B D' R2
F2 L' R2 D2 B D' R2
F2 L' R2 B R D' R2
F2 L' R2 B R' D' R2
F2 L' R2 B R2 D' R2
F2 L' R2 B U' B2 U
F2 L' R2 B D' R2 D
F2 L' R2 B D' R2 D'
F2 L' R2 B D' R2 D2
F2 L' U' B' U' F' U2
F2 L' U2 F' U B' U
F2 L' D R2 B D' R2
F2 L' D B D' R2 B
F2 L' D' R2 B D' R2
F2 L' D' B D' R2 B
F2 L' D2 R2 B D' R2
F2 L' D2 B D' R2 B
U' L' F R F L' B'
U L' F2 L' R B' R'
U L' F2 L' R' B' R'
U L' F2 L' R2 B' R'
U L' F2 L' D B' R'
U L' F2 L' D' B' R'
U L' F2 L' D2 B' R'
U L' F2 L' B' R' D
U L' F2 L' B' R' D'
U L' F2 L' B' R' D2
U L' F2 L' B' D R'
U L' F2 L' B' D' R'
U L' F2 L' B' D2 R'
U L' F2 R L' B' R'
U L' F2 R' L' B' R'
U L' F2 R2 L' B' R'
U L' F2 D L' B' R'
U L' F2 D' L' B' R'
U L' F2 D2 L' B' R'
U L' F2 B' L' R' B'
U L' F2 B' R' L' B'
F2 L' B R2 D' B R2
F2 L' B D' R2 D B
F2 L' B D' R2 D' B
F2 L' B D' R2 D2 B
F2 L' B D' R2 B D
F2 L' B D' R2 B D'
F2 L' B D' R2 B D2
F2 L' B D' B R2 B
F2 L' B D' B' R2 B
F2 L' B D' B2 R2 B
U L' B' F2 L' R' B'
U L' B' F2 R' L' B'
U' L2 R U2 F2 B' R'
U' L2 R U2 B' R' F2
U' L2 R U2 B' F2 R'
U L2 R B' R' F2 L'
F2 L2 R2 D' L B R'
U2 L2 U' F2 B' L' R'
U2 L2 U' F2 B' R' L'
U2 L2 U' B' F2 L' R'
U2 L2 U' B' F2 R' L'
U' L2 U2 F2 B' L' R'
U' L2 U2 F2 B' R' L'
U' L2 U2 B' F2 L' R'
U' L2 U2 B' F2 R' L'
F2 L2 D' L R2 B R'
F2 L2 D' R2 L B R'
U' L2 F R F B' L'
U' L2 F R B' F L'
U' L2 F B' R F L'
U L2 F B' R' F L'
U L2 F2 R B' L' R'
U L2 F2 R B' R' L'
U L2 F2 R' B' L' R'
U L2 F2 R' B' R' L'
U L2 F2 R2 B' L' R'
U L2 F2 R2 B' R' L'
U L2 F2 D B' L' R'
U L2 F2 D B' R' L'
U L2 F2 D' B' L' R'
U L2 F2 D' B' R' L'
U L2 F2 D2 B' L' R'
U L2 F2 D2 B' R' L'
R2 U R' F U2 F R
U L2 F2 B' L' R' D
U L2 F2 B' L' R' D'
U L2 F2 B' L' R' D2
U L2 F2 B' L' D R'
U L2 F2 B' L' D' R'
U L2 F2 B' L' D2 R'
U L2 F2 B' R' L' D
U L2 F2 B' R' L' D'
U L2 F2 B' R' L' D2
U L2 F2 B' R' D L'
U L2 F2 B' R' D' L'
U L2 F2 B' R' D2 L'
U L2 F2 B' D L' R'
U L2 F2 B' D R' L'
U L2 F2 B' D' L' R'
U L2 F2 B' D' R' L'
U L2 F2 B' D2 L' R'
U L2 F2 B' D2 R' L'
U L2 F2 B2 L' B R'
R' U R2 F U2 F R
U L2 B' L F2 L' R'
U L2 B' L F2 R' L'
U L2 B' L' F2 L' R'
U L2 B' L' F2 R' L'
U' L2 B' F R F L'
U L2 B' L2 F2 L' R'
U L2 B' L2 F2 R' L'
U L2 B' R' F2 D2 L2
U L2 B' F R' F L'
U L2 B' F2 L' R' D
U L2 B' F2 L' R' D'
U L2 B' F2 L' R' D2
U L2 B' F2 L' D R'
U L2 B' F2 L' D' R'
U L2 B' F2 L' D2 R'
U L2 B' F2 R' L' D
U L2 B' F2 R' L' D'
U L2 B' F2 R' L' D2
U L2 B' F2 R' D L'
U L2 B' F2 R' D' L'
U L2 B' F2 R' D2 L'
U L2 B' F2 D L' R'
U L2 B' F2 D R' L'
U L2 B' F2 D' L' R'
U L2 B' F2 D' R' L'
U L2 B' F2 D2 L' R'
U L2 B' F2 D2 R' L'
U L2 B2 F2 L' B R'
R' U F R2 U2 F R
R2 U F R' U2 F R
U' R L2 U2 F2 B' R'
U' R L2 U2 B' R' F2
U' R L2 U2 B' F2 R'
U R L2 B' R' F2 L'
U' R D2 F B2 U2 R
U' R D2 B2 F U2 R
U' R F L2 B' U2 R
U' R F U2 R D F
U' R F U2 R D' F
U' R F U2 R D2 F
U' R F U2 R F D
U' R F U2 R F D'
U' R F U2 R F D2
U' R F U2 R' F R2
U' R F U2 R2 F R'
U' R F U2 D R F
U' R F U2 D' R F
U' R F U2 D2 R F
U' R F D U2 R F
U2 R F U B U F
U' R F D' U2 R F
U' R F D2 U2 R F
U' R F B U2 R F
U' R F B' U2 R F
U R F L2 B' U2 R'
U' R F B2 U2 R F
U' R F' L' F2 U2 F
U R F U2 R F R
U R F U2 R' F R
U R F U2 R2 F R
U R F U2 D F R
U R F U2 D' F R
U R F U2 D2 F R
U R F U2 F R D
U R F U2 F R D'
U R F U2 F R D2
U R F U2 F D R
U R F U2 F D' R
U R F U2 F D2 R
U R F D U2 F R
U R F D' U2 F R
U R F D2 U2 F R
U R F B' U2 R' F
U R F B' U2 F R'
R2 U' R' F U2 R F
U' R B F U2 R F
R' U' R2 F U2 R F
U' R B' F U2 R F
U R B' F U2 R' F
U R B' F U2 F R'
U' R B2 F U2 R F
R' U' F R2 U2 R' F
R' U' F R2 U2 F R'
R2 U' F R' U2 R2 F
R2 U' F R' U2 F R2
L' U' B' U F2 L' B'
U' R' F R2 U2 R' F
U' R' F R2 U2 F R'
U R' F R2 U2 F R
F2 R2 L' U' B' U B2
F2 R2 L' D B D' R2
F2 R2 L' D' B D' R2
F2 R2 L' D2 B D' R2
F2 R2 L' B R D' R2
F2 R2 L' B R' D' R2
F2 R2 L' B R2 D' R2
F2 R2 L' B U' B2 U
F2 R2 L' B D' R2 D
F2 R2 L' B D' R2 D'
F2 R2 L' B D' R2 D2
F2 R2 L2 D' L B R'
R U2 F2 R2 D B R'
D R2 U' R' F U2 R
D R2 U' F R' U2 R2
F2 R2 D L' B D' R2
F2 R2 D' L' B D' R2
F2 R2 D2 L' B D' R2
U' R2 F R' U2 R2 F
U' R2 F R' U2 F R2
U R2 F R' U2 F R
F2 R2 B L' U' B' U
B' U L' F2 L' B' R'
B2 U L' F2 L' B' R'
B U L' F2 L' B' R'
B' U L2 F2 B' L' R'
B' U L2 F2 B' R' L'
B' U L2 B' F2 L' R'
B' U L2 B' F2 R' L'
B2 U L2 F2 B' L' R'
B2 U L2 F2 B' R' L'
B2 U L2 B' F2 L' R'
B2 U L2 B' F2 R' L'
B U L2 F2 B' L' R'
B U L2 F2 B' R' L'
B' U R F U2 F R
B U L2 B' F2 L' R'
B U L2 B' F2 R' L'
B2 U R F U2 F R
B U R F U2 F R
B' U F U2 F L' R
B' U F U2 F R L'
B2 U F U2 F L' R
B2 U F U2 F R L'
B U F U2 F L' R
B U F U2 F R L'
F U B' U R' F L'
F U B' U F L' R'
F U B' U F R' L'
D2 U' R F B2 U2 R
D2 U' R B2 F U2 R
B' U' R F U2 R F
B2 U' R F U2 R F
B U' R F U2 R F
D2 U' B2 R F U2 R
B' U' F U2 R F L'
B2 U' F U2 R F L'
B U' F U2 R F L'
F U' F' U' F2 L' R
F U' F' U' F2 R L'
U' D2 R F B2 U2 R
U' D2 R B2 F U2 R
U' D2 B2 R F U2 R
F U2 R' F L' D R2
F U2 R' F D L' R2
F U2 R' F D R2 L'
R F L' U B' R' U
U' F R' U2 R2 F L'
