U2 D F' L' R B2
U2 D F' L' B2 R
U2 D F' R L' B2
U2 D F' R B2 L'
U2 D F' B2 L' R
U2 D F' B2 R L'
U2 D B2 F' L' R
U2 D B2 F' R L'
D U2 F' L' R B2
D U2 F' L' B2 R
D U2 F' R L' B2
D U2 F' R B2 L'
D U2 F' B2 L' R
D U2 F' B2 R L'
D U2 B2 F' L' R
D U2 B2 F' R L'
B D L F' R B2
B D L F' B2 R
B D L B2 F' R
B' D F' B2 L R
B' D F' B2 R L
B D F' L R B2
B D F' L B2 R
B D F' R L B2
D F' R B L B
D' F' R2 B L R'
D' F' R2 B R' L
D' F' R2 B R' L
B' D B2 L F' R
B' D B2 F' L R
B' D B2 F' R L
D F' B L B R
D B L F' B R
D B L B F' R
D B F' L B R
D L U2 F' L' R B2
D L U2 F' L' B2 R
D L U2 F' R L' B2
D L U2 F' R B2 L'
D L U2 F' B2 L' R
D L U2 F' B2 R L'
D L U2 B2 F' L' R
D L U2 B2 F' R L'
D L F' R B L B
D' L F' R2 B L R'
D' L F' R2 B R' L
D L F' B L B R
D L B L F' B R
D L B L B F' R
F' L B D L B2 R'
B L B D' F' R2 B
D L B F' L B R
D L' U2 F' L' R B2
D L' U2 F' L' B2 R
D L' U2 F' R L' B2
D L' U2 F' R B2 L'
D L' U2 F' B2 L' R
D L' U2 F' B2 R L'
D L' U2 B2 F' L' R
D L' U2 B2 F' R L'
B' L' F R2 U' F2 L'
U' L' F R2 B' U' F2
B L' F R2 U' L2 F2
B L' F R2 U' F2 L2
U' L' F B' R2 U' F2
U2 L' F' L' D R2 B2
U2 L' F' L' D B2 R2
D' L' F' R2 B L R'
D' L' F' R2 B R' L
B L' F' L2 D R2 B2
B L' F' L2 D B2 R2
D L' F' R B L B
B' L' F' D B2 L R2
B' L' F' D B2 R2 L
U2 L' F' D L' R2 B2
U2 L' F' D L' B2 R2
U2 L' F' D R2 L' B2
U2 L' F' D R2 B2 L'
U2 L' F' D B2 L' R2
U2 L' F' D B2 R2 L'
D L' F' B L B R
D L' B L F' B R
D L' B L B F' R
D L' B F' L B R
U' L' B' F R2 U' F2
D L2 U2 F' L' R B2
D L2 U2 F' L' B2 R
D L2 U2 F' R L' B2
D L2 U2 F' R B2 L'
D L2 U2 F' B2 L' R
D L2 U2 F' B2 R L'
D L2 U2 B2 F' L' R
D L2 U2 B2 F' R L'
D' L2 F' R2 B L R'
D' L2 F' R2 B R' L
D L2 F' R B L B
D L2 F' B L B R
D L2 B L F' B R
D L2 B L B F' R
D L2 B F' L B R
L' U2 F' L' D R2 B2
L' U2 F' L' D B2 R2
L' U2 F' D L' R2 B2
L' U2 F' D L' B2 R2
L' U2 F' D R2 L' B2
L' U2 F' D R2 B2 L'
L' U2 F' D B2 L' R2
L' U2 F' D B2 R2 L'
D' R2 F2 B U2 L R'
D' R2 F2 B U2 R' L
D' R2 B F2 U2 L R'
D' R2 B F2 U2 R' L
U2 D L F' L' R B2
U2 D L F' L' B2 R
U2 D L F' R L' B2
U2 D L F' R B2 L'
U2 D L F' B2 L' R
U2 D L F' B2 R L'
U2 D L B2 F' L' R
U2 D L B2 F' R L'
U2 D L' F' L' R B2
U2 D L' F' L' B2 R
U2 D L' F' R L' B2
U2 D L' F' R B2 L'
U2 D L' F' B2 L' R
U2 D L' F' B2 R L'
U2 D L' B2 F' L' R
U2 D L' B2 F' R L'
U2 D L2 F' L' R B2
U2 D L2 F' L' B2 R
U2 D L2 F' R L' B2
U2 D L2 F' R B2 L'
U2 D L2 F' B2 L' R
U2 D L2 F' B2 R L'
U2 D L2 B2 F' L' R
U2 D L2 B2 F' R L'
B' U D F' B2 L R
B' U D F' B2 R L
B' U D B2 L F' R
B' U D B2 F' L R
B' U D B2 F' R L
B U D L F' R B2
B U D L F' B2 R
B U D L B2 F' R
B U D F' L R B2
B U D F' L B2 R
B U D F' R L B2
U2 D F' L R B2 L2
U2 D F' L B2 L2 R
U2 D F' L B2 R L2
U2 D F' L' R B2 D
U2 D F' L' R B2 D'
U2 D F' L' R B2 D2
U2 D F' L' R' B2 R2
U2 D F' L' B' R B'
U2 D F' L' B2 R D
U2 D F' L' B2 R D'
U2 D F' L' B2 R D2
U2 D F' L' B2 D R
U2 D F' L' B2 D' R
U2 D F' L' B2 D2 R
U2 D F' R L B2 L2
U2 D F' R L' B2 D
U2 D F' R L' B2 D'
U2 D F' R L' B2 D2
U2 D F' R B L' B
U2 D F' R B2 L' D
U2 D F' R B2 L' D'
U2 D F' R B2 L' D2
U2 D F' R B2 D L'
U2 D F' R B2 D' L'
U2 D F' R B2 D2 L'
U2 D F' R' L' B2 R2
U2 D F' R' B2 L' R2
U2 D F' R' B2 R2 L'
U2 D F' B L' B R
U2 D F' B' R B' L'
U2 D F' B2 L' R D
U2 D F' B2 L' R D'
U2 D F' B2 L' R D2
U2 D F' B2 L' D R
U2 D F' B2 L' D' R
U2 D F' B2 L' D2 R
U2 D F' B2 R L' D
U2 D F' B2 R L' D'
U2 D F' B2 R L' D2
U2 D F' B2 R D L'
U2 D F' B2 R D' L'
U2 D F' B2 R D2 L'
U2 D F' B2 D L' R
U2 D F' B2 D R L'
U2 D F' B2 D' L' R
U2 D F' B2 D' R L'
U2 D F' B2 D2 L' R
U2 D F' B2 D2 R L'
U2 D B F' L' B R
U2 D B' F' R B' L'
U2 D B2 L F' L' R
U2 D B2 L F' R L'
U2 D B2 L' F' L' R
U2 D B2 L' F' R L'
U2 D B2 L2 F' L' R
U2 D B2 L2 F' R L'
U2 D B2 F' L' R D
U2 D B2 F' L' R D'
U2 D B2 F' L' R D2
U2 D B2 F' L' D R
U2 D B2 F' L' D' R
U2 D B2 F' L' D2 R
