D L2 R2 F L'
D L2 F L' R2
D L2 F R2 L'
D R2 L2 F L'
D L' R2 F L' F
D L' F L' R2 F
D L' F L' F R2
D L' F R2 L' F
D L2 R' F L' R'
D L2 R' F R' L'
D L2 R2 F L' D
D L2 R2 F L' D'
D L2 R2 F L' D2
D L2 R2 F D L'
D L2 R2 F D' L'
D L2 R2 F D2 L'
D2 L2 D' R2 F L'
D2 L2 D' F L' R2
D2 L2 D' F R2 L'
D L2 F L' R2 D
D L2 F L' R2 D'
D L2 F L' R2 D2
D L2 F R2 L' D
D L2 F R2 L' D'
D L2 F R2 L' D2
D L2 F R2 D L'
D L2 F R2 D' L'
D L2 F R2 D2 L'
U L2 F2 U' F' L'
D R' L2 F L' R'
D R' L2 F R' L'
D R2 L' F L' F
D R2 L2 F L' D
D R2 L2 F L' D'
D R2 L2 F L' D2
D R2 L2 F D L'
D R2 L2 F D' L'
D R2 L2 F D2 L'
R' D L2 R2 F L'
R' D L2 F L' R2
R' D L2 F R2 L'
R2 D L2 R2 F L'
D R2 F L2 F L
R2 D L2 F L' R2
R2 D L2 F R2 L'
R D L2 R2 F L'
R D L2 F L' R2
R' D R2 L2 F L'
R D L2 F R2 L'
R2 D R2 L2 F L'
R D R2 L2 F L'
U2 D' B' L2 U2 L'
D' U2 B' L2 U2 L'
D F L2 R2 F L
D F L2 F L R2
D F L2 F R2 L
D F R2 L2 F L
D' B' L2 U2 L' B
D' B' L2 U2 B L'
D L R2 F L F L2
B' L U' F2 B' U' B2
B' L U' B' F2 U' B2
B' L U2 B D L2 R2
B' L U2 B D R2 L2
D2 L D' L R2 F L'
D2 L D' L F L' R2
D2 L D' L F R2 L'
D2 L D' R2 L F L'
D L F L R2 F L2
D L F L F L2 R2
D L F L F R2 L2
D L F R2 L F L2
U L F2 B' L U' F
B' L B D L2 R2 F
B' L B D L2 F R2
B' L B D R2 L2 F
F2 L B' L U' F B
F2 L B' L U' B F
U L B' L F2 U' F'
U L B' F2 L U' F
D L' R' F L' R' F
D L' R' F L' F R'
D L' R' F R' L' F
D L' R2 F L' D F
D L' R2 F L' D' F
D L' R2 F L' D2 F
D L' R2 F L' F D
D L' R2 F L' F D'
D L' R2 F L' F D2
D' L' D2 F2 R F' L'
D L' F L' R' F R'
D L' F L' R2 D F
D L' F L' R2 D' F
D L' F L' R2 D2 F
D L' F L' R2 F D
D L' F L' R2 F D'
D L' F L' R2 F D2
D L' F L' F R2 D
D L' F L' F R2 D'
D L' F L' F R2 D2
D L' F L' F' R2 F2
D L' F R' L' F R'
D L' F R2 L' D F
D L' F R2 L' D' F
D L' F R2 L' D2 F
D L' F R2 L' F D
D L' F R2 L' F D'
D L' F R2 L' F D2
D L' F2 R2 F' L' F
D2 L2 R F D' L2 R2
D2 L2 R F D' R2 L2
D L2 R' F L' R' D
D L2 R' F L' R' D'
D L2 R' F L' R' D2
D L2 R' F L' D R'
D L2 R' F L' D' R'
D L2 R' F L' D2 R'
D L2 R' F R' L' D
D L2 R' F R' L' D'
D L2 R' F R' L' D2
D L2 R' F R' D L'
D L2 R' F R' D' L'
D L2 R' F R' D2 L'
D L2 R' F D L' R'
D L2 R' F D R' L'
D L2 R' F D' L' R'
D L2 R' F D' R' L'
D L2 R' F D2 L' R'
D L2 R' F D2 R' L'
D L2 R2 F L2 D L
D L2 R2 F L2 D' L
D L2 R2 F L2 D2 L
D L2 R2 F D L' D
D L2 R2 F D L' D'
D L2 R2 F D L' D2
D L2 R2 F D' L' D
D L2 R2 F D' L' D'
D L2 R2 F D' L' D2
D L2 R2 F D2 L' D
D L2 R2 F D2 L' D'
D L2 R2 F D2 L' D2
D L2 R2 F B' L' B
D L2 R2 F B2 L' B2
D L2 R2 F' L F2 L'
D L2 R2 F' L' F2 L'
D L2 R2 F' L2 F2 L'
D L2 R2 F2 L F' L'
D L2 R2 F2 L' F' L'
D L2 R2 F2 L2 F' L'
D L2 R2 F2 D F' L'
D L2 R2 F2 D' F' L'
D L2 R2 F2 D2 F' L'
D L2 R2 B' F L' B
D L2 R2 B2 F L' B2
D L2 U2 F L' R2 B
D L2 U2 F R2 L' B
D L2 U2 F R2 B L'
D2 L2 D' R' F L' R'
D2 L2 D' R' F R' L'
D2 L2 D' R2 F L' D
D2 L2 D' R2 F L' D'
D2 L2 D' R2 F L' D2
D2 L2 D' R2 F D L'
D2 L2 D' R2 F D' L'
D2 L2 D' R2 F D2 L'
D2 L2 D' F L' R2 D
D2 L2 D' F L' R2 D'
D2 L2 D' F L' R2 D2
D2 L2 D' F R2 L' D
D2 L2 D' F R2 L' D'
D2 L2 D' F R2 L' D2
D2 L2 D' F R2 D L'
D2 L2 D' F R2 D' L'
D2 L2 D' F R2 D2 L'
L' U L' F2 U' F' L'
D L2 F L' R D R
D L2 F L' R D' R
D L2 F L' R D2 R
D L2 F L' R' D R'
D L2 F L' R' D' R'
D L2 F L' R' D2 R'
D L2 F L' F' R2 F
D L2 F L' F2 R2 F2
D L2 F L' B R2 B'
D L2 F L' B2 R2 B2
D L2 F L2 R2 D L
D L2 F L2 R2 D' L
D L2 F L2 R2 D2 L
D L2 F R L' D R
D L2 F R L' D' R
D L2 F R L' D2 R
D L2 F R D L' R
D L2 F R D R L'
D L2 F R D' L' R
D L2 F R D' R L'
D L2 F R D2 L' R
D L2 F R D2 R L'
D L2 F R' L' D R'
D L2 F R' L' D' R'
D L2 F R' L' D2 R'
D L2 F R' D L' R'
D L2 F R' D R' L'
D L2 F R' D' L' R'
D L2 F R' D' R' L'
D L2 F R' D2 L' R'
D L2 F R' D2 R' L'
D L2 F R2 L2 D L
D L2 F R2 L2 D' L
D L2 F R2 L2 D2 L
D L2 F R2 D L' D
D L2 F R2 D L' D'
D L2 F R2 D L' D2
D L2 F R2 D' L' D
D L2 F R2 D' L' D'
D L2 F R2 D' L' D2
D L2 F R2 D2 L' D
D L2 F R2 D2 L' D'
D L2 F R2 D2 L' D2
D L2 F R2 B' L' B
D L2 F R2 B2 L' B2
D L2 F D L' D' R2
D L2 F D' L' D R2
R' U L2 F2 U' F' L'
D L2 F B R2 B' L'
D L2 F B' L' B R2
D L2 F B2 L' R2 B2
D L2 F B2 L' B2 R2
D L2 F B2 R2 L' B2
D L2 F B2 R2 B2 L'
D L2 F' L F2 L' R2
D L2 F' L F2 R2 L'
D L2 F' L' F2 L' R2
D L2 F' L' F2 R2 L'
D L2 F' L2 F2 L' R2
D L2 F' L2 F2 R2 L'
R2 U L2 F2 U' F' L'
R U L2 F2 U' F' L'
D L2 F2 L F' L' R2
D L2 F2 L F' R2 L'
D L2 F2 L' F' L' R2
D L2 F2 L' F' R2 L'
D L2 F2 L2 F' L' R2
D L2 F2 L2 F' R2 L'
U L2 F2 L' B' U' F'
U L2 F2 U' L F' L'
U L2 F2 U' L' F' L'
U L2 F2 U' L2 F' L'
U L2 F2 U' D F' L'
U L2 F2 U' D' F' L'
U L2 F2 U' D2 F' L'
U L2 F2 U' F' L' D
U L2 F2 U' F' L' D'
U L2 F2 U' F' L' D2
U L2 F2 U' F' D L'
U L2 F2 U' F' D' L'
U L2 F2 U' F' D2 L'
D' L2 B R' U2 F B'
D' L2 B R' U2 B' F
U L2 F2 D U' F' L'
U L2 F2 D' U' F' L'
U L2 F2 D2 U' F' L'
U L2 F2 B U' F' L'
U L2 F2 B' U' F' L'
U L2 F2 B2 U' F' L'
D L2 B R2 F B' L'
D L2 B R2 B' F L'
D L2 B F R2 B' L'
D' L2 B' U2 F L B
U L2 B F2 U' F' L'
F L2 B' U F B L
F L2 B' U B F L
D L2 B' F L' B R2
U L2 B' F2 U' F' L'
D L2 B2 R2 F L' B2
D L2 B2 R2 F B2 L'
D L2 B2 R2 B2 F L'
D L2 B2 F L' R2 B2
D L2 B2 F L' B2 R2
D L2 B2 F R2 L' B2
D L2 B2 F R2 B2 L'
U L2 B2 F2 U' F' L'
D2 R L2 F D' L2 R2
D2 R L2 F D' R2 L2
L2 U F2 B U' L F'
L2 U F2 B U' F' L
L U F2 B L B2 U'
L U F2 B' U2 R' U
L U B L F2 B2 U'
L U B L B2 F2 U'
D' R U2 B' L2 U2 L'
L2 U B F2 U' L F'
L2 U B F2 U' F' L
L U B F2 L B2 U'
L U B' F2 U2 R' U
D' R D2 L2 R2 F L'
D' R D2 L2 F L' R2
D' R D2 L2 F R2 L'
U2 R D' B' L2 U2 L'
D' R D2 R2 L2 F L'
D2 R F D' L2 R2 F
D2 R F D' L2 F R2
D2 R F D' R2 L2 F
D' R B' L2 U2 L' B
D' R B' L2 U2 B L'
D R' L' F L' R' F
D R' L' F L' F R'
D R' L' F R' L' F
D R' L2 F L' R' D
D R' L2 F L' R' D'
D R' L2 F L' R' D2
D R' L2 F L' D R'
D R' L2 F L' D' R'
D R' L2 F L' D2 R'
D R' L2 F R' L' D
D R' L2 F R' L' D'
D R' L2 F R' L' D2
D R' L2 F R' D L'
D R' L2 F R' D' L'
D R' L2 F R' D2 L'
D R' L2 F D L' R'
D R' L2 F D R' L'
D R' L2 F D' L' R'
D R' L2 F D' R' L'
D R' L2 F D2 L' R'
D R' L2 F D2 R' L'
D' R' U2 B' L2 U2 L'
D' R' D2 L2 R2 F L'
D' R' D2 L2 F L' R2
D' R' D2 L2 F R2 L'
U2 R' D' B' L2 U2 L'
D' R' D2 R2 L2 F L'
D R' F L2 R' F L
D R' F L2 F L R'
D R' F L2 F R' L
D R' F R' L2 F L
D R' F' R' D2 L2 F
D' R' B' L2 U2 L' B
D' R' B' L2 U2 B L'
R' U2 D' B' L2 U2 L'
R2 U2 D' B' L2 U2 L'
D R2 L F L F L2
R U2 D' B' L2 U2 L'
D R2 L' F L' D F
D R2 L' F L' D' F
D R2 L' F L' D2 F
D R2 L' F L' F D
D R2 L' F L' F D'
D R2 L' F L' F D2
D R2 L2 F L2 D L
D R2 L2 F L2 D' L
D R2 L2 F L2 D2 L
D R2 L2 F D L' D
D R2 L2 F D L' D'
D R2 L2 F D L' D2
D R2 L2 F D' L' D
D R2 L2 F D' L' D'
D R2 L2 F D' L' D2
D R2 L2 F D2 L' D
D R2 L2 F D2 L' D'
D R2 L2 F D2 L' D2
D R2 L2 F B' L' B
D R2 L2 F B2 L' B2
D R2 L2 F' L F2 L'
D R2 L2 F' L' F2 L'
D R2 L2 F' L2 F2 L'
D R2 L2 F2 L F' L'
D R2 L2 F2 L' F' L'
D R2 L2 F2 L2 F' L'
D R2 L2 F2 D F' L'
D R2 L2 F2 D' F' L'
D R2 L2 F2 D2 F' L'
D R2 L2 B' F L' B
D R2 L2 B2 F L' B2
D R2 U L2 U' F L'
D' R2 U2 B' L2 U2 L'
D R2 U2 D2 B' U2 L
B' R2 D F' R U2 R
D R2 D L2 D' F L'
D' R2 D2 L2 R2 F L'
D' R2 D2 L2 F L' R2
D' R2 D2 L2 F R2 L'
U2 R2 D' B' L2 U2 L'
D' R2 D2 R2 L2 F L'
R' D L' R2 F L' F
R' D L' F L' R2 F
R' D L' F L' F R2
R' D L' F R2 L' F
D R2 D2 L2 D2 F L'
R2 D L' R2 F L' F
D R2 D2 U2 B' U2 L
R' D L2 R' F L' R'
R' D L2 R' F R' L'
R' D L2 R2 F L' D
R' D L2 R2 F L' D'
R' D L2 R2 F L' D2
R' D L2 R2 F D L'
R' D L2 R2 F D' L'
R' D L2 R2 F D2 L'
R2 D L' F L' R2 F
R2 D L' F L' F R2
R2 D L' F R2 L' F
R' D L2 F L' R2 D
R' D L2 F L' R2 D'
R' D L2 F L' R2 D2
R D L' R2 F L' F
R' D L2 F R2 L' D
R' D L2 F R2 L' D'
R' D L2 F R2 L' D2
R' D L2 F R2 D L'
R' D L2 F R2 D' L'
R' D L2 F R2 D2 L'
D R2 F L2 D F L
D R2 F L2 D' F L
D R2 F L2 D2 F L
D R2 F L2 F L D
D R2 F L2 F L D'
D R2 F L2 F L D2
D R2 F L2 F D L
D R2 F L2 F D' L
D R2 F L2 F D2 L
D R2 F L2 F' L F2
D R2 F L2 F2 L F'
R2 D L2 R' F L' R'
R2 D L2 R' F R' L'
R2 D L2 R2 F L' D
R2 D L2 R2 F L' D'
R2 D L2 R2 F L' D2
R2 D L2 R2 F D L'
R2 D L2 R2 F D' L'
R2 D L2 R2 F D2 L'
R D L' F L' R2 F
R D L' F L' F R2
R D L' F R2 L' F
D R2 F U2 B' U2 L'
D R2 F D L2 F L
D R2 F D' L2 F L
D R2 F D2 L2 F L
R2 D L2 F L' R2 D
R2 D L2 F L' R2 D'
R2 D L2 F L' R2 D2
R2 D L2 F R2 L' D
R2 D L2 F R2 L' D'
R2 D L2 F R2 L' D2
R2 D L2 F R2 D L'
R2 D L2 F R2 D' L'
R2 D L2 F R2 D2 L'
R D L2 R' F L' R'
R D L2 R' F R' L'
R D L2 R2 F L' D
R D L2 R2 F L' D'
R D L2 R2 F L' D2
R D L2 R2 F D L'
R D L2 R2 F D' L'
R D L2 R2 F D2 L'
D R2 F' L' F2 L' F
D R2 F' L2 F2 L' F'
R D L2 F L' R2 D
R D L2 F L' R2 D'
R D L2 F L' R2 D2
D R2 F' U2 R B' U2
R D L2 F R2 L' D
R D L2 F R2 L' D'
R D L2 F R2 L' D2
R D L2 F R2 D L'
R D L2 F R2 D' L'
R D L2 F R2 D2 L'
D R2 F' U2 B' R U2
R' D R' L2 F L' R'
R' D R' L2 F R' L'
D R2 F2 L' F' L' F
D R2 F2 L2 F' L' F2
R2 D R' L2 F L' R'
R2 D R' L2 F R' L'
R' D R2 L' F L' F
D R2 F2 U2 B' R' U2
R' D R2 L2 F L' D
R' D R2 L2 F L' D'
R' D R2 L2 F L' D2
R' D R2 L2 F D L'
R' D R2 L2 F D' L'
R' D R2 L2 F D2 L'
R' D R2 F L2 F L
R D R' L2 F L' R'
R D R' L2 F R' L'
D' R2 B' L2 U2 L' B
D' R2 B' L2 U2 B L'
R2 D R2 L' F L' F
R2 D R2 L2 F L' D
R2 D R2 L2 F L' D'
R2 D R2 L2 F L' D2
R2 D R2 L2 F D L'
R2 D R2 L2 F D' L'
R2 D R2 L2 F D2 L'
D R2 B D2 F2 B' L
D R2 B D2 B' L F2
D R2 B D2 B' F2 L
R2 D R2 F L2 F L
R D R2 L' F L' F
R D R2 L2 F L' D
R D R2 L2 F L' D'
R D R2 L2 F L' D2
R D R2 L2 F D L'
R D R2 L2 F D' L'
R D R2 L2 F D2 L'
R D R2 F L2 F L
R' D F L2 R2 F L
R' D F L2 F L R2
R' D F L2 F R2 L
R' D F R2 L2 F L
R2 D F L2 R2 F L
R2 D F L2 F L R2
R2 D F L2 F R2 L
R2 D F R2 L2 F L
R D F L2 R2 F L
R D F L2 F L R2
R D F L2 F R2 L
R D F R2 L2 F L
U2 D L2 U2 R2 F L'
U2 D L2 U2 F L' R2
U2 D L2 U2 F R2 L'
U2 D L2 F L' R2 B
U2 D L2 F R2 L' B
U2 D L2 F R2 B L'
D U L2 U' R2 F L'
D U L2 U' F L' R2
D U L2 U' F R2 L'
U D L2 U' R2 F L'
U D L2 U' F L' R2
U D L2 U' F R2 L'
U2 D' L2 U2 D2 F L'
U2 D' L2 D2 U2 F L'
R' D' U2 B' L2 U2 L'
U2 D' L2 B R' U2 F
U2 D' L2 B' U2 F L
R2 D' U2 B' L2 U2 L'
U2 D' R B' L2 U2 L'
R D' U2 B' L2 U2 L'
U2 D' R' B' L2 U2 L'
U2 D' R2 B' L2 U2 L'
R' D' B' L2 U2 L' B
R' D' B' L2 U2 B L'
R2 D' B' L2 U2 L' B
R2 D' B' L2 U2 B L'
R D' B' L2 U2 L' B
R D' B' L2 U2 B L'
