F' R' U B' R' B
B2 L D R2 F B U'
B2 L D R2 B F U'
B2 L F U' D' L2 B'
B2 L F D' U' L2 B'
F' L' R' D B' L U
F' L' R2 B' R U B2
D2 L' F' R' B' U B'
D' L2 D F' R' U R2
D' L2 D2 F' R' B U
D' L2 F' D2 R' B U
F' R' L' D B' L U
F' R' U R' B' R' B2
F' R' U B' R' D B
F' R' U B' R' D' B
F' R' U B' R' D2 B
F' R' U B' R' B D
F' R' U B' R' B D'
F' R' U B' R' B D2
F' R' U B2 R' B R'
F R' U D' L2 B' R'
F' R' U2 R' F' U' B
D R' U2 R' F' B U'
D R' U2 R' B F' U'
F' R' D L' B' L U
F R' D' U L2 B' R'
F2 R' F U' F' L' U2
F R' F2 U' F' L' U2
F' R' B U B' R' B
F' R' B' U B' R' B
F' R' B2 U B' R' B
F' R2 L' B' R U B2
D R2 B U2 R B U
F' R2 B2 R U B' R'
F2 U R' F B' U R'
F2 U R' B' F U R'
F2 U F R' B' U R'
L D' L2 F' R' B' U
L' D' F' R' B' L2 U
R' D2 L' F B' U B'
R' D2 L' B' F U B'
F' U' F' L' U R' U
L' D2 F' R' B' U B'
L2 D2 F' R' B U B
U' F R D' L2 F2 B'
U' F R D' L2 B' F2
U' F R' F2 U R2 B
B2 D L R2 F B U'
B2 D L R2 B F U'
F' D R' U B' R' B
B2 D R2 L F B U'
B2 D R2 L B F U'
B D R2 B L F U'
D' F' L' R' B' L' U
D2 F' L' R' B' U B'
D' F' L2 D2 R' B U
D2 F' R' L' B' U B'
D' F' R' L' B' L' U
D2 F' R' U B' R' B'
L' F' R' D B' L U
D2 F' R' B' U B' R'
D F' R' U2 R' F' U'
L' F' R2 B' R U B2
U F' R' B' U R' B
L F' D R' U R' B
F' D' R' U B' R' B
F D' R' U L2 B' R'
L' F2 U R' F B' U
L' F2 U R' B' F U
L' F2 U F R' B' U
U2 F2 U R' F U R
U2 F2 U F R' U R2
F' D2 R' U B' R' B
D B R2 B L F U'
F' B U' F' L' B' U2
L' B' D2 F' R U B2
B F' U' F' L' B' U2
D B2 L R2 F B U'
D B2 L R2 B F U'
D B2 R2 L F B U'
D B2 R2 L B F U'
