B L B R F U'
D2 F2 L' B' R' U
R B L F B U'
R B L B F U'
B2 L R D2 F L' U'
B L R D' F U' L'
D L R F U' L F
B L D B R F U'
B2 L D' R F U' F2
L R F B L B U'
R L F B L B U'
B L D' B R F U'
B2 L D2 R F L' U'
B L D2 B R F U'
B L F D2 B R' U'
L R B F L B U'
R L B F L B U'
L' R B2 U2 B R' U
L R B2 D2 F L' U'
R L B2 D2 F L' U'
B L B R D F U'
B L B R D' F U'
B L B R D2 F U'
B L B R F U' D
B L B R F U' D'
B L B R F U' D2
B L B R F D U'
B L B R F D' U'
B L B R F D2 U'
B L B R' F R2 U'
B L B R2 F R' U'
B L B D R F U'
B L B D' R F U'
B L B D2 R F U'
B L B' R F B2 U'
B L B' R B2 F U'
B L B2 R F B' U'
B L B2 R B' F U'
F2 L' D B' R' U L2
F2 L' D2 F2 B' R' U
F2 L' D2 B' R' F2 U
F2 L' D2 B' F2 R' U
R L' B2 U2 B R' U
D2 L' F2 B' L' R' U
D2 L' F2 B' R' L' U
F2 L' B' R' U2 B' U'
D2 L' B' F2 L' R' U
D2 L' B' F2 R' L' U
B L2 B L' R F U'
B L2 B R L' F U'
B2 R L D2 F L' U'
B R L D' F U' L'
D R L F U' L F
D' R U R B L U2
D R U' L F L R
D R U' L F R L
B2 R U' D' F R F'
B2 R U' F D' R F'
B2 R U2 R B R' U
B R D' L F U' L'
B2 R D' U' F R F'
B2 R D2 L F L' U'
B R D2 L F B' U'
B R D2 L B' F U'
R U' L D F L2 R
R U' L D F R L2
R U' L F R D L2
R U' L F D L2 R
R U' L F D R L2
R U' L' D L2 F R
D R B L F U' L
B2 R B' L F B U'
B2 R B' L B F U'
R U' D L F L R
R U' D L F R L
U2 R B2 U2 B' R' U
U R B2 U B' L U2
U2 R' F' L' R2 B2 U'
U2 R' F' L' B2 R2 U'
U2 R' F' R2 L' B2 U'
U2 R' F' R2 B2 L' U'
U2 R' F' B2 L' R2 U'
U2 R' F' B2 R2 L' U'
R2 U2 R' F' L' B2 U'
R2 U2 R' F' B2 L' U'
R2 U2 R' B2 F' L' U'
U2 R' B2 F' L' R2 U'
U2 R' B2 F' R2 L' U'
R D L F U' L F
R D U' L F L R
R D U' L F R L
R D B L F U' L
L' D2 F2 B' L' R' U
L' D2 F2 B' R' L' U
L' D2 B' F2 L' R' U
L' D2 B' F2 R' L' U
B D L B R F U'
F2 D L' B' R' U L'
R F B L F B U'
R F B L B F U'
B2 D' L R F U' F2
B D' L B R F U'
B2 D' R L F U' F2
B2 D' R U' F R F2
B2 D' R F2 U' F R
R F' B L F B U'
R F' B L B F U'
D2 F2 L' R B' R' U
D2 F2 L' R' B' R' U
D2 F2 L' R2 B' R' U
D2 F2 L' D B' R' U
D2 F2 L' D' B' R' U
D2 F2 L' D2 B' R' U
D2 F2 L' B' R' U D
D2 F2 L' B' R' U D'
D2 F2 L' B' R' U D2
D2 F2 L' B' R' D U
D2 F2 L' B' R' D' U
D2 F2 L' B' R' D2 U
D2 F2 L' B' D R' U
D2 F2 L' B' D' R' U
D2 F2 L' B' D2 R' U
D2 F2 R L' B' R' U
D F2 L' B' R' U L'
D2 F2 R' L' B' R' U
D2 F2 R2 L' B' R' U
B2 D2 L R F L' U'
D2 F2 D L' B' R' U
B D2 L B R F U'
F2 D2 L' F2 B' R' U
F2 D2 L' B' R' F2 U
F2 D2 L' B' F2 R' U
D2 F2 D' L' B' R' U
B2 D2 R L F L' U'
D2 F2 D2 L' B' R' U
D2 F2 B' L' R' B' U
D2 F2 B' R' L' B' U
R F2 B L F B U'
R F2 B L B F U'
R' B L F B R2 U'
R' B L B R2 F U'
R' B L B F R2 U'
D B L R F U' L
R B L D F B U'
R B L D B F U'
R B L D' F B U'
R B L D' B F U'
R B L D2 F B U'
R B L D2 B F U'
R B L F D B U'
R B L F D' B U'
R B L F D2 B U'
R B L F B U' D
R B L F B U' D'
R B L F B U' D2
R B L F B D U'
R B L F B D' U'
R B L F B D2 U'
R B L B D F U'
R B L B D' F U'
R B L B D2 F U'
R B L B F U' D
R B L B F U' D'
R B L B F U' D2
R B L B F D U'
R B L B F D' U'
R B L B F D2 U'
D B R L F U' L
R B L2 B L' F U'
F' B L F B R U'
F' B L B F R U'
R B D L F B U'
R B D L B F U'
R B D' L F B U'
R B D' L B F U'
R B D2 L F B U'
R B D2 L B F U'
R B F L F B U'
R B F L B F U'
R B F' L F B U'
R B F' L B F U'
R B F2 L F B U'
R B F2 L B F U'
L' B' R' U2 R2 B' U'
L' B' R' U2 B' R2 U'
L' B' R' D2 L2 F U
B F' L F B R U'
B F' L B F R U'
D2 B' F2 L' R' B' U
D2 B' F2 R' L' B' U
R B2 L D2 F L' U'
U2 B2 R' F' L' R2 U'
U B2 R U B U2 R'
U2 B2 R' F' R2 L' U'
L B2 R D2 F L' U'
R B2 U' D' F R F'
R B2 U' F D' R F'
R B2 U2 R B R' U
L B2 D' R F U' F2
R B2 D' U' F R F'
L B2 D2 R F L' U'
R B2 D2 L F L' U'
