U L' D R2 F
U L' D F R2
U2 L F2 U' L2 F
U L' R D R2 F
U L' R D F R2
U L' R' D R2 F
U L' R' D F R2
U L' R2 D R2 F
U L' R2 D R2 F
U L' R2 D F R2
U L' U F2 U' F'
U' L' D F R2 B
U L' D R' F R'
U L' D R2 D F
U L' D R2 D' F
U L' D R2 D2 F
U L' D R2 F D
U L' D R2 F D'
U L' D R2 F D2
U L' D F R2 D
U L' D F R2 D'
U L' D F R2 D2
U L' D F' R2 F2
U L' D' F D2 R2
U L' D2 F D' R2
U L' F U F U'
U L2 D L R2 F
U L2 D L F R2
U L2 D R2 L F
R' U L' D R2 F
R' U L' D F R2
R2 U L' D R2 F
R2 U L' D F R2
R U L' D R2 F
R U L' D F R2
U R L' D R2 F
U R L' D F R2
D2 R B2 U L' F'
U R' L' D R2 F
U R' L' D F R2
U R2 L' D R2 F
U R2 L' D F R2
B' U L' D R2 F
B' U L' D F R2
B2 U L' D R2 F
B2 U L' D F R2
B U L' D R2 F
B U L' D F R2
U D R2 D' L' F
D U R2 D' L' F
L2 D' L F B2 R'
L2 D' L B2 R' F
L2 D' L B2 F R'
L F2 R U' L2 F
U2 F2 U' F2 L' F
D2 B2 R U L' F'
D2 B2 U D2 L' F
D2 B2 D2 U L' F
U L U F2 U' L2 F
U2 L U' L2 D R2 F
U2 L U' L2 D F R2
L2 R D' L F B2 R'
L2 R D' L B2 R' F
L2 R D' L B2 F R'
U' L U' F2 U' L2 F
U' L U2 L2 D R2 F
U' L U2 L2 D F R2
U L D R2 D' L2 F
R' L F2 R U' L2 F
R2 L F2 R U' L2 F
L R F2 R U' L2 F
R L F2 R U' L2 F
U L F' L2 F D R2
U2 L F2 L' U' L' F
B' L F2 R U' L2 F
B2 L F2 R U' L2 F
B L F2 R U' L2 F
U2 L F2 U B' U2 L2
U2 L F2 U' L2 D F
U2 L F2 U' L2 D' F
U2 L F2 U' L2 D2 F
U2 L F2 U' L2 F D
U2 L F2 U' L2 F D'
U2 L F2 U' L2 F D2
U2 L F2 U' F L2 F
U2 L F2 U' F' L2 F
U2 L F2 U' F2 L2 F
U' L B' U' F2 U' L2
U' L B' U2 L2 D R2
U' L' R D F R2 B
U L' R U F2 U' F'
U L' R D R' F R'
U L' R D R2 D F
U L' R D R2 D' F
U L' R D R2 D2 F
U L' R D R2 F D
U L' R D R2 F D'
U L' R D R2 F D2
U L' R D F R2 D
U L' R D F R2 D'
U L' R D F R2 D2
U L' R D F' R2 F2
U L' R D' F D2 R2
U L' R D2 F D' R2
U L' R F U F U'
U' L' R' D F R2 B
U L' R' U F2 U' F'
U L' R' D R' F R'
U L' R' D R2 D F
U L' R' D R2 D' F
U L' R' D R2 D2 F
U L' R' D R2 F D
U L' R' D R2 F D'
U L' R' D R2 F D2
U L' R' D F R2 D
U L' R' D F R2 D'
U L' R' D F R2 D2
U L' R' D F' R2 F2
U L' R' D' F D2 R2
U L' R' D2 F D' R2
L2 R' D' L F B2 R'
U L' R' F U F U'
L2 R' D' L B2 R' F
L2 R' D' L B2 F R'
U' L' R2 D F R2 B
U2 L' R2 D R2 F B2
U2 L' R2 D R2 B2 F
U2 L' R2 D F R2 B2
U2 L' R2 D F B2 R2
U2 L' R2 D B2 R2 F
U L' R2 U F2 U' F'
U2 L' R2 D B2 F R2
U L' R2 D R' F R'
U L' R2 D R2 D F
U L' R2 D R2 D' F
U L' R2 D R2 D2 F
U L' R2 D R2 F D
U L' R2 D R2 F D'
U L' R2 D R2 F D2
U L' R2 D F R2 D
U L' R2 D F R2 D'
U L' R2 D F R2 D2
U L' R2 D F' R2 F2
U L' R2 D' F D2 R2
U L' R2 D2 F D' R2
U L' R2 F U F U'
U L' U F2 L U' F'
U L' U F2 L' U' F'
U L' U F2 L2 U' F'
U L' U F2 U' D F'
U L' U F2 U' D' F'
U L' U F2 U' D2 F'
U L' U F2 U' F' D
U L' U F2 U' F' D'
U L' U F2 U' F' D2
U L' U F2 D U' F'
U L' U F2 D' U' F'
U L' U F2 D2 U' F'
U L' U' D2 B2 U F
U L' U2 D' L2 B' U2
L R' F2 R U' L2 F
U2 L' D R2 D F B2
U2 L' D R2 D B2 F
U2 L' D R2 F D B2
U L' D R D R F
U L' D R D' R F
U L' D R D2 R F
U' L' D F R2 D B
U' L' D F R2 D' B
U' L' D F R2 D2 B
U' L' D F R2 B D
U' L' D F R2 B D'
U' L' D F R2 B D2
U' L' D F B R2 B
U' L' D F B' R2 B
U' L' D F B2 R2 B
U L' D R' D R' F
U2 L' D F R2 D B2
U L' D R' D F R'
U L' D R' D' R' F
U L' D R' D' F R'
U L' D R' D2 R' F
U L' D R' D2 F R'
U L' D R' F R' D
U L' D R' F R' D'
U L' D R' F R' D2
U L' D R' F D R'
U L' D R' F D' R'
U L' D R' F D2 R'
U L' D R' F' R' F2
U L' D R2 D F D
U L' D R2 D F D'
U L' D R2 D F D2
U L' D R2 D' F D
U L' D R2 D' F D'
U L' D R2 D' F D2
U L' D R2 D2 F D
U L' D R2 D2 F D'
U L' D R2 D2 F D2
U L' D R2 F2 D F'
U L' D R2 F2 D' F'
U L' D R2 F2 D2 F'
U' L' D B F R2 B
U' L' D B' F R2 B
U L' D F R D R
U L' D F R D' R
U L' D F R D2 R
U L' D F R' D R'
U L' D F R' D' R'
U L' D F R' D2 R'
U' L' D B2 F R2 B
U L' D F B R2 B'
U L' D F B2 R2 B2
U L' D F' R' F2 R'
U L' D F' R2 F2 D
U L' D F' R2 F2 D'
U L' D F' R2 F2 D2
U' L' D' L2 U2 L2 F
U L' D B R2 F B'
U L' D B R2 B' F
U' L' D' L2 B' U2 L2
U L' D B F R2 B'
U L' D B2 R2 F B2
U L' D B2 R2 B2 F
U L' D B2 F R2 B2
U L' D' R D2 R2 F
U L' D' R D2 F R2
U L' D' R F D2 R2
U' L' D' F D2 R2 B
U L' D' R' D2 R2 F
U L' D' R' D2 F R2
U L' D' R' F D2 R2
U L' D' R2 D2 R2 F
U L' D' R2 D2 F R2
U L' D' R2 F D2 R2
U L' D' U2 L2 B' U2
U L' D' F R D2 R2
U L' D' F R' D2 R2
U L' D' F R2 D2 R2
U L' D' F U2 L2 U2
U L' D' F D2 R2 D
U L' D' F D2 R2 D'
U L' D' F D2 R2 D2
U L' D' F2 D2 F' R2
U' L' D2 F D' R2 B
U L' D2 R D' R2 F
U L' D2 R D' F R2
U L' D2 R F D' R2
U L' D2 R' D' R2 F
U L' D2 R' D' F R2
U L' D2 R' F D' R2
U L' D2 R2 D' R2 F
U L' D2 R2 D' F R2
U L' D2 R2 F D' R2
U L' D2 U' B2 U F
U L' D2 F R D' R2
U L' D2 F R' D' R2
U L' D2 F R2 D' R2
U L' D2 F U' B2 U
U L' D2 F D' R2 D
U L' D2 F D' R2 D'
U L' D2 F D' R2 D2
U L' D2 F2 D' F' R2
U L' F R U F U'
U L' F R' U F U'
U L' F R2 U F U'
U L' F U D F U'
U L' F U D' F U'
U L' F U D2 F U'
U L' F U F U' D
U L' F U F U' D'
U L' F U F U' D2
U L' F U F D U'
U L' F U F D' U'
U L' F U F D2 U'
U L' F D U F U'
U L' F D' U F U'
U L' F D2 U F U'
U L' F' U F' U' F'
U2 L' F2 L U' L' F'
U2 L' F2 L' U' L F'
U2 L' F2 L' U' F' L
U2 L' F2 L2 U' L2 F'
U2 L' F2 L2 U' F' L2
U' L' B D F R2 B
U L' B D R2 F B'
U L' B D R2 B' F
U L' B D F R2 B'
U L' B D F B' R2
U L' B D B' R2 F
U L' B D B' F R2
U' L' B' D F R2 B
R' L2 D' L F B2 R'
R' L2 D' L B2 R' F
R' L2 D' L B2 F R'
U L' B' D F B R2
U L' B' D B R2 F
U L' B' D B F R2
L2 R2 D' L F B2 R'
L2 R2 D' L B2 R' F
L2 R2 D' L B2 F R'
R2 L2 D' L F B2 R'
R2 L2 D' L B2 R' F
R2 L2 D' L B2 F R'
R L2 D' L F B2 R'
R L2 D' L B2 R' F
R L2 D' L B2 F R'
U' L' B2 D F R2 B
U L2 R D L R2 F
U L2 R D L F R2
U L2 R D R2 L F
U L2 R' D L R2 F
U L2 R' D L F R2
U L2 R' D R2 L F
U L2 R2 D L R2 F
U L2 R2 D L F R2
U L2 R2 D R2 L F
L R2 F2 R U' L2 F
U L2 U F2 U' L F
U' L2 D L F R2 B
U L2 D L R' F R'
U L2 D L R2 D F
U L2 D L R2 D' F
U L2 D L R2 D2 F
U L2 D L R2 F D
U L2 D L R2 F D'
U L2 D L R2 F D2
U L2 D L F R2 D
U L2 D L F R2 D'
U L2 D L F R2 D2
U L2 D L F' R2 F2
U L2 D R' L F R'
U L2 D R2 L D F
U L2 D R2 L D' F
U L2 D R2 L D2 F
U L2 D R2 L F D
U L2 D R2 L F D'
U L2 D R2 L F D2
U L2 D R2 D L F
U L2 D R2 D' L F
U L2 D R2 D2 L F
U L2 D R2 F L F
U L2 D R2 F' L F
U L2 D R2 F2 L F
B' L2 D' L F B2 R'
B' L2 D' L B2 R' F
B' L2 D' L B2 F R'
U' L2 D' L2 U2 L' F
U L2 D F L R2 F
U L2 D F L F R2
B2 L2 D' L F B2 R'
U L2 D F R2 L F
B2 L2 D' L B2 R' F
B2 L2 D' L B2 F R'
U L2 D F' L R2 F
U L2 D F' L F R2
U L2 D F' R2 L F
U L2 D F2 L R2 F
U L2 D F2 L F R2
U L2 D F2 R2 L F
B L2 D' L F B2 R'
B L2 D' L B2 R' F
B L2 D' L B2 F R'
R' U L' R D R2 F
R' U L' R D F R2
R' U L' R' D R2 F
R' U L' R' D F R2
R' U L' R2 D R2 F
R' U L' R2 D F R2
R' U L' U F2 U' F'
U L2 D2 L D' R2 F
U L2 D2 L D' F R2
U L2 D2 L F D' R2
R' U L' D R' F R'
R' U L' D R2 D F
R' U L' D R2 D' F
R' U L' D R2 D2 F
R' U L' D R2 F D
R' U L' D R2 F D'
R' U L' D R2 F D2
R' U L' D F R2 D
R' U L' D F R2 D'
R' U L' D F R2 D2
R' U L' D F' R2 F2
R' U L' D' F D2 R2
R2 U L' R D R2 F
R2 U L' R D F R2
R' U L' D2 F D' R2
R2 U L' R' D R2 F
R2 U L' R' D F R2
R' U L' F U F U'
R2 U L' R2 D R2 F
R2 U L' R2 D F R2
R2 U L' U F2 U' F'
R U L' R D R2 F
R U L' R D F R2
R U L' R' D R2 F
R U L' R' D F R2
R U L' R2 D R2 F
R U L' R2 D F R2
R2 U L' D R' F R'
R2 U L' D R2 D F
R2 U L' D R2 D' F
R2 U L' D R2 D2 F
R2 U L' D R2 F D
R2 U L' D R2 F D'
R2 U L' D R2 F D2
R2 U L' D F R2 D
R2 U L' D F R2 D'
R2 U L' D F R2 D2
R2 U L' D F' R2 F2
R U L' U F2 U' F'
R2 U L' D' F D2 R2
R2 U L' D2 F D' R2
R2 U L' F U F U'
R U L' D R' F R'
R U L' D R2 D F
R U L' D R2 D' F
