R' B' U' F' R U'
R' L U' F' L' R U'
R' L U' F' R L' U'
L R' U' F' L' R U'
L R' U' F' R L' U'
L2 R' U' F' R U' F2
R' L2 U' F' R U' F2
R' U' L2 F' R U' F2
R' U' F' L2 R U' F
R' U' F' R L2 U' F
R' U' F' R U B' U2
U' R' D B' U2 R' B
F' R' B' U' F' R2 U'
U' R' B' U2 D R' B
U' R' B' D U2 R' B
D R' B' U' F' U' B2
B2 R2 D' L F' R B'
B2 R2 D' L F' B' R
B2 R2 D' L B' F' R
B2 R2 D' F' L R B'
B2 R2 D' F' L B' R
B2 R2 D' F' R L B'
R2 D R F' B' L U2
R2 D R B' L F' U2
R2 D R B' F' L U2
U' D R' B' U2 R' B2
R2 D B' L R F' U2
R2 D B' R L F' U2
R2 D B' R F' L U2
D U' R' B' U2 R' B2
F2 U' R' F' B' U2 R'
F2 U' R' B' F' U2 R'
R' F B' U' F2 R U'
R' F' R U R' B' U2
R' F' B' U' R U' R'
R' B' L U' F' R U'
R' B' L' U' F' R U'
R' B' L2 U' F' R U'
R2 B' R U' F' R U'
R' B' U' F' R U' D
R' B' U' F' R U' D'
R' B' U' F' R U' D2
R' B' U' F' R D U'
R' B' U' F' R D' U'
R' B' U' F' R D2 U'
R' B' U' F' D R U'
R' B' U' F' D' R U'
R' B' U' F' D2 R U'
R' B' F U' F2 R U'
R' B' F' U' R U' R'
