U2 L F U R U2
R' U2 L F' U' L'
R' U2 F' L U' L2
U2 F' L F U' L2
U2 F2 L F U' L'
R B2 R' B' U L
U2 L D F U R U2
U2 L D' F U R U2
U2 L D2 F U R U2
U2 L F U R U2 D
U2 L F U R U2 D'
U2 L F U R U2 D2
U2 L F U R D U2
U2 L F U R D' U2
U2 L F U R D2 U2
U2 L F U D R U2
U2 L F U D' R U2
U2 L F U D2 R U2
U2 L F U' F2 L' F2
U2 L F U2 F2 U L'
U2 L F D U R U2
U2 L F D' U R U2
U2 L F D2 U R U2
U2 L F B U R U2
U2 L F B' U R U2
U2 L F B2 U R U2
U2 L F' U' L' D R2
U2 L F' U' D L' R2
U2 L F' U' D R2 L'
U2 L F' D U' L' R2
U2 L F' D U' R2 L'
U2 L B F U R U2
U2 L B' F U R U2
U2 L B2 F U R U2
U2 L' F' L2 F U' L
U2 L' F2 L2 F U' L'
U R U L F B U'
U R U L B F U'
B2 R B R2 U' R U2
B2 R B R2 F2 U L'
B' R B' R' B2 U L
D2 R B2 R' B' U L
D' R B2 R' B' U L
F' R B2 R' B' U L
F2 R B2 R' B' U L
D R B2 R' B' U L
F R B2 R' B' U L
D2 R' U2 L F' U' L'
D' R' U2 L F' U' L'
F' R' U2 L F' U' L'
F2 R' U2 L F' U' L'
D' R' U2 F' L U' L2
D2 R' U2 F' L U' L2
D R' U2 L F' U' L'
B' R' U2 F' L' U' L
F' R' U2 F' L U' L2
F R' U2 L F' U' L'
B2 R' U2 F' B' U' L
F2 R' U2 F' L U' L2
B2 R' U2 B' F' U' L
D R' U2 F' L U' L2
F R' U2 F' L U' L2
R' U2 L D F' U' L'
R' U2 L D' F' U' L'
R' U2 L D2 F' U' L'
R' U2 L F' U' L' D
R' U2 L F' U' L' D'
R' U2 L F' U' L' D2
R' U2 L F' U' D L'
R' U2 L F' U' D' L'
R' U2 L F' U' D2 L'
R' U2 L F' D U' L'
R' U2 L F' D' U' L'
R' U2 L F' D2 U' L'
R' U2 L F' B U' L'
R' U2 L F' B' U' L'
R' U2 L F' B2 U' L'
R' U2 L B F' U' L'
R' U2 L B' F' U' L'
R' U2 L B2 F' U' L'
R U2 L U2 B U L
R' U2 L' F' L2 U' L
L U2 L' F' B' U L'
L U2 L' B' F' U L'
R' U2 D L F' U' L'
R' U2 D F' L U' L2
B2 R' B' U2 F' U' L
R' U2 D' L F' U' L'
R' U2 D' F' L U' L2
B2 R' B2 U2 F' U' L'
R' U2 D2 L F' U' L'
R' U2 D2 F' L U' L2
R' U2 F L F2 U' L'
R' U2 F' L U' L2 D
R' U2 F' L U' L2 D'
R' U2 F' L U' L2 D2
R' U2 F' L D' B2 U'
R' U2 F' L B U' L2
R' U2 F' L B' U' L2
R' U2 F' L B2 U' L2
R' U2 F' U' L' D F2
R' U2 F' D L U' L2
R' U2 F' D' L U' L2
R' U2 F' D2 L U' L2
B2 R2 D' R F' U R
R' D U2 L F' U' L'
R' D U2 F' L U' L2
U2 D L F U R U2
B U L D' F R F'
B U L F D' R F'
B U L2 D L' F R
B U D L' F L2 R
B U D L' F R L2
U2 D F' L F U' L2
B U D' L F R F'
R D B2 R' B' U L
B U D' F L R F'
B U D' F R L F'
B U D' F R F' L
U2 D F2 L F U' L'
B U F L D' R F'
B U F D' L R F'
B U F D' R L F'
B U F D' R F' L
U2 D' L F U R U2
R' D' U2 L F' U' L'
B' U' L R' U2 F R
R' D' U2 F' L U' L2
B' U' L' R' B' U2 R'
B' U' R' L U2 F R
B' U' R' L' B' U2 R'
B' U' R' B L U2 F
B' U' R' B' U2 R' F'
U2 D' F' L F U' L2
U2 D' F2 L F U' L'
R D' B2 R' B' U L
D' U2 L F U R U2
D2 U2 L F U R U2
U2 D2 L F U R U2
D U2 L F U R U2
R' D2 U2 L F' U' L'
R' D2 U2 F' L U' L2
F' U2 L F U R U2
F2 U2 L F U R U2
D' U2 F' L F U' L2
D2 U2 F' L F U' L2
F U2 L F U R U2
U2 D2 F' L F U' L2
D' U2 F2 L F U' L'
D2 U2 F2 L F U' L'
D U2 F' L F U' L2
U2 D2 F2 L F U' L'
D U2 F2 L F U' L'
R D2 B2 R' B' U L
F' U2 F' L F U' L2
F2 U2 F' L F U' L2
F' U2 F2 L F U' L'
F2 U2 F2 L F U' L'
F U2 F' L F U' L2
U F R U L B U'
F U2 F2 L F U' L'
B D U L' F L2 R
B D U L' F R L2
U2 F' L D' F B2 U'
U2 F' L D' B2 F U'
U2 F' L F U' L2 D
U2 F' L F U' L2 D'
U2 F' L F U' L2 D2
U2 F' L F D' B2 U'
U2 F' L F B U' L2
U2 F' L F B' U' L2
U2 F' L F B2 U' L2
U2 F' L B F U' L2
R F B2 R' B' U L
U2 F' L B' F U' L2
U2 F' L B2 F U' L2
U2 F' D L F U' L2
U2 F' D' L F U' L2
B2 D' R F' B R2 U
B2 D' R B F' R2 U
U2 F' D2 L F U' L2
B2 D' R' U2 F' B U'
B2 D' R' U2 B F' U'
B D' U L F R F'
B D' U F L R F'
B D' U F R L F'
B D' U F R F' L
U2 F2 L F U' L' D
U2 F2 L F U' L' D'
U2 F2 L F U' L' D2
U2 F2 L F U' D L'
U2 F2 L F U' D' L'
U2 F2 L F U' D2 L'
U2 F2 L F D U' L'
U2 F2 L F D' U' L'
U2 F2 L F D2 U' L'
U2 F2 L F B U' L'
U2 F2 L F B' U' L'
U2 F2 L F B2 U' L'
U2 F2 L B F U' L'
U2 F2 L B' F U' L'
U2 F2 L B2 F U' L'
R F' B2 R' B' U L
L2 F2 L2 R B U L
L2 F2 R L2 B U L
L2 F2 R B L2 U L'
U2 F2 D' L F B' U'
U2 F2 D' L B' F U'
R F2 B2 R' B' U L
B D2 F2 U L F R
R B U L2 D L' F
R B U D L' F L2
L B U2 L' B' U L2
R B D U L' F L2
R B D' R U L F'
R B D' R U F' L
R B D2 F' R U L
R B D2 F2 U L F
R2 B2 R' B U' R' U2
R B2 R B' R2 U L
R B2 R' F B' U L
R B2 R' F' B' U L
R B2 R' F2 B' U L
R B2 R' B' U L D
R B2 R' B' U L D'
R B2 R' B' U L D2
R B2 R' B' U D L
R B2 R' B' U D' L
R B2 R' B' U D2 L
R B2 R' B' D U L
R B2 R' B' D' U L
R B2 R' B' D2 U L
R B2 R' B' F U L
R B2 R' B' F' U L
R B2 R' B' F2 U L
R B2 R2 B' R U L
L B2 U2 L' B' U L
R B2 F R' B' U L
R B2 F' R' B' U L
R B2 F2 R' B' U L
