B' L U R F L'
B L R F L' D B2
D L R F D' B' L2
B L R F D L' B2
D L R F B' D' L2
B L R F D B2 L'
B' L R' U R2 F L'
B' L R' U F L' R2
B' L R' U F R2 L'
D L R B' F D' L2
B L R' U' R2 F L'
B L R' U' F L' R2
B L R' U' F R2 L'
B' L R2 U R' F L'
B' L R2 U F L' R'
B' L R2 U F R' L'
B' L U R F L' D
B' L U R F L' D'
B' L U R F L' D2
B' L U R F D L'
B' L U R F D' L'
B' L U R F D2 L'
B' L U R' F L' R2
B' L U R' F R2 L'
B2 L U R F L' B
B2 L U R F B L'
B2 L U R B F L'
B' L U R2 F L' R'
B' L U R2 F R' L'
B2 L U' R F L' B'
D L D R F B' L
D L D R B' F L
R2 L F L' D' R' B
L R F L2 D L B'
R L F L2 D L B'
D L D B' R F L
L R F D L B' L2
R2 L F D' L' R' B
R2 L F D' R' L' B
R2 L F D' R' B L'
R L F D L B' L2
D L D' R F B' L'
D L D' R B' F L'
L R F B' L' D' B2
R L F B' L' D' B2
D L D' B' R F L'
L R B' F L' D' B2
R L B' F L' D' B2
B' L B U R F L'
D L B' R F D' L2
B' L B' U R F L'
D L B' D' R F L'
B' L B2 U R F L'
F2 L' B' U L F U
L R2 F L' D' R' B
L R2 F D' L' R' B
L R2 F D' R' L' B
L R2 F D' R' B L'
B R L F L' D B2
D R L F D' B' L2
D R L F B' D' L2
B R L F D L' B2
B R L F D B2 L'
D R L B' F D' L2
D2 R B' D' L F B'
D2 R B' D' L B' F
B' R' L U R2 F L'
B' R' L U F L' R2
B' R' L U F R2 L'
B R' L U' R2 F L'
B R' L U' F L' R2
B R' L U' F R2 L'
B' R2 L U R' F L'
B' R2 L U F L' R'
B' R2 L U F R' L'
R D L D F B' L
R D L D B' F L
R D L D' F B' L'
R D L D' B' F L'
R D L F D B' L
R D L B' D' F L'
R D2 B' D' L F B'
R D2 B' D' L B' F
F2 D L' F R B' U2
F2 D L' F B' R U2
F2 D L' B' F R U2
R F D L F B' L2
R F D L B' F L2
F' D' R F' L' B' U2
F' D' R F' L' B' U2
L B R F L' D B2
L B R F D L' B2
L B R F D B2 L'
L B R' U' R2 F L'
L B R' U' F L' R2
L B R' U' F R2 L'
R' B' L U R2 F L'
R' B' L U F L' R2
R' B' L U F L' R2
R' B' L U F R2 L'
D2 B' R D' L F B'
D2 B' R D' L B' F
L B' R F L' D' B2
D2 B' D' L R F B'
D2 B' D' L R B' F
D2 B' D' L B' R F
D2 B' D' R L F B'
D2 B' D' R L B' F
L B2 U R F L' B
L B2 U R F B L'
L B2 U R B F L'
L B2 U' R F L' B'
