F L U F U R F2
L2 R D' B' L D' R2
L2 R D' B' D' L R2
L2 R D' B' D' R2 L
L' R' U F' B' R' U'
R' L' U F' B' R' U'
L' R' U B' F' R' U'
R' L' U B' F' R' U'
F L' U' B' U' F' R'
R L2 D' B' L D' R2
R L2 D' B' D' L R2
R L2 D' B' D' R2 L
L' U F B' R' U' R2
F R U B U L F
L' U B' R' F U' R
L' U B' F R' U' R2
F2 U F' L' U2 F' L'
F' U F2 U2 F' L' R
F' U F2 U2 F' R L'
L2 D' R B' L D' R2
L2 D' R B' D' L R2
L2 D' R B' D' R2 L
R' F U' F2 U' F L'
R F U B U L F'
R F U B U F' L
R' F' U F2 U2 F' L'
R B' L2 D' R2 B' L
R B' L2 D' B' L R2
R B' L2 D' B' R2 L
