L' R D2 F L' U'
R L' D2 F L' U'
D' R U' D2 F' R
D' R D2 U' F' R
D2 R F L' F2 U'
D2 R F' U2 R U
L' D' R F U' F2
L' D2 R F L' U'
D' L R U' D2 F' R
D' L R D2 U' F' R
D2 L R F L' F2 U'
D2 L R F' U2 R U
L2 R U' D' F R F'
L2 R U' F D' R F'
L2 R U2 R B R' U
L R U2 B R' B2 U
L' R D L' U' F R
L R U2 B' U2 L U'
R L U2 B R' B2 U
R L U2 B' U2 L U'
L' R D F L' U' F
L2 R D' U' F R F'
L2 R D2 L F L' U'
L R D2 L2 F L' U'
R L D2 L2 F L' U'
L' R D2 F L' U' D
L' R D2 F L' U' D'
L' R D2 F L' U' D2
L' R D2 F L' D U'
L' R D2 F L' D' U'
L' R D2 F L' D2 U'
L' R D2 F D L' U'
L' R D2 F D' L' U'
L' R D2 F D2 L' U'
L' R F D L' U' F
L' R F B' L B U'
L2 R B' L F B U'
L2 R B' L B F U'
L' R B' F L B U'
B' L B R U' D' R2
B' L B R U2 B2 U
B' L B R D' U' R2
B' L B R D2 F2 U'
B' L B D' R U' R
B' L B D2 R F2 U'
U2 L B' U2 L R U'
U2 L B' U2 R L U'
D' L' R U' D2 F' R
D L' R U' F' R F2
D2 L' R F L' F2 U'
D' L' R D2 U' F' R
D2 L' R F' U2 R U
D L' R F' U' R F2
R L' D L' U' F R
R L' D F L' U' F
R2 L' D2 R' F L' U'
R2 L' D2 F L' R' U'
R2 L' D2 F R' L' U'
R L' D2 F L' U' D
R L' D2 F L' U' D'
R L' D2 F L' U' D2
R L' D2 F L' D U'
R L' D2 F L' D' U'
R L' D2 F L' D2 U'
R L' D2 F D L' U'
R L' D2 F D' L' U'
R L' D2 F D2 L' U'
R L' F D L' U' F
R L' F B' L B U'
D L' D R F' U' F2
F' L' D' F R U' F'
F' L' D2 F L' R U'
F' L' D2 F R L' U'
R L' B' F L B U'
F' L' F D' R U' F'
D L' F' U' R F2 B
D L' F' U' R B F2
R L2 U' D' F R F'
R L2 U' F D' R F'
B' L' B R F L2 U'
R L2 U2 R B R' U
R L2 D' U' F R F'
D' L2 R U' D2 F' R
L' R2 D2 R' F L' U'
D' L2 R D2 U' F' R
D2 L2 R F L' F2 U'
L' R2 D2 F L' R' U'
D2 L2 R F' U2 R U
L' R2 D2 F R' L' U'
R L2 D2 L F L' U'
R L2 B' L F B U'
R L2 B' L B F U'
D' R L U' D2 F' R
D2 R L F L' F2 U'
D' R L D2 U' F' R
D2 R L F' U2 R U
D' R L' U' D2 F' R
D2 R L' F L' F2 U'
D' R L' D2 U' F' R
D2 R L' F' U2 R U
D R L' U' F' R F2
D' R L2 U' D2 F' R
D R L' F' U' R F2
D2 R L2 F L' F2 U'
D' R L2 D2 U' F' R
D2 R L2 F' U2 R U
D' R U B U2 F' R'
D' R U B' L U2 F'
D' R U' D2 F' R D
D' R U' D2 F' R D'
D' R U' D2 F' R D2
D' R U' D2 F' D R
D' R U' D2 F' D' R
D' R U' D2 F' D2 R
D' R U' F' B R' B'
D' R U' B F' R' B'
D R U' F' D2 R F'
D' R U2 B U F' R'
D' R D L' F U' F2
D2 R D' L' F' U' F2
D2 R D' F' L' U' F
D' R D2 L U' F' R
D' R D2 L' U' F' R
D' R D2 L2 U' F' R
D' R D2 U' F' R D
D' R D2 U' F' R D'
D' R D2 U' F' R D2
D' R D2 U' F' D R
D' R D2 U' F' D' R
D' R D2 U' F' D2 R
D' R D2 F U' F2 R
D2 R F L F2 L2 U'
D2 R F L' U' D R2
D2 R F L' D U' R2
D2 R F L' F2 U' D
D2 R F L' F2 U' D'
D2 R F L' F2 U' D2
D2 R F L' F2 D U'
D2 R F L' F2 D' U'
D2 R F L' F2 D2 U'
D2 R F L2 F2 L U'
D2 R F D L' U' R2
D R F U L' U2 F
D2 R F' L U2 R U
D2 R F' L' U2 R U
D2 R F' L2 U2 R U
D2 R F' U2 R U D
D2 R F' U2 R U D'
D2 R F' U2 R U D2
D2 R F' U2 R D U
D2 R F' U2 R D' U
D2 R F' U2 R D2 U
D2 R F' U2 D R U
D2 R F' U2 D' R U
D2 R F' U2 D2 R U
D R F' L' U' R F
D2 R F' D U2 R U
D2 R F' D' U2 R U
D2 R F' D2 U2 R U
D R F' U' D2 R F'
D R F' D2 U' R F'
R U' D F' D2 R F'
R U' D' R D2 F' R
D2 R' F L' R2 F' U'
D2 R' F R2 L' F' U'
D2 R' F2 R2 F' L' U'
R U2 B D2 R' B U
L U2 B' U2 L R U'
L U2 B' U2 R L U'
R2 U2 B2 L B' R' U
D' R2 D2 R' U' F' R
L' D L' R U' F R
D2 R2 F L' R' F' U'
D2 R2 F R' L' F' U'
R D L' U' F' R F2
R D L' F' U' R F2
L' D R L' U' F R
L' D R D F L' U'
L' D R F L' U' F
D2 R2 F2 R' F' L' U'
U2 R2 B2 L B' R' U
R D U' F' D2 R F'
R D F U L' U2 F
R D F' L' U' R F
R D F' U' D2 R F'
R D F' D2 U' R F'
L2 D' L R F U' F2
L' D' R U' F' D R2
L D' L2 R F U' F2
L' D' R D F U' F2
L' D' R D' F U' F2
L' D' R D2 F U' F2
L' D' R F L U' F2
L' D' R F L' U' F2
L' D' R F L2 U' F2
L2 D' R L F U' F2
L' D' R F U' F2 D
L' D' R F U' F2 D'
L' D' R F U' F2 D2
L' D' R F D' L2 U'
L2 D' R U' F R F2
L2 D' R F2 U' F R
L D' R L2 F U' F2
L' D' R' F R2 U' F'
L D' R U2 B' U F'
R2 D' R' U B U2 R'
L' D' R2 F R' U' F'
R D' U' R D2 F' R
F' U' D' R F' B R'
F' U' D' R B F' R'
L2 D2 L R F L' U'
L D2 L2 R F L' U'
L2 D2 R L F L' U'
L' D2 R F L' U' D
L' D2 R F L' U' D'
L' D2 R F L' U' D2
L' D2 R F L' D U'
L' D2 R F L' D' U'
L' D2 R F L' D2 U'
L' D2 R F D L' U'
L' D2 R F D' L' U'
L' D2 R F D2 L' U'
L' D2 R' F L' R2 U'
L' D2 R' F R2 L' U'
L D2 R L2 F L' U'
L' D2 R2 F L' R' U'
L' D2 R2 F R' L' U'
R D2 F D2 L' F U'
D2 F L' R F' R U'
D2 F L' F' R F' U'
D2 F R L' F' R U'
R F L' D2 F L' U'
F' U2 B L R' B' U
F' U2 B R' L B' U
D F' L' U' R F B
D F' L' U' R B F
R F' L' D2 F L' U'
D' F' U' R F' B R'
D' F' U' R B F' R'
B' D' L B R U' R2
D F' U' D2 R F' B
D F' U' D2 R B F'
D F' D2 U' R F' B
D F' D2 U' R B F'
F' D' U' R F' B R'
F' D' U' R B F' R'
R F2 L' D2 F L' U'
B' D2 L B R F' U'
F' D2 F L' R F' U'
F' D2 F R L' F' U'
D' B R B' U' F' R2
F2 D2 F2 R F' L' U'
L2 B' L B R F U'
R B' L B U' D' R2
R B' L B U2 B2 U
R B' L B D' U' R2
R B' L B D2 F2 U'
R B' L' F L2 B U'
R B' L' F B L2 U'
R B' L' B F L2 U'
L B' U2 L B R U'
R B' D' L B U' R'
