F' L' F2 U R
F' L' F2 U R D
F' L' F2 U R D'
F' L' F2 U R D2
F' L' F2 U D R
F' L' F2 U D' R
F' L' F2 U D2 R
F' L' F2 D U R
F' L' F2 D' U R
F' L' F2 D2 U R
F' L' F2 B U R
F' L' F2 B' U R
F' L' F2 B2 U R
F' L' B F2 U R
F' L' B' F2 U R
F' L' B2 F2 U R
U' L2 U' B' R' U'
F L2 U2 R U' R'
L2 U2 B' R' U' R
F U' L2 U' R U'
F U2 R U L2 U2
F U2 R U' D2 R2
F U2 R D F2 U'
F U2 R D2 U' R2
F U2 D R F2 U'
F U2 D2 R U' R
D2 F U2 R U' R
D F U2 R F U'
D' F B2 U2 R U'
D2 F' L' F2 U R2
D' F' L' F2 B2 U
D' F' L' B2 F2 U
F D U2 R F2 U'
F' D' L' B2 U L'
D' F' B2 L' F2 U
F' D' B2 L' U L'
F D' B2 U2 R U'
F D2 U2 R U' R
F' B L' F2 U R
F' B' L' F2 U R
B' F' L' F2 U R
B2 F' L' F2 U R
B F' L' F2 U R
F' B2 L' F2 U R
D' B2 F U2 R U'
D' B2 F' L' F2 U
F L U R' D B2 R'
F' L U D' B2 L2 R'
F' L U D' B2 R' L2
F L U B2 R' D B2
F L U' L U' R U'
F L U2 R U L U2
F' L D' U B2 L2 R'
F' L D' U B2 R' L2
D2 L F' L' F U R2
D' L F' L' F B2 U
D' L F' L' B2 F U
D' L F' B2 L' F U
F' L F2 L2 U' L' U2
F' L F2 U D' B2 R'
F' L F2 D' U B2 R'
F' L F2 B2 L2 U R'
F' L B2 L2 F2 U R'
F L B2 U R' D B2
F L B2 U2 R U' R2
D' L B2 F' L' F U
F' L B2 F2 L2 U R'
F' L' R F2 R' U R2
F' L' R2 F2 R2 U R'
F' L' U' L' U F2 U
F' L' U' L' U2 D' L2
F' L' U' L' D R2 U2
F' L' U' L' D' U2 L2
F L' U' L' U' R U'
F' L' U' D L' R2 U2
F' L' U' D R2 L' U2
F' L' U' D' L' U2 L'
F L' U2 R U L' U2
F L' U2 R F2 U' R
F' L' D U' L' R2 U2
F' L' D U' R2 L' U2
F' L' D' U' L' U2 L'
F' L' D' F2 U L2 R
F' L' D' F2 U R L2
F' L' F D F U R
F' L' F D' F U R
F' L' F D2 F U R
F' L' F2 U R2 D R'
F' L' F2 U R2 D' R'
F' L' F2 U R2 D2 R'
F' L' F2 U D R D
F' L' F2 U D R D'
F' L' F2 U D R D2
F' L' F2 U D' R D
F' L' F2 U D' R D'
F' L' F2 U D' R D2
F' L' F2 U D2 R D
F' L' F2 U D2 R D'
F' L' F2 U D2 R D2
F' L' F2 U B R B'
F' L' F2 U B2 R B2
F' L' F2 U' L U2 R
F' L' F2 U' L' U2 R
F' L' F2 U' L2 U2 R
F' L' F2 D U R D
F' L' F2 D U R D'
F' L' F2 D U R D2
F' L' F2 D B U R
F' L' F2 D B' U R
F' L' F2 D B2 U R
F' L' F2 D' U R D
F' L' F2 D' U R D'
F' L' F2 D' U R D2
F' L' F2 D' B U R
F' L' F2 D' B' U R
F' L' F2 D' B2 U R
F' L' F2 D2 U R D
F' L' F2 D2 U R D'
F' L' F2 D2 U R D2
F' L' F2 D2 B U R
F' L' F2 D2 B' U R
F' L' F2 D2 B2 U R
F' L' F2 B U R D
F' L' F2 B U R D'
F' L' F2 B U R D2
F' L' F2 B U D R
F' L' F2 B U D' R
F' L' F2 B U D2 R
F' L' F2 B D U R
F' L' F2 B D' U R
F' L' F2 B D2 U R
F' L' F2 B' U R D
F' L' F2 B' U R D'
F' L' F2 B' U R D2
F' L' F2 B' U D R
F' L' F2 B' U D' R
F' L' F2 B' U D2 R
F' L' F2 B' D U R
F' L' F2 B' D' U R
F' L' F2 B' D2 U R
F' L' F2 B2 U R D
F' L' F2 B2 U R D'
F' L' F2 B2 U R D2
F' L' F2 B2 U D R
F' L' F2 B2 U D' R
F' L' F2 B2 U D2 R
F' L' F2 B2 D U R
F' L' F2 B2 D' U R
F' L' F2 B2 D2 U R
F' L' B F2 U R D
F' L' B F2 U R D'
F' L' B F2 U R D2
F' L' B F2 U D R
F' L' B F2 U D' R
F' L' B F2 U D2 R
F' L' B F2 D U R
F' L' B F2 D' U R
F' L' B F2 D2 U R
F' L' B' F2 U R D
F' L' B' F2 U R D'
F' L' B' F2 U R D2
F' L' B' F2 U D R
F' L' B' F2 U D' R
F' L' B' F2 U D2 R
F' L' B' F2 D U R
F' L' B' F2 D' U R
F' L' B' F2 D2 U R
F' L' B2 F2 U R D
F' L' B2 F2 U R D'
F' L' B2 F2 U R D2
F' L' B2 F2 U D R
F' L' B2 F2 U D' R
F' L' B2 F2 U D2 R
F' L' B2 F2 D U R
F' L' B2 F2 D' U R
F' L' B2 F2 D2 U R
U' L2 R U' B' U' B2
U' L2 R U2 B D L2
U' L2 R' F' U' B' U'
F' L2 U L F2 U F2
F' L2 U F2 L U F2
U' L2 U' R B' R' U'
U' L2 U' R' B' R' U'
U' L2 U' R2 B' R' U'
U' L2 U' D B' R' U'
U' L2 U' D' B' R' U'
U' L2 U' D2 B' R' U'
U' L2 U' B' R' U' D
U' L2 U' B' R' U' D'
U' L2 U' B' R' U' D2
U' L2 U' B' R' D U'
U' L2 U' B' R' D' U'
U' L2 U' B' R' D2 U'
U' L2 U' B' D R' U'
U' L2 U' B' D' R' U'
U' L2 U' B' D2 R' U'
U' L2 U2 L' D' B' L
F L2 U2 R U' R' D
F L2 U2 R U' R' D'
F L2 U2 R U' R' D2
F L2 U2 R U' D R'
F L2 U2 R U' D' R'
F L2 U2 R U' D2 R'
F L2 U2 R D U' R'
F L2 U2 R D' U' R'
F L2 U2 R D2 U' R'
F L2 U2 R F U' R'
F L2 U2 R F' U' R'
F L2 U2 R F2 U' R'
D2 L2 U2 B' R' U' R'
B' L2 U2 B' R' U' R
F L2 U2 D R U' R'
F L2 U2 D' R U' R'
F L2 U2 D2 R U' R'
B2 L2 U2 B' R' U' R
D L2 U2 F2 B' R' U'
D L2 U2 B' R' F2 U'
B L2 U2 B' R' U' R
D L2 U2 B' F2 R' U'
U' L2 D U' B' R' U'
F L2 D U2 R U' R'
U' L2 D' U' B' R' U'
F L2 D' U2 R U' R'
U' L2 D2 U' B' R' U'
F L2 D2 U2 R U' R'
U' L2 F U' B' R' U'
U' L2 F' U' B' R' U'
F2 L2 F' U2 R U' R'
F' L2 F2 L U' L' U2
U' L2 F2 U' B' R' U'
F L2 B U2 R U' R'
F L2 B' U2 R U' R'
F L2 B2 U2 R U' R'
F' R L' F2 R' U R2
U' R L2 U' B' U' B2
U' R L2 U2 B D L2
L U' L U' B' R' U'
L' U' L' R U2 B L
L' U' L' R' F' U2 L'
L' U' L' F R U2 B
L' U' L' F' U2 L' B'
L' U' R L' U2 B L
L' U' R' L' F' U2 L'
U' R' L2 F' U' B' U'
F R' D2 L2 R U R
