D' L2 D F R B2
D' L2 D F B2 R
D' L2 D B2 F R
D' L2 F D R B2
D' L2 F D B2 R
B' U F2 U B' R'
F2 U B2 R2 F' R
B' U2 D' B' L2 R'
B' U2 D' B' R' L2
B' U2 B' R' D' L2
B' U2 B' D' L2 R'
B' U2 B' D' R' L2
B' D R2 U2 B' R'
B' D' U2 B' L2 R'
B' D' U2 B' R' L2
L2 F2 U F' R B2
L2 F2 U F' B2 R
L2 F2 U B2 F' R
L2 B2 D' F L2 R
L2 B2 D' F R L2
D' L D L F R B2
D' L D L F B2 R
D' L D L B2 F R
L2 R F2 U F' R B2
L2 R F2 U F' B2 R
L2 R F2 U B2 F' R
L2 R B2 D' F L2 R
L2 R B2 D' F R L2
L2 R' F2 U F' R B2
L2 R' F2 U F' B2 R
L2 R' F2 U B2 F' R
L2 R' B2 D' F L2 R
L2 R' B2 D' F R L2
D' L2 R' F R D B2
D' L2 U R2 U' F R
R' L2 F2 U F' R B2
R' L2 F2 U F' B2 R
R' L2 F2 U B2 F' R
F2 L2 U F' R F2 B2
F2 L2 U F' R B2 F2
F2 L2 U F' B2 R F2
F2 L2 U B2 F' R F2
L2 R2 F2 U F' R B2
L2 R2 F2 U F' B2 R
L2 R2 F2 U B2 F' R
R2 L2 F2 U F' R B2
R2 L2 F2 U F' B2 R
R2 L2 F2 U B2 F' R
R L2 F2 U F' R B2
R L2 F2 U F' B2 R
R L2 F2 U B2 F' R
B' L2 U2 D' L2 B' R'
D' L2 D R F R B2
D' L2 D R F B2 R
D' L2 D R B2 F R
D' L2 D R' F R B2
D' L2 D R' F B2 R
D' L2 D R' B2 F R
D' L2 D R2 F R B2
D' L2 D R2 F B2 R
B' L2 D R2 F U2 R
D' L2 D R2 B2 F R
D' L2 D F R B2 D
D' L2 D F R B2 D'
D' L2 D F R B2 D2
D' L2 D F R' B2 R2
B' L2 D F R2 U2 R'
D' L2 D F B' R B'
D' L2 D F B2 R D
D' L2 D F B2 R D'
D' L2 D F B2 R D2
D' L2 D F B2 D R
D' L2 D F B2 D' R
D' L2 D F B2 D2 R
D' L2 D B' F R B'
D' L2 D B2 R F R
D' L2 D B2 R' F R
D' L2 D B2 R2 F R
D' L2 D B2 D F R
D' L2 D B2 D' F R
D' L2 D B2 D2 F R
D' L2 D B2 F R D
D' L2 D B2 F R D'
D' L2 D B2 F R D2
D' L2 D B2 F D R
D' L2 D B2 F D' R
D' L2 D B2 F D2 R
R' L2 B2 D' F L2 R
R' L2 B2 D' F R L2
L2 R2 B2 D' F L2 R
L2 R2 B2 D' F R L2
B' L2 D' U2 L2 B' R'
R2 L2 B2 D' F L2 R
R2 L2 B2 D' F R L2
B' L2 D' F U2 L2 R
B' L2 D' F U2 R L2
R L2 B2 D' F L2 R
R L2 B2 D' F R L2
D L2 D' F2 U F' R
D' L2 D2 F R D' B2
D' L2 D2 F D' R B2
D' L2 D2 F D' B2 R
D2 L2 F R D L2 B'
D' L2 F R U R U'
D' L2 F U R2 U' R'
D2 L2 F D L2 R B'
D2 L2 F D L2 B' R
D2 L2 F D R L2 B'
D' L2 F D R B2 D
D' L2 F D R B2 D'
D' L2 F D R B2 D2
D' L2 F D R' B2 R2
D' L2 F D B' R B'
D' L2 F D B2 R D
D' L2 F D B2 R D'
D' L2 F D B2 R D2
D' L2 F D B2 D R
D' L2 F D B2 D' R
D' L2 F D B2 D2 R
D' L2 F D' R D2 B2
D' L2 F D2 R D' B2
D' L2 F B D R B2
D' L2 F B D B2 R
D' L2 F B' D R B2
D' L2 F B' D B2 R
D' L2 F B2 D R B2
D' L2 F B2 D B2 R
F' L2 F B2 R' D' L2
F' L2 F B2 D' L2 R'
F' L2 F B2 D' R' L2
F' L2 F' U F2 B2 R'
F' L2 F' U B2 R' F2
F' L2 F' U B2 F2 R'
D' L2 B D F R B2
D' L2 B D F B2 R
D' L2 B D B2 F R
D' L2 B F D R B2
D' L2 B F D B2 R
D' L2 B' D F R B2
D' L2 B' D F B2 R
D' L2 B' D B2 F R
D' L2 B' F D R B2
D' L2 B' F D B2 R
F L2 B' U' R F B'
F L2 B' U' R B' F
F L2 B' U' B' R F
F' L2 B2 R' D' F L'
D' L2 B2 D F R B2
D' L2 B2 D F B2 R
D' L2 B2 D B2 F R
F L2 B2 R D' F L'
F' L2 B2 F R' D' L2
D' L2 B2 F D R B2
D' L2 B2 F D B2 R
F' L2 B2 F D' L2 R'
F' L2 B2 F D' R' L2
B' R U F2 U B' R'
