L2 R' U' F L2 R
L2 R' U' F R L2
R' L2 U' F L2 R
R' L2 U' F R L2
U L2 R' U' F R
U R' L2 U' F R
R D B2 R2 F' R
B2 L R2 B' U L' F'
B' L U B' L U L2
B2 L B' U L' D2 F2
B2 L B' U D2 L' F2
B2 L B' U' B2 U2 L'
L2 R' U' R F L2 R
L2 R' U' R F R L2
B2 L B' D' R2 U L'
L2 R' U' R' F L2 R
L2 R' U' R' F R L2
B2 L B' D2 U L' F2
L2 R' U' R2 F L2 R
L2 R' U' R2 F R L2
U' L B2 L B U F
L2 R' U' F L2 R D
L2 R' U' F L2 R D'
L2 R' U' F L2 R D2
L2 R' U' F L2 D R
L2 R' U' F L2 D' R
L2 R' U' F L2 D2 R
L2 R' U' F R L2 D
L2 R' U' F R L2 D'
L2 R' U' F R L2 D2
L2 R' U' F2 L2 F' R
R' L' D F L' U' L2
L' R' D F L' U' L2
U L' R' D F L' U'
U L' R' F L' U' F
L2 R' D' B2 U' F R
R' L' F L' U' F L2
L' R' F L' U' F L2
R' L' F U' L' F L2
L' R' F U' L' F L2
U L' D R' F L' U'
U L' D F L' R' U'
U L' D F R' L' U'
L2 R' B U' F L2 R
L2 R' B U' F R L2
L2 R' B' U' F L2 R
L2 R' B' U' F R L2
U L' F L' R' U' F
L2 R' B2 U' F L2 R
L2 R' B2 U' F R L2
U L' F R' L' U' F
R' L2 U' R F L2 R
R' L2 U' R F R L2
R' L2 U' R' F L2 R
R' L2 U' R' F R L2
R' L2 U' R2 F L2 R
R' L2 U' R2 F R L2
R' L2 U' F L2 R D
R' L2 U' F L2 R D'
R' L2 U' F L2 R D2
R' L2 U' F L2 D R
R' L2 U' F L2 D' R
R' L2 U' F L2 D2 R
R' L2 U' F R L2 D
R' L2 U' F R L2 D'
R' L2 U' F R L2 D2
R' L2 U' F2 L2 F' R
R' L2 D' B2 U' F R
F' L2 R' U' F L2 R
F' L2 R' U' F R L2
F2 L2 R' U' F L2 R
F2 L2 R' U' F R L2
F L2 R' U' F L2 R
F L2 R' U' F R L2
U L2 R' U' R F R
U L2 R' U' R' F R
U L2 R' U' R2 F R
U L2 R' U' D F R
U L2 R' U' D' F R
U L2 R' U' D2 F R
U L2 R' U' F R D
U L2 R' U' F R D'
U L2 R' U' F R D2
U L2 R' U' F D R
U L2 R' U' F D' R
U L2 R' U' F D2 R
U L2 R' D U' F R
U L2 R' D' U' F R
U L2 R' D2 U' F R
R' L2 B U' F L2 R
R' L2 B U' F R L2
U L2 U' F R D B2
U' L2 U2 R' F' U' F2
R' L2 B' U' F L2 R
R' L2 B' U' F R L2
R' L2 B2 U' F L2 R
R' L2 B2 U' F R L2
U L2 D R' U' F R
U L2 D' R' U' F R
U L2 D2 R' U' F R
R2 U L2 R U' F R
R U L2 R2 U' F R
R2 U R L2 U' F R
R U R2 L2 U' F R
F' R D B2 R2 F' R
F2 R D B2 R2 F' R
F R D B2 R2 F' R
D2 R F D B2 R2 F'
L2 U' F L2 R D B2
L2 U' F R L2 D B2
F' R' L2 U' F L2 R
F' R' L2 U' F R L2
U R' L' D F L' U'
F2 R' L2 U' F L2 R
F2 R' L2 U' F R L2
U R' L' F L' U' F
F R' L2 U' F L2 R
F R' L2 U' F R L2
U R' L2 U' R F R
U R' L2 U' R' F R
U R' L2 U' R2 F R
U R' L2 U' D F R
