U' L' R2 U L F'
U' L' R2 U F' L
U2 L' U' L B U2
F2 R U' R F' R2
R2 U2 L' U F' R2
U' R2 L' U L F'
U' R2 L' U F' L
R2 D' F2 R U' F
L D' B2 D L2 F
L D2 R2 U' F' R2
R2 F2 R U' R F
R F2 R U' F' R2
U2 B U L' U L
F2 L R U' R F' R2
R2 L U' F' R2 D' B2
R2 L U2 L2 U F' R2
R2 L D' F2 U' F B2
R2 L D' F2 U' B2 F
D' L D' B2 D L2 F
D2 L D' B2 D L2 F
D L D' B2 D L2 F
D' L D2 R2 U' F' R2
D2 L D2 R2 U' F' R2
D L D2 R2 U' F' R2
R2 L' U F' R2 D2 L2
R2 L' U' F R2 F2 B
R2 L' U' F R2 B F2
L2 R' U2 L U R F
F2 L' R U' R F' R2
U' L' R2 U L D F'
U' L' R2 U L D' F'
U' L' R2 U L D2 F'
U' L' R2 U L F' D
U' L' R2 U L F' D'
U' L' R2 U L F' D2
U' L' R2 U L' F' L2
U' L' R2 U D L F'
U' L' R2 U D F' L
U' L' R2 U D' L F'
U' L' R2 U D' F' L
U' L' R2 U D2 L F'
U' L' R2 U D2 F' L
U' L' R2 U F L F2
U' L' R2 U F' L D
U' L' R2 U F' L D'
U' L' R2 U F' L D2
U' L' R2 U F' D L
U' L' R2 U F' D' L
U' L' R2 U F' D2 L
U2 L' R2 U' L U2 F'
U' L' R2 D U L F'
U' L' R2 D U F' L
U' L' R2 D' U L F'
U' L' R2 D' U F' L
U' L' R2 D2 U L F'
U' L' R2 D2 U F' L
U' L' R2 F U L F2
U' L' R2 F U F2 L
U' L' R2 F2 U F L
U' L' U L R2 F' R2
U2 L' R2 B2 U F' R'
U' L' U L U2 B U2
U' L' U R2 L F' R2
U' L' U R2 F' L R2
U' L' U R2 F' R2 L
U2 L' U' L D B U2
U2 L' U' L D' B U2
U2 L' U' L D2 B U2
U2 L' U' L B U2 D
U2 L' U' L B U2 D'
U2 L' U' L B U2 D2
U2 L' U' L B D U2
U2 L' U' L B D' U2
U2 L' U' L B D2 U2
U2 L' U' L' B L2 U2
U2 L' U' L2 B L' U2
U' L' U' R' U2 L F
U' L' U' R2 U2 L F'
U' L' U' R2 U2 F' L
U2 L' U' D L B U2
U2 L' U' D' L B U2
U2 L' U' D2 L B U2
U' L' U' B2 R' B' U2
U' L' D R2 U L F'
U' L' D R2 U F' L
U2 L' D U' L B U2
R2 L' F2 U' F R2 B
U' L' D' R2 U L F'
U' L' D' R2 U F' L
B' L' D' R2 F' U R2
U2 L' D' U' L B U2
U' L' D2 R2 U L F'
U' L' D2 R2 U F' L
U2 L' D2 U' L B U2
U' L' F R2 U L F'
U' L' F R2 U F' L
U' L' F' R2 U L F'
U' L' F' R2 U F' L
L' R2 U F' R2 D2 L2
U' L' F2 R2 U L F'
U' L' F2 R2 U F' L
L' R2 U' F R2 F2 B
L' R2 U' F R2 B F2
R' L2 U2 L U R F
L R2 U' F' R2 D' B2
L2 R2 U2 L U F' R2
R2 L2 U2 L U F' R2
L R2 U2 L2 U F' R2
L R2 D' F2 U' F B2
L R2 D' F2 U' B2 F
F2 L2 R U' R F' R2
L' R2 F2 U' F R2 B
B2 L2 U B2 R' U' F
U2 L2 D2 L U R2 F'
B2 L2 F U B2 R' U'
B2 L2 B2 R' U' R F
F2 R L U' R F' R2
F2 R L' U' R F' R2
F2 R L2 U' R F' R2
F2 R U' R F R2 F2
F2 R U' R F' R2 D
F2 R U' R F' R2 D'
F2 R U' R F' R2 D2
F2 R U' R F2 R2 F
F2 R U' R' U2 B U2
F2 R U' F R F' R2
F R U' R F' B R2
F R U' R B F' R2
F2 R U' F' R F' R2
F2 R U' F2 R F' R2
F2 R U2 R U F' R2
F2 R D' F L' U' R'
L2 U' L R2 U L' F'
F2 R D' F2 U' R' F'
U' R D2 L' U F L
L2 U' L U' B U2 L'
F2 R D2 L' U' R' F
F2 R D2 L' U' F R'
R2 U' L' U L F' R2
R2 U' L' U F' L R2
R2 U' L' U F' R2 L
F2 R F U' R F' R2
F R F R U' F' R2
F' R F' R U' F' R2
L U' L2 R2 U L2 F'
L U' L2 R2 U F' L2
L U' L2 U' B U2 L2
F2 R F' U' R F' R2
D2 R F2 R U' F' R2
D' R F2 R U' F' R2
D R F2 R U' F' R2
F2 R F2 U' R F' R2
L2 U' R2 L U L' F'
L U' R2 L2 U L2 F'
L U' R2 L2 U F' L2
R2 U' F' R' D R' B
U2 R' U L' U L F
L U' B2 D' B2 R2 F'
L2 U2 L U' L' B U2
L2 U2 L U' B L' U2
R' U2 L' U' B' U2 R
R2 U2 L' U F R2 F2
R2 U2 L' U F' R2 D
R2 U2 L' U F' R2 D'
R2 U2 L' U F' R2 D2
R2 U2 L' U F2 R2 F
R U2 L' R U F' R2
R2 U2 L' D B2 U F'
R U2 L' U R F' R2
R2 U2 L' B U F' R2
R2 U2 L' B' U F' R2
R2 U2 L' B2 U F' R2
L U2 L2 U D2 R2 F'
L U2 L2 U' L2 B U2
L U2 L2 U' B L2 U2
L U2 L2 D2 U R2 F'
R U2 R L' U F' R2
R2 U2 D L' B2 U F'
R2 U2 D B2 L' U F'
U' R2 L' U L D F'
U' R2 L' U L D' F'
U' R2 L' U L D2 F'
U' R2 L' U L F' D
U' R2 L' U L F' D'
U' R2 L' U L F' D2
U' R2 L' U L' F' L2
U' R2 L' U D L F'
U' R2 L' U D F' L
U' R2 L' U D' L F'
U' R2 L' U D' F' L
U' R2 L' U D2 L F'
U' R2 L' U D2 F' L
U' R2 L' U F L F2
U' R2 L' U F' L D
U' R2 L' U F' L D'
U' R2 L' U F' L D2
U' R2 L' U F' D L
U' R2 L' U F' D' L
U' R2 L' U F' D2 L
U' R2 L' D U L F'
U' R2 L' D U F' L
U' R2 L' D' U L F'
U' R2 L' D' U F' L
U' R2 L' D2 U L F'
U' R2 L' D2 U F' L
U2 R2 L' U' L U2 F'
R U2 D2 L' U R' F
R U2 D2 L' U F R'
U' R2 L' F U L F2
U' R2 L' F U F2 L
U' R2 L' F2 U F L
U2 R2 L' B2 U F' R'
U2 R2 U L' U L F'
U2 R2 U L' U F' L
D2 R2 U2 L' U F' R2
D' R2 U2 L' U F' R2
R2 U2 B L' U F' R2
F R2 U' F' R B R
D R2 U2 L' U F' R2
L U2 B U L2 U L2
U' R2 D L' U L F'
U' R2 D L' U F' L
R2 U2 B' L' U F' R2
U' R2 D' L' U L F'
U' R2 D' L' U F' L
R2 U2 B2 L' U F' R2
D2 R2 D' F2 R U' F
D' R2 D' F2 R U' F
F2 R2 D' F2 R' U' F
U' R2 D2 L' U L F'
U' R2 D2 L' U F' L
D R2 D' F2 R U' F
F2 R2 F R' U' R' F2
F2 R2 F R' U' F2 R'
F R2 F R U' R F2
D' R2 F2 R U' R F
D2 R2 F2 R U' R F
F2 R2 F2 R' U' R' F
F2 R2 F2 R' U' F R'
D R2 F2 R U' R F
L D R2 U' F' R2 B
R2 D U2 L' B2 U F'
U' D L' R2 U L F'
U' D L' R2 U F' L
R2 D U2 B2 L' U F'
U2 D L' U' L B U2
B2 U L2 B2 R' U' F
F2 U R U R' B U2
U' D R2 L' U L F'
U' D R2 L' U F' L
L D' L B2 D L2 F
U2 D B U L' U L
L D' L' B2 D L2 F
L D' L2 B2 D L2 F
F2 U B U' R U' R'
R2 D' R' F2 R U' F'
U' D' L' R2 U L F'
D' U' L' R2 U L F'
U' D' L' R2 U F' L
D' U' L' R2 U F' L
D2 U' L' R2 U L F'
D2 U' L' R2 U F' L
L D' R2 U' F' R2 B2
L D' R2 U' F' B2 R2
L D' R2 U' B2 F' R2
U2 D' L' U' L B U2
D U' L' R2 U L F'
D U' L' R2 U F' L
B' U' L' D' R2 F' U
U' D' R2 L' U L F'
D' U' R2 L' U L F'
U' D' R2 L' U F' L
D' U' R2 L' U F' L
B U' L' U2 L B' U'
D2 U' R2 L' U L F'
D2 U' R2 L' U F' L
L D' F B2 D L2 F
D U' R2 L' U L F'
D U' R2 L' U F' L
R2 D' F2 R U' D F
R2 D' F2 R U' D' F
R2 D' F2 R U' D2 F
R2 D' F2 R U' F D
R2 D' F2 R U' F D'
R2 D' F2 R U' F D2
R2 D' F2 R D U' F
R2 D' F2 R D' U' F
R2 D' F2 R D2 U' F
R2 D' F2 D R U' F
L D' F' B2 D L2 F
R2 D' F2 D' R U' F
R2 D' F2 D2 R U' F
L D' F2 B2 D L2 F
B2 U' D L' U L' F
B' U' D' L' R2 F' U
B' U' D' R2 L' F' U
U2 D' B U L' U L
L D' B2 L2 D F L2
L D' B2 L2 F D L2
L D' B2 D L2 D F
L D' B2 D L2 D' F
L D' B2 D L2 D2 F
L D' B2 D L2 F D
L D' B2 D L2 F D'
L D' B2 D L2 F D2
L D' B2 D F L2 F
L D' B2 D F' L2 F
L D' B2 D F2 L2 F
L D' B2 F D L2 F
L D' B2 F' D L2 F
L D' B2 F2 D L2 F
L D2 L R2 U' F' R2
L D2 L' R2 U' F' R2
U' D2 L' R2 U L F'
U' D2 L' R2 U F' L
D' U2 L' U' L B U2
D2 U2 L' U' L B U2
L D2 L2 R2 U' F' R2
U2 D2 L' U' L B U2
D U2 L' U' L B U2
L D2 R2 L U' F' R2
L D2 R2 L' U' F' R2
L D2 R2 L2 U' F' R2
L D2 R2 U' F R2 F2
L D2 R2 U' F' R2 D
L D2 R2 U' F' R2 D'
L D2 R2 U' F' R2 D2
L D2 R2 U' F2 R2 F
L D2 R2 D' F2 U' F
B U' B' U2 L' B U
L D2 R2 F U' R2 F2
L D2 R2 F U' F2 R2
B U' B' U2 B L' U
U' D2 R2 L' U L F'
U' D2 R2 L' U F' L
L D2 R2 F2 U' R2 F
L D2 R2 F2 U' F R2
R D2 U2 L' U R' F
R D2 U2 L' U F R'
L D2 F R2 U' F' R2
L D2 F' R2 U' F' R2
D' U2 B U L' U L
D2 U2 B U L' U L
U2 D2 B U L' U L
L D2 F2 R2 U' F' R2
D U2 B U L' U L
L D2 B2 D L2 F B2
L D2 B2 D L2 B2 F
R' F R' U' F' R B
R2 F R U' R F2 B
R2 F R U' R B F2
F U2 B U L U L'
B2 D L D' L F B2
B2 D L D' L B2 F
R2 F U' R B R F2
R2 F U' F2 R B R
R F U' R F' B R2
R F U' R B F' R2
B2 D L2 F U' L U
F2 D R U' R F' R2
L F D' B2 D L2 F
L F D2 R2 U' F' R2
B2 D U' L' U L' F
B' D' L' R2 F' U R2
F2 D' R U' R F' R2
B' D' R2 L' F' U R2
L F' D' B2 D L2 F
U2 F' B U F L' U
L F' D2 R2 U' F' R2
B' D' U' L' R2 F' U
B' D' U' R2 L' F' U
R F2 L R U' F' R2
R' F2 R U L' B U2
R' F2 R U B L' U2
D2 F2 R U' R F' R2
D' F2 R U' R F' R2
R F2 L' R U' F' R2
R F2 L2 R U' F' R2
R2 F2 R U' R D F
R2 F2 R U' R D' F
R2 F2 R U' R D2 F
R2 F2 R U' R F D
R2 F2 R U' R F D'
R2 F2 R U' R F D2
R2 F2 R U' R' F R2
R2 F2 R U' R2 F R'
R2 F2 R U' D R F
R2 F2 R U' D' R F
R2 F2 R U' D2 R F
R2 F2 R D U' R F
R2 F2 R D' U' R F
D F2 R U' R F' R2
R2 F2 R D2 U' R F
R F2 R L U' F' R2
R F2 R L' U' F' R2
R F2 R L2 U' F' R2
R F2 R U' F R2 F2
R F2 R U' F' R2 D
R F2 R U' F' R2 D'
R F2 R U' F' R2 D2
R F2 R U' F2 R2 F
R F2 R D' F2 U' F
R F2 R F U' R2 F2
R F2 R F U' F2 R2
R F2 R F2 U' R2 F
R F2 R F2 U' F R2
F2 D2 R U' R F' R2
R2 F2 D' R F2 U' F'
L F2 D' B2 D L2 F
U2 F2 B U F2 L' U
L F2 D2 R2 U' F' R2
U F2 B U' R F2 U'
B' D2 F2 U B R U'
U2 B R U L' U L
U2 B R' U L' U L
U2 B R2 U L' U L
U2 B U L' U L D
U2 B U L' U L D'
U2 B U L' U L D2
U2 B U L' U D L
U2 B U L' U D' L
U2 B U L' U D2 L
U2 B U L' D U L
U2 B U L' D' U L
U2 B U L' D2 U L
U2 B U L' F U L
U2 B U L' F' U L
U2 B U L' F2 U L
U2 B U D L' U L
U2 B U D' L' U L
U2 B U D2 L' U L
U B U L' U' L U2
U B U L' B2 U R'
U B U' F2 R U' R'
U2 B D U L' U L
U2 B D' U L' U L
U2 B D2 U L' U L
U2 B F' U F L' U
U2 B F2 U F2 L' U
U B F2 U' R F2 U'
U2 B' L' U' L B2 U2
U2 B' L' U' B2 U2 R'
L' B' D' R2 F' U R2
U2 B2 L' U' L B' U2
L' B2 L2 D F L2 B'
L' B2 D L2 D' F B2
L' B2 D L2 D' B2 F
L' B2 D L2 F D' B2
L B2 D L2 D2 F B2
L B2 D L2 D2 B2 F
L B2 D F L2 F B'
L B2 D F L2 B' F
