F' U R' B U L
F' L U R' F B U
F' L U R' B F U
F' L U F R' B U
R' L D' F L' B U
R' L D' F B L' U
R' L D' B F L' U
R' L B D' F L' U
L R' D' F L' B U
L R' D' F B L' U
L R' D' B F L' U
L R' B D' F L' U
F' R U R2 B U L
D R' U R' B L R'
D R' U R' B R' L
D R' U B L R' B
D R' U B R' L B
F R' D2 B U B L
U R' D2 B U L B'
B' R' B R' U B L
F2 R' B U' F R U2
D R' B U R' B L
U R' B U D2 L B'
U R' B D2 U L B'
F' U R' D B U L
F' U R' D' B U L
F' U R' D2 B U L
F' U R' F B U L
F' U R' F' B U L
F' U R' F2 B U L
F' U R' B U L D
F' U R' B U L D'
F' U R' B U L D2
F' U R' B U D L
F' U R' B U D' L
F' U R' B U D2 L
R' D B' L F B2 U
F' U R' B D U L
F' U R' B D' U L
F' U R' B D2 U L
R' D B' L B2 F U
F' U R' B F U L
F' U R' B F' U L
F' U R' B F2 U L
R' D' L F L' B U
R' D' L F B L' U
R' D' L B F L' U
F' U F R' B U L
F' U F' R' B U L
F' U F2 R' B U L
R' D' B L F L' U
R' D2 L F B U B2
R' D2 L B F U B2
R' D2 B L F U B'
R' D2 B U B L B'
F' U2 R' F' B U B'
F' U2 R' B F' U B'
L F R' D' L2 B U
L F R' D' B L2 U
L F R' D2 B U B
L F R' B U D2 B2
L F R' B U' F2 U2
L F R' B D' L2 U
L F R' B D2 U B2
U' F' U R' B U L'
R2 F' U B L F R
U F' U R' F' B U
U F' U R' B F' U
L F' U R' F2 B U
L F' U R' B F2 U
L F' U F2 R' B U
R' B L D' F L' U
R' B U R' B L R
R' B U R' B R L
R' B U D2 B L B'
R' B U B D2 L B'
R' B U' R F' U2 L'
R' B U' R' U2 B L
R' B U' F R F' U2
R' B D' L F L' U
R' B D2 L F U B'
R' B D2 U B L B'
R2 B' R B U B L
R' B2 D B' L F U
