B L U B2 U2 B
B L U' D2 F2 B'
B L U' D2 B' F2
B L D2 U' F2 B'
B L D2 U' B' F2
B L D2 U' B' F2
B L' U F B2 U2
B L' U B2 F U2
B L' D L2 U' B'
D' L2 B R' U' F
B D2 R' U' F2 B
B D2 R' U' B F2
L B L U' F B2
L B L U' B2 F
D' B R' U B2 U2
D' B R' U' D2 F2
D' B R' D L2 U'
D' B R' D2 U' F2
D' B D L2 R' U'
D' B D R' L2 U'
D' B D2 R' U' F2
B L R U B2 U2 B
B L R U' D2 F2 B'
B L R U' D2 B' F2
B L R D2 U' F2 B'
B L R D2 U' B' F2
B L R' U B2 U2 B
B L R' U' D2 F2 B'
B L R' U' D2 B' F2
B L R' D2 U' F2 B'
B L R' D2 U' B' F2
B2 L R2 U' F' B' L'
B2 L R2 U' B' F' L'
B L R2 U B2 U2 B
B L R2 U' D2 F2 B'
B L R2 U' D2 B' F2
B L R2 D2 U' F2 B'
B L R2 D2 U' B' F2
B L R2 D2 U' B' F2
B L U F B2 U2 B
U' L U B L U' B2
B2 L U B U2 L B2
B L U F' B2 U2 B
B L U F2 B2 U2 B
B L U B2 U2 D B
B L U B2 U2 D' B
B L U B2 U2 D2 B
B L U B2 U2 B D
B L U B2 U2 B D'
B L U B2 U2 B D2
B L U B2 D U2 B
B L U B2 D' U2 B
B L U B2 D2 U2 B
B L U B2 F U2 B
B L U B2 F' U2 B
B L U B2 F2 U2 B
B L U' D B' D F2
B L U' D' B' D' F2
B L U' D2 F2 D B'
B L U' D2 F2 D' B'
B L U' D2 F2 D2 B'
B L U' D2 F2 B' D
B L U' D2 F2 B' D'
B L U' D2 F2 B' D2
B L U' D2 B' F2 D
B L U' D2 B' F2 D'
B L U' D2 B' F2 D2
B L U' F D2 F2 B'
B L U' F D2 B' F2
B L U' F' D2 F2 B'
B L U' F' D2 B' F2
B L U' F2 D2 F2 B'
B L U' F2 D2 B' F2
B L U' B' L2 F L2
B L U' B' U2 B' U2
B L U2 D' R2 U B'
B L D L2 U F U2
B L D U' B' D F2
B L D' U' B' D' F2
B L D' U2 R2 U B'
B L D2 R U' F2 B'
B L D2 R U' B' F2
B L D2 R' U' F2 B'
B L D2 R' U' B' F2
B L D2 R2 U' F2 B'
B L D2 R2 U' B' F2
B L D2 U' F2 D B'
B L D2 U' F2 D' B'
B L D2 U' F2 D2 B'
B L D2 U' F2 B' D
B L D2 U' F2 B' D'
B L D2 U' F2 B' D2
B L D2 U' B' F2 D
B L D2 U' B' F2 D'
B L D2 U' B' F2 D2
D' L B L R' U' F
D' L B R' L U' F
U' L B' L D F L2
U' L B' L F D L2
U' L B' L' D L2 F
U' L B' D L F L
B' L B2 U B2 U2 B'
B' L B2 U' D2 F2 B
B' L B2 U' D2 B F2
B' L B2 D L2 U' B
B' L B2 D2 U' F2 B
B' L B2 D2 U' B F2
B L' R U F B2 U2
B L' R U B2 F U2
B L' R D L2 U' B'
B L' R' U F B2 U2
B L' R' U B2 F U2
B L' R' D L2 U' B'
B L' R2 U F B2 U2
B L' R2 U B2 F U2
B L' R2 D L2 U' B'
B L' U D2 F U2 F
B L' U F U2 D2 F2
B L' U F D2 U2 F2
B L' U F B2 U2 D
B L' U F B2 U2 D'
B L' U F B2 U2 D2
B L' U F B2 D U2
B L' U F B2 D' U2
B L' U F B2 D2 U2
B L' U B2 D F U2
B L' U B2 D' F U2
B L' U B2 D2 F U2
B L' U B2 F U2 D
B L' U B2 F U2 D'
B L' U B2 F U2 D2
B L' U B2 F D U2
B L' U B2 F D' U2
B L' U B2 F D2 U2
B L' U' L2 B' L2 F
B L' U' F' D2 F2 B2
B L' U' F' D2 B2 F2
B L' D L2 R U' B'
B L' D L2 R' U' B'
B L' D L2 R2 U' B'
B L' D L2 U' D B'
B L' D L2 U' D' B'
B L' D L2 U' D2 B'
B L' D L2 U' B' D
B L' D L2 U' B' D'
B L' D L2 U' B' D2
B L' D L2 D U' B'
B L' D L2 D' U' B'
B L' D L2 D2 U' B'
B L' D R L2 U' B'
B L' D R' L2 U' B'
B L' D R2 L2 U' B'
B L' D2 L2 U' F2 B'
B L' D2 L2 U' B' F2
B L' D2 U F U2 F
B' L' F U' F' B2 U'
B' L' F U' B2 F' U'
D' L' B L' R' U' F
D' L' B R' L' U' F
B' L' B2 U F B2 U2
B' L' B2 U B2 F U2
B' L' B2 D L2 U' B'
D2 L2 R' U' F B L
D2 L2 R' U' B F L
D2 L2 D B R' U' F
B L2 D2 L' U' F2 B'
B L2 D2 L' U' B' F2
U' L2 F L' B' D L2
D L2 D2 B R' U' F
D2 L2 B R' U' F B
D2 L2 B R' U' B F
D' L2 B R' U' D F
D' L2 B R' U' D' F
D' L2 B R' U' D2 F
D' L2 B R' U' F D
D' L2 B R' U' F D'
D' L2 B R' U' F D2
D' L2 B R' D U' F
D' L2 B R' D' U' F
D' L2 B R' D2 U' F
D' L2 B D R' U' F
D' L2 B D' R' U' F
D' L2 B D2 R' U' F
B R L U B2 U2 B
B R L U' D2 F2 B'
B R L U' D2 B' F2
B R L D2 U' F2 B'
B R L D2 U' B' F2
B R L' U F B2 U2
B R L' U B2 F U2
B R L' D L2 U' B'
R' U B' U2 B L B'
R' U' L B L F B2
R' U' L B L B2 F
R U' L D B' L F
B R D2 R' U' F2 B
B R D2 R' U' B F2
R U' L2 D' F L' B'
B R' L U B2 U2 B
B R' L U' D2 F2 B'
B R' L U' D2 B' F2
B R' L D2 U' F2 B'
B R' L D2 U' B' F2
B R' L' U F B2 U2
B R' L' U B2 F U2
B R' L' D L2 U' B'
D2 R' L2 U' F B L
D2 R' L2 U' B F L
L2 U' F U B R U'
D2 R' U' L B L F
D2 R' U' L2 F B L
D2 R' U' L2 B F L
R' U' B L D2 F2 B'
R' U' B L D2 B' F2
D2 R' U' B L D2 F2
D2 R' U' B D2 L F2
D2 R' U' B D2 F2 L
B R' D2 R' U' F2 B
B R' D2 R' U' B F2
L U2 R' U F' B' L'
L U2 R' U B' F' L'
B2 R2 L U' F' B' L'
B2 R2 L U' B' F' L'
B R2 L U B2 U2 B
B R2 L U' D2 F2 B'
B R2 L U' D2 B' F2
B R2 L D2 U' F2 B'
B R2 L D2 U' B' F2
B R2 L' U F B2 U2
B R2 L' U B2 F U2
B R2 L' D L2 U' B'
B R2 D2 R' U' F2 B
B R2 D2 R' U' B F2
B2 R2 B' L U' F' B'
B2 R2 B' L U' B' F'
B U L B2 L' U2 B
B U L' F L B2 U2
B U L' F B2 U2 R'
B U L' B2 F U2 R'
B U R B2 U2 L B'
L D B L U' F B2
L D B L U' B2 F
D' U B' U' B2 R' U'
B U B2 L' F L U2
B U B2 U L U B'
B U B2 U2 L B' L'
B U' L D2 B' L' F2
B U' L B' L2 F L
B U' R D2 R' F2 B
B U' R D2 R' B F2
B U' R D2 F2 R' B
L D' B L U' F B2
L D' B L U' B2 F
B U' D2 R' B R F2
B U' D2 F2 R' B R
U D' B' U' B2 R' U'
B U2 L U D2 F2 B'
B U2 L U D2 B' F2
B U2 L U' B2 U2 B
B U2 L D' R2 U B'
B U2 L D2 U F2 B'
B U2 L D2 U B' F2
B U2 L' U' F B2 U2
B U2 L' U' B2 F U2
L D2 B L U' F B2
L D2 B L U' B2 F
B U2 D2 R' U F2 B
B U2 D2 R' U B F2
B D L D' L U' B'
B D L2 D R' U' B
B D L2 F' R F U'
B D F' R F L2 U'
B D2 L R' U' F2 B
B D2 L R' U' B F2
B D2 L' R' U' F2 B
B D2 L' R' U' B F2
B D2 L2 R' U' F2 B
B D2 L2 R' U' B F2
B D2 R U F' U2 F'
B D2 R' L U' F2 B
B D2 R' L U' B F2
B D2 R' L' U' F2 B
B D2 R' L' U' B F2
B D2 R' L2 U' F2 B
B D2 R' L2 U' B F2
B D2 R' U' F2 D B
B D2 R' U' F2 D' B
B D2 R' U' F2 D2 B
B D2 R' U' F2 B D
B D2 R' U' F2 B D'
B D2 R' U' F2 B D2
B D2 R' U' B F2 D
B D2 R' U' B F2 D'
B D2 R' U' B F2 D2
B D2 R' D' L2 U' B
D' B L R' U B2 U2
D' B L R' U' D2 F2
D' B L R' D L2 U'
D' B L R' D2 U' F2
D' B L D L2 R' U'
D' B L D R' L2 U'
D' B L D2 R' U' F2
D' B L' R' U B2 U2
D' B L' R' U' D2 F2
D' B L' R' D L2 U'
D' B L' R' D2 U' F2
D' B L' D L2 R' U'
D' B L' D R' L2 U'
D' B L' D2 R' U' F2
B D2 U' R' B R F2
B D2 U' F2 R' B R
L B L R U' F B2
L B L R U' B2 F
D' B L2 R' U B2 U2
D' B L2 R' U' D2 F2
D' B L2 R' D L2 U'
D' B L2 R' D2 U' F2
L B L R' U' F B2
L B L R' U' B2 F
L B L R2 U' F B2
L B L R2 U' B2 F
L B L U' F B2 D
L B L U' F B2 D'
L B L U' F B2 D2
L B L U' B2 D F
B D2 U2 R' U F2 B
L B L U' B2 D' F
B D2 U2 R' U B F2
L B L U' B2 D2 F
L B L U' B2 F D
L B L U' B2 F D'
L B L U' B2 F D2
D' B L2 D L2 R' U'
D' B L2 D R' L2 U'
L B L D' R2 U' F
D' B L2 D2 R' U' F2
D2 B R U F' B2 U2
D2 B R U B2 F' U2
L B L' U B' U2 B'
D' B R D L2 U' B2
D' B R' L U B2 U2
D' B R' L U' D2 F2
D' B R' L D L2 U'
D' B R' L D2 U' F2
D' B R' L' U B2 U2
D' B R' L' U' D2 F2
D' B R' L' D L2 U'
D' B R' L' D2 U' F2
D' B R' L2 U B2 U2
D' B R' L2 U' D2 F2
D' B R' L2 D L2 U'
D' B R' L2 D2 U' F2
D2 B R' U B2 U2 B'
D2 B R' U' D2 F2 B
D2 B R' U' D2 B F2
D' B R' U B2 U2 D
D' B R' U B2 U2 D'
D' B R' U B2 U2 D2
D' B R' U B2 D U2
D' B R' U B2 D' U2
D' B R' U B2 D2 U2
D' B R' U' D2 F2 D
D' B R' U' D2 F2 D'
D' B R' U' D2 F2 D2
D' B R' U' F D2 F2
D' B R' U' F' D2 F2
D' B R' U' F2 D2 F2
D2 B R' D L2 U' B
D' B R' U2 D' R2 U
D' B R' D L2 U' D
