F L U' L' U2 L'
F' L U' L' R U2
F' L U' R L' U2
F L D F2 U R
U L F U L' F'
F' L F2 U L' R
F' L F2 U R L'
F L F2 U L2 R
F L F2 U R L2
F' R U L R' U
F' R U R' L U
F2 U L F U F'
L2 D' L' F B2 U
L2 D' L' B2 F U
L2 D' B2 L' F U
U F L U L2 F'
U F L U F' L2
U L R F U L' F'
U L R' F U L' F'
U L R2 F U L' F'
F L U L D2 L R2
F L U L D2 R2 L
F L U L2 U2 L U2
F L U L2 B2 R' B2
F' L U F2 L' R F2
F' L U F2 R L' F2
F L U F2 L2 R F2
F L U F2 R L2 F2
F L U F2 R F2 L2
F' L U' L' R U2 D
F' L U' L' R U2 D'
F' L U' L' R U2 D2
F' L U' L' R D U2
F' L U' L' R D' U2
F' L U' L' R D2 U2
F' L U' L' D R U2
F' L U' L' D' R U2
F' L U' L' D2 R U2
F L U B2 L2 B2 R'
F' L U' R L' U2 D
F' L U' R L' U2 D'
F' L U' R L' U2 D2
F' L U' R L' D U2
F' L U' R L' D' U2
F' L U' R L' D2 U2
F' L U' R D L' U2
F' L U' R D' L' U2
F' L U' R D2 L' U2
F L U' L' R U2 L'
F L U' L' R' U2 L'
F L U' L' R2 U2 L'
F L U' L' U2 L' D
F L U' L' U2 L' D'
F L U' L' U2 L' D2
F L U' L' U2 D L'
F L U' L' U2 D' L'
F L U' L' U2 D2 L'
F L U' L' D U2 L'
F L U' L' D' U2 L'
F L U' L' D2 U2 L'
F L U' R L' U2 L'
F' L U' D L' R U2
F' L U' D R L' U2
F' L U' D' L' R U2
F L U' R' L' U2 L'
F' L U' D' R L' U2
F' L U' D2 L' R U2
F' L U' D2 R L' U2
F L U' R2 L' U2 L'
F L U' D2 L' R2 U2
F L U' D2 R2 L' U2
F' L U2 F2 U' L' R
F' L U2 F2 U' R L'
D' L U2 F2 B' U' R
D' L U2 B' U L' U2
D' L U2 B' F2 U' R
F L U2 F2 U' L2 R
F L U2 F2 U' R L2
F' L D U' L' R U2
F' L D U' R L' U2
U L D R F' U F
F' L D F2 U L' R
F' L D F2 U R L'
F L D F2 U R D
F L D F2 U R D'
F L D F2 U R D2
F L D F2 U D R
F L D F2 U D' R
F L D F2 U D2 R
F L D F2 D U R
F L D F2 D' U R
F L D F2 D2 U R
F L D F2 B U R
F L D F2 B' U R
F L D F2 B2 U R
F L D B F2 U R
F L D B' F2 U R
F L D B2 F2 U R
F' L D' U' L' R U2
F' L D' U' R L' U2
F' L D' F2 U L' R
F' L D' F2 U R L'
F' L D2 U' L' R U2
F' L D2 U' R L' U2
F L D2 U' L' R2 U2
F L D2 U' R2 L' U2
F' L D2 F2 U L' R
F' L D2 F2 U R L'
D' L F U2 B' U' R'
U L F U L F' L2
U L F U L' D F'
U L F U L' D' F'
U L F U L' D2 F'
U L F U L' F' D
U L F U L' F' D'
U L F U L' F' D2
U L F U L2 F' L
U L F U D L' F'
U L F U D' L' F'
U L F U D2 L' F'
U L F D U L' F'
U L F D' U L' F'
U L F D2 U L' F'
U L F' U F2 L' F'
U L F' U' R U2 F
F' L F2 U L' R D
F' L F2 U L' R D'
F' L F2 U L' R D2
F' L F2 U L' D R
F' L F2 U L' D' R
F' L F2 U L' D2 R
F' L F2 U R L' D
F' L F2 U R L' D'
F' L F2 U R L' D2
F' L F2 U R D L'
F' L F2 U R D' L'
F' L F2 U R D2 L'
F' L F2 U D L' R
F' L F2 U D R L'
F' L F2 U D' L' R
F' L F2 U D' R L'
F' L F2 U D2 L' R
F' L F2 U D2 R L'
D' L F2 U2 B' U' R
F L F2 U L2 R D
F L F2 U L2 R D'
F L F2 U L2 R D2
F L F2 U L2 D R
F L F2 U L2 D' R
F L F2 U L2 D2 R
F L F2 U R L2 D
F L F2 U R L2 D'
F L F2 U R L2 D2
F' L F2 D U L' R
F' L F2 D U R L'
F' L F2 D' U L' R
F' L F2 D' U R L'
F' L F2 D2 U L' R
F' L F2 D2 U R L'
D2 L F2 B' U L R
F' L F2 B U L' R
D2 L F2 B' U R L
F' L F2 B U R L'
F' L F2 B' U L' R
F' L F2 B' U R L'
F' L F2 B2 U L' R
F' L F2 B2 U R L'
F L F2 B U L2 R
F L F2 B U R L2
F L F2 B' U L2 R
F L F2 B' U R L2
F L F2 B2 U L2 R
F L F2 B2 U R L2
D2 L B U' L' R' U2
D2 L B U' R' L' U2
F' L B U' L' R U2
F' L B U' R L' U2
F L B U' L' U2 L'
D' L B D2 F2 U R
F L B D F2 U R
F' L B F2 U L' R
F' L B F2 U R L'
F L B F2 U L2 R
F L B F2 U R L2
D2 L B' U L D2 R2
D2 L B' U' L' U2 L2
D' L B' U' L' U2 L
F' L B' U' L' R U2
F' L B' U' R L' U2
F L B' U' L' U2 L'
F L B' D F2 U R
D2 L B' F2 U L R
D2 L B' F2 U R L
F' L B' F2 U L' R
F' L B' F2 U R L'
F L B' F2 U L2 R
F L B' F2 U R L2
F' L B2 U' L' R U2
F' L B2 U' R L' U2
F L B2 U' L' U2 L'
F L B2 D F2 U R
F' L B2 F2 U L' R
F' L B2 F2 U R L'
F L B2 F2 U L2 R
F L B2 F2 U R L2
F L' R2 D' F2 B2 R'
F L' R2 D' B2 R' F2
F L' R2 D' B2 F2 R'
B' L' U' L F U2 L'
D' L' D' F U B2 R'
D' L' F L2 U' L' U2
D' L' F U D' B2 R'
U L' F L2 U L F'
U L' F L2 U F' L
D' L' F D' U B2 R'
D' L' F B2 L2 U R'
D' L' F' L2 F2 U R
F L' B2 L2 U L2 R'
F L' B2 L2 U R' L2
D' L' B2 F L2 U R'
F L2 U L D' B2 R'
R' U L R F U L'
F L2 D' L' B2 U L2
R' U L D R F' U
U L2 D' L' F U F'
R2 U L R2 F U L'
R U L R' F U L'
R2 U L F R2 U L'
D L2 D2 L' F U R2
F L2 D2 L' U L2 R2
F L2 D2 L' U R2 L2
R U L F R' U L'
U L2 F U L' F' B'
U L2 F U L' B' F'
R' U R L F U L'
R' U R F L U L2
R U R' L F U L'
R U R' F L U L2
R2 U R2 L F U L'
R' U D L R F' U
R2 U R2 F L U L2
R' U D R L F' U
R' U D R F' L U
U R L F U L' F'
R2 U F L R2 U L2
L U F L' F R F2
R U F L R' U L2
R2 U F R2 L U L2
R U F R' L U L2
F' R U L R' U D
F' R U L R' U D'
F' R U L R' U D2
F' R U L R' D U
F' R U L R' D' U
F' R U L R' D2 U
F' R U L D R' U
F' R U L D' R' U
F' R U L D2 R' U
F2 R U L R' F U
