L B2 U L F2
L B2 U F2 L
R2 L B2 U F2 L'
F' L B2 U L F'
F' L B2 U F' L
U' L B2 U L F2
U' L B2 U F2 L
U L B2 U L F2
U L B2 U F2 L
U2 L B2 U L F2
U2 L B2 U F2 L
F2 L' D' B2 L R2
F2 L' D' B2 R2 L
L R2 B2 U F2 L'
R' U L B2 U F2
B2 R' U' L F2 R
F2 U' L B2 U L
B2 U2 R' U' L F2
B2 U2 R' U' F2 L
L F B2 U F L
L F' B2 U L F'
L F' B2 U F' L
R2 F2 L' D' R2 B2
R2 F2 L' D' B2 R2
L' F2 D' B2 L R2
L' F2 D' B2 R2 L
L' B2 L2 U L' F2
L2 B2 L' U L2 F2
L2 B2 L' U F2 L2
L B2 R U L F2
L B2 R U F2 L
L B2 R' U L F2
L B2 R' U F2 L
L B2 R2 U L F2
L B2 R2 U F2 L
L B2 U L F2 D
L B2 U L F2 D'
L B2 U L F2 D2
L B2 U L' F2 L2
L B2 U F' L F'
L B2 U F2 L D
L B2 U F2 L D'
L B2 U F2 L D2
L B2 U F2 D L
L B2 U F2 D' L
L B2 U F2 D2 L
L B2 D R2 U L
L B2 F U F L
L B2 F' U L F'
L B2 F' U F' L
R' L U F2 D' L2 R2
R' L U F2 D' R2 L2
R2 L U F2 L' D' R2
R2 L U F2 D' L' R2
R2 L U F2 D' R2 L'
R' L U B2 U F2 B2
R' L U B2 U B2 F2
D L R2 U' L R U2
D L R2 U' R L U2
U' L R2 B2 U F2 L'
U2 L R2 B2 U F2 L'
U L R2 B2 U F2 L'
B2 L U R' U' R F2
B2 L U2 R' U' F2 L'
D' L D B2 R' U L
R2 L F B2 U F L'
D2 L D2 B2 U L F2
D2 L D2 B2 U F2 L
F' L F B2 U L F2
F' L F B2 U F2 L
U2 L F B2 U F L
F2 L F B2 U L F'
U' L F B2 U F L
F2 L F B2 U F' L
U L F B2 U F L
U2 L F' B2 U L F'
U2 L F' B2 U F' L
U' L F' B2 U L F'
U' L F' B2 U F' L
F2 L F' B2 U F L
U L F' B2 U L F'
U L F' B2 U F' L
B2 L F2 U R' U' R
R' L B2 R' U F2 L'
L R B2 R U F2 L'
R' L B2 U F2 D' L2
R L B2 R U F2 L'
F' L F2 B2 U F L
R2 L B2 U L F2 L'
R2 L B2 U L' F2 L'
R2 L B2 U L2 F2 L'
L R B2 U F2 D2 L2
R2 L B2 U F2 L' D
R2 L B2 U F2 L' D'
R2 L B2 U F2 L' D2
F2 L F2 B2 U L F2
R2 L B2 U F2 D L'
R2 L B2 U F2 D' L'
R2 L B2 U F2 D2 L'
F2 L F2 B2 U F2 L
R2 L B2 U' R U2 F2
L R B2 U' R2 U2 F2
R L B2 U F2 D2 L2
R L B2 U' R2 U2 F2
R2 L B2 F U F L'
R' L' U L2 B2 U F2
L' R' U L2 B2 U F2
L2 R' U L' B2 U F2
L' R' U B2 L2 U F2
R' L' U B2 L2 U F2
L R' U F2 D' L2 R2
L R' U F2 D' R2 L2
L2 R' U B2 L' U F2
L R' U B2 U F2 B2
L R' U B2 U B2 F2
D' L B2 R' U L R'
D' L B2 R' U R' L
U' L B2 R U L F2
U' L B2 R U F2 L
U2 L B2 R U L F2
U2 L B2 R U F2 L
U' L B2 R' U L F2
U' L B2 R' U F2 L
F' L B2 U L D F'
F' L B2 U L D' F'
F' L B2 U L D2 F'
F' L B2 U L F' D
F' L B2 U L F' D'
F' L B2 U L F' D2
F' L B2 U L' F' L2
U2 L B2 R' U L F2
U2 L B2 R' U F2 L
F' L B2 U D L F'
F' L B2 U D F' L
F' L B2 U D' L F'
F' L B2 U D' F' L
F' L B2 U D2 L F'
F' L B2 U D2 F' L
F' L B2 U F L F2
F' L B2 U F' L D
F' L B2 U F' L D'
F' L B2 U F' L D2
F' L B2 U F' D L
F' L B2 U F' D' L
F' L B2 U F' D2 L
U' L B2 R2 U L F2
U' L B2 R2 U F2 L
U2 L B2 R2 U L F2
U2 L B2 R2 U F2 L
D L B2 R2 U L R
D L B2 R2 U R L
U' L B2 U L F2 D
U' L B2 U L F2 D'
U' L B2 U L F2 D2
U' L B2 U L' F2 L2
U2 L B2 U L F2 D
U2 L B2 U L F2 D'
U2 L B2 U L F2 D2
U2 L B2 U L' F2 L2
U' L B2 U F' L F'
U L B2 R U L F2
