U' L U2 F' U' L
L2 R2 U' L' B U
R2 L2 U' L' B U
L2 R2 U' B L' U
R2 L2 U' B L' U
B2 L2 U F' R' U'
L2 U F2 R F U'
L2 U' L' U2 F' U'
D' U F' B2 R' U'
B2 U F' R' U' L2
D' U B2 F' R' U'
U D' F' B2 R' U'
U D' B2 F' R' U'
U F' U2 L U L
U F' D' B2 R' U'
D' F' B2 R' U' F
U F' B2 R' U' L2
F' D' B2 R' U' F
B2 F' R' U' F L2
F' B2 R' U' F L2
D' B2 F' R' U' F
U B2 F' R' U' L2
L2 R U F U' R B
L2 R U' L' B' U R'
L2 R U' B' L' U R'
D L R2 F2 B U F2
D L R2 B F2 U F2
U' L U L U F' U'
F L U L D F' R2
F L U D L F' R2
F L U D F' L R2
F L U D F' R2 L
B2 L U F' R' U' L
D' L U F' B2 U' B2
D' L U B2 F' U' B2
U L U2 L' F' U' L2
U' L U2 D F' U' L
U' L U2 D' F' U' L
U' L U2 D2 F' U' L
U' L U2 F' U' L D
U' L U2 F' U' L D'
U' L U2 F' U' L D2
U' L U2 F' U' D L
U' L U2 F' U' D' L
U' L U2 F' U' D2 L
U' L U2 F' D U' L
U' L U2 F' D' U' L
U' L U2 F' D2 U' L
U2 L U2 F' U' F L
F L U2 F2 U' F L
F L D U L F' R2
U' L D U2 F' U' L
F L D U F' L R2
F L D U F' R2 L
U' L D' U2 F' U' L
L R F' U F L R
L R F' U F R L
R L F' U F L R
R L F' U F R L
U' L D2 U2 F' U' L
U' L F U L D R2
U' L F U D L R2
U' L F U D R2 L
U' L F U2 F2 U' L
U' L F D U L R2
U' L F D U R2 L
B2 L F' R' U' F L
U' L F2 U2 F U' L
D L F2 U2 F U' F
L2 R' U F2 R F' U'
U' L B' U2 F' U' L'
R2 L' U' B L2 U L
D L' U' F2 L2 B' U
F L' D L' F' R2 B
R2 L' B' D' L' R2 B2
R2 L' B' D' L' B2 R2
R2 L' B' D' R2 L' B2
R2 L' B' D' R2 B2 L'
R2 L' B' D' B2 L' R2
R2 L' B' D' B2 R2 L'
B2 L' F' R' U' F L'
B' L' F' U' F L' B'
R' L2 U F2 R F' U'
R L2 U F U' R B
L2 R2 U' L B L2 U
R2 L2 U' L B L2 U
L2 R2 U' L' D B U
L2 R2 U' L' D' B U
L2 R2 U' L' D2 B U
R2 L2 U' L' D B U
R2 L2 U' L' D' B U
L2 R2 U' L' B U D
L2 R2 U' L' B U D'
L2 R2 U' L' B U D2
R2 L2 U' L' D2 B U
L2 R2 U' L' B D U
L2 R2 U' L' B D' U
L2 R2 U' L' B D2 U
R2 L2 U' L' B U D
R2 L2 U' L' B U D'
R2 L2 U' L' B U D2
R2 L2 U' L' B D U
R2 L2 U' L' B D' U
R2 L2 U' L' B D2 U
D L' F2 L2 B' U F2
R L2 U' L' B' U R'
L2 R2 U' D L' B U
R2 L2 U' D L' B U
L2 R2 U' D B L' U
R2 L2 U' D B L' U
L2 R2 U' D' L' B U
L' R2 U' B L2 U L
R2 L2 U' D' L' B U
L2 R2 U' D' B L' U
L2 R2 U' D2 L' B U
R2 L2 U' D' B L' U
R2 L2 U' D2 L' B U
L2 R2 U' D2 B L' U
R2 L2 U' D2 B L' U
L2 R2 U' B L' U D
L2 R2 U' B L' U D'
L2 R2 U' B L' U D2
L2 R2 U' B L' D U
L2 R2 U' B L' D' U
L2 R2 U' B L' D2 U
R2 L2 U' B L' U D
R2 L2 U' B L' U D'
R2 L2 U' B L' U D2
R2 L2 U' B L' D U
R2 L2 U' B L' D' U
R2 L2 U' B L' D2 U
L2 R2 U' B D L' U
L2 R2 U' B D' L' U
L2 R2 U' B D2 L' U
R2 L2 U' B D L' U
R2 L2 U' B D' L' U
R2 L2 U' B D2 L' U
L2 R2 U' B' L' B2 U
R2 L2 U' B' L' B2 U
R L2 U' B' L' U R'
L2 R2 D U' L' B U
R2 L2 D U' L' B U
L2 R2 D U' B L' U
R2 L2 D U' B L' U
L2 R2 D' U' L' B U
L2 R2 D' U' B L' U
R2 L2 D' U' L' B U
R2 L2 D' U' B L' U
L2 R2 D2 U' L' B U
L2 R2 D2 U' B L' U
R2 L2 D2 U' L' B U
R2 L2 D2 U' B L' U
B2 L2 U D F' R' U'
B' L2 U F' R U' B
B2 L2 U D' F' R' U'
B2 L2 U D2 F' R' U'
B2 L2 U F R' F2 U'
B2 L2 U F' R' U' D
B2 L2 U F' R' U' D'
B2 L2 U F' R' U' D2
B2 L2 U F' R' D U'
B2 L2 U F' R' D' U'
B2 L2 U F' R' D2 U'
B2 L2 U F' D R' U'
B2 L2 U F' D' R' U'
B2 L2 U F' D2 R' U'
B L2 U D2 F' R U'
B2 L2 U F2 R' F U'
F L2 U F2 R U' F
F2 L2 U' B' L' U F2
L' R2 B' D' L' R2 B2
L' R2 B' D' L' B2 R2
L' R2 B' D' R2 L' B2
L' R2 B' D' R2 B2 L'
L' R2 B' D' B2 L' R2
L' R2 B' D' B2 R2 L'
L2 R2 B' U' L' B2 U
L2 R2 B' U' B2 L' U
R2 L2 B' U' L' B2 U
R2 L2 B' U' B2 L' U
B2 L2 D U F' R' U'
L2 R2 B2 U' B' L' U
R2 L2 B2 U' B' L' U
B2 L2 D' U F' R' U'
B L2 D' R' D B R'
L U L U L' F' U'
B2 L2 D2 U F' R' U'
B L2 D2 U F' R U'
F L2 F' U F' R U'
L2 U R U2 L' B' U
L2 U R' F2 R F' U'
B L2 B U F' R' U'
L2 U R2 U2 L' B U
L2 U R2 U2 B L' U
F2 L2 B' L' U L F2
F2 L2 B' L' U F2 L
B' L2 B' U F' R' U'
L2 U D F2 R F U'
L2 U D' F2 R F U'
L2 U D2 F2 R F U'
L2 U F' D R' U' B
L U F' B U' B' L
L2 U F2 R D F U'
L2 U F2 R D' F U'
L2 U F2 R D2 F U'
L2 U F2 R F U' D
L2 U F2 R F U' D'
L2 U F2 R F U' D2
L2 U F2 R F D U'
L2 U F2 R F D' U'
L2 U F2 R F D2 U'
L U F' B2 U' B2 L
L2 U F2 R' F R2 U'
L2 U F2 R2 F R' U'
L2 U F2 D R F U'
L2 U F2 D' R F U'
L2 U F2 D2 R F U'
L U B F' U' B' L
F' R D' B2 R' U' F
L U B2 F' U' B2 L
U R D' B2 R' F' U'
L2 U' L' R2 B R2 U
L2 U' L' U2 D F' U'
L2 U' L' U2 D' F' U'
L2 U' L' U2 D2 F' U'
L2 U' L' U2 F' U' D
L2 U' L' U2 F' U' D'
L2 U' L' U2 F' U' D2
L2 U' L' U2 F' D U'
L2 U' L' U2 F' D' U'
L2 U' L' U2 F' D2 U'
L2 U' L' D U2 F' U'
L2 U' L' D' U2 F' U'
L2 U' L' D2 U2 F' U'
L2 U' L' B U2 F' U'
L2 U' L' B' U2 F' U'
L2 U' L' B2 U2 F' U'
L' U' L2 U2 F' U' L
R2 U' L' B L2 U L
R2 U' L2 B L' U L
L2 U' R2 L' B R2 U
L2 U' R2 B L' R2 U
L2 U' R2 B R2 L' U
L2 U' D L' U2 F' U'
R2 U' D L F2 B U
R2 U' D L B F2 U
D' R B2 R' F' U' F
F' R B2 R' U' F L2
R2 U' D F2 L B U
L2 U' D' L' U2 F' U'
U R B2 R' F' U' L2
L2 U' D2 L' U2 F' U'
L2 U' B L' U2 F' U'
L2 U' B' L' U2 F' U'
L2 U' B2 L' U2 F' U'
F' R' D' B2 R' U' F
F' R' B2 R' U' F L2
D R2 L F2 B U F2
D R2 L B F2 U F2
L2 U2 F2 U' R F U'
D R2 U' L F2 B U
D R2 U' L B F2 U
D R2 U' F2 L B U
F' R2 D' B2 R' U' F
R2 D L F2 B U F2
R2 D L B F2 U F2
D R2 F2 L B U F2
L2 D R2 U' L' B U
L2 D R2 U' B L' U
F' R2 B2 R' U' F L2
L2 D U F2 R F U'
L2 D U' L' U2 F' U'
R2 D U' L F2 B U
R2 D U' L B F2 U
R2 D U' F2 L B U
U' D L F2 U2 F U'
U' D L' F2 L2 B' U
R2 D F2 L B U F2
D' U R B2 R' F' U'
R' D B D' L2 R' B
R' D B D' R' L2 B
R' D B D' R' B L2
D' U F B2 R' F2 U'
D' U F' R B2 R' U'
D' U F' R' B2 R' U'
D' U F' R2 B2 R' U'
B2 U D' F' R' B2 U'
D2 U F' D B2 R' U'
D' U F' B2 R' U' D
D' U F' B2 R' U' D'
D' U F' B2 R' U' D2
D' U F' B2 R' D U'
D' U F' B2 R' D' U'
D' U F' B2 R' D2 U'
D' U F' B2 D R' U'
D' U F' B2 D' R' U'
D' U F' B2 D2 R' U'
U' D F2 L2 B' L' U
L' D' L' U F' U' B2
D U F' U2 L F' U
D U F' U2 F' L U
D' U F2 B2 R' F U'
U D F' U2 L F' U
U D F' U2 F' L U
L' D' L' B2 U F' U'
B2 U F R' F2 U' L2
B' U F' R U' L2 B
B' U F' R U' B L2
B2 U F' R' U' L2 D
B2 U F' R' U' L2 D'
B2 U F' R' U' L2 D2
B2 U F' R' D' B2 U'
B2 U F' R' B U' L2
B2 U F' R' B' U' L2
B2 U F' R' B2 U' L2
B2 U F' D' R' B2 U'
B2 U F2 R' F U' L2
B U F' B R' U' L2
D' U B2 D F' R' U'
D' U B2 D' F' R' U'
D' U B2 D2 F' R' U'
D' U B2 F R' F2 U'
D' U B2 F' R' U' D
D' U B2 F' R' U' D'
D' U B2 F' R' U' D2
D' U B2 F' R' D U'
D' U B2 F' R' D' U'
D' U B2 F' R' D2 U'
D' U B2 F' D R' U'
D' U B2 F' D' R' U'
D' U B2 F' D2 R' U'
D' U B2 F2 R' F U'
D' U' L U2 F' B2 U'
D' U' L U2 B2 F' U'
U' D' L U2 F' B2 U'
U' D' L U2 B2 F' U'
L2 D' R2 U' L' B U
L2 D' R2 U' B L' U
B U B F' R' U' L2
D U' L F2 U2 F U'
L2 D' U F2 R F U'
L2 D' U' L' U2 F' U'
D U' L' F2 L2 B' U
L' D' F' U' F L' B2
L' D' F' U' F B2 L'
L' D' F' U' B2 F L'
U D' R B2 R' F' U'
U D' F B2 R' F2 U'
L' D' B2 L' U F' U'
U D' F' R B2 R' U'
U D' F' R' B2 R' U'
U D' F' R2 B2 R' U'
D U' F2 L2 B' L' U
U D' F' B2 R' U' D
U D' F' B2 R' U' D'
U D' F' B2 R' U' D2
U D' F' B2 R' D U'
U D' F' B2 R' D' U'
U D' F' B2 R' D2 U'
U D' F' B2 D R' U'
U D' F' B2 D' R' U'
U D' F' B2 D2 R' U'
U D' F2 B2 R' F U'
R D' B2 R' F' U' F
L' D2 L' U F' R2 U'
F' U' F L' D' L' B2
F' U' F L' D' B2 L'
F' U' F L2 U' L' U
F' U' F U' L U L
U D' B2 D F' R' U'
U D' B2 D' F' R' U'
U D' B2 D2 F' R' U'
U D' B2 F R' F2 U'
U D' B2 F' R' U' D
U D' B2 F' R' U' D'
U D' B2 F' R' U' D2
U D' B2 F' R' D U'
U D' B2 F' R' D' U'
U D' B2 F' R' D2 U'
U D' B2 F' D R' U'
U D' B2 F' D' R' U'
U D' B2 F' D2 R' U'
U D' B2 F2 R' F U'
L2 D2 R2 U' L' B U
L2 D2 R2 U' B L' U
L2 D2 U F2 R F U'
L2 D2 U' L' U2 F' U'
D2 U2 R2 U L B U
F' U2 L U L' F L2
U2 D2 R2 U L B U
L' D2 F' R2 U' F L'
U D2 F' D B2 R' U'
F' U2 D F2 L U F'
U' F L U L D R2
U' F L U D L R2
U' F L U D R2 L
U' F L U2 F2 U' L
U' F L D U L R2
U' F L D U R2 L
F' U2 F' L U L F2
F' U2 F' L U F2 L
F' U2 F2 L U L F'
F' U2 F2 L U F' L
L F U L D F' R2
L F U D L F' R2
L F U D F' L R2
L F U D F' R2 L
U' F D L F2 U R2
U' F D F2 L U R2
L' F D F' L' R2 B
L' F D F' R2 L' B
L' F D F' R2 B L'
F D L F2 U R2 F
F D L F2 U F R2
L F U2 F2 U' F L
L F D U L F' R2
L F D U F' L R2
L F D U F' R2 L
U F B2 R' F2 U' L2
F' D U2 F2 L U F'
D' F' R B2 R' U' F
F2 D F2 L R2 B U
F2 D F2 R2 L B U
D' F' R' B2 R' U' F
U F' R U2 L U L
U F' R D' B2 R' U'
U F' R B2 R' U' L2
D' F' R2 B2 R' U' F
