B2 L B' U' B'
B2 L R B' U' B'
B2 L R' B' U' B'
B2 L R2 B' U' B'
B2 L D' R2 B' U'
B2 L D' B' R2 U'
B' L B' L U' B2
B2 L B' R U' B'
B2 L B' R' U' B'
B2 L B' R2 U' B'
B2 L B' U' D B'
B2 L B' U' D' B'
B2 L B' U' D2 B'
B2 L B' U' B' D
B2 L B' U' B' D'
B2 L B' U' B' D2
B2 L B' D U' B'
B2 L B' D' U' B'
B2 L B' D2 U' B'
B2 R L B' U' B'
L' U' F R' U R
B2 R' L B' U' B'
B2 R2 L B' U' B'
B U' D' B' L F
B D' U' B' L F
L B2 L B U' B
B2 L R D' R2 B' U'
B2 L R D' B' R2 U'
B2 L R B' R U' B'
B2 L R B' R' U' B'
B2 L R B' R2 U' B'
B2 L R B' U' D B'
B2 L R B' U' D' B'
B2 L R B' U' D2 B'
B2 L R B' U' B' D
B2 L R B' U' B' D'
B2 L R B' U' B' D2
B2 L R B' D U' B'
B2 L R B' D' U' B'
B2 L R B' D2 U' B'
U2 L R' U2 B' U' B
B2 L R' D' R2 B' U'
B2 L R' D' B' R2 U'
L' R U' R2 F U R2
L' R U' F R2 U R2
B2 L R' B' R U' B'
B2 L R' B' R' U' B'
B2 L R' B' R2 U' B'
B2 L R' B' U' D B'
B2 L R' B' U' D' B'
B2 L R' B' U' D2 B'
B2 L R' B' U' B' D
B2 L R' B' U' B' D'
B2 L R' B' U' B' D2
B2 L R' B' D U' B'
B2 L R' B' D' U' B'
B2 L R' B' D2 U' B'
B2 L R2 D' R2 B' U'
B2 L R2 D' B' R2 U'
B2 L R2 B' R U' B'
B2 L R2 B' R' U' B'
B2 L R2 B' R2 U' B'
L' R U2 F R2 U B
B2 L R2 B' U' D B'
B2 L R2 B' U' D' B'
B2 L R2 B' U' D2 B'
B2 L R2 B' U' B' D
B2 L R2 B' U' B' D'
B2 L R2 B' U' B' D2
B2 L R2 B' D U' B'
B2 L R2 B' D' U' B'
B2 L R2 B' D2 U' B'
B2 L U' B D L2 B
B2 L U' B D B L2
B2 L U' B2 U B U'
B2 L U2 L2 F U B2
B2 L U2 D L2 F U
L R D' B' U' F2 B
L R D' B' U' B F2
L' R D2 L2 B' U' B
R L D' B' U' F2 B
R L D' B' U' B F2
L R D2 B' L2 U' B
R L D2 B' L2 U' B
B2 L D U2 L2 F U
L' R F R2 B U B'
B2 L D B' U' D' B2
B2 L D B' U2 L2 U
B2 L D B' D' U' B2
B2 L D B' D2 R2 U'
B2 L D' R B' R U'
B2 L D' R2 D B' U'
B2 L D' R2 D' B' U'
B2 L D' R2 D2 B' U'
B2 L D' R2 B' U' D
B2 L D' R2 B' U' D'
B2 L D' R2 B' U' D2
B2 L D' R2 B' D U'
B2 L D' R2 B' D' U'
B2 L D' R2 B' D2 U'
B2 L D' B R2 B2 U'
B2 L D' B' R2 U' D
B2 L D' B' R2 U' D'
B2 L D' B' R2 U' D2
B2 L D' B' R2 D U'
B2 L D' B' R2 D' U'
B2 L D' B' R2 D2 U'
B2 L D' B' U' D B2
B2 L D' B' D U' B2
B2 L D2 B' U F2 U2
B2 L D2 B' U' D2 B2
B2 L D2 B' D R2 U'
B2 L D2 B' D2 U' B2
L R B' U' D' F2 B
L R B' U' D' B F2
L R B' U' B D' F2
R L B' U' D' F2 B
R L B' U' D' B F2
R L B' U' B D' F2
L R B' D' U' F2 B
L R B' D' U' B F2
L R B' D2 L2 U' B
R L B' D' U' F2 B
R L B' D' U' B F2
R L B' D2 L2 U' B
B2 L B U' D L2 B
B2 L B U' D B L2
B2 L B D U' L2 B
B2 L B D U' B L2
B' L B' L R U' B2
B' L B' L R' U' B2
B' L B' L R2 U' B2
B' L B' L U' B2 D
B' L B' L U' B2 D'
B' L B' L U' B2 D2
B' L B' L D' R2 U'
B' L B' R L U' B2
B' L B' R' L U' B2
B2 L B' R U' D B'
B2 L B' R U' D' B'
B2 L B' R U' D2 B'
B2 L B' R U' B' D
B2 L B' R U' B' D'
B2 L B' R U' B' D2
B2 L B' R D U' B'
B2 L B' R D' U' B'
B2 L B' R D2 U' B'
B' L B' R2 L U' B2
B2 L B' R' U' D B'
B2 L B' R' U' D' B'
B2 L B' R' U' D2 B'
B2 L B' R' U' B' D
B2 L B' R' U' B' D'
B2 L B' R' U' B' D2
B2 L B' R' D U' B'
B2 L B' R' D' U' B'
B2 L B' R' D2 U' B'
B2 L B' R2 U' D B'
B2 L B' R2 U' D' B'
B2 L B' R2 U' D2 B'
B2 L B' R2 U' B' D
B2 L B' R2 U' B' D'
B2 L B' R2 U' B' D2
B2 L B' R2 D U' B'
B2 L B' R2 D' U' B'
B2 L B' R2 D2 U' B'
B2 L B' U F U2 B'
B2 L B' U F' U2 B'
B2 L B' U F2 U2 B'
B2 L B' U' R' B' R
B2 L B' U' R2 B' R2
B2 L B' U' D B' D
B2 L B' U' D B' D'
B2 L B' U' D B' D2
B2 L B' U' D' B' D
B2 L B' U' D' B' D'
B2 L B' U' D' B' D2
B2 L B' U' D2 B' D
B2 L B' U' D2 B' D'
B2 L B' U' D2 B' D2
B2 L B' U' B2 D B
B2 L B' U' B2 D' B
B2 L B' U' B2 D2 B
B' L B' D' L R2 U'
B2 L B' D R U' B'
B' L B' D' R2 L U'
B2 L B' D R' U' B'
B2 L B' D R2 U' B'
B2 L B' D U' B' D
B2 L B' D U' B' D'
B2 L B' D U' B' D2
R2 L' U' R F U R'
B2 L B' D' R U' B'
B2 L B' D' R' U' B'
B2 L B' D' R2 U' B'
B2 L B' D' U' B' D
B2 L B' D' U' B' D'
B2 L B' D' U' B' D2
B2 L B' D2 R U' B'
B2 L B' D2 R' U' B'
B2 L B' D2 R2 U' B'
B2 L B' D2 U' B' D
B2 L B' D2 U' B' D'
B2 L B' D2 U' B' D2
R L' U' R2 F U R2
R L' U' F R2 U R2
B2 L B2 D B U' B'
B2 L B2 D' B U' B'
B2 L B2 D2 B U' B'
R L' U2 F R2 U B
U2 L' R F R2 U B
U2 L' R' F U' F' U2
R L' D2 L2 B' U' B
U2 L' U F R' U R
F' L' U' R' F U R
U' L' U' R' F L U
F' L' U' F R' U R2
R L' F R2 B U B'
U' L' U' F L R' U
U' L' U' F R' L U
U' L' F L R' U R
U' L' F R' L U R
L' R2 U' R F U R'
B2 L' B L2 B' U' B2
B2 L' B2 L2 B' U' B
F' L2 R' B' U B L
B2 L2 D' L' R2 B' U'
B2 L2 D' L' B' R2 U'
B2 L2 D' R2 L' B' U'
B2 L2 B L' B' U' B2
B2 L2 B2 L' B' U' B
B2 R L D' R2 B' U'
B2 R L D' B' R2 U'
B2 R L B' R U' B'
B2 R L B' R' U' B'
B2 R L B' R2 U' B'
B2 R L B' U' D B'
B2 R L B' U' D' B'
B2 R L B' U' D2 B'
B2 R L B' U' B' D
B2 R L B' U' B' D'
B2 R L B' U' B' D2
B2 R L B' D U' B'
B2 R L B' D' U' B'
B2 R L B' D2 U' B'
U2 R L' F R2 U B
D2 R U' F' R2 U R2
B R U' D' B' L F
B R D' U' B' L F
L' U' R F R2 U R
L U' R' U2 B' U' R
B R B L B' U' B'
L' U' D F R' U R
L' U' D' F R' U R
B2 R' L D' R2 B' U'
L' U' D2 F R' U R
U2 R' L U2 B' U' B
B2 R' L D' B' R2 U'
R2 U' D2 R F' U R'
B2 R' L B' R U' B'
B2 R' L B' R' U' B'
B2 R' L B' R2 U' B'
B2 R' L B' U' D B'
B2 R' L B' U' D' B'
B2 R' L B' U' D2 B'
B2 R' L B' U' B' D
B2 R' L B' U' B' D'
B2 R' L B' U' B' D2
B2 R' L B' D U' B'
B2 R' L B' D' U' B'
B2 R' L B' D2 U' B'
L' U' F R' U R D
L' U' F R' U R D'
L' U' F R' U R D2
L' U' F R' U D R
L' U' F R' U D' R
L' U' F R' U D2 R
L' U' F R' D U R
L' U' F R' D' U R
L' U' F R' D2 U R
L' U' F R' B U R
L' U' F R' B' U R
L' U' F R' B2 U R
L' U' F D R' U R
L' U' F D' R' U R
U2 R' L' F U' F' U2
L' U' F D2 R' U R
F' R' L2 B' U B L
