B' U' R' U' L
B' R U' R2 U' L
B' R U2 L D B2
B' R U2 D L B2
B' R D U2 L B2
B' R D' F2 U2 L
B R' B2 U' R' U'
B' R2 U' R U' L
B' U' R' U' L D
B' U' R' U' L D'
B' U' R' U' L D2
B' U' R' U' D L
B' U' R' U' D' L
B' U' R' U' D2 L
B' U' R' D U' L
B' U' R' D' U' L
B' U' R' D2 U' L
B' U' D R' U' L
B' U' D' R' U' L
B' U' D2 R' U' L
B' U2 L U R' U'
B' D U' R' U' L
B2 D B U2 L B'
B' D' U' R' U' L
B' D2 U' R' U' L
B' F U' R' U' L
R' B' U' R' U' L
R2 B' U' R' U' L
D' B' U' R' B U'
R B' U' R' U' L
F' B' U' R' U' L
B' F' U' R' U' L
F2 B' U' R' U' L
F B' U' R' U' L
B' F2 U' R' U' L
B L U' L' R' B2 U2
B L U' L' B2 U2 L
B L U' R' L' B2 U2
B L U' R' B2 L' U2
B L U' B2 L' U2 L2
U' L' U' B' L' F L2
U' L2 U' F L B' L
U' L2 U' F B' L B'
U' L2 U' B' F L B'
U' L2 B' U' F L B'
B' R U D2 L2 U L'
B' R U' R2 U' L D
B' R U' R2 U' L D'
B' R U' R2 U' L D2
B' R U' R2 U' D L
B' R U' R2 U' D' L
B' R U' R2 U' D2 L
B' R U' R2 D U' L
B' R U' R2 D' U' L
B' R U' R2 D2 U' L
B' R U2 L U R2 U'
B' R U2 L D B2 D
B' R U2 L D B2 D'
B' R U2 L D B2 D2
B' R U2 L B D B2
B' R U2 L B' D B2
B' R U2 L B2 D B2
B' R U2 L2 D L' B2
B' R U2 L2 D B2 L'
B' R U2 D L B2 D
B' R U2 D L B2 D'
B' R U2 D L B2 D2
B' R U2 D L' B2 L2
B' R U2 D L2 B2 L'
B' R U2 D' L D2 B2
U R U' B' U2 L B2
B' R U2 B2 D B2 L
B' R D R U2 L B2
B' R D R' U2 L B2
B' R D R2 U2 L B2
B' R D U2 L B2 D
B' R D U2 L B2 D'
B' R D U2 L B2 D2
B' R D U2 L' B2 L2
B' R D U2 L2 B2 L'
B' R D F U2 L B2
B' R D F' U2 L B2
B' R D F2 U2 L B2
B' R D' R F2 U2 L
B' R D' R' F2 U2 L
B' R D' R2 F2 U2 L
B' R D' U2 L D2 B2
B' R D' F2 R U2 L
B' R D' F2 R' U2 L
B' R D' F2 R2 U2 L
B' R D' F2 U2 L D
B' R D' F2 U2 L D'
B' R D' F2 U2 L D2
B' R D' F2 U2 D L
B' R D' F2 U2 D' L
B' R D' F2 U2 D2 L
B' R D' F2 D U2 L
B' R D' F2 D' U2 L
B' R D' F2 D2 U2 L
L' U' L F B' U2 L
B' R D2 U L2 U L'
L' U' L B' F U2 L
B' R F U' R2 U' L
B' R F U2 L D B2
B' R F U2 D L B2
B' R F D U2 L B2
B' R F D' F2 U2 L
B' R F' U' R2 U' L
B' R F' U2 L D B2
B' R F' U2 D L B2
B' R F' D U2 L B2
L2 U' L2 B' U2 L B'
B' R F' D' F2 U2 L
B' R F2 U' R2 U' L
B' R F2 U2 L D B2
B' R F2 U2 D L B2
B' R F2 D U2 L B2
B' R F2 D' F2 U2 L
F' R B' U' R' U' L
F2 R B' U' R' U' L
F R B' U' R' U' L
B R B2 R2 U' R U'
L2 U' D2 R2 F L' B'
L2 U' D2 F L' R2 B'
L2 U' D2 F L' B' R2
L2 U' D2 F R2 L' B'
B R' U L U D2 F2
B R' U L U' B2 U2
B R' U L D' R2 U
B R' U L D2 U F2
B R' U D' L R2 U
B R' U D' R2 L U
B R' U D2 L U F2
B' R' U' B U' B' L
B' R' U' B2 U' B2 L
B' R' U2 L U' L' U
B' R' U2 L2 D' L' B2
B' R' U2 L2 D' B2 L'
U R' U' F' B' U2 L
U R' U' B' F' U2 L
B R' D' U L R2 U
B R' D' U R2 L U
B R' D2 U L U F2
B R' F B2 U' R' U'
B R' F' B2 U' R' U'
B R' F2 B2 U' R' U'
D' R' B' U' R' B2 U'
F' R' B' U' R' U' L
F2 R' B' U' R' U' L
F R' B' U' R' U' L
B R' B2 U' R' U' D
B R' B2 U' R' U' D'
B R' B2 U' R' U' D2
B R' B2 U' R' D U'
B R' B2 U' R' D' U'
B R' B2 U' R' D2 U'
B R' B2 U' D R' U'
B R' B2 U' D' R' U'
B R' B2 U' D2 R' U'
B R' B2 D U' R' U'
B R' B2 D' U' R' U'
B R' B2 D2 U' R' U'
B R' B2 F U' R' U'
B R' B2 F' U' R' U'
B R' B2 F2 U' R' U'
B' R2 U F2 L' U L2
B' R2 U' R U' L D
B' R2 U' R U' L D'
B' R2 U' R U' L D2
B' R2 U' R U' D L
B' R2 U' R U' D' L
B' R2 U' R U' D2 L
B' R2 U' R D U' L
B' R2 U' R D' U' L
B' R2 U' R D2 U' L
B' R2 U' D R U' L
B' R2 U' D' R U' L
B' R2 U' D2 R U' L
B' R2 U2 L U R U'
B' R2 D U' R U' L
B' R2 D' U' R U' L
B' R2 D2 U' R U' L
