F2 L U R U B L
U' L F U' L2 U' L
U' L F U2 D L' F2
U' L F D U2 L' F2
U' L F D' B2 U2 L'
U' L' U L2 F U2 L'
U' L' U' D2 R2 B' L
U' L' U' D2 B' L R2
U' L' U' D2 B' R2 L
U' L' D2 U' R2 B' L
U' L' D2 U' B' L R2
U' L' D2 U' B' R2 L
L' U L2 R' F' R U2
L' U L2 F U2 L' B'
L' U L2 F' R U2 B
L' U R' L2 F' R U2
L' U R' F' L2 R U2
L' U R' F' R L2 U2
L' U F' L2 R U2 B
L' U F' R L2 U2 B
L' U' D2 L' R2 B' L
L' U' D2 L' B' L R2
L' U' D2 L' B' R2 L
L' U' D2 R2 L' B' L
L' D F2 B' R' B U'
L' D B' R' F2 B U'
L' D B' R' B F2 U'
L' D B' F2 R' B U'
L' D2 U' L' R2 B' L
L' D2 U' L' B' L R2
L' D2 U' L' B' R2 L
F U' B' L' B' R' F'
L' D2 U' R2 L' B' L
F U' B2 L' R' F' B'
F U' B2 L' R' B' F'
F U' B2 R' L' F' B'
F U' B2 R' L' B' F'
L' D2 B' R' U' L R'
L' D2 B' R' U' R' L
L' F U' D2 L' R2 B'
L' F U' D2 L' B' R2
L' F U' D2 R2 L' B'
L F U' L2 U' L B'
L' F D2 U' L' R2 B'
L' F D2 U' L' B' R2
L' F D2 U' R2 L' B'
L' F' U L2 R U2 B
L' F' U R L2 U2 B
L' F' D F2 U' L' B'
L' B' D R' F2 B U'
L' B' D R' B F2 U'
L' B' D F2 R' B U'
