L F' D' L2 R2
L F' D' R2 L2
F' L U' F B2 U
F' L U' B2 F U
B2 L F U F2 B2
B2 L F U B2 F2
D' L F' R2 D' L2
L U' F B2 U F2
L U' B2 F U F2
L2 D F L' F2 R
B2 U F' B L B
B2 U B L F' B
B2 U B L B F'
B2 U B F' L B
L D' F' R2 D' L2
B2 U' F' L' B2 R'
F' U' F' B2 U L'
F' U' B2 F' U L'
U' F B2 U F2 L'
L F B2 U F2 B2
L F B2 U B2 F2
L F' L D' L2 R2
L F' L D' R2 L2
L F' L' D' L2 R2
L F' L' D' R2 L2
L F' L2 D' L2 R2
L F' L2 D' R2 L2
L F' R D' L2 R2
L F' R D' R2 L2
L F' R' D' L2 R2
L F' R' D' R2 L2
L F' R2 D' L2 R2
L F' R2 D' R2 L2
L F' U' F2 B2 U
L F' U' B2 F2 U
L F' D' L2 R2 D
L F' D' L2 R2 D'
L F' D' L2 R2 D2
L F' D' R2 L2 D
L F' D' R2 L2 D'
L F' D' R2 L2 D2
U' F2 B2 U F L'
U' B2 F U F2 L'
L B2 F U F2 B2
L B2 F U B2 F2
U' B2 F2 U F L'
F' L R U' F B2 U
F' L R U' B2 F U
F' L R' U' F B2 U
F' L R' U' B2 F U
F' L R2 U' F B2 U
F' L R2 U' B2 F U
B2 L U F' B2 D' L2
B2 L U B2 F' D' L2
F' L U' D' F U R2
F' L U' F U D' R2
F' L U' F D' U R2
F' L U' F B2 U D
F' L U' F B2 U D'
F' L U' F B2 U D2
F' L U' F B2 D U
F' L U' F B2 D' U
F' L U' F B2 D2 U
D' L U' F U R2 F2
D' L U' F U F2 R2
F L U' F B2 U F
F' L U' B2 D F U
F' L U' B2 D' F U
F' L U' B2 D2 F U
R2 L D' R2 F' D' L2
F' L U' B2 F U D
F' L U' B2 F U D'
F' L U' B2 F U D2
F' L U' B2 F D U
F' L U' B2 F D' U
F' L U' B2 F D2 U
F L U' B2 F U F
D2 L D F' R2 D' L2
B2 L D F L2 U F2
D' L D F' D' L2 R2
D' L D F' D' R2 L2
F' L D' R2 U' F U
F' L D' U' F U R2
F' L D' U' F U R2
R2 L F' D' L2 R2 F'
R2 L F' D' R2 L2 F'
R2 L F' D' R2 F' L2
D2 L D2 F' D' L2 R2
D2 L D2 F' D' R2 L2
B2 L F L U F2 B2
B2 L F L U B2 F2
B2 L F L' U F2 B2
B2 L F L' U B2 F2
B2 L F L2 U F2 B2
B2 L F L2 U B2 F2
B2 L F R U F2 B2
B2 L F R U B2 F2
D' L F R2 F2 D' L2
B2 L F R' U F2 B2
B2 L F R' U B2 F2
B2 L F R2 U F2 B2
B2 L F R2 U B2 F2
B2 L F U F2 B2 D
B2 L F U F2 B2 D'
B2 L F U F2 B2 D2
B2 L F U B2 F2 D
B2 L F U B2 F2 D'
B2 L F U B2 F2 D2
B2 L F D L2 R2 U
B2 L F D R2 L2 U
F' L F B2 U F' B2
F' L F B2 U B2 F'
D' L F' L R2 D' L2
D' L F' L' R2 D' L2
D' L F' L2 R2 D' L2
F L F B2 U F B2
F L F B2 U B2 F
D' L F' R D' L2 R
D' L F' R D' R L2
D' L F' R' D' L2 R'
D' L F' R' D' R' L2
D' L F' R2 L D' L2
D' L F' R2 L' D' L2
D' L F' R2 L2 D' L2
D' L F' R2 U' F2 U
D' L F' R2 D' L2 D
D' L F' R2 D' L2 D'
D' L F' R2 D' L2 D2
D' L F' U' F2 U R2
D' L F' D' L2 D R2
F' L F' D' R2 F L2
F' L F' D' F L2 R2
F' L F' D' F R2 L2
F L F' D' L2 F' R2
F L F' D' F' L2 R2
F L F' D' F' R2 L2
B2 L F' B2 D' L2 R2
B2 L F' B2 D' R2 L2
F L F2 U' F' B2 U
F L F2 U' B2 F' U
F' L B2 F U F' B2
F' L B2 F U B2 F'
F L B2 F U F B2
F L B2 F U B2 F
B2 L B2 F' D' L2 R2
B2 L B2 F' D' R2 L2
F' L' U D' B' U' R2
F' L' U D2 F2 B' U'
F' L' U D2 B' F2 U'
D2 L' U F2 B' U' F
D2 L' U B' F2 U' F
D' L' U B' U' F' R2
F' L' U B' U2 B' U
F' L' U' B2 U2 B U'
B2 L' U2 B' U' F' B'
B2 L' U2 B' U' B' F'
B2 L' D L2 F U F2
F' L' D' R2 U B' U'
F' L' D' U B' U' R2
F' L' D2 U F2 B' U'
F' L' D2 U B' F2 U'
U' L' F' L' D' R2 B2
U' L' F' L' D' B2 R2
D' L' F' R2 U B' U'
D2 L' F' U F' B' U'
D' L' F' U B' U' R2
D2 L' F' U B' F' U'
D2 L' F2 B' U' F B
D2 L' F2 B' U' B F
B' L' B D L2 F' R
B' L' B D F' L2 R
B' L' B D F' R L2
D' L' B' U' F' B R2
D' L' B' U' B F' R2
D2 L' B' F2 U' F B
D2 L' B' F2 U' B F
L R2 D' R2 F' D' L2
L R2 F' D' L2 R2 F'
L R2 F' D' R2 L2 F'
L R2 F' D' R2 F' L2
D2 L2 D F L' R2 F2
D2 L2 D F L' F2 R2
D2 L2 D F R2 L' F2
F' L2 D' R2 B' L B
U' L2 D' F' L' R2 B2
U' L2 D' F' L' B2 R2
U' L2 D' F' R2 L' B2
U' L2 D' F' R2 B2 L'
U' L2 D' F' B2 L' R2
U' L2 D' F' B2 R2 L'
F' L2 D' B' L B R2
U' L2 D' B2 F' L' R2
U' L2 D' B2 F' R2 L'
U' L2 F' D' L' R2 B2
U' L2 F' D' L' B2 R2
U' L2 F' D' R2 L' B2
U' L2 F' D' R2 B2 L'
U' L2 F' D' B2 L' R2
U' L2 F' D' B2 R2 L'
D' L2 F2 R2 D F L'
L' U D' B' U' F' R2
F' R L U' F B2 U
F' R L U' B2 F U
L' U D2 F2 B' U' F
L' U D2 B' F2 U' F
F' R U' F' B2 U L'
F' R U' B2 F' U L'
L' U B' L2 F U' F2
L' U B' U2 B' U F'
F' R' L U' F B2 U
F' R' L U' B2 F U
L U' D' F U R2 F2
L U' D' F U F2 R2
L U' F R B2 U F2
L U' F R' B2 U F2
L U' F R2 B2 U F2
L U' F U F2 D' R2
L U' F B2 R U F2
L U' F B2 R' U F2
L U' F B2 R2 U F2
L U' F B2 U F2 D
L U' F B2 U F2 D'
L U' F B2 U F2 D2
L U' F B2 D R2 U
F' R' U' F' B2 U L'
F' R' U' B2 F' U L'
L' U' B2 U2 B U' F'
L U' B2 U F' D' L2
L U' B2 D F U F2
L U' B2 D' F U F2
L U' B2 D2 F U F2
L U' B2 F R U F2
L U' B2 F R' U F2
L U' B2 F R2 U F2
L U' B2 F U F2 D
L U' B2 F U F2 D'
L U' B2 F U F2 D2
L U' B2 F D R2 U
F' R2 L U' F B2 U
F' R2 L U' B2 F U
L U2 F' D' L2 R2 B'
L U2 F' D' L2 B' R2
L U2 F' D' R2 L2 B'
F' R2 U' F' B2 U L'
F' R2 U' B2 F' U L'
B2 R2 U' B U2 B L
U2 R2 D L2 B R' U2
U2 R2 D B L2 R' U2
U2 R2 D B R' L2 U2
B2 U L F' B L B
B2 U L B L F' B
B2 U L B L B F'
B2 U L B F' L B
L2 D F L' R F2 R
L2 D F L' R' F2 R
L2 D F L' R2 F2 R
L2 D F L' F2 R D
L2 D F L' F2 R D'
L2 D F L' F2 R D2
L2 D F L' F2 D R
L2 D F L' F2 D' R
L2 D F L' F2 D2 R
L2 D F R L' F2 R
L2 D F R' L' F2 R
L2 D F R2 L' F2 R
B2 U L' F' B L B
B2 U L' B L F' B
B2 U L' B L B F'
B2 U L' B F' L B
L2 D F' R' D2 L2 R2
L2 D F' R' D2 R2 L2
B2 U L2 F' B L B
B2 U L2 B L F' B
B2 U L2 B L B F'
B2 U L2 B F' L B
L2 D F' U2 L2 R U2
L2 D F' U2 R L2 U2
L D F' D' L2 D' R2
L D F' D2 R2 D L2
F' U D' B U' L R2
F' U D' B U' R2 L
R2 D' L R2 F' D' L2
F' U D2 F2 B U' L
F' U D2 B F2 U' L
D2 U F2 B U' F L
D' U B U' L F' R2
D' U B U' F' L R2
D' U B U' F' R2 L
B2 U F B L F2 B
B2 U F B L B F2
L' D' L2 F' R2 D' L2
B2 U F' L B L B
B2 U F' L' B L B
B2 U F' L2 B L B
D2 U B F2 U' F L
B' U F' B L D' R2
B' U F' B D' L R2
B' U F' B D' R2 L
B2 U F' B L D B
B2 U F' B L D' B
B2 U F' B L D2 B
B2 U F' B L B D
B2 U F' B L B D'
B2 U F' B L B D2
B2 U F' B L' B L2
B2 U F' B L2 B L'
B2 U F' B D L B
B2 U F' B D' L B
B2 U F' B D2 L B
B' U B L D' F' R2
B' U B L F' D' R2
B2 U F2 B2 D2 F L'
B2 U B L D F' B
B2 U B L D B F'
B2 U B L D' F' B
B2 U B L D' B F'
B2 U B L D2 F' B
B2 U B L D2 B F'
B2 U B L F' D B
B2 U B L F' D' B
B2 U B L F' D2 B
B2 U B L F' B D
B2 U B L F' B D'
B2 U B L F' B D2
B2 U B L B D F'
B2 U B L B D' F'
B2 U B L B D2 F'
B2 U B L B F' D
B2 U B L B F' D'
B2 U B L B F' D2
B2 U B L' F' L2 B
B2 U B L' F' B L2
B2 U B L' B L2 F'
B2 U B L' B F' L2
B2 U B L2 B L' F'
B' U B D' L F' R2
B' U B D' F' L R2
B' U B D' F' R2 L
B' U B F' L D' R2
B2 U B D L F' B
B2 U B D L B F'
B' U B F' D' L R2
B' U B F' D' R2 L
B2 U B D F' L B
B2 U B D' L F' B
B2 U B D' L B F'
B2 U B D' F' L B
B2 U B D2 L F' B
B2 U B D2 L B F'
B2 U B D2 F' L B
B2 U B F L F2 B
B2 U B F L B F2
B2 U B F' L D B
B2 U B F' L D' B
B2 U B F' L D2 B
B2 U B F' L B D
B2 U B F' L B D'
B2 U B F' L B D2
B2 U B F' L' B L2
B2 U B F' L2 B L'
B2 U B F' D L B
B2 U B F' D' L B
B2 U B F' D2 L B
R2 D' R2 L F' D' L2
B U B U L F' B2
B U B U L B2 F'
B U B U F' L B2
B' U B' U F' B2 L
B' U B' U B2 L F'
L2 D' R2 U2 B R' U2
B' U B' U B2 F' L
L' D' U B' U' F' R2
B2 U B2 D2 F L' F2
B2 U B2 F2 D2 F L'
L D' U' F U R2 F2
L D' U' F U F2 R2
B2 U' L' F' B2 L' R'
B2 U' L' F' B2 R' L'
B2 U' L' B2 F' L' R'
B2 U' L' B2 F' R' L'
L' D' F' R2 U B' U'
L' D' F' U B' U' R2
L D' F R2 F2 D' L2
L2 D' F' R2 B' L B
L2 D' F' B' L B R2
L D' F' L R2 D' L2
L D' F' L' R2 D' L2
L D' F' L2 R2 D' L2
L D' F' R D' L2 R
L D' F' R D' R L2
D' U' F U F2 L' R2
U' D' F U F2 L' R2
D' U' F U F2 R2 L'
U' D' F U F2 R2 L'
L D' F' R' D' L2 R'
L D' F' R' D' R' L2
L D' F' R2 L D' L2
L D' F' R2 L' D' L2
L D' F' R2 L2 D' L2
L D' F' R2 U' F2 U
L D' F' R2 D' L2 D
L D' F' R2 D' L2 D'
L D' F' R2 D' L2 D2
L2 D' F2 R2 D2 F L'
L D' F' U' F2 U R2
L D' F' D' L2 D R2
L' D' B' U' F' B R2
L' D' B' U' B F' R2
L2 D' B' L F' B R2
L2 D' B' L B F' R2
D' U' F2 U R2 F L'
U' D' F2 U R2 F L'
D' U' F2 U F L' R2
D' U' F2 U F R2 L'
U' D' F2 U F L' R2
U' D' F2 U F R2 L'
B2 U' R2 B U2 B L
L2 D' B' F' L B R2
F' U' D' F' U L' R2
F' U' D' F' U R2 L'
U D' B U' L F' R2
U D' B U' F' L R2
U D' B U' F' R2 L
B2 U' D2 F2 U2 F L'
B2 U' F R U2 F2 B2
B2 U' F R U2 B2 F2
B2 U' F U2 F2 L' B2
B2 U' F U2 F2 B2 L'
B2 U' F U2 B2 F2 L'
F' U' F B2 U' R U2
B' U' F' L' D' B R'
B2 U' F' L' R B2 R'
B2 U' F' L' R' B2 R'
B2 U' F' L' R2 B2 R'
B2 U' F' L' B2 R' D
B2 U' F' L' B2 R' D'
B2 U' F' L' B2 R' D2
B2 U' F' L' B2 D R'
B2 U' F' L' B2 D' R'
B2 U' F' L' B2 D2 R'
B2 U' F' R L' B2 R'
B2 U' F' R' L' B2 R'
F' U' F' U L' D' R2
F' U' F' U D' L' R2
F' U' F' U D' R2 L'
B2 U' F' R2 L' B2 R'
F' U' F' D' U L' R2
F' U' F' D' U R2 L'
B' U' F' B L' D' R2
B' U' F' B D' L' R2
B' U' F' B D' R2 L'
