F2 U B U F
F2 L2 B' U B2 U
F2 L2 B' U2 D' R2
F2 L2 B' D L2 U2
F2 L2 B' D' U2 R2
D' U L2 B U F'
F2 U R' U F R
F2 U D B U F
F2 U D' B U F
F2 U D2 B U F
D' U B L2 U F'
D2 U B U F' B
D2 U B U B F'
F2 U B R U F
F2 U B R' U F
F2 U B R2 U F
F2 U B U D F
F2 U B U D' F
F2 U B U D2 F
F2 U B U F D
F2 U B U F D'
F2 U B U F D2
F2 U B D U F
F2 U B D' U F
F2 U B D2 U F
U D' L2 B U F'
U D' B L2 U F'
U D2 B U F' B
U D2 B U B F'
F2 U2 R2 F D R2
F2 U2 F U' B U
B' U2 F' D' R2 B
F2 D U B U F
U2 F' B' D' R2 B
F2 D' U B U F
L' F2 U B U F
L2 F2 U B U F
L F2 U B U F
F2 D2 U B U F
U B U D2 F' B2
U B U D2 B2 F'
U B U' F2 U2 F
U B D' L2 U F'
U B D2 U F' B2
U B D2 U B2 F'
F2 B' U B2 U F
U2 B' F' D' R2 B
F2 B' U2 D' R2 F
F2 B' U2 D' F R2
F2 B' U2 F D' R2
F2 B' D L2 B' U2
F2 B' D' U2 R2 F
F2 B' D' U2 F R2
B' F2 U B2 U F
B2 F2 U B' U F
F2 B2 U B' U F
B' F2 U2 D' R2 F
B' F2 U2 D' F R2
B' F2 U2 F D' R2
B' F2 D L2 B' U2
B' F2 D' U2 R2 F
B' F2 D' U2 F R2
D' L U L B U F'
F2 L U D' B R' U
D2 L U B U F' B
D2 L U B U B F'
B' L U2 F' D' R2 B
U L D' L2 B U F'
F2 L D' U B R' U
U L D' B L2 U F'
U L D2 B U F' B
U L D2 B U B F'
F' L F' U B U F
B' L F2 U B2 U F
B' L F2 U2 D' R2 F
B' L F2 U2 D' F R2
B' L F2 U2 F D' R2
B' L F2 D L2 B' U2
B' L F2 D' U2 R2 F
B' L F2 D' U2 F R2
U L B U D2 F' B2
U L B U D2 B2 F'
U L B U' F2 U2 F
U L B D' L2 U F'
U L B D2 U F' B2
U L B D2 U B2 F'
D' L' U L' B U F'
D2 L' U B U F' B
D2 L' U B U B F'
D' L' U B L' U F'
F2 L' U B U2 L U'
F2 L' U B' R' B2 U
F L' U B L U F2
B' L' U2 F' D' R2 B
U L' D' L2 B U F'
U L' D' B L2 U F'
U L' D2 B U F' B
U L' D2 B U B F'
F' L' F' U B U F
B' L' F2 U B2 U F
B' L' F2 U2 D' R2 F
B' L' F2 U2 D' F R2
B' L' F2 U2 F D' R2
B' L' F2 D L2 B' U2
B' L' F2 D' U2 R2 F
B' L' F2 D' U2 F R2
U L' B U D2 F' B2
U L' B U D2 B2 F'
U L' B U' F2 U2 F
U L' B D' L2 U F'
U L' B D2 U F' B2
U L' B D2 U B2 F'
F2 L' B2 U B' R' U
D2 L2 U B U F' B
D2 L2 U B U B F'
D' L2 U B U F' B'
D' L2 U B U B' F'
F2 L2 U B U D2 F2
F2 L2 U B U' B2 U2
F2 L2 U B D' R2 U
F2 L2 U B D2 U F2
F L2 U B U F2 B2
F L2 U B U B2 F2
B' L2 U2 F' D' R2 B
B2 L2 U2 F' D R2 B
F L2 U2 F2 B' D' R2
F L2 U2 B' F2 D' R2
F2 L2 D B' U B2 U
F2 L2 D B' U2 D' R2
F2 L2 D B' D L2 U2
F2 L2 D B' D' U2 R2
U L2 D' L2 B U F'
F2 L2 D' B' U B2 U
F2 L2 D' B' U2 D' R2
F2 L2 D' B' D L2 U2
F2 L2 D' B' D' U2 R2
U L2 D' B L2 U F'
F2 L2 D2 B' U B2 U
F2 L2 D2 B' U2 D' R2
F2 L2 D2 B' D L2 U2
F2 L2 D2 B' D' U2 R2
U L2 D2 B U F' B
U L2 D2 B U B F'
F' L2 F' U B U F
B' L2 F2 U B2 U F
B' L2 F2 U2 D' R2 F
B' L2 F2 U2 D' F R2
B' L2 F2 U2 F D' R2
B' L2 F2 D L2 B' U2
B2 L2 F2 U' F' U' F2
B' L2 F2 D' U2 R2 F
B' L2 F2 D' U2 F R2
B2 L2 F2 U2 F D R2
U L2 B U D2 F' B2
U L2 B U D2 B2 F'
F2 L2 B' L U B2 U
F2 L2 B' L U2 D' R2
F2 L2 B' L D L2 U2
F2 L2 B' L D' U2 R2
U L2 B U' F2 U2 F
F2 L2 B' L' U B2 U
F2 L2 B' L' U2 D' R2
F2 L2 B' L' D L2 U2
F2 L2 B' L' D' U2 R2
F2 L2 B' L2 U B2 U
F2 L2 B' L2 U2 D' R2
F2 L2 B' L2 D L2 U2
F2 L2 B' L2 D' U2 R2
U L2 B D' L2 U F'
U L2 B D2 U F' B2
U L2 B D2 U B2 F'
F2 L2 B' U B2 U D
F2 L2 B' U B2 U D'
F2 L2 B' U B2 U D2
F2 L2 B' U B2 D U
F2 L2 B' U B2 D' U
F2 L2 B' U B2 D2 U
F2 L2 B' U' D2 F2 U'
F2 L2 B' U2 R D' R2
F2 L2 B' U2 R' D' R2
F2 L2 B' U2 R2 D' R2
F2 L2 B' U2 D' R2 D
F2 L2 B' U2 D' R2 D'
F2 L2 B' U2 D' R2 D2
F2 L2 B' D L2 U2 D
F2 L2 B' D L2 U2 D'
F2 L2 B' D L2 U2 D2
F2 L2 B' D L2 D U2
F2 L2 B' D L2 D' U2
F2 L2 B' D L2 D2 U2
F2 L2 B' D' L U2 R2
F2 L2 B' D' L' U2 R2
F2 L2 B' D' L2 U2 R2
F2 L2 B' D' U2 R2 D
F2 L2 B' D' U2 R2 D'
F2 L2 B' D' U2 R2 D2
F2 L2 B' D2 U' F2 U'
L' U D' L2 B U F'
L2 U D' L2 B U F'
L' U D' B L2 U F'
L U D' L2 B U F'
L2 U D' B L2 U F'
L U D' B L2 U F'
L' U D2 B U F' B
L' U D2 B U B F'
L2 U D2 B U F' B
L2 U D2 B U B F'
L U D2 B U F' B
L U D2 B U B F'
L' U B U D2 F' B2
L' U B U D2 B2 F'
L' U B U' F2 U2 F
L' U B D' L2 U F'
L' U B D2 U F' B2
L' U B D2 U B2 F'
L2 U B U D2 F' B2
L2 U B U D2 B2 F'
L2 U B U' F2 U2 F
L2 U B D' L2 U F'
L U B U D2 F' B2
L U B U D2 B2 F'
L2 U B D2 U F' B2
L2 U B D2 U B2 F'
L U B U' F2 U2 F
L U B D' L2 U F'
L U B D2 U F' B2
L U B D2 U B2 F'
R' U' R F2 U2 F R
B R' U' R F2 U2 F
L' U2 F' B' D' R2 B
L2 U2 F' B' D' R2 B
B R2 U D2 B2 L2 F
L U2 F' B' D' R2 B
B R2 U' R2 F2 U2 F
B R2 U' F2 R2 U2 F'
B R2 U' F2 B R2 U2
B R2 U' B R2 F2 U2
B R2 U' B F2 R2 U2
L' U2 B' F' D' R2 B
U' R2 D F' R2 U' F'
L2 U2 B' F' D' R2 B
L U2 B' F' D' R2 B
B R2 D2 U B2 L2 F
U' R2 F' R2 U' F' B
U' R2 F' R2 U' B F'
U' R2 F' U F' B U2
U' R2 F' U B F' U2
D R2 F' U R2 U2 F'
D R2 F' U B R2 U2
D2 U L B U F' B
D2 U L B U B F'
F2 U L B L' U F
D' U L' B L' U F'
D2 U L' B U F' B
D2 U L' B U B F'
D' U L2 D B U F'
D' U L2 D' B U F'
D' U L2 D2 B U F'
D' U L2 B U D F'
D' U L2 B U D' F'
D' U L2 B U D2 F'
D' U L2 B U F' D
D' U L2 B U F' D'
D' U L2 B U F' D2
D' U L2 B D U F'
D' U L2 B D' U F'
D' U L2 B D2 U F'
D2 U L2 B U F' B
D2 U L2 B U B F'
R2 D F' R2 B2 U' F'
F U L2 B U F2 B2
F U L2 B U B2 F2
F2 U R' U R F R
F2 U R' U R' F R
F2 U R' U R2 F R
F2 U R' U D F R
F2 U R' U D' F R
F2 U R' U D2 F R
F2 U R' U F R D
F2 U R' U F R D'
F2 U R' U F R D2
F2 U R' U F D R
F2 U R' U F D' R
F2 U R' U F D2 R
F2 U R' D U F R
F2 U R' D' U F R
F2 U R' D2 U F R
F2 U R' B U F R
F2 U R' B' U F R
F2 U R' B2 U F R
F2 U R2 U F D R2
U' D R2 F' U B U2
F2 U R2 U2 F' U' F2
U' D F R2 F' U' F'
F2 U D R' U F R
F2 U D B R U F
F2 U D B R' U F
F2 U D B R2 U F
B' U D' L2 U F' R2
F2 U D B U D F
F2 U D B U D' F
F2 U D B U D2 F
F2 U D B U F D
F2 U D B U F D'
F2 U D B U F D2
F2 U D B D U F
F2 U D B D' U F
F2 U D B D2 U F
U' D F' R2 F' U' F
F2 U D' R' U F R
B2 U D' B' L2 U F'
F2 U D' B R U F
F2 U D' B R' U F
F2 U D' B R2 U F
F2 U D' B U D F
F2 U D' B U D' F
F2 U D' B U D2 F
F2 U D' B U F D
F2 U D' B U F D'
F2 U D' B U F D2
F2 U D' B D U F
F2 U D' B D' U F
F2 U D' B D2 U F
U2 D F' U R2 F' U'
F2 U D2 R' U F R
U' D F2 R2 F' U' F2
B2 U D2 B' U F' B'
B2 U D2 B' U B' F'
F2 U D2 B R U F
F2 U D2 B R' U F
F2 U D2 B R2 U F
F2 U D2 B U D F
F2 U D2 B U D' F
F2 U D2 B U D2 F
F2 U D2 B U F D
F2 U D2 B U F D'
F2 U D2 B U F D2
F2 U D2 B D U F
F2 U D2 B D' U F
F2 U D2 B D2 U F
D2 U B L U F' B
D2 U B L U B F'
D' U B L2 U D F'
D' U B L2 U D' F'
D' U B L2 U D2 F'
D' U B L2 U F' D
D' U B L2 U F' D'
D' U B L2 U F' D2
D' U B L2 D U F'
D2 U B L' U F' B
D2 U B L' U B F'
D' U B L2 D' U F'
D' U B L2 D2 U F'
D2 U B L2 U F' B
D2 U B L2 U B F'
D' U B U D' F' B2
D' U B U D' B2 F'
D' U B U F' D' B2
D2 U B U D F' B
D2 U B U D B F'
D2 U B U D' F' B
D2 U B U D' B F'
D2 U B U D2 F' B
D2 U B U D2 B F'
D2 U B U F' D B
D2 U B U F' D' B
D2 U B U F' D2 B
D2 U B U F' B D
D2 U B U F' B D'
D2 U B U F' B D2
D2 U B U B D F'
D2 U B U B D' F'
D2 U B U B D2 F'
D2 U B U B F' D
D2 U B U B F' D'
D2 U B U B F' D2
D' U B D' U F' B2
D' U B D' U B2 F'
D2 U B D U F' B
D2 U B D U B F'
D2 U B D' U F' B
D2 U B D' U B F'
D2 U B D2 U F' B
D2 U B D2 U B F'
D' U B' L2 B2 U F'
D U B U D F' B2
D U B U D B2 F'
D U B U F' D B2
D U B D U F' B2
D U B D U B2 F'
D U B D2 L2 U F'
U D B U D F' B2
U D B U D B2 F'
U D B U F' D B2
U D B D U F' B2
U D B D U B2 F'
U D B D2 L2 U F'
U2 D B' D' F' R2 B
F' U B U' F' U2 F
F2 U B R U D F
F2 U B R U D' F
F2 U B R U D2 F
F2 U B R U F D
F2 U B R U F D'
F2 U B R U F D2
F2 U B R D U F
F2 U B R D' U F
F2 U B R D2 U F
F2 U B R' U D F
F2 U B R' U D' F
F2 U B R' U D2 F
F2 U B R' U F D
F2 U B R' U F D'
F2 U B R' U F D2
F2 U B R' D U F
F2 U B R' D' U F
F2 U B R' D2 U F
F2 U B R2 U D F
F2 U B R2 U D' F
F2 U B R2 U D2 F
F2 U B R2 U F D
F2 U B R2 U F D'
F2 U B R2 U F D2
F2 U B R2 D U F
F2 U B R2 D' U F
F2 U B R2 D2 U F
F2 U B U R F R'
F2 U B U R2 F R2
F2 U B U D F D
F2 U B U D F D'
F2 U B U D F D2
F2 U B U D' F D
F2 U B U D' F D'
F2 U B U D' F D2
F2 U B U D2 F D
F2 U B U D2 F D'
F2 U B U D2 F D2
F2 U B U F2 D F'
F2 U B U F2 D' F'
F2 U B U F2 D2 F'
F2 U B U' B U2 F
F2 U B U' B' U2 F
F2 U B U' B2 U2 F
F2 U B D R U F
F2 U B D R' U F
