U2 B' L U F2
B' L R2 F' U F'
B' L U2 B U' F2
B' L D R2 F' U
D' L2 R' F U' B
D' L2 F R' U' B
U2 R B' L U F2
D' R' L2 F U' B
U2 R' B' L U F2
B' R2 L F' U F'
R' U2 B' L U F2
R2 U2 B' L U F2
R U2 B' L U F2
B' R2 F' L U F'
U2 R2 B' L U F2
F2 U' B' L U L'
F' U2 B' L U F'
B' D L R2 F' U
B' D R2 L F' U
B' D R2 F' L U
U' F2 U' B' L U
U' B' L U L' F2
U2 B' L R U F2
U2 B' L R' U F2
U2 B' L R2 U F2
U2 B' L U F2 D
U2 B' L U F2 D'
U2 B' L U F2 D2
U2 B' L D R2 U
U2 B' R L U F2
U2 B' R' L U F2
U2 B' R2 L U F2
U2 B' D L R2 U
U2 B' D R2 L U
B' L R' U F' L' F'
B' L R' F' U F' L'
B' L R2 D F' R2 U
B' L R2 F' U D F'
B' L R2 F' U D' F'
B' L R2 F' U D2 F'
B' L R2 F' U F' D
B' L R2 F' U F' D'
B' L R2 F' U F' D2
B' L R2 F' D U F'
B' L R2 F' D' U F'
B' L R2 F' D2 U F'
B' L U F2 U B U'
B' L U2 L B U' F2
B' L U2 L' B U' F2
B' L U2 L2 B U' F2
B' L U2 D' L2 B U'
B' L U2 D' B L2 U'
B' L U2 B L U' F2
B' L U2 B L' U' F2
B' L U2 B L2 U' F2
B' L U2 B U' F2 D
B' L U2 B U' F2 D'
B' L U2 B U' F2 D2
B' L U2 B D' L2 U'
B' L D R2 D F' U
B' L D R2 D' F' U
B' L D R2 D2 F' U
B' L D R2 F' U D
B' L D R2 F' U D'
B' L D R2 F' U D2
B' L D R2 F' D U
B' L D R2 F' D' U
B' L D R2 F' D2 U
B' L D F R2 F' U
B' L D F' R2 F' U
B' L D F2 R2 F' U
B' L D' U2 L2 B U'
B' L D' U2 B L2 U'
D' L D2 L F U' B'
B' L F R2 F' U F2
B' L F U2 B U' F
B' L F' U2 B U' F'
B' L F2 R2 F' U F
B L B2 L F U F
B' L' R2 F' L2 U F'
U2 L' B' L B' U F2
D' L2 R F U F2 U2
D' L2 R F U' D2 B2
D' L2 R F D R2 U'
D' L2 R F D2 U' B2
D' L2 R' D F U' B
D' L2 R' D' F U' B
D' L2 R' D2 F U' B
D' L2 R' F U' D B
D' L2 R' F U' D' B
D' L2 R' F U' D2 B
D' L2 R' F U' B D
D' L2 R' F U' B D'
D' L2 R' F U' B D2
D' L2 R' F D U' B
D' L2 R' F D' U' B
D' L2 R' F D2 U' B
D' L2 R2 F R U' B
B' L2 D L' R2 F' U
B' L2 D R2 L' F' U
D' L2 D' F U2 L' U
D' L2 D' F' R F2 U'
D' L2 F R U F' U2
D' L2 F R' U' D B
D' L2 F R' U' D' B
D' L2 F R' U' D2 B
D' L2 F R' U' B D
D' L2 F R' U' B D'
D' L2 F R' U' B D2
D' L2 F R' D U' B
D' L2 F R' D' U' B
D' L2 F R' D2 U' B
D' L2 F U' R' B R
D' L2 F' R' F2 U' B
D' L2 F2 D' F' R U'
D' R L2 F U F2 U2
D' R L2 F U' D2 B2
D' R L2 F D R2 U'
D' R L2 F D2 U' B2
U' R U' B' L U F2
F2 R U' B' L U L'
F' R U2 B' L U F
D' R F2 L2 F U' B'
U' R F2 U' B' L U
U' R B' L U L' F2
U2 R B' L R U F2
U2 R B' L R' U F2
U2 R B' L R2 U F2
U2 R B' L U F2 D
U2 R B' L U F2 D'
U2 R B' L U F2 D2
U2 R B' L D R2 U
U2 R B' R L U F2
U2 R B' R' L U F2
U2 R B' R2 L U F2
U2 R B' D L R2 U
U2 R B' D R2 L U
B' R' L U F' L' F'
B' R' L F' U F' L'
D' R' L2 D F U' B
D' R' L2 D' F U' B
D' R' L2 D2 F U' B
D' R' L2 F U' D B
D' R' L2 F U' D' B
D' R' L2 F U' D2 B
D' R' L2 F U' B D
D' R' L2 F U' B D'
D' R' L2 F U' B D2
D' R' L2 F D U' B
D' R' L2 F D' U' B
D' R' L2 F D2 U' B
R' U' F2 U' B' L U
L' U' F2 D' R' B R'
L' U' F2 D' B R' B
R2 U' F2 U' B' L U
U' R' U' B' L U F2
R U' F2 U' B' L U
F2 R' U' B' L U L'
R' U' B' L U L' F2
R2 U' B' L U L' F2
R U' B' L U L' F2
L' U2 L B' L U F2
B R' D' B' L2 U' R2
D' R' F L2 F U' B
B' R' F' L U F' L'
D' R' F' L2 F U' B
L2 U2 L2 B' L U F2
D' R' F2 L2 F U' B
R' U2 R B' L U F2
U' R' F2 U' B' L U
R2 U2 R B' L U F2
R' U2 R' B' L U F2
R U2 R B' L U F2
R2 U2 R' B' L U F2
U' R' B' L U L' F2
R' U2 R2 B' L U F2
R U2 R' B' L U F2
U2 R' B' L R U F2
U2 R' B' L R' U F2
U2 R' B' L R2 U F2
U2 R' B' L U F2 D
U2 R' B' L U F2 D'
U2 R' B' L U F2 D2
U2 R' B' L D R2 U
U2 R' B' R L U F2
U2 R' B' R' L U F2
U2 R' B' R2 L U F2
B R' B' L2 F U' F
R2 U2 R2 B' L U F2
U2 R' B' D L R2 U
U R' B' L U F2 L'
U2 R' B' D R2 L U
B R' B' U2 B' U F2
B R' B' D' L2 F U'
R U2 R2 B' L U F2
B' R2 L D F' R2 U
B' R2 L F' U D F'
B' R2 L F' U D' F'
B' R2 L F' U D2 F'
B' R2 L F' U F' D
B' R2 L F' U F' D'
B' R2 L F' U F' D2
B' R2 L F' D U F'
B' R2 L F' D' U F'
B' R2 L F' D2 U F'
B' R2 L' F' L2 U F'
D' R2 L2 F R U' B
U' R2 U' B' L U F2
F2 R2 U' B' L U L'
R' U2 B' L R U F2
R' U2 B' L R' U F2
R' U2 B' L R2 U F2
