R2 U R F' L' B' U2
B2 R F' L' U' L2 B
B2 R F' L' U' B L2
R2 U' R F' B L U2
R2 U' R B L F' U2
R2 U' R B F' L U2
F R' U B R2 U B
D2 R' F' U' L' F U'
D' R' F' U' L' U' R
F2 R' F' U B R U
F R' F' U B R2 U
R D F' L' B2 U' B'
R D2 F' L' U' L' B
R D2 F' L' U' B L'
F2 D R' F' B U2 R'
F2 D R' B F' U2 R'
R F' L' U R2 F' U2
R F' L' U' D2 L2 B
R F' L' U' D2 B L2
R F' L' U' B D2 L2
R F' L' D B2 U' B'
R F' L' D2 U' L2 B
R F' L' D2 U' B L2
R' F' U B U2 L' U'
R' F' U' L' U2 B U
R F' D L' B2 U' B'
R F' D2 L' U' L' B
R F' D2 L' U' B L'
