F2 R D B L B'
B R' U' F2 L R
B R' U' F2 R L
F2 R2 D' R' B L
F2 D R B L B'
F2 D B L R B'
F2 D B L B' R
F2 D B R L B'
F2 D' R' B L R2
F2 D' R' B R2 L
F2 B L R D B2
F2 B R L D B2
F2 B R D L B2
B F2 L R D B2
B F2 R L D B2
B F2 R D L B2
F2 L R D B L B'
F2 L R2 D' R' B L
B' L U' L2 R' U2 F2
B' L U' R' L2 U2 F2
F2 L D R B L B'
F2 L D B L R B'
F2 L D B L B' R
F2 L D B R L B'
F2 L D' R' B L R2
F2 L D' R' B R2 L
F2 L B L R D B2
F2 L B R L D B2
F2 L B R D L B2
F2 L' R D B L B'
B' L' R' U L2 U F2
B' L' R' U2 F2 D' B2
F2 L' R2 D' R' B L
B L' U' R' U' L2 F2
B L' U' R' U' F2 L2
B' L' U2 F2 D' B2 L
F2 L' D R B L B'
F2 L' D B L R B'
F2 L' D B L B' R
F2 L' D B R L B'
F2 L' D' R' B L R2
F2 L' D' R' B R2 L
F2 L' B L R D B2
F2 L' B R L D B2
F2 L' B R D L B2
F2 L2 R D B L B'
F2 L2 R2 D' R' B L
F2 L2 D R B L B'
F2 L2 D B L R B'
F2 L2 D B L B' R
F2 L2 D B R L B'
F2 L2 D' R' B L R2
F2 L2 D' R' B R2 L
F2 L2 B L R D B2
F2 L2 B R L D B2
F2 L2 B R D L B2
F2 R L D B L B'
F2 R L' D B L B'
F2 R L2 D B L B'
F2 R U R B R' U'
F2 R D L B L B2
F2 R D B L D B'
F2 R D B L D' B'
F2 R D B L D2 B'
F2 R D B L B' D
F2 R D B L B' D'
F2 R D B L B' D2
F2 R D B2 L B' L
F2 R D' R' B L R
F2 R D' R' B R L
F2 R D' B D2 L B'
F2 R D2 B D' L B'
B R F2 L D R B2
B R F2 L D B2 R
B R F2 D L R B2
B R F2 D L B2 R
B R F2 D R L B2
F2 R B L U R' U'
F2 R B U R' U' L
U R B R' U' F2 R
F2 R B' L' D' B2 L
B' R' L' U L2 U F2
B' R' L' U2 F2 D' B2
B R' U L' U2 L2 F2
B R' U L' U2 F2 L2
B R' U' L F2 D2 R2
B R' U' R F2 L R
B R' U' R F2 R L
B R' U' R' F2 L R
B R' U' R' F2 R L
B R' U' R2 F2 L R
B R' U' R2 F2 R L
B R' U' F' L F' R
B R' U' F2 L R D
B R' U' F2 L R D'
B R' U' F2 L R D2
B R' U' F2 L D R
B R' U' F2 L D' R
B R' U' F2 L D2 R
B R' U' F2 R L D
B R' U' F2 R L D'
B R' U' F2 R L D2
B R' U' F2 R D L
B R' U' F2 R D' L
B R' U' F2 R D2 L
B R' U' F2 D L R
B R' U' F2 D R L
B R' U' F2 D' L R
B R' U' F2 D' R L
B R' U' F2 D2 L R
B R' U' F2 D2 R L
D' R' D F2 B L R
D' R' D F2 B R L
D' R' D B F2 L R
D' R' D B F2 R L
B R' F' U' L F' R
B R' F' U' F' L R
B R' F' U' F' R L
D' R' B D F2 L R
D' R' B D F2 R L
F2 R2 L D' R' B L
F2 R2 L' D' R' B L
F2 R2 L2 D' R' B L
F2 R2 D R' B L B'
D' R2 D F2 R B L
F2 R2 D B L B' R'
F2 R2 D' L R' B L
F2 R2 D' L' R' B L
F2 R2 D' L2 R' B L
F2 R2 D' R' L B L
F2 R2 D' R' L' B L
F2 R2 D' R' L2 B L
F2 R2 D' R' D B L
F2 R2 D' R' D' B L
F2 R2 D' R' D2 B L
F2 R2 D' R' B L D
F2 R2 D' R' B L D'
F2 R2 D' R' B L D2
F2 R2 D' R' B D L
F2 R2 D' R' B D' L
F2 R2 D' R' B D2 L
B' R2 F2 L' R D' B2
B' R2 F2 L' D' R B2
B' R2 F2 L' D' B2 R
B' R2 F2 R L' D' B2
B R2 F2 L R D' B2
B R2 F2 L D' R B2
B R2 F2 L D' B2 R
B R2 F2 R L D' B2
F2 U R B R' U' R
B U R' U' F2 L R
B U R' U' F2 R L
B2 U F2 R B' L B2
B U F2 L R D B2
B2 U F2 B' L R B
B2 U F2 B' R L B
B U F2 R L D B2
B U F2 R D L B2
B2 U F2 B2 R B L
B2 U B' F2 L R B
B2 U B' F2 R L B
B2 U B2 F2 R B L
B2 U' L' U2 F2 B' L
B2 U' L' U2 B' L F2
B2 U' L' U2 B' F2 L
B2 U' L' B' L F2 R
B U' R' U' F2 L R
B U' R' U' F2 R L
B2 U' F2 L' R B' L
B2 U' F2 L' B' L R
B2 U' F2 L' B' R L
B2 U' F2 R L' B' L
B U' F2 L R D B2
B U' F2 R L D B2
B U' F2 R D L B2
F2 U' B2 U R B L
B U2 R' U' F2 L R
B U2 R' U' F2 R L
B U2 F2 L R D B2
B U2 F2 R L D B2
B U2 F2 R D L B2
F2 D L R B L B2
F2 D L B L R B2
F2 D L B L B2 R
F2 D L B R L B2
F2 D L B' R D2 L2
F2 D R L B L B2
F2 D R B L D B'
F2 D R B L D' B'
F2 D R B L D2 B'
F2 D R B L B' D
F2 D R B L B' D'
F2 D R B L B' D2
F2 D R B2 L B' L
F2 D R' B L R2 B'
F2 D R' B L B' R2
F2 D R' B R2 L B'
F2 D R2 D2 R' B L
F2 D R2 B L B' R'
F D F R B L B'
F D F B L R B'
F D F B L B' R
F D F B R L B'
F2 D B L R D B'
F2 D B L R D' B'
F2 D B L R D2 B'
F2 D B L R B' D
F2 D B L R B' D'
F2 D B L R B' D2
F2 D B L R' B' R2
F2 D B L D R B'
F2 D B L D B' R
F2 D B L D' R B'
F2 D B L D' B' R
F2 D B L D2 R B'
F2 D B L D2 B' R
F2 D B L B R B2
F2 D B L B' R D
F2 D B L B' R D'
F2 D B L B' R D2
F2 D B L B' D R
F2 D B L B' D' R
F2 D B L B' D2 R
F2 D B R L D B'
F2 D B R L D' B'
F2 D B R L D2 B'
F2 D B R L B' D
F2 D B R L B' D'
F2 D B R L B' D2
F2 D B R' L B' R2
F2 D B2 L R B' L
F2 D B2 L B' L R
F2 D B2 L B' R L
F D B F L R B'
F D B F L B' R
F D B F R L B'
F2 D B2 R L B' L
F2 D B2 R B' L B'
F2 D' L R' B L R2
F2 D' L R' B R2 L
F2 D' L' R' B L R2
F2 D' L' R' B R2 L
F2 D' L2 R' B L R2
F2 D' L2 R' B R2 L
F2 D' R U2 F' U2 L'
F2 D' R' L B L R2
F2 D' R' L B R2 L
F2 D' R' L' B L R2
F2 D' R' L' B R2 L
F2 D' R' L2 B L R2
F2 D' R' L2 B R2 L
F2 D' R' B L R2 D
F2 D' R' B L R2 D'
F2 D' R' B L R2 D2
F2 D' R' B R2 L D
F2 D' R' B R2 L D'
F2 D' R' B R2 L D2
F2 D' R' B R2 D L
F2 D' R' B R2 D' L
F2 D' R' B R2 D2 L
F2 D' R' B2 R2 B' L
F D' R' F B L R
F D' R' F B R L
F D' R' B F L R
F D' R' B F R L
F D' R2 F R B L
R' F2 R D B L B'
F D' F R' B L R2
F D' F R' B R2 L
R2 F2 R D B L B'
F2 D' B L R' B R2
U F2 R U B R' U'
F2 D' B R' L B R2
R' F2 R2 D' R' B L
R F2 R D B L B'
F2 D' B D2 L R B'
F2 D' B D2 L B' R
F2 D' B D2 R L B'
R2 F2 R2 D' R' B L
R F2 R2 D' R' B L
R' F2 D R B L B'
R' F2 D B L R B'
R' F2 D B L B' R
R' F2 D B R L B'
R' F2 D' R' B L R2
R' F2 D' R' B R2 L
R2 F2 D R B L B'
R2 F2 D B L R B'
R2 F2 D B L B' R
R2 F2 D B R L B'
R2 F2 D' R' B L R2
R2 F2 D' R' B R2 L
F2 D2 R D' B L B'
R F2 D R B L B'
R' F2 B L R D B2
R' F2 B L R D B2
F2 D2 R B D' L B'
R' F2 B R L D B2
R' F2 B R D L B2
R F2 D B L R B'
R F2 D B L B' R
R F2 D B R L B'
R F2 D' R' B L R2
R F2 D' R' B R2 L
R2 F2 B L R D B2
R2 F2 B R L D B2
R2 F2 B R D L B2
F2 D2 R2 D R' B L
R F2 B L R D B2
R F2 B R L D B2
R F2 B R D L B2
L' B L F2 R D B2
R' B R' U' F2 L R
R' B R' U' F2 R L
F2 D2 B R D' L B'
R2 B R' U' F2 L R
R2 B R' U' F2 R L
F2 D2 B D' L R B'
F2 D2 B D' L B' R
F2 D2 B D' R L B'
R B R' U' F2 L R
R B R' U' F2 R L
L' B U' R' U' L F2
L' B U' R' U' F2 L
F2 B L R U R2 U'
F2 B L R D B2 D
F2 B L R D B2 D'
F2 B L R D B2 D2
F2 B L R B D B2
F2 B L R B' D B2
F2 B L R B2 D B2
F2 B L U R' U' R2
F' B L F' R D B2
F2 B L D R D B2
F2 B L D' R D B2
F2 B L D2 R D B2
F2 B L2 R D L' B2
F2 B L2 R D B2 L'
F2 B R L U R2 U'
F2 B R L D B2 D
F2 B R L D B2 D'
F2 B R L D B2 D2
F2 B R L B D B2
F2 B R L B' D B2
F2 B R L B2 D B2
F2 B R L2 D L' B2
F2 B R L2 D B2 L'
F2 B R U R2 U' L
F2 B R D L B2 D
F2 B R D L B2 D'
F2 B R D L B2 D2
F2 B R D L' B2 L2
F2 B R D L2 B2 L'
F2 B R D' L D2 B2
F2 B R B2 D B2 L
R' B F2 L R D B2
R' B F2 R L D B2
R' B F2 R D L B2
F2 B U R' U' L R2
F2 B U R' U' R2 L
R2 B F2 L R D B2
R2 B F2 R L D B2
R2 B F2 R D L B2
R B F2 L R D B2
R B F2 R L D B2
R B F2 R D L B2
F2 B D L R D B2
F2 B D R L D B2
F2 B D R D L B2
F2 B D' L R D B2
F2 B D' R L D B2
F2 B D' R D L B2
L' B' R' U L U F2
F2 B D2 L R D B2
F2 B D2 R L D B2
F2 B D2 R D L B2
F2 B' L' D' B2 L R
F2 B' L' D' B2 R L
B F' L F' R D B2
B' F2 L' D' B2 L R
B' F2 L' D' B2 R L
B F2 L R U R2 U'
B F2 L R D B2 D
B F2 L R D B2 D'
B F2 L R D B2 D2
B F2 L R B D B2
B F2 L R B' D B2
B F2 L R B2 D B2
B F2 L U R' U' R2
B F2 L D R D B2
B F2 L D' R D B2
B F2 L D2 R D B2
B F2 L2 R D L' B2
B F2 L2 R D B2 L'
U' B2 U F2 R B L
B F2 R L U R2 U'
B F2 R L D B2 D
B F2 R L D B2 D'
B F2 R L D B2 D2
B F2 R L B D B2
B F2 R L B' D B2
B F2 R L B2 D B2
B F2 R L2 D L' B2
B F2 R L2 D B2 L'
B F2 R U R2 U' L
B F2 R D L B2 D
B F2 R D L B2 D'
B F2 R D L B2 D2
B F2 R D L' B2 L2
B F2 R D L2 B2 L'
B F2 R D' L D2 B2
B F2 R B2 D B2 L
B F2 U R' U' L R2
B F2 U R' U' R2 L
B F2 D L R D B2
B F2 D R L D B2
B F2 D R D L B2
B F2 D' L R D B2
B F2 D' R L D B2
B F2 D' R D L B2
B F2 D2 L R D B2
B F2 D2 R L D B2
B F2 D2 R D L B2
