L' U L F R U'
L' R U L F U' B
L' R F B D' R F'
L' R B D' F R F'
L' R B F D' R F'
R L' U L F U' B
U2 L B' U L2 R' B'
U2 L B' U R' L2 B'
U2 L' R' B' R' D' F2
U2 L' R2 D' F2 B' R'
U2 L' R2 D' B' R' F2
U2 L' R2 D' B' F2 R'
D2 L' U L F R U'
D' L' U L F R U'
U2 L' R2 B' D' R' F2
U2 L' R2 B' D' F2 R'
B' L' U L F R U'
D L' U L F R U'
B2 L' U L F R U'
B L' U L F R U'
R L' F B D' R F'
R L' B D' F R F'
R L' B F D' R F'
U2 L' B' R' U' R U
U2 L' B' R2 D' R F2
L' U L R F R U'
L' U L R' F R U'
L' U L R2 F R U'
L' U L D F R U'
L' U L D' F R U'
L' U L D2 F R U'
L' U L F R U' D
L' U L F R U' D'
L' U L F R U' D2
L' U L F R D U'
L' U L F R D' U'
L' U L F R D2 U'
L' U L F D R U'
L' U L F D' R U'
L' U L F D2 R U'
L' U R L F R U'
L' U R' L F R U'
L' U R2 L F R U'
L' U D L F R U'
L' U D' L F R U'
L' U D2 L F R U'
L' U F L R F U'
L' U F R L F U'
R' U' L' R2 D B R'
L U' L' U' L' B' R'
L2 U' L2 U' L' B' R'
R' U' R2 L' D B R'
R' U' R2 D L' B R'
R' U' R2 D B L' R'
R' U' R2 D B R' L'
U2 R' L' B' R' D' F2
F' R' U L' F' R U2
F2 R' U F' R2 U2 R'
U' R' F' U' F L' B'
U2 R2 L' D' F2 B' R'
U2 R2 L' D' B' R' F2
U2 R2 L' D' B' F2 R'
U2 R2 L' B' D' R' F2
U2 R2 L' B' D' F2 R'
R2 U2 B' U L' R' B
R2 U2 B' U R' L' B
R2 U2 B' U R' B L'
R U2 B' U L' R' B2
R U2 B' U R' L' B2
R U2 B' U R' B2 L'
U2 R2 D' L' F2 B' R'
U2 R2 D' L' B' R' F2
U2 R2 D' L' B' F2 R'
L2 D L F R F B
L2 D L F R B F
F R2 F' U' L' R' B
F R2 F' U' R' L' B
F R2 F' U' R' B L'
L' D U L F R U'
L2 D F R F L B
L' D' U L F R U'
L2 D' B2 R' F' L' U2
L' D2 U L F R U'
L' F R U L U' B
L2 F R D L F2 B
L2 F R D L B F2
L2 F R D F2 L B
L' F U L U' R B
L2 F D L R F2 B
L2 F D L R B F2
L2 F D R L F2 B
L2 F D R L B F2
L2 F D R F2 L B
L' F B D' R F' B
L' F B D' R B F'
L' F B2 R D' F2 B
L' F B2 R D' B F2
L' F B2 R B D' F2
U' F' U F L' R B
U' F' U F R L' B
U' F' U F R B L'
U' F' U' F L' B' R'
L2 F' D F2 L R B
L2 F' D F2 R L B
R' F2 U R F L' U2
U' F2 U' F2 L' B' R'
R2 F2 U R F' U2 R
R B L' U L F U'
L' B D' F R F' B
L' B D' F R B F'
L' B F D' R F' B
L' B F D' R B F'
U2 B' L U L2 R' B'
U2 B' L U R' L2 B'
U2 B' L2 U L R' B'
U2 B' L2 U R' L B'
U' B' R' F' U' F L'
L' B2 F R D' F2 B
L' B2 F R D' B F2
L' B2 F R B D' F2
