U2 B L R' U'
U2 B R' L U'
U2 L B L R' U'
U2 L B R' L U'
U2 L' B L R' U'
U2 L' B R' L U'
U2 L2 B L R' U'
U2 L2 B R' L U'
B R' U2 B' R' U
L' U2 B L R' U'
L' U2 B R' L U'
L2 U2 B L R' U'
L U2 B L R' U'
L2 U2 B R' L U'
L U2 B R' L U'
U2 D B L U' B'
F' U2 L' B R' U'
D U2 B L U' B'
F' U2 B L' R' U'
F' U2 B R' L' U'
U2 B L R' U' D
U2 B L R' U' D'
U2 B L R' U' D2
U2 B L R' D U'
U2 B L R' D' U'
U2 B L R' D2 U'
U2 B L D R' U'
U2 B L D' R' U'
U2 B L D2 R' U'
U2 B L D2 R' U'
U2 B R' L U' D
U2 B R' L U' D'
U2 B R' L U' D2
U2 B R' L D U'
U2 B R' L D' U'
U2 B R' L D2 U'
U2 B R' D L U'
U2 B R' D' L U'
U2 B R' D2 L U'
U2 B D L R' U'
U2 B D R' L U'
U2 B D' L R' U'
U2 B D' R' L U'
U2 B D2 L R' U'
U2 B D2 R' L U'
U L U B R' U' F
F' L U2 L2 B R' U'
F' L U2 B L2 R' U'
F' L U2 B R' L2 U'
D L U2 B L U' B2
U2 L D B L U' B'
U L F U B R' U'
U2 L B L R' U' D
U2 L B L R' U' D'
U2 L B L R' U' D2
U2 L B L R' D U'
U2 L B L R' D' U'
U2 L B L R' D2 U'
U2 L B L D R' U'
U2 L B L D' R' U'
U2 L B L D2 R' U'
F' L B L2 R' F U'
F' L B L2 F R' U'
F' L B R' L2 F U'
U2 L B R' L U' D
U2 L B R' L U' D'
U2 L B R' L U' D2
U2 L B R' L D U'
U2 L B R' L D' U'
U2 L B R' L D2 U'
U2 L B R' D L U'
U2 L B R' D' L U'
U2 L B R' D2 L U'
U L B R' U' R F
B' L B U2 B L U'
U2 L B D L R' U'
U2 L B D R' L U'
U2 L B D' L R' U'
U2 L B D' R' L U'
U2 L B D2 L R' U'
U2 L B D2 R' L U'
B L' R' F' L' F U'
U2 L' D B L U' B'
B L' F' L' R' F U'
B L' F' L' F R' U'
B L' F' R' L' F U'
U2 L' B L R' U' D
U2 L' B L R' U' D'
U2 L' B L R' U' D2
U2 L' B L R' D U'
U2 L' B L R' D' U'
U2 L' B L R' D2 U'
U2 L' B L D R' U'
U2 L' B L D' R' U'
U2 L' B L D2 R' U'
F' L' B R' U2 B' U
U2 L' B R' L U' D
U2 L' B R' L U' D'
U2 L' B R' L U' D2
U2 L' B R' L D U'
U2 L' B R' L D' U'
U2 L' B R' L D2 U'
U2 L' B R' D L U'
U2 L' B R' D' L U'
U2 L' B R' D2 L U'
U2 L' B D L R' U'
U2 L' B D R' L U'
U2 L' B D' L R' U'
U2 L' B D' R' L U'
U2 L' B D2 L R' U'
U2 L' B D2 R' L U'
B L2 R' F U2 R U
B L2 R' F' L' F2 U'
F' L2 U2 L B R' U'
U2 L2 D B L U' B'
B L2 F R' U' D' F2
B L2 F R' U2 R2 U
B L2 F R' D' U' F2
B L2 F R' D2 L2 U'
B L2 F' L' R' F2 U'
B L2 F' L' F2 R' U'
B L2 F' R' L' F2 U'
U2 L2 B L R' U' D
U2 L2 B L R' U' D'
U2 L2 B L R' U' D2
U2 L2 B L R' D U'
U2 L2 B L R' D' U'
U2 L2 B L R' D2 U'
U2 L2 B L D R' U'
U2 L2 B L D' R' U'
U2 L2 B L D2 R' U'
U2 L2 B R' L U' D
U2 L2 B R' L U' D'
U2 L2 B R' L U' D2
U2 L2 B R' L D U'
U2 L2 B R' L D' U'
U2 L2 B R' L D2 U'
U2 L2 B R' D L U'
U2 L2 B R' D' L U'
U2 L2 B R' D2 L U'
U2 L2 B D L R' U'
U2 L2 B D R' L U'
U2 L2 B D' L R' U'
U2 L2 B D' R' L U'
U2 L2 B D2 L R' U'
U2 L2 B D2 R' L U'
R U D L F B' L
R U D L B' F L
R U D B' L F B'
R U D B' L B' F
F R U D L B' L
F R U D B' L B'
F R U2 R' B R' U'
F R U2 B R' B U'
F R D L U B' L
F R D U L B' L
F R D U B' L B'
F R D2 L' F L' U
D2 R F L' R F' U
D2 R F R L' F' U
F R D2 F L' F U
U2 R B L R' B U'
U' R B U' R' B U'
U2 R B R' L B U'
B R' L' F' L' F U'
B R' L2 F U2 R U
B R' L2 F' L' F2 U'
B R' U2 R B' R' U
B R' U2 R' B' R' U
B R' U2 R2 B' R' U
B R' U2 D B' R' U
B R' U2 D' B' R' U
B R' U2 D2 B' R' U
B R' U2 B' R' U D
B R' U2 B' R' U D'
B R' U2 B' R' U D2
B R' U2 B' R' D U
B R' U2 B' R' D' U
B R' U2 B' R' D2 U
B R' U2 B' D R' U
B R' U2 B' D' R' U
B R' U2 B' D2 R' U
B R' D U2 B' R' U
B R' D' U2 B' R' U
L' U2 L B L R' U'
L' U2 L B R' L U'
L2 U2 L B L R' U'
L2 U2 L B R' L U'
L U2 L B L R' U'
L U2 L B R' L U'
B R' D2 U2 B' R' U
L' U2 L' B L R' U'
L' U2 L' B R' L U'
L2 U2 L' B L R' U'
L2 U2 L' B R' L U'
L U2 L' B L R' U'
L U2 L' B R' L U'
B R' F U2 R B' U
B R' F U2 B' R U
L' U2 L2 B L R' U'
L' U2 L2 B R' L U'
L2 U2 L2 B L R' U'
L2 U2 L2 B R' L U'
B R' F' L2 F L U'
L U2 L2 B L R' U'
L U2 L2 B R' L U'
B R' F2 L2 F L' U'
R U2 R' B L R' U'
R U2 R' B R' L U'
R2 U2 R2 B L R' U'
R2 U2 R2 B R' L U'
L' U2 D B L U' B'
B' R' B2 R' F' L' U'
L2 U2 D B L U' B'
L U2 D B L U' B'
L' U2 B L R' U' D
L' U2 B L R' U' D'
L' U2 B L R' U' D2
L' U2 B L R' D U'
L' U2 B L R' D' U'
L' U2 B L R' D2 U'
L' U2 B L D R' U'
L' U2 B L D' R' U'
L' U2 B L D2 R' U'
L' U2 B R' L U' D
L' U2 B R' L U' D'
L' U2 B R' L U' D2
L' U2 B R' L D U'
L' U2 B R' L D' U'
L' U2 B R' L D2 U'
L' U2 B R' D L U'
L' U2 B R' D' L U'
L' U2 B R' D2 L U'
L2 U2 B L R' U' D
L2 U2 B L R' U' D'
L2 U2 B L R' U' D2
L2 U2 B L R' D U'
L2 U2 B L R' D' U'
L2 U2 B L R' D2 U'
L2 U2 B L D R' U'
L2 U2 B L D' R' U'
L2 U2 B L D2 R' U'
L' U2 B D L R' U'
L' U2 B D R' L U'
L2 U2 B R' L U' D
L2 U2 B R' L U' D'
L2 U2 B R' L U' D2
L2 U2 B R' L D U'
L2 U2 B R' L D' U'
L2 U2 B R' L D2 U'
L' U2 B D' L R' U'
L2 U2 B R' D L U'
L' U2 B D' R' L U'
L2 U2 B R' D' L U'
L2 U2 B R' D2 L U'
L' U2 B D2 L R' U'
L' U2 B D2 R' L U'
L U2 B L R' U' D
L U2 B L R' U' D'
L U2 B L R' U' D2
L U2 B L R' D U'
L U2 B L R' D' U'
L U2 B L R' D2 U'
L2 U2 B D L R' U'
L U2 B L D R' U'
L U2 B L D' R' U'
L U2 B L D2 R' U'
L2 U2 B D R' L U'
R U2 B L R' B U'
L2 U2 B D' L R' U'
L2 U2 B D' R' L U'
L2 U2 B D2 L R' U'
L2 U2 B D2 R' L U'
L U2 B R' L U' D
L U2 B R' L U' D'
L U2 B R' L U' D2
L U2 B R' L D U'
L U2 B R' L D' U'
L U2 B R' L D2 U'
L U2 B R' D L U'
L U2 B R' D' L U'
L U2 B R' D2 L U'
R U2 B R' L B U'
L U2 B D L R' U'
L U2 B D R' L U'
L U2 B D' L R' U'
L U2 B D' R' L U'
L U2 B D2 L R' U'
L U2 B D2 R' L U'
F R2 D' F' R' U B
R D L U B' L F
D2 R2 F L' R F2 U
D2 R2 F R L' F2 U
D' R2 F R F2 U B
D' R2 F' U2 L' U' B'
D2 R2 F' U2 L' R U'
D2 R2 F' U2 R L' U'
B' R2 F' B2 L' R' U'
B' R2 F' B2 R' L' U'
F R2 F' D' R' U B
R D U L F B' L
B' R2 B2 F' L' R' U'
R D U L B' F L
B' R2 B2 F' R' L' U'
R D U B' L F B'
R D U B' L B' F
L' D U2 B L U' B'
U2 D L B L U' B2
L2 D U2 B L U' B'
D U L F B' D L2
D U L B' D F L2
D U L B' F D L2
F' U L' B R' U' R
U D L F B' D L2
L D U2 B L U' B'
U D L B' D F L2
U D L B' F D L2
U2 D B L R U' B'
U2 D B L R' U' B'
U2 D B L R2 U' B'
U2 D B L U' D B'
U2 D B L U' D' B'
U2 D B L U' D2 B'
U2 D B L U' B' D
U2 D B L U' B' D'
U2 D B L U' B' D2
U2 D B L D U' B'
U2 D B L D' U' B'
U2 D B L D2 U' B'
U2 D B R L U' B'
U2 D B R' L U' B'
U2 D B R2 L U' B'
F' U B L' R' U' R
F' U B R' L' U' R
U2 D' R' U' B L F
U2 D' B L R' U' B
U2 D' B R' L U' B
U2 D' B D2 L U' B'
R D2 L' F L' R U
R D2 L' F R L' U
D U2 L B L U' B2
D' U2 R' U' B L F
F' U2 L B L2 R' U'
F' U2 L B R' L2 U'
F' U2 L' B R' U' D
F' U2 L' B R' U' D'
F' U2 L' B R' U' D2
F' U2 L' B R' D U'
F' U2 L' B R' D' U'
F' U2 L' B R' D2 U'
R2 D2 F L' R F2 U
F' U2 L' B D R' U'
F' U2 L' B D' R' U'
F' U2 L' B D2 R' U'
R2 D2 F R L' F2 U
R D2 F L' R F U
R D2 F R L' F U
R2 D2 F' U2 L' R U'
R2 D2 F' U2 R L' U'
D' U2 B L R' U' B
D' U2 B R' L U' B
D' U2 B D2 L U' B'
D2 U2 B D' L U' B'
D U2 B L R U' B'
D U2 B L R' U' B'
