F L U' R U' F L
F' L U2 D' F L B2
F2 L U2 D' F L B'
F' L U2 F D' L B2
F2 L U2 F L D' B2
F L U2 F D' L B'
F' L D F2 U2 L F'
F' L D F2 U2 F' L
F' L D' U2 F L B2
F2 L D' U2 F L B'
B2 L F L R' D B2
B2 L F R' L D B2
B2 L F R' D L B2
F' L' U' L2 U2 F L
F' L' U' B' L2 U2 L
L' U L2 U2 F L B'
U' L2 F2 D R F' B
U' L2 F2 D R B F'
L' U B' L2 U2 L B'
L U' R U' F L B
L F' L F2 R D' B2
L F' L F2 D' R B2
L F' L F2 D' B2 R
L F' L' U L2 F2 R
L F' U L' U L2 F2
L F' U L' U F2 L2
L F' U2 L F2 D' B2
L F2 U2 D' L F' B'
L F2 U2 D' L B' F'
L F2 U2 D' F' L B'
L F2 D' U2 L F' B'
L F2 D' U2 L B' F'
L F2 D' U2 F' L B'
U2 B2 L2 D' R' F' B
U2 B2 L2 D' R' B F'
