D R2 B R' U' F'
U2 F' R U' F' U2
D L R2 B R' U' F'
U2 L F' R U' F' U2
F' L' R U' F' L' U2
D L' R2 B R' U' F'
F L' D' F' R U' L2
U2 L' F' R U' F' U2
F' L2 R B' U' F' U2
F' L2 R' B' R2 U B2
D L2 R2 B R' U' F'
F' L2 D R B' L U
F' L2 D B' L R U
F' L2 D B' R L U
U2 L2 F' R U' F' U2
F' L2 B' R U' F' U2
R U D' F' U2 L' F
F' R L' U' F' L' U2
F' R L2 B' U' F' U2
R U F' U R U L'
F' R U' F' U' F2 U'
F' R U' F' U2 D R2
F' R U' F' D U2 R2
F' R U' F' D' L2 U2
F' R U2 R2 F U' B
F' R U2 F U F2 U2
F' R U2 F U' D2 B2
F' R U2 F D R2 U'
F' R U2 F D2 U' B2
R' U' D' L' F L' B
R' U' D' L' F B L'
R' U' D' L' B F L'
R' U' D' F L' F B
R' U' D' F L' B F
R' U' D' F B L' F
R' U' D' B L' F L'
R' U' D' B F L' F
F' R' L2 B' R2 U B2
R' U' B D' L' F L'
R' U' B D' F L' F
D R2 L B R' U' F'
D R2 L' B R' U' F'
L' U2 F' R U' F' U2
L2 U2 F' R U' F' U2
D R2 L2 B R' U' F'
L U2 F' R U' F' U2
D R2 B L R' U' F'
D R2 B L' R' U' F'
F R2 F2 B R U B
D R2 B L2 R' U' F'
D2 R2 B' L B2 U' B
D R2 B R' L U' F'
D R2 B R' L' U' F'
D R2 B R' L2 U' F'
D R2 B R' U' D F'
D R2 B R' U' D' F'
D R2 B R' U' D2 F'
D R2 B R' U' F' D
D R2 B R' U' F' D'
D R2 B R' U' F' D2
D R2 B R' D U' F'
D R2 B R' D' U' F'
D R2 B R' D2 U' F'
L' D R2 B R' U' F'
D R2 B D R' U' F'
D R2 B D' R' U' F'
D R2 B D2 R' U' F'
L2 D R2 B R' U' F'
F R2 B F2 R U B
L D R2 B R' U' F'
R2 D B R U' F' B
R2 D B R U' B F'
R' D' L' U' F L' B
R' D' L' U' F B L'
R' D' L' U' B F L'
R' D' U' L' F L' B
R' D' U' L' F B L'
R' D' U' L' B F L'
R' D' U' F L' F B
R' D' U' F L' B F
R' D' U' F B L' F
R' D' U' B L' F L'
R' D' U' B F L' F
R D' U F' U2 L' F
U2 D' F L' F2 U F'
R' D2 L B' L U' B2
D' U2 F L' F2 U F'
R' D2 B' L B' U' B'
B' U2 F' R U' F' U2
B2 U2 F' R U' F' U2
B U2 F' R U' F' U2
U2 F R2 F2 R U B
F' D L2 R B' L U
F' D L2 B' L R U
F' D L2 B' R L U
F' D R L2 B' L U
B' D R2 B R' U' F'
B2 D R2 B R' U' F'
B D R2 B R' U' F'
U2 F' L R U' F' U2
U2 F' L' R U' F' U2
U2 F' L2 R U' F' U2
U' F' R U R2 B R
U' F' R U' F' U2 R'
U2 F' R L U' F' U2
U2 F' R L' U' F' U2
U2 F' R L2 U' F' U2
U2 F' R U R2 B R2
U2 F' R U' D F' U2
U2 F' R U' D' F' U2
U2 F' R U' D2 F' U2
U2 F' R U' F' U2 D
U2 F' R U' F' U2 D'
U2 F' R U' F' U2 D2
U2 F' R U' F' D U2
U2 F' R U' F' D' U2
U2 F' R U' F' D2 U2
U2 F' R U' F' D2 U2
U2 F' R U2 R2 U' B
U2 F' R D U' F' U2
U2 F' R D' U' F' U2
U2 F' R D2 U' F' U2
U2 F' R' U D' F2 B
U2 F' R' U D' B F2
U2 F' R' U B D' F2
U2 F' R' D' U F2 B
U2 F' R' D' U B F2
U2 F' D2 L R U B'
U2 F' D2 R L U B'
U2 F2 R2 F R U B
U2 F2 D' F L' R U
U2 F2 D' F R L' U
R2 B D R U' F' B
R2 B D R U' B F'
D2 B' L R2 B U' B2
D2 B' L U2 F' U B'
D2 B' R2 L B U' B2
D2 B2 R2 B L U' B'
