F' R D B' L U2 B'
B' U L F B2 U L'
B' U L B2 F U L'
B' U F L B2 U L2
B U2 D L2 R' B U'
B U2 D R' L2 B U'
B U2 D R' B L2 U'
B D R' B L2 F U'
L2 F B' L' D' R2 B2
L2 F B' L' D' B2 R2
B D U2 L2 R' B U'
B D U2 R' L2 B U'
B D U2 R' B L2 U'
B D' R2 F2 L' F U
L2 B U2 R' U' F L'
B' F U L B2 U L2
B' F U2 L' D' R2 B2
B' F U2 L' D' B2 R2
L B' L B2 U F L'
B' F' R U L B2 U
D2 B' U2 D' L R2 B'
D2 B' U2 D' L B' R2
D2 B' U2 D' R2 L B'
F' B' R U L B2 U
D2 B' D' L B' R2 F'
D2 B' D' U2 L R2 B'
D2 B' D' U2 L B' R2
D2 B' D' U2 R2 L B'
F2 B' U L F B2 U
F2 B' U L B2 F U
L2 B' F L' D' R2 B2
L2 B' F L' D' B2 R2
F B' U L B2 U L2
F B' U2 L' D' R2 B2
F B' U2 L' D' B2 R2
B' F2 U L F B2 U
B' F2 U L B2 F U
