B L F' D R2 U2 F'
B L F' D B R2 U2
B L F' D' B U2 L2
B L F' B U F2 U
B L F' B U2 D' L2
B L F' B D R2 U2
B L F' B D' U2 L2
B L B F' U F2 U
B L B F' U2 D' L2
B L B F' D R2 U2
B L B F' D R2 U2
B L B F' D' U2 L2
F' L' B2 U' B U' R'
B U L F' B U2 L
B U L B F' U2 L
B U F' L B U2 L
B U' L F' B U2 L'
B U' L B F' U2 L'
B U' F' L B U2 L2
L' F' B2 U' B U' R'
D2 F2 L2 D' B' L R'
D2 F2 L2 D' B' R' L
F' B L B U F U
D' B' R2 U B L R
D' B' R2 U B R L
B F' L B U F U
B2 F' U B U L R'
B2 F' U B U R' L
D' B2 R2 U B L R'
D' B2 R2 U B R' L
F' B2 U B U L R'
F' B2 U B U R' L
L' B2 F' U' B U' R'
