L2 U L2 R' F' U
L2 U R' L2 F' U
L2 U R' F' L2 U
B U' L2 U2 L' F
R' D2 B U L R2
R' D2 B U R2 L
R' B U D2 L R2
R' B U D2 R2 L
R' B U' L2 U2 L'
R' B D2 U L R2
R' B D2 U R2 L
R' B' U' L2 R' U2
R' B' U' R' L2 U2
R' B' D' B2 U L
F' L2 U L2 R' F' U
F' L2 U R' L2 F' U
F2 L2 U L2 R' F' U
F' L2 U R' F' L2 U
F2 L2 U R' L2 F' U
F2 L2 U R' F' L2 U
F L2 U L2 R' F' U
F L2 U R' L2 F' U
F L2 U R' F' L2 U
U' L2 U' B2 L B' U'
B' L2 D' R' B U2 B
L2 U L R' F' L U
L2 U L2 R' D F' U
L2 U L2 R' D' F' U
L2 U L2 R' D2 F' U
L2 U L2 R' F' U D
L2 U L2 R' F' U D'
L2 U L2 R' F' U D2
L2 U L2 R' F' D U
L2 U L2 R' F' D' U
L2 U L2 R' F' D2 U
L2 U L2 D R' F' U
L2 U L2 D' R' F' U
L2 U L2 D2 R' F' U
L2 U L2 F R' F' U
L2 U L2 F' R' F' U
L2 U L2 F2 R' F' U
L2 U R' L F' L U
L2 U R' L2 D F' U
L2 U R' L2 D' F' U
L2 U R' L2 D2 F' U
L2 U R' L2 F' U D
L2 U R' L2 F' U D'
L2 U R' L2 F' U D2
L2 U R' L2 F' D U
L2 U R' L2 F' D' U
L2 U R' L2 F' D2 U
L2 U R' D' F' U B2
L2 U R' F L2 F2 U
L2 U R' F' L2 U D
L2 U R' F' L2 U D'
L2 U R' F' L2 U D2
L2 U R' F' L2 D U
L2 U R' F' L2 D' U
L2 U R' F' L2 D2 U
L2 U R' F' U D' B2
L2 U R' F' D' U B2
U' L2 B2 U' L B' U'
L2 U D' R' F' U B2
L2 U F L2 R' F' U
L2 U F R' L2 F' U
L2 U F R' F' L2 U
L2 U F' L2 R' F' U
L2 U F' R' L2 F' U
L2 U F' R' F' L2 U
L2 U F2 L2 R' F' U
L2 U F2 R' L2 F' U
L2 U F2 R' F' L2 U
B R U' L2 U2 L' F
D R F' R2 B U L
D2 R B R2 U L R'
D2 R B R2 U R' L
D2 R' U R' U' F' U
B R' U' L2 U2 L' F
D2 R' U2 F' U' L' R'
D2 R' U2 F' U' R' L'
D R' D B U L R2
D R' D B U R2 L
D' R' D' B U L R2
D' R' D' B U R2 L
U R' D' F' B2 U B2
F' R' D2 B U L R2
F' R' D2 B U R2 L
U R' D' B2 F' U B2
F2 R' D2 B U L R2
F2 R' D2 B U R2 L
F R' D2 B U L R2
F R' D2 B U R2 L
D R' F' U2 F' U' L'
U R' F' D' B2 U B2
F' R' B U D2 L R2
F' R' B U D2 R2 L
F' R' B U' L2 U2 L'
F2 R' B U D2 L R2
F2 R' B U D2 R2 L
F2 R' B U' L2 U2 L'
F' R' B D2 U L R2
F' R' B D2 U R2 L
D R' B U L D R2
D R' B U D L R2
D R' B U D R2 L
F2 R' B D2 U L R2
F2 R' B D2 U R2 L
D R' B U2 F2 U' L
D R' B D U L R2
D R' B D U R2 L
F R' B U D2 L R2
F R' B U D2 R2 L
F R' B U' L2 U2 L'
F' R' B' U' L2 R' U2
F' R' B' U' R' L2 U2
F R' B D2 U L R2
F R' B D2 U R2 L
F' R' B' D' B2 U L
F2 R' B' U' L2 R' U2
F2 R' B' U' R' L2 U2
F2 R' B' D' B2 U L
D' R' B2 U B' L B
F R' B' U' L2 R' U2
F R' B' U' R' L2 U2
D R' B' D2 B2 U L
D' R' B2 U2 B' U' L
F R' B' D' B2 U L
D' R' B2 D2 F U L'
R' U2 D2 F' U' L' R2
R' U2 D2 F' U' R2 L'
R' U2 F U L2 R U2
R' U2 F U R L2 U2
R' U2 F D F2 U' L'
R' U2 F' U L2 U2 L
R' U2 F' U' D2 L' R2
R' U2 F' U' D2 R2 L'
R' U2 F' D2 U' L' R2
R' U2 F' D2 U' R2 L'
B R2 U' L2 U2 L' F
D2 R2 B R U L R'
D2 R2 B R U R' L
D' R2 B2 D' R F' U
B U L U2 L U2 F
B U L B2 R' F' B2
B U L B2 R' B2 F'
R' D F' U2 F' U' L'
L2 D F2 U R' F' U
R' D B U L D R2
R' D B U D L R2
R' D B U D R2 L
B U R D2 L R2 F'
B U R D2 R2 L F'
B U R D2 R2 F' L
R' D B U2 F2 U' L
R' D B D U L R2
R' D B D U R2 L
D' U R' F' B2 U B2
D' U R' B2 F' U B2
D2 U R2 U' R F' U
B U R' D2 L F' R2
B U R' D2 F' L R2
B U R' D2 F' R2 L
B U R' F' D2 L R2
B U R' F' D2 R2 L
R' D B' D2 B2 U L
B U D2 L R' F' R'
B U D2 R' L F' R'
B U D2 R' F' L R'
B U D2 R' F' R' L
L2 D' U R' F' U B2
B' U' L2 D' R' B U2
B U' L' B' L' U2 L'
B U' L2 R U2 L' F
B U' L2 R' U2 L' F
B U' L2 R2 U2 L' F
B U' L2 U2 L' D F
B U' L2 U2 L' D' F
B U' L2 U2 L' D2 F
B U' L2 U2 L' F D
B U' L2 U2 L' F D'
B U' L2 U2 L' F D2
U D' R' F' B2 U B2
U D' R' B2 F' U B2
B U' L2 B U2 L' F
B U' L2 B' U2 L' F
B U' L2 B2 U2 L' F
B U' R L2 U2 L' F
B U' R' L2 U2 L' F
R' D' B2 U B' L B
B U' R2 L2 U2 L' F
R' D' B2 U2 B' U' L
R' D' B2 D2 F U L'
R2 D' B2 D' R F' U
B U' D2 L F R2 B
R2 D2 R B U L R
R2 D2 R B U R L
R' D2 U2 F' U' L' R2
R' D2 U2 F' U' R2 L'
R' D2 F B U L R2
R' D2 F B U R2 L
U D2 R2 U' R F' U
R' D2 F' B U L R2
R' D2 F' B U R2 L
R' D2 F2 B U L R2
R' D2 F2 B U R2 L
R' D2 B U L R2 D
R' D2 B U L R2 D'
R' D2 B U L R2 D2
R' D2 B U R2 L D
R' D2 B U R2 L D'
R' D2 B U R2 L D2
R' D2 B U R2 D L
R' D2 B U R2 D' L
R' D2 B U R2 D2 L
R' D2 B F U L R2
R' D2 B F U R2 L
R' D2 B F' U L R2
R' D2 B F' U R2 L
R' D2 B F2 U L R2
R' D2 B F2 U R2 L
R2 D2 B R U L R
R2 D2 B R U R L
R' D2 B' U' R' U2 R'
R' D2 B' D B2 U L
B2 U2 D L F2 B' U'
B2 U2 D L B' F2 U'
B2 U2 D F2 L B' U'
L2 F U L2 R' F' U
L2 F U R' L2 F' U
L2 F U R' F' L2 U
B2 D L F2 R B' U'
B2 D L F2 B' R U'
B2 D L B' F2 R U'
R' F D2 B U L R2
R' F D2 B U R2 L
R' F B U D2 L R2
R' F B U D2 R2 L
R' F B U' L2 U2 L'
R' F B D2 U L R2
R' F B D2 U R2 L
R' F B' U' L2 R' U2
R' F B' U' R' L2 U2
R' F B' D' B2 U L
B2 D U2 L F2 B' U'
B2 D U2 L B' F2 U'
B2 D U2 F2 L B' U'
L2 F' U L2 R' F' U
L2 F' U R' L2 F' U
L2 F' U R' F' L2 U
D F' R2 B R U L
B2 D' R F' B2 R' U
R' F' D2 B U L R2
R' F' D2 B U R2 L
B2 D' R B2 F' R' U
R' F' B U D2 L R2
R' F' B U D2 R2 L
R' F' B U' L2 U2 L'
R' F' B D2 U L R2
R' F' B D2 U R2 L
R' F' B' U' L2 R' U2
R' F' B' U' R' L2 U2
