L' D' F2 R B L
L2 R' F' U R' F' U
F' L' D' F2 R B L
F2 L' D' F2 R B L
F L' D' F2 R B L
B' L2 R' F' U R' U
R' L2 F' U R' F' U
B L2 U R2 U L' B'
B L2 U2 L' D' F2 B'
B L2 U2 L' D' B' F2
B L2 U2 L' B' D' F2
B L2 U2 D' L' F2 B'
B L2 U2 D' L' B' F2
B' L2 D R' F' B2 U2
B' L2 D R' B2 F' U2
B' L2 D' R' F' U2 F'
B L2 D B2 U2 L' B'
B L2 D' U2 L' F2 B'
B L2 D' U2 L' B' F2
L2 U R' F' L' R' U
L2 U R' F' R' L' U
D2 R D B L R F2
D2 R D B R L F2
D2 R D B R F2 L
D' R F2 D' B L R2
D' R F2 D' B R2 L
D2 R B R D L F2
D2 R B R D F2 L
D R B L D R2 F'
D2 R B D L R F2
D2 R B D R L F2
D2 R B D R F2 L
D R B D L R2 F'
D R B D R2 L F'
D R B D R2 F' L
D' R B2 U F2 B' L
D' R B2 U B' L F2
D' R B2 U B' F2 L
B' R' L2 F' U R' U
B' R' F' L2 U R' U
L2 U2 D' F' L' F' B'
L2 U2 D' F' L' B' F'
L2 U2 F D' F2 L' B'
L2 U2 F' L' D' F2 B'
L2 U2 F' L' D' B' F2
L2 U2 F' L' B' D' F2
L2 U2 F' D' L' F2 B'
L2 U2 F' D' L' B' F2
B R2 U L B2 R' B
B' R2 U' L2 R F' U2
B R2 U D2 L R2 B'
B R2 U D2 L B' R2
B R2 U D2 R2 L B'
B' R2 U' R L2 F' U2
B' R2 U' R F' L2 U2
B R2 D2 U L R2 B'
B R2 D2 U L B' R2
B R2 D2 U R2 L B'
L2 D R B2 U2 B' L
L2 D B' R' F' B' U2
L2 D B' R' B' F' U2
L2 D B2 U2 L' B' L
L2 D' L F2 R B L
L' D' R F2 B L R
L' D' R F2 B R L
L' D' R B F2 L R
L' D' R B F2 R L
L D' L2 F2 R B L
L2 D' R B L F2 R
L2 D' R' F' U2 F' L'
L2 D' U2 F' L' F' B'
L2 D' U2 F' L' B' F'
L' D' F2 L R B L
L' D' F2 L' R B L
L2 D' F' U2 F' L' B'
L' D' F2 L2 R B L
L' D' F2 R L B L
L' D' F2 R L' B L
L' D' F2 R L2 B L
L' D' F2 R D B L
L' D' F2 R D' B L
L' D' F2 R D2 B L
L' D' F2 R B L D
L' D' F2 R B L D'
L' D' F2 R B L D2
L' D' F2 R B D L
L' D' F2 R B D' L
L' D' F2 R B D2 L
L' D' F2 D R B L
L' D' F2 D' R B L
L' D' F2 D2 R B L
L' D' F2 B L R B
L' D' F2 B R L B
L2 D' B L F2 R B
L' D' B F2 L R B
L' D' B F2 R L B
L2 D' B' R' F' U2 F'
R D' B2 R U B' L
R2 D2 B U L R2 B'
R2 D2 B U L B' R2
R2 D2 B U R2 L B'
R' F' L2 U R' F' U
U2 F' L' D' F2 R B'
U2 F' L' D' F2 B' R
U2 F' L' D' B' F2 R
U2 F' L' B' D' F2 R
D' F2 R D' B L R2
D' F2 R D' B R2 L
D' F2 R' D' R2 B L
D' F2 D' R B L R
D' F2 D' R B R L
L' F2 D' R F2 B L
L' F2 D' R B L F2
L' F2 D' R B F2 L
L2 B L D' F2 R B
R2 B U L B2 R' B
R2 B U D2 L R2 B'
R2 B U D2 L B' R2
R2 B U D2 R2 L B'
L2 B D B2 R' F' U2
L' B D' F2 L R B
L2 B D' L F2 R B
L' B D' F2 R L B
R2 B D2 U L R2 B'
R2 B D2 U L B' R2
R2 B D2 U R2 L B'
L2 B' R' F' U R' U
R2 B' U' L2 R' U2 B
R2 B' U' R' L2 U2 B
L2 B' D R' F' B2 U2
L2 B' D R' B2 F' U2
L2 B' D' R' F' U2 F'
