R2 U L' U F R
R2 L U L2 U F R
B L R2 U L2 U F
B L R2 D F2 B' U2
B L R2 D B' F2 U2
B L R2 D' B' U2 B'
B L R2 B' U L2 U
B L R2 B' U2 D' B2
B L R2 B' D F2 U2
B L R2 B' D' U2 B2
R2 L D F2 B' U2 R'
R2 L D B' F2 U2 R'
R2 L D' B' U2 R' B'
R2 L B' U L2 U R'
R2 L B' U2 R' D' B2
R2 L B' U2 D' R' B2
R2 L B' D F2 U2 R'
R2 L B' D' U2 R' B2
B L B' R2 U L2 U
B L B' R2 U2 D' B2
B L B' R2 D F2 U2
B L B' R2 D' U2 B2
B' L' U D2 R' F L2
B' L' U D2 F L2 R'
B' L' U D2 F R' L2
B' L' U F D2 L2 R'
B' L' U F D2 R' L2
B L' U D2 R2 F L2
B L' U D2 F L2 R2
B L' U D2 F R2 L2
B L' U F D2 L2 R2
B L' U F D2 R2 L2
U L' U D2 F L2 R
U L' U D2 F R L2
U L' U F D2 L2 R
U L' U F D2 R L2
B' L' U' R2 U2 R F
B L' U' L2 R2 B' U2
B L' U' L2 B' R2 U2
B L' U' R2 L2 B' U2
U L' U' R2 U2 F R
B' L' D' F2 U F' R'
U' L' D' F2 B' U F'
U2 L' D' F2 U F' R
U' L' D' B' F2 U F'
B L' D' F2 B2 U F'
B L' D' B2 F2 U F'
B' L' D2 U R' F L2
B' L' D2 U F L2 R'
B' L' D2 U F R' L2
B L' D2 U R2 F L2
B L' D2 U F L2 R2
B L' D2 U F R2 L2
U L' D2 U F L2 R
U L' D2 U F R L2
U' L' D2 B' U F L2
L R2 U L2 U F R
U' L' B' U D2 F L2
U' L' B' U F D2 L2
U' L' B' U' R2 U2 F
U' L' B' D' F2 U F'
U' L' B' D2 U F L2
L R2 D F2 B' U2 R'
L R2 D B' F2 U2 R'
L R2 D' B' U2 R' B'
L R2 B' U L2 U R'
L R2 B' U2 R' D' B2
L R2 B' U2 D' R' B2
L R2 B' D F2 U2 R'
L R2 B' D' U2 R' B2
R2 U L' R B U F
R2 U L' U R F R
R2 U L' U R' F R
R2 U L' U R2 F R
R2 U L' U D F R
R2 U L' U D' F R
R2 U L' U D2 F R
R2 U L' U F R D
R2 U L' U F R D'
R2 U L' U F R D2
R2 U L' U F D R
R2 U L' U F D' R
R2 U L' U F D2 R
R2 U L' D U F R
R2 U L' D' U F R
R2 U L' D2 U F R
R2 U L' B U F R
R2 U L' B' U F R
R2 U L' B2 U F R
R2 U R L' B U F
R2 U R B L' U F
R2 U B L' U F R
R2 U B' L' U F R
R2 U B2 L' U F R
B R2 L U L2 U F
B R2 L D F2 B' U2
B R2 L D B' F2 U2
B R2 L D' B' U2 B'
B R2 L B' U L2 U
B R2 L B' U2 D' B2
B R2 L B' D F2 U2
B R2 L B' D' U2 B2
B' R2 U L' U R F
U2 R2 U L' B' U F
L' D' F2 B' U F' R'
L' D' B' F2 U F' R'
L' D2 B' U R' F L2
L' D2 B' U F L2 R'
L' D2 B' U F R' L2
R2 B L U L2 U F
R2 B L D F2 B' U2
R2 B L D B' F2 U2
R2 B L D' B' U2 B'
R2 B L B' U L2 U
R2 B L B' U2 D' B2
R2 B L B' D F2 U2
R2 B L B' D' U2 B2
L' B' U D2 R' F L2
L' B' U D2 F L2 R'
L' B' U D2 F R' L2
L' B' U F D2 L2 R'
L' B' U F D2 R' L2
L B' R2 U L2 U R
R2 B' U L' U R' F
R2 B' U L' U F R'
L B' R2 U2 R D' B2
L B' R2 U2 D' R B2
L B' R2 U2 D' B2 R
L' B' U' R2 U2 R F
L B' R2 D F2 L' U2
L B' R2 D' U2 R B2
L B' R2 D' U2 B2 R
L B' U2 R' D' B2 L
L' B' D' F2 U F' R'
L' B' D2 U R' F L2
L' B' D2 U F L2 R'
L' B' D2 U F R' L2
