L2 R F' U' B' L'
R L2 F' U' B' L'
F R U' L2 F' U'
F R U' F' L2 U'
D' F L' R B2 U2
D' F L' B2 R U2
D' F R L' B2 U2
D' F R B2 L' U2
D' F B2 L' R U2
D' F B2 R L' U2
D' B2 F L' R U2
D' B2 F R L' U2
F L R U' L F' U'
F L R U' F' L U'
L2 R D F' U' B' L'
L2 R D' F' U' B' L'
L2 R D2 F' U' B' L'
L R F' L U' B' L2
R L F' L U' B' L2
L2 R F' R U' B' L'
L2 R F' R' U' B' L'
L2 R F' R2 U' B' L'
L2 R F' U' D B' L'
L2 R F' U' D' B' L'
L2 R F' U' D2 B' L'
L2 R F' U' B L' B2
L2 R F' U' B' L' D
L2 R F' U' B' L' D'
L2 R F' U' B' L' D2
L2 R F' U' B' D L'
L2 R F' U' B' D' L'
L2 R F' U' B' D2 L'
L2 R F' U' B2 L' B
L2 R F' D U' B' L'
L2 R F' D' U' B' L'
L2 R F' D2 U' B' L'
L2 R F' B U' L' B2
L2 R F' B U' B2 L'
L2 R F' B2 U' L' B
L2 R F' B2 U' B L'
L2 R B F' U' L' B2
L2 R B F' U' B2 L'
L2 R B2 F' U' L' B
L2 R B2 F' U' B L'
F L' R U' L' F' U'
L2 R' U2 B U L B2
R' L2 U2 B U L B2
R L2 D F' U' B' L'
R L2 D' F' U' B' L'
B' L2 R F' U' B' L'
F L2 R U' F' U' F
U' L2 R F' B U' B2
B2 L2 R F' U' B' L'
U' L2 R B F' U' B2
B L2 R F' U' B' L'
R L2 D2 F' U' B' L'
R L2 F' R U' B' L'
L2 R2 F' U' B' L' R'
L2 R2 F' U' B' R' L'
R2 L2 F' U' B' L' R'
R2 L2 F' U' B' R' L'
R L2 F' R' U' B' L'
R L2 F' R' U' B' L'
R L2 F' R2 U' B' L'
R L2 F' U' D B' L'
R L2 F' U' D' B' L'
R L2 F' U' D2 B' L'
R L2 F' U' B L' B2
R L2 F' U' B' L' D
R L2 F' U' B' L' D'
R L2 F' U' B' L' D2
R L2 F' U' B' D L'
R L2 F' U' B' D' L'
R L2 F' U' B' D2 L'
R L2 F' U' B2 L' B
R L2 F' D U' B' L'
R L2 F' D' U' B' L'
R L2 F' D2 U' B' L'
R L2 F' B U' L' B2
R L2 F' B U' B2 L'
R L2 F' B2 U' L' B
R L2 F' B2 U' B L'
R L2 B F' U' L' B2
R L2 B F' U' B2 L'
R L2 B2 F' U' L' B
R L2 B2 F' U' B L'
F R L U' L F' U'
F R L U' F' L U'
F R L' U' L' F' U'
B' R L2 F' U' B' L'
U' R L2 F' B U' B2
F R L2 U' F' U' F
U' R L2 B F' U' B2
B2 R L2 F' U' B' L'
B R L2 F' U' B' L'
F R U D2 R2 B U
F R U' L F' L U'
F R U' L2 D F' U'
F R U' L2 D' F' U'
F R U' L2 D2 F' U'
F R U' L2 F' U' D
F R U' L2 F' U' D'
F R U' L2 F' U' D2
F R U' L2 F' D U'
F R U' L2 F' D' U'
F R U' L2 F' D2 U'
F R U' D F' U' F'
F R U' F L2 F2 U'
F R U' F' L2 U' D
F R U' F' L2 U' D'
F R U' F' L2 U' D2
F R U' F' L2 D U'
F R U' F' L2 D' U'
F R U' F' L2 D2 U'
F R U' F' U' D F2
F R U' F' D U' F2
F R U2 F D R2 F2
F R U2 F D F2 R2
F R D U' F' U' F'
F R D' B2 U' F' U'
D' R F L' R B2 U2
D' R F L' B2 R U2
F R D2 U R2 B U
D' R F R L' B2 U2
D' R F R B2 L' U2
D' R F B2 L' R U2
D' R F B2 R L' U2
U' R B L2 F' U' B'
F R B U' L2 F' U'
F R B U' F' L2 U'
F R B' U' L2 F' U'
F R B' U' F' L2 U'
D' R B2 F L' R U2
D' R B2 F R L' U2
F R B2 U' L2 F' U'
F R B2 U' F' L2 U'
D' R' F L' R B2 U2
D' R' F L' B2 R U2
D' R' F R L' B2 U2
D' R' F R B2 L' U2
D' R' F B2 L' R U2
D' R' F B2 R L' U2
D' R' B2 F L' R U2
D' R' B2 F R L' U2
D' R2 F L' R B2 U2
D' R2 F L' B2 R U2
D' R2 F R L' B2 U2
D' R2 F R B2 L' U2
D' R2 F B2 L' R U2
D' R2 F B2 R L' U2
D' R2 B2 F L' R U2
D' R2 B2 F R L' U2
U2 D F2 R2 B L R'
U2 D F2 R2 B R' L
L2 D' F' U' R B' L'
L2 D' F' U' B' L' R
L2 D' F' U' B' R L'
D U2 F2 R2 B L R'
D U2 F2 R2 B R' L
D' F L R B2 L2 U2
D' F L B2 L2 R U2
D' F L B2 R L2 U2
D' F L' R U2 D2 F2
D' F L' R D2 U2 F2
D' F L' R B2 U2 D
D' F L' R B2 U2 D'
D' F L' R B2 U2 D2
D' F L' R B2 D U2
D' F L' R B2 D' U2
D' F L' R B2 D2 U2
D' F L' R' B2 R2 U2
D' F L' R2 B2 U2 L
D' F L' U2 D2 F2 L'
D' F L' D2 R U2 F2
D' F L' D2 U2 F2 L'
D' F L' B' R B' U2
D' F L' B2 R U2 D
D' F L' B2 R U2 D'
D' F L' B2 R U2 D2
D' F L' B2 R D U2
D' F L' B2 R D' U2
D' F L' B2 R D2 U2
D' F L' B2 D R U2
D' F L' B2 D' R U2
D' F L' B2 D2 R U2
D' F L2 R B2 U2 R'
D' F L2 B2 R U2 R2
D' F R L B2 L2 U2
D' F R L' U2 D2 F2
D' F R L' D2 U2 F2
D' F R L' B2 U2 D
D' F R L' B2 U2 D'
D' F R L' B2 U2 D2
D' F R L' B2 D U2
D' F R L' B2 D' U2
D' F R L' B2 D2 U2
D' F R L2 B2 U2 R'
D' F R U2 D2 F2 R
D F L2 R B' L U2
D' F R D2 L' U2 F2
D' F R D2 U2 F2 R
D' F R B L' B U2
D' F R B2 L' U2 D
D' F R B2 L' U2 D'
D' F R B2 L' U2 D2
D' F R B2 L' D U2
D' F R B2 L' D' U2
D' F R B2 L' D2 U2
D' F R B2 D L' U2
D' F R B2 D' L' U2
D' F R B2 D2 L' U2
D' F R' L' B2 R2 U2
D F L2 B' L R U2
D F L2 B' R L U2
D F R L2 B' L U2
D' F R' B2 L' R2 U2
D' F R' B2 R2 L' U2
D' F R2 L' B2 U2 L
D F R B U2 R' F
D F R B U2 F R'
R F R U' L2 F2 U'
D F R B2 U2 F R
R F R U' F2 L2 U'
R F R U2 D R2 F2
R F R U2 D F2 R2
R F R D U2 R2 F2
R F R D U2 F2 R2
R F R D' L2 B2 U2
R F R D' B2 L2 U2
D' F R2 B2 L' U2 L2
D' F U2 D2 F2 L' R
D' F U2 D2 F2 R L'
R F U' L2 F2 U' L'
R F U' F2 L2 U' L
R F U2 D F2 L' R2
R F U2 D F2 R2 L'
D' F D2 L' R U2 F2
D' F D2 L' U2 F2 L'
D' F D2 R L' U2 F2
D' F D2 R U2 F2 R
R F D R U2 R F2
D' F D2 U2 F2 L' R
D' F D2 U2 F2 R L'
R F D U2 F2 L' R2
R F D U2 F2 R2 L'
D' F B L' B R U2
R F D' L2 R B2 U2
R F D' L2 B2 R U2
R F D' R L2 B2 U2
R F D' R B2 L2 U2
R F D' B2 L2 R U2
R F D' B2 R L2 U2
F D R B U2 R' F2
F D R B U2 F2 R'
F D R B' L U2 F2
D' F B' R B' L' U2
D F B R U2 R2 F
D F B R U2 F R2
D' F B2 L' R U2 D
D' F B2 L' R U2 D'
D' F B2 L' R U2 D2
D' F B2 L' R D U2
D' F B2 L' R D' U2
D' F B2 L' R D2 U2
D' F B2 L' D R U2
D' F B2 L' D' R U2
D' F B2 L' D2 R U2
D' F B2 R L' U2 D
D' F B2 R L' U2 D'
D' F B2 R L' U2 D2
D' F B2 R L' D U2
D' F B2 R L' D' U2
D' F B2 R L' D2 U2
D' F B2 R D L' U2
D' F B2 R D' L' U2
D' F B2 R D2 L' U2
D' F B2 D L' R U2
D' F B2 D R L' U2
D' F B2 D' L' R U2
D' F B2 D' R L' U2
D' F B2 D2 L' R U2
D' F B2 D2 R L' U2
D F B2 R U2 F R
D' F' L' R D2 F2 B2
D' F' L' R D2 B2 F2
D' F' L' D2 R F2 B2
D' F' L' D2 R B2 F2
D' F' L' D2 B2 R F2
D F' L' D2 F' R B2
D F' L' D2 F' B2 R
D F' L' D2 B2 F' R
D F' L' F' R2 B R'
D' F' R L' D2 F2 B2
D' F' R L' D2 B2 F2
D' F' R D2 L' F2 B2
D' F' R D2 L' B2 F2
D' F' R D2 B2 L' F2
R F' L2 U F2 U2 L
R F' L2 U' L D2 B2
R F' L2 U' D2 L B2
R F' L2 D R2 U' L
R F' L2 D2 U' L B2
L2 F' R2 U' B' L' R'
L2 F' R2 U' B' R' L'
F D B R U2 R2 F2
F D B R U2 F2 R2
F D B U2 F2 L' R'
F D B U2 F2 R' L'
F D B' L R U2 F2
F D B' L U2 F2 L'
F D B' R L U2 F2
D' F' D2 L' R F2 B2
D' F' D2 L' R B2 F2
D' F' D2 L' B2 R F2
D' F' D2 R L' F2 B2
D' F' D2 R L' B2 F2
D' F' D2 R B2 L' F2
R F' D R2 U' L' F2
D' F' D2 B2 L' R F2
D' F' D2 B2 R L' F2
D F' D2 L' F' R B2
D F' D2 L' F' B2 R
D F' D2 L' B2 F' R
D F' D2 B2 L' F' R
B' D' F L' R B2 U2
B' D' F L' B2 R U2
B' D' F R L' B2 U2
B' D' F R B2 L' U2
B2 D' F L' R B2 U2
B2 D' F L' B2 R U2
B2 D' F R L' B2 U2
B2 D' F R B2 L' U2
B' D' F B2 L' R U2
B' D' F B2 R L' U2
B2 D' F B2 L' R U2
B2 D' F B2 R L' U2
B D' F L' R B2 U2
B D' F L' B2 R U2
B D' F R L' B2 U2
B D' F R B2 L' U2
B D' F B2 L' R U2
B D' F B2 R L' U2
B' D' B2 F L' R U2
B' D' B2 F R L' U2
B2 D' B2 F L' R U2
B2 D' B2 F R L' U2
B D' B2 F L' R U2
B D' B2 F R L' U2
L2 B R F' U' L' B2
L2 B R F' U' B2 L'
R B L2 F' U' B' L'
B' F R U' L2 F' U'
B' F R U' F' L2 U'
B2 F R U' L2 F' U'
B2 F R U' F' L2 U'
B F R U' L2 F' U'
D' B F L' B R U2
B F R U' F' L2 U'
F B R U' L2 F' U'
F B R U' F' L2 U'
D B F R U2 R2 F
D B F R U2 F R2
R B' L2 F' U' B' L'
F B' R U' L2 F' U'
F B' R U' F' L2 U'
D' B' F R B' L' U2
D' B2 R F L' R U2
D' B2 R F R L' U2
D' B2 R' F L' R U2
D' B2 R' F R L' U2
R B2 L2 F' U' B' L'
D' B2 R2 F L' R U2
D' B2 R2 F R L' U2
F B2 R U' L2 F' U'
F B2 R U' F' L2 U'
D' B2 F L' R U2 D
D' B2 F L' R U2 D'
D' B2 F L' R U2 D2
D' B2 F L' R D U2
D' B2 F L' R D' U2
D' B2 F L' R D2 U2
D' B2 F L' D R U2
D' B2 F L' D' R U2
D' B2 F L' D2 R U2
D' B2 F R L' U2 D
D' B2 F R L' U2 D'
D' B2 F R L' U2 D2
D' B2 F R L' D U2
D' B2 F R L' D' U2
D' B2 F R L' D2 U2
D' B2 F R D L' U2
D' B2 F R D' L' U2
D' B2 F R D2 L' U2
D' B2 F D L' R U2
D' B2 F D R L' U2
D' B2 F D' L' R U2
D' B2 F D' R L' U2
D' B2 F D2 L' R U2
D' B2 F D2 R L' U2
D B2 F R U2 F R
