R U R2 F' B U
R U R2 B F' U
R' U F' B U F
R' U B F' U F
U R' F' B U L'
U R' B F' U L'
R' F' L2 B U B2
U F' R' B U L'
R' F' B L2 U B'
R' F' B U' F U2
R' B F' L2 U B'
R' B F' U' F U2
L' R U R2 F' B U
L' R U R2 B F' U
L2 R U R2 F' B U
L2 R U R2 B F' U
L R U R2 F' B U
L R U R2 B F' U
R L U R2 F' B U
R L U R2 B F' U
R' L U F' B U F
R' L U B F' U F
U2 L R' F B U B'
U2 L R' B F U B'
U2 L U' R' F B U
U2 L U' R' B F U
U2 L U' F R' B U
R' L F' L2 B U B2
R' L F' B L2 U B'
R' L F' B U' F U2
U2 L F R' B U B'
R' L B F' L2 U B'
R' L B F' U' F U2
R L' U R2 F' B U
R L' U R2 B F' U
L' R' U F' B U F
R' L' U F' B U F
L' R' U B F' U F
R' L' U B F' U F
L R' U F' B U F
L2 R' U F' B U F
L R' U B F' U F
L2 R' U B F' U F
R' L' F' L2 B U B2
L' R' F' L2 B U B2
L2 R' F' L2 B U B2
L R' F' L2 B U B2
R' L' F' B L2 U B'
R' L' F' B U' F U2
L' R' F' B L2 U B'
L' R' F' B U' F U2
L2 R' F' B L2 U B'
L R' F' B L2 U B'
L2 R' F' B U' F U2
L R' F' B U' F U2
R' L' B F' L2 U B'
R' L' B F' U' F U2
L' R' B F' L2 U B'
L' R' B F' U' F U2
L2 R' B F' L2 U B'
L R' B F' L2 U B'
L2 R' B F' U' F U2
L R' B F' U' F U2
R' L2 U F' B U F
R' L2 U B F' U F
R L2 U R2 F' B U
R L2 U R2 B F' U
F' L2 R' F' B U B2
F' L2 R' B F' U B2
R' L2 F' L2 B U B2
R' L2 F' B L2 U B'
R' L2 F' B U' F U2
R' L2 B F' L2 U B'
R' L2 B F' U' F U2
R2 U R F' U' L' U2
L' U R' F' B U L'
L' U R' B F' U L'
L2 U R' F' B U L'
L2 U R' B F' U L'
L U R' F' B U L'
L U R' B F' U L'
R U R2 D F' B U
R U R2 D B F' U
R U R2 D' F' B U
R U R2 D' B F' U
R U R2 D2 F' B U
R U R2 D2 B F' U
R U R2 F' D B U
R U R2 F' D' B U
R U R2 F' D2 B U
R U R2 F' B U D
R U R2 F' B U D'
R U R2 F' B U D2
