F L D B' L U F
L2 R' B' U' F R B2
L2 R' B' U' F B2 R
L2 R' B' U' B2 F R
F L2 U F B' R' B
F L2 U B' R' F B
F L2 U B' R' B F
F L2 U B' F R' B
R' L2 B' U' F R B2
R' L2 B' U' F B2 R
R' L2 B' U' B2 F R
L2 U B' U' R' F B
L2 U B' U' R' B F
L2 U B' U' F R' B
F' R' D' L2 F B R'
F' R' D' L2 B R' F
F' R' D' L2 B F R'
L D B' L U F L'
L2 F U B' U' R' B
R' F' D' L2 F B R'
R' F' D' L2 B R' F
R' F' D' L2 B F R'
R F' D' B' L U2 L
L2 B' R' U' F B R
L2 B' R' U' B F R
L2 B' U' R' F B R
L2 B' U' R' B F R
L2 B' U' R2 F R B
L2 B' U' F R' B R2
