F2 L B R U L
F L B U L F
L D B U L F2
L D B U F2 L
L D2 B R2 U L
L B U D L F2
L B U D F2 L
L B U2 L2 U' L'
L B D U L F2
L B D U F2 L
L B D2 R2 U L
R2 L U2 L2 F' U' L'
R2 L U2 F' L2 U' L
R2 L D2 R2 B U L
U' L D F B U F
D2 L D B U L F2
D2 L D B U F2 L
D' L D B U L F2
D' L D B U F2 L
F2 L D B R U L
U' L D B F U F
D L D B U L F2
D L D B U F2 L
F L D B U L F
F2 L D' B R U L
F L D' B U L F
U' L D2 F B R2 U
D' L D2 B R2 U L
D2 L D2 B R2 U L
F' L D2 B R' U L
F2 L D2 B R U L
U' L D2 B R2 F U
D L D2 B R2 U L
U' L D2 B F R2 U
F L D2 B U L F
U' L F D B U F2
U' L F D2 B R2 U
U' L F B U D F2
U' L F B U2 L2 U'
U' L F B D U F2
U' L F B D2 R2 U
F L F B R U L
F' L F' B R U L
F2 L F' B U L F
F' L F2 B U L F
F2 L B R U L D
F2 L B R U L D'
F2 L B R U L D2
F2 L B R U D L
F2 L B R U D' L
F2 L B R U D2 L
F2 L B R D U L
F2 L B R D' U L
F2 L B R D2 U L
F2 L B R F U L
F2 L B R F' U L
F2 L B R F2 U L
D2 L B U D L F2
F L B R U L F
D2 L B U D F2 L
D' L B U D L F2
D' L B U D F2 L
F L B R' U L F
D2 L B U2 L2 U' L'
D' L B U2 L2 U' L'
F L B R2 U L F
D L B U D L F2
D L B U D F2 L
F L B U L D F
F L B U L D' F
F L B U L D2 F
F L B U L F D
F L B U L F D'
F L B U L F D2
D2 L B D U L F2
D2 L B D U F2 L
D' L B D U L F2
F L B U D L F
D' L B D U F2 L
F L B U D' L F
F L B U D2 L F
F L B U F L F
F L B U F' L F
F L B U F2 L F
U' L B U2 L2 B' U'
D L B U2 L2 U' L'
F2 L B D R U L
D2 L B D2 R2 U L
D' L B D2 R2 U L
U' L B D F U F
D L B D U L F2
D L B D U F2 L
F2 L B D' R U L
F L B D U L F
F2 L B D2 R U L
U' L B D2 R2 F U
F' L B F' R U L
U' L B D2 F R2 U
F L B D' U L F
D L B D2 R2 U L
U' L B F U D F2
U' L B F U2 L2 U'
F' L B F2 U L F
U' L B F D U F2
U' L B F D2 R2 U
F L B D2 U L F
F2 L B F' U L F
F L B F R U L
F2 L B2 R B' U L
U' L' U2 L2 F B U
U' L' U2 L2 B F U
U2 L' U2 L2 B U L
U2 L' U2 B L2 U L'
B2 L' D' R' B U' R'
U' L' D2 R2 F' B' U'
U' L' D2 R2 B' F' U'
U2 L' D2 R2 F' U' L'
F2 L' B L2 R U L'
F2 L' B R L2 U L'
L R2 U2 L2 F' U' L'
L R2 U2 F' L2 U' L
U' L' B' U' D' R2 B2
U' L' B' U' D' B2 R2
U' L' B' U2 L2 B2 U
U' L' B' U2 B2 L2 U
U' L' B' D' U' R2 B2
U' L' B' D' U' B2 R2
U' L' B' D2 R2 F2 U'
U' L' B' D2 F2 R2 U'
L R2 D2 R2 B U L
F2 L2 B L' R U L2
F2 L2 B R L' U L2
L' U2 L2 F' B U L'
L' U2 L2 B F' U L'
L U2 L2 U2 B U L
L' U2 F' B L2 U L
L' U2 B L2 F' U L'
L' U2 B F' L2 U L
L D F B U F L
L D F' B U L F'
L D F' B U F' L
L D B R U L F2
L D B R U F2 L
L D B R' U L F2
L D B R' U F2 L
L D B R2 U L F2
L D B R2 U F2 L
L D B U L F2 D
L D B U L F2 D'
L D B U L F2 D2
L D B U L' F2 L2
L D B U F' L F'
L D B U F2 L D
L D B U F2 L D'
L D B U F2 L D2
L D B U F2 D L
L D B U F2 D' L
L D B U F2 D2 L
L D B D R2 U L
L D B F U F L
L D B F' U L F'
L D B F' U F' L
B U D L D F2 B'
B U D L D B' F2
B U D L B' D F2
F2 U' L B R F U
L D' B R2 U L F'
L D' B R2 U F' L
L' D2 R2 F' B U' L
L' D2 R2 B F' U' L
L D2 R2 U2 F' U' L'
B U2 L' B R' U' L2
L D2 F B R2 U L
L D2 F' B R2 U L
L D2 F2 B R2 U L
L D2 B R2 U L D
L D2 B R2 U L D'
L D2 B R2 U L D2
L D2 B R2 U D L
L D2 B R2 U D' L
L D2 B R2 U D2 L
L D2 B R2 D U L
L D2 B R2 D' U L
L D2 B R2 D2 U L
L D2 B R2 F U L
L D2 B R2 F' U L
L D2 B R2 F2 U L
L D2 B U L D' F2
L D2 B U D' L F2
L D2 B U D' F2 L
L D2 B D' U L F2
L D2 B D' U F2 L
L D2 B F R2 U L
L D2 B F' R2 U L
L D2 B F2 R2 U L
B U2 D L' U' L2 B'
U' F L F B R U
U' F L B F R U
D' F L B U L F
D2 F L B U L F
L D2 B2 R2 B' U L
D F L B U L F
F2 D L B R U L
F D L B U L F
L F D B U L F2
L F D B U F2 L
L F D2 B R2 U L
L F B U D L F2
L F B U D F2 L
L F B U2 L2 U' L'
L F B D U L F2
L F B D U F2 L
L F B D2 R2 U L
B D U L D F2 B'
B D U L D B' F2
B D U L B' D F2
B D U2 L' U' L2 B'
B D F U L F B'
B D F U L B' F
B D F2 R U L B'
F2 D' L B R U L
F D' L B U L F
L F' D B U L F2
L F' D B U F2 L
L F' D2 B R2 U L
L F' B U D L F2
L F' B U D F2 L
R' F2 L R B U L
L F' B U2 L2 U' L'
L F' B D U L F2
L F' B D U F2 L
L F' B D2 R2 U L
U' F2 L B R F U
D2 F2 L B R U L
D' F2 L B R U L
D F2 L B R U L
R' F2 R L B U L
F' D2 L B R' U L
F2 D2 L B R U L
F D2 L B U L F
L F2 D B U L F2
L F2 D B U F2 L
L F2 D2 B R2 U L
L F2 B U D L F2
L F2 B U D F2 L
L F2 B U2 L2 U' L'
L F2 B D U L F2
L F2 B D U F2 L
L F2 B D2 R2 U L
L' B L2 U D L' F2
L' B L2 U2 L2 U' L
L' B L2 D U L' F2
L' B L2 D2 R2 U L'
L B R U D L F2
L B R U D F2 L
L B R U2 L2 U' L'
L B R D U L F2
L B R D U F2 L
L B R D2 R2 U L
L B R' U D L F2
L B R' U D F2 L
L B R' U2 L2 U' L'
L B R' D U L F2
L B R' D U F2 L
L B R' D2 R2 U L
L B R2 U D L F2
L B R2 U D F2 L
L B R2 U2 L2 U' L'
L B R2 D U L F2
L B R2 D U F2 L
L B R2 D2 R2 U L
L B U L U L U'
L B U D L F2 D
L B U D L F2 D'
L B U D L F2 D2
L B U D L' F2 L2
L B U D F' L F'
L B U D F2 L D
L B U D F2 L D'
L B U D F2 L D2
L B U D F2 D L
L B U D F2 D' L
L B U D F2 D2 L
L B U D' L D2 F2
L B U D2 L D' F2
L B U F D L F2
L B U F D F2 L
L B U F' D L F2
L B U F' D F2 L
L B U F2 D L F2
L B U F2 D F2 L
L B U' D' B2 R' U2
L2 B D L' U F L2
L B U2 L2 U' L' D
L B U2 L2 U' L' D'
L B U2 L2 U' L' D2
L B U2 L2 U' D L'
L B U2 L2 U' D' L'
L B U2 L2 U' D2 L'
L B U2 L2 D U' L'
L B U2 L2 D' U' L'
L B U2 L2 D2 U' L'
L B U2 L2 B U' L'
L B U2 L2 B' U' L'
L B U2 L2 B2 U' L'
F2 B R U D L B'
L B D R U L F2
L B D R U F2 L
L B D R' U L F2
L B D R' U F2 L
F2 B R D U L B'
L B D R2 U L F2
L B D R2 U F2 L
L B D U L F2 D
L B D U L F2 D'
L B D U L F2 D2
L B D U L' F2 L2
L B D U F' L F'
L B D U F2 L D
L B D U F2 L D'
L B D U F2 L D2
L B D U F2 D L
L B D U F2 D' L
L B D U F2 D2 L
L B D F U F L
L B D F' U L F'
L B D F' U F' L
L B D' U L D2 F2
L B D' U' B2 R' U2
L B D2 R2 U L D
L B D2 R2 U L D'
L B D2 R2 U L D2
L B D2 R2 U D L
L B D2 R2 U D' L
L B D2 R2 U D2 L
L B D2 R2 D U L
L B D2 R2 D' U L
L B D2 R2 D2 U L
L B D2 R2 F U L
L B D2 R2 F' U L
L B D2 R2 F2 U L
L B D2 U L D' F2
L B D2 F R2 U L
L B D2 F' R2 U L
L B D2 F2 R2 U L
L B F U D L F2
L B F U D F2 L
L B F U2 L2 U' L'
L B F D U L F2
L B F D U F2 L
L B F D2 R2 U L
B F U D L F B'
B F U D L B' F
L B F' U D L F2
L B F' U D F2 L
L B F' U2 L2 U' L'
L B F' D U L F2
L B F' D U F2 L
L B F' D2 R2 U L
F B U D L F B'
F B U D L B' F
L B F2 U D L F2
L B F2 U D F2 L
L B F2 U2 L2 U' L'
L B F2 D U L F2
L B F2 D U F2 L
L B F2 D2 R2 U L
F2 B D R U L B'
B F D U L F B'
B F D U L B' F
F B D U L F B'
F B D U L B' F
L' B' U' D' B2 L R2
L' B' U' D' B2 R2 L
L' B' U2 L2 B2 U L
L' B' U2 B2 L2 U L'
L' B' D' U' B2 L R2
L' B' D' U' B2 R2 L
L' B' D2 R2 F2 U' L'
L2 B2 R' B' L' U L2
B F2 R U D L B'
B F2 R D U L B'
L' B2 U2 B' L2 U L'
B F2 D R U L B'
