B' L B2 R' B U'
B' D2 L R2 B' U'
B' D2 L B' R2 U'
B' D2 R2 L B' U'
R' B U2 L2 R' U
R' B U2 R' L2 U
R' B' L B2 R' U'
L B2 R' B L U'
B' L R U2 L F' U
B' L R U2 F' L U
B' L R' B2 R' B' U'
B' L R2 U2 L F U
D2 L R2 D2 B' L U'
D L U F2 B' U2 L
D L U B' F2 U2 L
B' L B R' B R' U'
B L B2 L R' B U'
B' L B2 R' D B U'
B' L B2 R' D' B U'
B' L B2 R' D2 B U'
B' L B2 R' B U' D
B' L B2 R' B U' D'
B' L B2 R' B U' D2
B' L B2 R' B D U'
B' L B2 R' B D' U'
B' L B2 R' B D2 U'
B L B2 R' L B U'
D L' U' D2 F L' B2
D L' U' D2 F B2 L'
D L' U' D2 B2 F L'
D L' U' F L2 B' L
R' L' B U2 L' R' U
R' L' B U2 R' L' U
L' R' B U2 L' R' U
L' R' B U2 R' L' U
D L' D2 U' F L' B2
D L' D2 U' F B2 L'
D L' D2 U' B2 F L'
U2 L2 R D2 F' R U
F L2 R2 B R' F' U
B' R L U2 L F' U
B' R L U2 F' L U
U2 R L2 D2 F' R U
D' R U' F L' F2 B2
D' R U' F L' B2 F2
D' R U' F B2 L' F2
D' R U' B2 F L' F2
B R U2 L2 F' R2 U
B R U2 F' L2 R2 U
B R U2 F' R2 L2 U
B' R D2 L R2 B U'
B' R D2 R2 L B U'
B2 R D2 R2 B L U'
B R D2 L2 R2 B U'
B R D2 R2 L2 B U'
B R D2 R2 B L2 U'
B2 R F' L2 B' R' U
B R F' L2 R2 B' U
B R F' L2 B' R2 U
B R F' R2 L2 B' U
B' R' L B2 R' B' U'
D' R' U' B2 L2 F L'
B' R' D' L B U' B
B2 R' D' B L U' B
B' R' D2 L B R2 U'
B2 R' D2 B L R2 U'
B2 R' D2 B R2 L U'
R U2 L2 D2 F' R U
B2 R' B L U2 L U
B2 R' B D' L U' B2
B2 R' B D2 L R2 U'
B2 R' B D2 R2 L U'
B' R2 L U2 L F U
D2 R2 L D2 B' L U'
F R2 L2 B R' F' U
F R2 B L2 R' F' U
F R2 B R' L2 F' U
F R2 B R' F' L2 U
U' D L' D2 F L' B2
U' D L' D2 F B2 L'
U' D L' D2 B2 F L'
U' D L' F L2 B' L
U' D F L2 B' L F
D' U F' R U2 F' B2
D' U F' R U2 B2 F'
U' D B' L' F L2 B'
R2 D' R B U' F' B
R2 D' R B U' B F'
D U' L' D2 F L' B2
D U' L' D2 F B2 L'
D U' L' D2 B2 F L'
D U' L' F L2 B' L
U' D' F B2 D2 L' F
D' U' F B2 D2 L' F
D U' F L2 B' L F
U D' F' R U2 F' B2
U D' F' R U2 B2 F'
B2 U' D' L F L' B2
B2 U' D' L F B2 L'
B2 U' D' L B2 F L'
B2 U' D' B2 L F L'
D U' B' L' F L2 B'
D' U' B2 F D2 L' F
U' D' B2 F D2 L' F
R' D2 R2 U2 F' R U
B' U2 L2 F2 R F' U
B2 U2 L2 F R F' U
B U2 L2 R F' R2 U
B U2 L2 R' U2 B U'
B U2 R L2 F' R2 U
B U2 R F' L2 R2 U
B U2 R F' R2 L2 U
B U2 R' L2 U2 B U'
B2 U2 F L2 R F' U
B2 U2 F R L2 F' U
B2 U2 F R F' L2 U
L2 F R2 B R' F' U
R F' L2 B R' B2 U
R F' L2 B' U2 L U'
R F' B L2 R' B' U
R F' B R' L2 B' U
B2 D' U' L F L' B2
B2 D' U' L F B2 L'
B2 D' U' L B2 F L'
B2 D' U' B2 L F L'
R F' B2 L2 B' R' U
B' D2 L R B' R U'
B' D2 L R2 D B' U'
B' D2 L R2 D' B' U'
B' D2 L R2 D2 B' U'
B' D2 L R2 B' U' D
B' D2 L R2 B' U' D'
B' D2 L R2 B' U' D2
B' D2 L R2 B' D U'
B' D2 L R2 B' D' U'
B' D2 L R2 B' D2 U'
B' D2 L D B' U' B'
B' D2 L B R2 B2 U'
B' D2 L B' R2 U' D
B' D2 L B' R2 U' D'
B' D2 L B' R2 U' D2
B' D2 L B' R2 D U'
B' D2 L B' R2 D' U'
B' D2 L B' R2 D2 U'
B' D2 L B' U' D B2
B' D2 L B' D U' B2
B' D2 R L B' R U'
B' D2 R2 L D B' U'
B' D2 R2 L D' B' U'
B' D2 R2 L D2 B' U'
B' D2 R2 L B' U' D
B' D2 R2 L B' U' D'
B' D2 R2 L B' U' D2
B' D2 R2 L B' D U'
B' D2 R2 L B' D' U'
B' D2 R2 L B' D2 U'
B2 D2 R2 B L B' U'
R' B L U2 L R' U
R' B L U2 R' L U
R' B L' U2 L' R' U
R' B L' U2 R' L' U
R' B R U' D' F2 B2
R' B R U' D' B2 F2
R' B R U2 L2 R2 U
R' B R U2 R2 L2 U
