L2 U' R' U' L F'
L2 U' R' U' F' L
D2 R' U' L' R' F'
D2 R' U' R' L' F'
R' L U L U2 F L
D2 L R' U' L2 R' F'
D2 L R' U' R' L2 F'
D2 L R' U' R' F' L2
B2 L U' L U2 L F
R' L D' B2 U' R' F'
L' R F2 D R F' B2
L' R F2 D R B2 F'
L' R F2 D B2 R F'
R' L B2 U' L2 R' F'
R' L B2 U' R' L2 F'
R' L B2 U' R' F' L2
L R' U L U2 F L
D' L B2 L U L F
L R' D' B2 U' R' F'
R L' F2 D R F' B2
R L' F2 D R B2 F'
R L' F2 D B2 R F'
L R' B2 U' L2 R' F'
L R' B2 U' R' L2 F'
L R' B2 U' R' F' L2
D2 L2 R' U' L R' F'
D2 L2 R' U' R' L F'
D2 L2 R' U' R' F' L
B2 L2 U L' U L2 F
U' L2 U' R' U' L F
R' U L' B' L' U2 L
R' U L2 U2 L' F L2
R' U' L' R' F2 R F
R' U' L' R2 F2 R F'
R' U' L' U2 L' B' U2
L2 U' L' R' U' L2 F'
L2 U' L' R' U' F' L2
R' U' L' F' R' F' R
R' U' L' F2 R' F' R2
L2 U' L2 R' U' L' F'
R' U' R D2 L' R2 F'
R' U' R D2 R2 L' F'
R' U' R' L' F2 R F
R' U' R' D2 L' F' R2
L2 U' R' L' U' L2 F'
L2 U' R' L' U' F' L2
L2 U' R' L2 U' L' F'
L2 U' R' U' L D F'
L2 U' R' U' L D' F'
L2 U' R' U' L D2 F'
L2 U' R' U' L F' D
L2 U' R' U' L F' D'
L2 U' R' U' L F' D2
L2 U' R' U' L' F' L2
L2 U' R' U' D L F'
L2 U' R' U' D F' L
L2 U' R' U' D' L F'
L2 U' R' U' D' F' L
L2 U' R' U' D2 L F'
L2 U' R' U' D2 F' L
L2 U' R' U' F L F2
L2 U' R' U' F' L D
L2 U' R' U' F' L D'
L2 U' R' U' F' L D2
L2 U' R' U' F' D L
L2 U' R' U' F' D' L
L2 U' R' U' F' D2 L
L2 U' R' D U' L F'
L2 U' R' D U' F' L
L2 U' R' D' U' L F'
L2 U' R' D' U' F' L
L2 U' R' D2 U' L F'
L2 U' R' D2 U' F' L
R' U' R2 L' F2 R F'
R' U' R2 D2 L' R2 F
R' U' R2 D2 L' F R2
R' U' R2 D2 R2 L' F
L2 U' D R' U' L F'
L2 U' D R' U' F' L
L2 U' D' R' U' L F'
L2 U' D' R' U' F' L
D2 R' L U' L2 R' F'
D2 R' L U' R' L2 F'
D2 R' L U' R' F' L2
R' U' D2 L' R' F' R'
R' U' D2 R' L' F' R'
R' U' D2 R2 D2 L' F
L2 U' D2 R' U' L F'
L2 U' D2 R' U' F' L
D2 R' L2 U' L R' F'
D2 R' L2 U' R' L F'
D2 R' L2 U' R' F' L
U' R' U L2 U2 L F'
U' R' U L2 U2 F' L
U2 R' U L2 U2 L F
D2 R' U' L R' F' L2
D2 R' U' L' R' D F'
D2 R' U' L' R' D' F'
D2 R' U' L' R' D2 F'
D2 R' U' L' R' F' D
D2 R' U' L' R' F' D'
D2 R' U' L' R' F' D2
D2 R' U' L' D R' F'
D2 R' U' L' D' R' F'
D2 R' U' L' D2 R' F'
D2 R' U' L' F R' F'
D2 R' U' L' F' R' F'
D2 R' U' L' F2 R' F'
D2 R' U' L2 R' F' L
U' R' U' L' F2 R F
D2 R' U' R' L F' L2
D2 R' U' R' L' D F'
D2 R' U' R' L' D' F'
D2 R' U' R' L' D2 F'
D2 R' U' R' L' F' D
D2 R' U' R' L' F' D'
D2 R' U' R' L' F' D2
D2 R' U' R' L2 F' L
D2 R' U' R' D L' F'
D2 R' U' R' D' L' F'
D2 R' U' R' D2 L' F'
D2 R' U' D L' R' F'
D2 R' U' D R' L' F'
D2 R' U' D' L' R' F'
D2 R' U' D' R' L' F'
D2 R' U' D2 L' R' F'
D2 R' U' D2 R' L' F'
D2 R' U' F R' F' L'
U' R' U' D2 L' F' R2
D2 R' D U' L' R' F'
D2 R' D U' R' L' F'
D2 R' D' U' L' R' F'
D2 R' D' U' R' L' F'
L2 U2 L U R' U' F'
D2 R' D2 U' L' R' F'
D2 R' D2 U' R' L' F'
U' R' D2 U' L' F' R2
L2 U2 R' U' L R F
L2 U2 R' U' R L F
L2 D U' R' U' L F'
L2 D U' R' U' F' L
D' U B2 L U F L2
L D' R' B2 U' R' F'
L2 D' U' R' U' L F'
L2 D' U' R' U' F' L
D2 U' R' U' L' F' R'
B U' L2 U2 L F B'
B U' L2 U2 L B' F
U D' B2 L U F L2
R D2 L2 U L R2 F
R D2 L2 U L F R2
R D2 L2 U R2 L F
U' D2 R' U' L' F' R'
R' D2 U' L' R' F' R'
R' D2 U' R' L' F' R'
R' D2 U' R2 D2 L' F
L2 D2 U' R' U' L F'
L2 D2 U' R' U' F' L
F' D L' R' F2 B U'
F' D L' R' B F2 U'
F' D L' F2 R' B U'
F' D R' L' F2 B U'
F' D R' L' B F2 U'
F' D R' B L' F2 U'
L2 F' U' L' R' U' L2
L2 F' U' R' L' U' L2
L' F2 D R D F' B2
L' F2 D R D B2 F'
L' F2 D R F' D B2
D' B2 L U L F L
D' B2 L F R U L2
L B2 L U L R' F
L B2 L U L F R'
L B2 L U R' L F
L2 B2 R' U L U F
