F' R2 D L2 B R'
F' R2 D B L2 R'
F' R2 D B R' L2
D2 F2 U F R B2
D2 F2 U F B2 R
D2 F2 U B2 F R
F' L R2 D L2 B R'
F' L R2 D B L2 R'
F' L R2 D B R' L2
U2 L F' D L2 R2 B
U2 L F' D R2 L2 B
U2 L F' D R2 B L2
D2 L F2 U F R B2
D2 L F2 U F B2 R
D2 L F2 U B2 F R
F' L' R2 D L2 B R'
F' L' R2 D B L2 R'
F' L' R2 D B R' L2
D2 L' F2 U F R B2
D2 L' F2 U F B2 R
D2 L' F2 U B2 F R
F' L2 R2 D L2 B R'
F' L2 R2 D B L2 R'
F' L2 R2 D B R' L2
D' L2 U F R F2 L'
D' L2 U' R2 B L U2
D' L2 D' F2 U F R
D2 L2 F2 U F R B2
D2 L2 F2 U F B2 R
D2 L2 F2 U B2 F R
F2 L2 B' U' B' U' R'
F2 R' U' F' B2 U' F2
F2 R' U' B2 F' U' F2
F2 R' U2 F D L2 R2
F2 R' U2 F D R2 L2
F2 R' F D L2 R2 B
F2 R' F D R2 L2 B
F2 R' F D R2 B L2
F' R2 L D L2 B R'
F' R2 L D B L2 R'
F' R2 L D B R' L2
F' R2 L' D L2 B R'
F' R2 L' D B L2 R'
F' R2 L' D B R' L2
F' R2 L2 D L2 B R'
F' R2 L2 D B L2 R'
F' R2 L2 D B R' L2
F' R2 D L' B L' R'
F' R2 D L' B R' L'
F' R2 D L2 B R' D
F' R2 D L2 B R' D'
F' R2 D L2 B R' D2
F' R2 D L2 B D R'
F' R2 D L2 B D' R'
F' R2 D L2 B D2 R'
D' R2 D F2 B U2 R'
D' R2 D B F2 U2 R'
F' R2 D B L2 R' D
F' R2 D B L2 R' D'
F' R2 D B L2 R' D2
F' R2 D B L2 D R'
F' R2 D B L2 D' R'
F' R2 D B L2 D2 R'
F' R2 D B R' L2 D
F' R2 D B R' L2 D'
F' R2 D B R' L2 D2
U2 D L2 D F' R B2
U2 D L2 D F' B2 R
U2 D L2 D B2 F' R
D U F' L2 D B2 R'
U D F' L2 D B2 R'
F2 U D2 F2 U F' R
B2 U F' L' F' U2 F
B2 U F2 U2 F' R F2
B2 U' D2 F' B' R' B'
B2 U' D2 B' F' R' B'
B2 U' D2 B2 D2 F' R
B2 U' F' R' B' R' B
B2 U' F' R2 B' R' B2
B2 U' F' U2 F' L' U2
B2 U' F' B' R2 B R
B2 U' F' B2 R2 B R'
B2 U' B D2 F' B2 R'
B2 U' B D2 B2 F' R'
D U2 L2 D F' R B2
D U2 L2 D F' B2 R
D U2 L2 D B2 F' R
B2 U' B' D2 F' R' B2
B2 U' B' F' R2 B R
B2 U' B2 D2 F' R B2
B2 U' B2 D2 F' B2 R
B2 U' B2 D2 B2 F' R
B2 U' B2 F' R2 B R'
L' D2 F2 U F R B2
L' D2 F2 U F B2 R
L' D2 F2 U B2 F R
L2 D2 F2 U F R B2
L2 D2 F2 U F B2 R
L2 D2 F2 U B2 F R
L D2 F2 U F R B2
L D2 F2 U F B2 R
L D2 F2 U B2 F R
F2 U2 B2 U' F R B2
F2 U2 B2 U' F B2 R
F2 U2 B2 U' B2 F R
F' D L2 R2 D B R'
F' D R2 L2 D B R'
L' F' R2 D L2 B R'
L' F' R2 D B L2 R'
L' F' R2 D B R' L2
L2 F' R2 D L2 B R'
L2 F' R2 D B L2 R'
L2 F' R2 D B R' L2
L F' R2 D L2 B R'
L F' R2 D B L2 R'
L F' R2 D B R' L2
D2 F2 R B U F B
D2 F2 R B U B F
D2 F2 U R F R B2
D2 F2 U R F B2 R
D2 F2 U R B2 F R
D2 F2 U R' F R B2
D2 F2 U R' F B2 R
D2 F2 U R' B2 F R
D2 F2 U R2 F R B2
D2 F2 U R2 F B2 R
D2 F2 U R2 B2 F R
D2 F2 U F R B2 D
D2 F2 U F R B2 D'
D2 F2 U F R B2 D2
D2 F2 U F R' B2 R2
D2 F2 U F B' R B'
D2 F2 U F B2 R D
D2 F2 U F B2 R D'
D2 F2 U F B2 R D2
D2 F2 U F B2 D R
D2 F2 U F B2 D' R
D2 F2 U F B2 D2 R
D2 F2 U B' F R B'
D2 F2 U B2 R F R
D2 F2 U B2 R' F R
D2 F2 U B2 R2 F R
D2 F2 U B2 D F R
D2 F2 U B2 D' F R
D2 F2 U B2 D2 F R
D2 F2 U B2 F R D
D2 F2 U B2 F R D'
D2 F2 U B2 F R D2
D2 F2 U B2 F D R
D2 F2 U B2 F D' R
D2 F2 U B2 F D2 R
U' F2 U' B2 U' F R
U' F2 U2 D F L2 R
U' F2 U2 D F R L2
U' F2 U2 F R D L2
U' F2 U2 F D L2 R
U' F2 U2 F D R L2
U' F2 D U2 F L2 R
U' F2 D U2 F R L2
U' F2 D' R2 U2 F R
R2 F2 D B U2 L2 R'
R2 F2 D B U2 R' L2
R2 F2 D' R2 U2 F' R
D2 F2 B U F B R
D2 F2 B U B F R
D2 F2 B' U F R B'
D2 F2 B' U F B' R
D2 F2 B' U B' F R
F2 D2 U F2 U F' R
B2 D2 U' F' B' R' B'
B2 D2 U' B' F' R' B'
B2 D2 U' B2 D2 F' R
B' D2 B' U' F' B' R'
B' D2 B' U' B' F' R'
B2 F L2 U' F2 B' R'
B2 F L2 U' B' R' F2
B2 F L2 U' B' F2 R'
D2 B F2 U F B R
D2 B F2 U B F R
B2 F U F U2 R F
B2 F D' L2 U' B' R'
F2 B' U' B' U' R' F
F2 B' U' B' U' F R'
D2 B' F2 U F R B'
D2 B' F2 U F B' R
D2 B' F2 U B' F R
F B2 L2 U' F2 B' R'
F B2 L2 U' B' R' F2
F B2 L2 U' B' F2 R'
U' B2 U' D2 F' R B2
U' B2 U' D2 F' B2 R
U' B2 U' D2 B2 F' R
U' B2 U' F' R2 B R'
U2 B2 U F2 U2 F R
B' F2 U' B' U' R' F
B' F2 U' B' U' F R'
U' B2 D2 U' F' R B2
U' B2 D2 U' F' B2 R
U' B2 D2 U' B2 F' R
F B2 U F U2 R F
F B2 D' L2 U' B' R'
