F' L' F2 B2 U' B
F' L' B2 F2 U' B
B2 F U2 R U B
B2 F' L' F2 U' B'
F' B2 L' F2 U' B'
F B2 U2 R U B
F' L D L2 R2 F2 B'
F' L D L2 R2 B' F2
F' L D L2 F2 R2 B'
F' L D L2 F2 B' R2
F' L D L2 B' R2 F2
F' L D L2 B' F2 R2
F' L D R2 L2 F2 B'
F' L D R2 L2 B' F2
F' L D F2 L2 R2 B
F' L D F2 R2 L2 B
F' L D F2 R2 B L2
F' L B2 L2 F2 U' B'
F' L' R F2 B2 U' B
F' L' R B2 F2 U' B
F' L' R' F2 B2 U' B
F' L' R' B2 F2 U' B
F' L' R2 F2 B2 U' B
F' L' R2 B2 F2 U' B
F L' R2 B2 L U' B
F' L' U' D R2 B' L2
F' L' U' D B' L2 R2
F' L' U' D B' R2 L2
F' L' D U' R2 B' L2
F' L' D U' B' L2 R2
F' L' D U' B' R2 L2
F' L' F2 R B2 U' B
F' L' F2 R' B2 U' B
F' L' F2 R2 B2 U' B
F' L' F2 U' D B' L2
F' L' F2 D U' B' L2
F' L' F2 B2 U' D B
F' L' F2 B2 U' D' B
F' L' F2 B2 U' D2 B
F' L' F2 B2 U' B D
F' L' F2 B2 U' B D'
F' L' F2 B2 U' B D2
F' L' F2 B2 D U' B
F' L' F2 B2 D' U' B
F' L' F2 B2 D2 U' B
F' L' B2 U' D B R2
F' L' B2 U' B D R2
F' L' B2 D U' B R2
F' L' B2 F2 U' D B
F' L' B2 F2 U' D' B
F' L' B2 F2 U' D2 B
F' L' B2 F2 U' B D
F' L' B2 F2 U' B D'
F' L' B2 F2 U' B D2
F' L' B2 F2 D U' B
F' L' B2 F2 D' U' B
F' L' B2 F2 D2 U' B
F L2 R2 B2 L U' B'
F' L2 F2 L B2 U' B
F' R L' F2 B2 U' B
F' R L' B2 F2 U' B
B2 R F U2 R U B
B2 R F' L' F2 U' B'
F' R B2 L' F2 U' B'
F' R' L' F2 B2 U' B
F' R' L' B2 F2 U' B
U' R' F R B2 U' F2
B2 R' F U2 R U B
U' R' F B2 R U' F2
B2 R' F' L' F2 U' B'
F' R' B2 L' F2 U' B'
U' R' B2 F R U' F2
F' R2 L' F2 B2 U' B
F' R2 L' B2 F2 U' B
F R2 L' B2 L U' B
F R2 L2 B2 L U' B'
U' R2 F R B2 U' F'
B2 R2 F U2 R U B
U' R2 F B2 R U' F'
B2 R2 F' L' F2 U' B'
F' R2 B2 L' F2 U' B'
U' R2 B2 F R U' F'
F R2 B2 L U F U2
F U2 R U D L2 B
F U2 R U D B L2
F U2 R U2 B2 U' B'
F U2 R D U L2 B
F U2 R D U B L2
F U2 R D2 F2 U B
F U2 D R U L2 B
F U2 D R U B L2
F U2 D2 R F2 U B
U' F R B2 L2 U' F
U' F R B2 U B' U2
D2 F U2 R F U B
F' D L' U' R2 B' L'
F' D L' U' B' L' R2
F' D L' U' B' R2 L'
D F U2 R U L2 B
D F U2 R U B L2
U' F B2 R U B U2
R' F B2 U2 R U B
R2 F B2 U2 R U B
R' F' L' F2 B2 U' B
R F B2 U2 R U B
