D' U L' F R B2
D' U L' F B2 R
D' U L' B2 F R
D' U B2 L' F R
U D' L' F R B2
U D' L' F B2 R
U D' L' B2 F R
U D' B2 L' F R
L2 F2 U L F R
D' L U L2 F R B2
D' L U L2 F B2 R
D' L U L2 B2 F R
D' L' R' F B2 D R2
D' L' R' B2 F D R2
D' L' B2 R' F D R2
F' L2 R F B U L'
F' L2 R B F U L'
F2 L2 U' R B L U2
F' L2 D R F' B U
F' L2 D R B F' U
L2 U L D F R F'
L2 U L2 D' L' F R
B' L2 F2 U L F R
B2 L2 F2 U L F R
B L2 F2 U L F R
L2 U D L F R F'
L2 U D F L R F'
L2 U D F R L F'
L2 U D F R F' L
L2 U D' L' F L2 R
L2 U D' L' F R L2
L' U F L' U' R B
L2 U F L R D F2
L2 U F L D R F2
L2 U F R L D F2
F' R L2 F B U L'
F' R L2 B F U L'
U R D' L' F R B2
U R D' L' F B2 R
U R D' L' B2 F R
U R D' B2 L' F R
F' R F B L2 U L
F' R B L2 F U L'
D' R B U L' F B
D' R B U L' B F
D' R B U B L' F
F' R B F L2 U L
D' R' L' F B2 D R2
D' R' L' B2 F D R2
U R' D' L' F R B2
U R' D' L' F B2 R
U R' D' L' B2 F R
L2 U2 L F L' U' L
U R' D' B2 L' F R
D' R' B2 L' F D R2
U R2 D' L' F R B2
U R2 D' L' F B2 R
U R2 D' L' B2 F R
U R2 D' B2 L' F R
L2 D U L F R F'
L2 D U F L R F'
L2 D U F R L F'
L2 D U F R F' L
D' U L' R F R B2
D' U L' R F B2 R
D' U L' R B2 F R
D' U L' R' F R B2
D' U L' R' F B2 R
D' U L' R' B2 F R
D' U L' R2 F R B2
D' U L' R2 F B2 R
D' U L' R2 B2 F R
D' U L' F R B2 D
D' U L' F R B2 D'
D' U L' F R B2 D2
D' U L' F R' B2 R2
D' U L' F B' R B'
D' U L' F B2 R D
D' U L' F B2 R D'
D' U L' F B2 R D2
D' U L' F B2 D R
D' U L' F B2 D' R
D' U L' F B2 D2 R
D' U L' B' F R B'
D' U L' B2 R F R
D' U L' B2 R' F R
D' U L' B2 R2 F R
D' U L' B2 D F R
D' U L' B2 D' F R
D' U L' B2 D2 F R
D' U L' B2 F R D
D' U L' B2 F R D'
D' U L' B2 F R D2
D' U L' B2 F D R
D' U L' B2 F D' R
D' U L' B2 F D2 R
D' U R L' F R B2
D' U R L' F B2 R
D' U R L' B2 F R
D' U R B2 L' F R
D' U R' L' F R B2
D' U R' L' F B2 R
D' U R' L' B2 F R
D' U R' B2 L' F R
D' U R2 L' F R B2
D' U R2 L' F B2 R
D' U R2 L' B2 F R
D' U R2 B2 L' F R
B' U D' L' F R B2
B' U D' L' F B2 R
B' U D' L' B2 F R
B2 U D' L' F R B2
B2 U D' L' F B2 R
B2 U D' L' B2 F R
B' U D' B2 L' F R
B U D' L' F R B2
B U D' L' F B2 R
B2 U D' B2 L' F R
B U D' L' B2 F R
L' D' L' U F L R
L' D' L' U F R L
R' D' L' F B2 D R2
B U D' B2 L' F R
R' D' L' B2 F D R2
D' U B L' F B R
D' U B L' B F R
D U F2 R U2 F' R
R2 D' L' F' R F2 B2
R2 D' L' F' R B2 F2
R2 D' L' F' B2 R F2
U D F2 R U2 F' R
R2 D' L' B2 F' R F2
D' U B2 L' R F R
D' U B2 L' R' F R
D' U B2 L' R2 F R
D' U B2 L' D F R
D' U B2 L' D' F R
D' U B2 L' D2 F R
D' U B2 L' F R D
D' U B2 L' F R D'
D' U B2 L' F R D2
D' U B2 L' F D R
D' U B2 L' F D' R
D' U B2 L' F D2 R
D' U B2 R L' F R
D' U B2 R' L' F R
D' U B2 R2 L' F R
U' D' L' F B' R' B'
D' U' L' F B' R' B'
L2 D' U L' F L2 R
L2 D' U L' F R L2
U' D' L' B' R' F B'
U' D' L' B' R' B' F
D' U' L' B' R' F B'
D' U' L' B' R' B' F
U' D' L' B' F R' B'
D' U' L' B' F R' B'
U D' L' R F R B2
U D' L' R F B2 R
U D' L' R B2 F R
U D' L' R' F R B2
U D' L' R' F B2 R
U D' L' R' B2 F R
U D' L' R2 F R B2
U D' L' R2 F B2 R
U D' L' R2 B2 F R
U D' L' F R B2 D
U D' L' F R B2 D'
U D' L' F R B2 D2
U D' L' F R' B2 R2
U D' L' F B' R B'
U D' L' F B2 R D
U D' L' F B2 R D'
U D' L' F B2 R D2
U D' L' F B2 D R
U D' L' F B2 D' R
U D' L' F B2 D2 R
U D' L' B' F R B'
U D' L' B2 R F R
U D' L' B2 R' F R
U D' L' B2 R2 F R
U D' L' B2 D F R
U D' L' B2 D' F R
U D' L' B2 D2 F R
U D' L' B2 F R D
U D' L' B2 F R D'
U D' L' B2 F R D2
U D' L' B2 F D R
U D' L' B2 F D' R
U D' L' B2 F D2 R
U D' R L' F R B2
U D' R L' F B2 R
U D' R L' B2 F R
U D' R B2 L' F R
U D' R' L' F R B2
U D' R' L' F B2 R
U D' R' L' B2 F R
U D' R' B2 L' F R
U D' R2 L' F R B2
U D' R2 L' F B2 R
U D' R2 L' B2 F R
U D' R2 B2 L' F R
R' D' B2 L' F D R2
R D' B U L' F B
R D' B U L' B F
R D' B U B L' F
R2 D' B2 L' F' R F2
U' D' B' R' B' L' F
D' U' B' R' B' L' F
U D' B L' F B R
U D' B L' B F R
U D' B2 L' R F R
U D' B2 L' R' F R
U D' B2 L' R2 F R
U D' B2 L' D F R
U D' B2 L' D' F R
U D' B2 L' D2 F R
U D' B2 L' F R D
U D' B2 L' F R D'
U D' B2 L' F R D2
U D' B2 L' F D R
U D' B2 L' F D' R
U D' B2 L' F D2 R
U D' B2 R L' F R
U D' B2 R' L' F R
U D' B2 R2 L' F R
B' D' U L' F R B2
B' D' U L' F B2 R
B' D' U L' B2 F R
L2 F' B' R B U L
B2 D' U L' F R B2
B2 D' U L' F B2 R
B2 D' U L' B2 F R
B' D' U B2 L' F R
B2 D' U B2 L' F R
B D' U L' F R B2
B D' U L' F B2 R
B D' U L' B2 F R
B D' U B2 L' F R
L F2 L U L F R
D F2 R U B U F'
L2 F2 U L R F R
L2 F2 U L R' F R
L2 F2 U L R2 F R
L2 F2 U L D F R
L2 F2 U L D' F R
L2 F2 U L D2 F R
L2 F2 U L F R D
L2 F2 U L F R D'
L2 F2 U L F R D2
L2 F2 U L F D R
L2 F2 U L F D' R
L2 F2 U L F D2 R
L2 F2 U R L F R
L2 F2 U R' L F R
L2 F2 U R2 L F R
L2 F2 U D L F R
L2 F2 U D' L F R
L2 F2 U D2 L F R
L2 F2 U F L R F
L2 F2 U F R L F
L2 F2 D U L F R
L2 F2 D' U L F R
L2 F2 D2 U L F R
R B L2 F' R U L
R B L2 F2 U L F
D' B U L' F B R
D' B U L' B F R
D' B U B L' F R
R B U D' L' F B2
R B U D' L' B2 F
R B U D' B2 L' F
