U2 L' F U' R B'
U2 L' F U' B' R
B' U2 L' U' R' B'
L2 R B' U R' F' B2
L2 R B' U R' B2 F'
U2 L' R F U' R B'
U2 L' R F U' B' R
U2 L' R' F U' R B'
U2 L' R' F U' B' R
U2 L' R2 F U' R B'
U2 L' R2 F U' B' R
U2 L' U' R B' D' R2
U2 L' U2 B U B2 R'
U2 L' U2 B2 U B R'
U2 L' D F U' R B'
U2 L' D F U' B' R
U2 L' D' F U' R B'
U2 L' D' F U' B' R
U2 L' D2 F U' R B'
U2 L' D2 F U' B' R
U2 L' F R' U' R2 B'
U2 L' F R' U' B' R2
U2 L' F R2 U' R' B'
U2 L' F U' R D B'
U2 L' F U' R D' B'
U2 L' F U' R D2 B'
U2 L' F U' R B' D
U2 L' F U' R B' D'
U2 L' F U' R B' D2
U2 L' F U' R' B' R2
U2 L' F U' D R B'
U2 L' F U' D B' R
U2 L' F U' D' R B'
U2 L' F U' D' B' R
U2 L' F U' D2 R B'
U2 L' F U' D2 B' R
U2 L' F U' B R B2
U2 L' F U' B' R D
U2 L' F U' B' R D'
U2 L' F U' B' R D2
U2 L' F U' B' D R
U2 L' F U' B' D' R
U2 L' F U' B' D2 R
U2 L' F D U' R B'
U2 L' F D U' B' R
U2 L' F D' U' R B'
U2 L' F D' U' B' R
U2 L' F D2 U' R B'
U2 L' F D2 U' B' R
L2 R2 B' U R' F' B
L2 R2 B' U R' B F'
R2 L2 B' U R' F' B
R2 L2 B' U R' B F'
R L2 B' U R' F' B2
R L2 B' U R' B2 F'
L2 R2 B2 R' U B R'
R2 L2 B2 R' U B R'
U2 L2 F L U' R B'
U2 L2 F L U' B' R
U2 R L' F U' R B'
U2 R L' F U' B' R
B' R U2 L' U' B R2
B2 R U2 L' U' B R'
F2 R F2 B' U R' B2
F2 R B' F2 U R' B2
U2 R' L' F U' R B'
U2 R' L' F U' B' R
U R' U L' F' U' B'
F2 R' D' F2 L2 B' R'
R U2 L' F U' B R
U2 R2 L' F U' R B'
U2 R2 L' F U' B' R
U2 D L' F U' R B'
U2 D L' F U' B' R
B' U R' U L' U' B'
U2 D' L' F U' R B'
U2 D' L' F U' B' R
D' U2 L' F U' R B'
D' U2 L' F U' B' R
D2 U2 L' F U' R B'
D2 U2 L' F U' B' R
U2 D2 L' F U' R B'
U2 D2 L' F U' B' R
D U2 L' F U' R B'
D U2 L' F U' B' R
L D2 R2 B' U R' B
B' U2 L' R U' R2 B'
B' U2 L' R U' B' R2
B' U2 L' R2 U' R B'
B' U2 L' R2 U' B' R
B' U2 L' U' R B' R2
B' U2 L' U' R' D B'
B' U2 L' U' R' D' B'
B' U2 L' U' R' D2 B'
B' U2 L' U' R' B' D
B' U2 L' U' R' B' D'
B' U2 L' U' R' B' D2
B' U2 L' U' R2 B' R
B' U2 L' U' D R' B'
B' U2 L' U' D' R' B'
B' U2 L' U' D2 R' B'
B' U2 L' D U' R' B'
B' U2 L' D' U' R' B'
B' U2 L' D2 U' R' B'
B2 U2 L' U' B R' B2
B' U2 L' F U' R' B'
B' U2 L' F' U' R' B'
B' U2 L' F2 U' R' B'
B U2 L' U L2 F U2
B U2 L' U' D2 R2 B'
B U2 L' U' D2 B' R2
B U2 L' U' B' D2 R2
B U2 L' D F2 U' B'
B U2 L' D2 U' R2 B'
B U2 L' D2 U' B' R2
B' U2 R L' U' R2 B'
B' U2 R L' U' B' R2
B' U2 R2 L' U' R B'
B' U2 R2 L' U' B' R
B' U2 D L' U' R' B'
B2 U2 D L' F U' B'
B' U2 D' L' U' R' B'
B' U2 D2 L' U' R' B'
B' D U2 L' U' R' B'
B2 D U2 L' F U' B'
B' D' U2 L' U' R' B'
B' D2 U2 L' U' R' B'
D2 B' U2 L' U' R' B'
D' B' U2 L' U' R' B'
F2 B' R F2 U B R2
R2 B' U2 L' U' R' B
D B' U2 L' U' R' B'
F2 B' R' D' F2 L2 B'
R B' U2 L' U' R' B2
L2 B2 R' U R2 B R'
B' F2 R F2 U B R2
B2 F2 R F2 U B R'
B' F2 R' D' F2 L2 B'
F2 B2 R F2 U B R'
