U' L' R' U F' R
L' U L F' R F2
L' U F' L R F
L' U F' R L F
L' U F2 L F R
U' R' L' U F' R
U' R' L' U F' R
L' R U L F' R F2
L' R U F' L R F
L' R U F' R L F
L' R U F2 L F R
L' R' U L F' R F2
R' L' U L F' R F2
R2 L' U L F' R F2
R L' U L F' R F2
R' L' U F' L R F
L' R' U F' L R F
L' R' U F' R L F
R' L' U F' R L F
L' R' U F2 L F R
R' L' U F2 L F R
D' L B' L2 U L F
R2 L' U F' L R F
R2 L' U F' R L F
R2 L' U F2 L F R
R L' U F' L R F
R L' U F' R L F
R L' U F2 L F R
U' L' R U R2 F' R
U' L' R' U F' R D
U' L' R' U F' R D'
U' L' R' U F' R D2
U' L' R' U F' D R
U' L' R' U F' D' R
U' L' R' U F' D2 R
U' L' R' B U F' R
U' L' R' B' U F' R
U' L' R' B2 U F' R
U' L' R2 U R F' R
U' L' R2 U F' R F'
D L' R2 U L F R
B' L' U L F' R F2
B2 L' U L F' R F2
B L' U L F' R F2
B' L' U F' L R F
B' L' U F' R L F
B' L' U F2 L F R
B2 L' U F' L R F
B2 L' U F' R L F
B2 L' U F2 L F R
B L' U F' L R F
B L' U F' R L F
B L' U F2 L F R
F' L' U' R D' L B'
F' L' U' D' L R B'
F' L' U' D' L B' R
F' L' U' D' R L B'
D' L' U2 F U' L F
U' L' D R' B U F'
F' L' D' U' L R B'
F' L' D' U' L B' R
F' L' D' U' R L B'
L' R2 U L F' R F2
L' R2 U F' L R F
L' R2 U F' R L F
L' R2 U F2 L F R
U' L' B R' U F' R
U' L' B' R' U F' R
U' L' B2 R' U F' R
L' U L R F' R F2
L' U L R' F' R F2
L' U L R2 F' R F2
L' U L F U2 L' U2
L' U L F' R F2 D
L' U L F' R F2 D'
L' U L F' R F2 D2
L' U L F' R' F2 R2
L' U L F' R2 F2 R'
L' U L' F' L2 R F
L' U L' F' R L2 F
L' U L' F2 L2 F R
L' U R L F' R F2
L' U R F' L R F
L' U R F' R L F
L' U R F2 L F R
L' U R' L F' R F2
L' U R' F' L R F
L' U R' F' R L F
L' U R' F2 L F R
L' U R2 L F' R F2
L' U R2 F' L R F
L' U R2 F' R L F
L' U R2 F2 L F R
U' R L' U R2 F' R
L' U F L D2 R2 F
L' U F L D2 F R2
L' U F L F D2 R2
L' U F' L R D F
L' U F' L R D' F
L' U F' L R D2 F
L' U F' L R F D
L' U F' L R F D'
L' U F' L R F D2
L' U F' L R' F R2
L' U F' L R2 F R'
L' U F' L D R F
L' U F' L D' R F
L' U F' L D2 R F
L' U F' R L D F
L' U F' R L D' F
L' U F' R L D2 F
L' U F' R L F D
L' U F' R L F D'
L' U F' R L F D2
L' U F' R D L F
L' U F' R D' L F
L' U F' R D2 L F
L' U F' R F L F
L' U F' R F' L F
L' U F' R F2 L F
L' U F' R' L F R2
L' U F' R2 L F R'
L' U F' D L R F
L' U F' D R L F
L' U F' D' L R F
L' U F' D' R L F
L' U F' D2 L R F
L' U F' D2 R L F
L' U F2 L R F R
L' U F2 L R' F R
L' U F2 L R2 F R
L' U F2 L D F R
L' U F2 L D' F R
L' U F2 L D2 F R
L' U F2 L F R D
L' U F2 L F R D'
L' U F2 L F R D2
L' U F2 L F D R
L' U F2 L F D' R
L' U F2 L F D2 R
L' U F2 R L F R
L' U F2 R' L F R
L' U F2 R2 L F R
L' U F2 D L F R
L' U F2 D' L F R
L' U F2 D2 L F R
R' U' L' R' U F' R
R2 U' L' R' U F' R
F2 R F L' U' L R
F2 R F L' U' R L
R U' L' R' U F' R
R' U' R' L' U F' R
F' R F2 U' R U B
L' U' R' U2 L F' R
L' U' R' U2 F' L R
L' U' R' U2 F' R L
R2 U' R' L' U F' R
R U' R' L' U F' R
U' R' L' U F' R D
U' R' L' U F' R D'
U' R' L' U F' R D2
U' R' L' U F' D R
U' R' L' U F' D' R
U' R' L' U F' D2 R
U' R' L' B U F' R
U' R' L' B' U F' R
U' R' L' B2 U F' R
L' U' B2 R' U2 F' R
F2 R' D F R F' B2
F2 R' D F R B2 F'
F2 R' D F B2 R F'
F2 R' D B2 F R F'
U' R' B L' U F' R
D R' B L' U L F
U' R' B' L' U F' R
U' R' B2 L' U F' R
U' R2 L' U R F' R
U' R2 L' U F' R F'
D R2 L' U L F R
L' U2 F' U' L R F
L' U2 F' U' R L F
L' D R2 U L F R
F2 U L R F L' U'
U' D L' R' B U F'
F2 U R L F L' U'
U' D R' L' B U F'
U' D R' B L' U F'
F U F2 L' U' R B'
F U F2 L' U' B' R
D U' L' R' B U F'
B' U' L' R' U F' R
B2 U' L' R' U F' R
B U' L' R' U F' R
D U' R' L' B U F'
D U' R' B L' U F'
B' U' R' L' U F' R
B2 U' R' L' U F' R
F U' R U' L' U2 B
B U' R' L' U F' R
F U2 L' U R U B
L' F R U L D2 R2
L' F R U' L' U2 L2
L' F R F2 U L R
L' F R F2 U R L
D2 F U' R U B R'
L' F' U L R D F2
L' F' U L D R F2
L' F' U R L D F2
L' F' U2 L' U' L2 R
L' F' U2 L' U' R L2
U' B L' R' U F' R
D2 B L' U L R' F
D2 B L' U L F R'
D2 B L' U R' L F
U' B R' L' U F' R
U' B' L' R' U F' R
U' B' R' L' U F' R
U' B2 L' R' U F' R
U' B2 R' L' U F' R
L' B2 U' R' U2 F' R
