U' B' R' U2 B
L2 R' F' U F2 B
L2 R' F' U B F2
R' L2 F' U F2 B
R' L2 F' U B F2
U' R F' B' R' U2
U' R B' F' R' U2
U' R' B' R' U2 B2
U' R' B' U2 B2 L
U' R2 B' R' F' U2
F' U' B' R' U2 B
F2 U' B' R' U2 B
F U' B' R' U2 B
U' F B' R' U2 B
R' F' L2 U F B
R' F' L2 U B F
R' F' U B D2 F2
R' F' U' B' U2 B2
U' F' B' R' U2 B
U' F2 B' R' U2 B
U' B' R F' R2 U2
U' B' R' U2 D B
U' B' R' U2 D' B
U' B' R' U2 D2 B
U' B' R' U2 B D
U' B' R' U2 B D'
U' B' R' U2 B D2
U' B' R' D U2 B
U' B' R' D' U2 B
U' B' R' D2 U2 B
U' B' R' F U2 B
U' B' R' F' U2 B
U' B' R' F2 U2 B
U' B' F R' U2 B
U' B' F' R' U2 B
U' B' F2 R' U2 B
R' L F' L U F B
R' L F' L U B F
L2 R' U F D' L2 B
L2 R' U F D' B L2
L2 R' U F B D' L2
L2 R' U B F D' L2
L2 R' D F' U F2 B
L2 R' D F' U B F2
L2 R' D' F' U F2 B
L2 R' D' F' U B F2
L2 R' D2 F' U F2 B
L2 R' D2 F' U B F2
R' L' F' L' U F B
R' L' F' L' U B F
L' R' F' L' U F B
L' R' F' L' U B F
L2 R' F' L U F2 B
L2 R' F' L U B F2
L R' F' L U F B
L R' F' L U B F
L2 R' F' L' U F2 B
L2 R' F' L' U B F2
L2 R' F' L2 U F2 B
L2 R' F' L2 U B F2
L2 R' F' U F2 D B
L2 R' F' U F2 D' B
L2 R' F' U F2 D2 B
L2 R' F' U F2 B D
L2 R' F' U F2 B D'
L2 R' F' U F2 B D2
L2 R' F' U B F2 D
L2 R' F' U B F2 D'
L2 R' F' U B F2 D2
R' L2 U F D' L2 B
R' L2 U F D' B L2
R' L2 U F B D' L2
R' L2 U B F D' L2
R' L2 D F' U F2 B
R' L2 D F' U B F2
R' L2 D' F' U F2 B
R' L2 D' F' U B F2
R' L2 D2 F' U F2 B
R' L2 D2 F' U B F2
F' L2 R' F' U F2 B
F' L2 R' F' U B F2
F2 L2 R' F' U F2 B
F2 L2 R' F' U B F2
F L2 R' F' U F2 B
F L2 R' F' U B F2
R' L2 F' L U F2 B
R' L2 F' L U B F2
R' L2 F' L' U F2 B
R' L2 F' L' U B F2
R' L2 F' L2 U F2 B
R' L2 F' L2 U B F2
R' L2 F' U F2 D B
R' L2 F' U F2 D' B
R' L2 F' U F2 D2 B
R' L2 F' U F2 B D
R' L2 F' U F2 B D'
R' L2 F' U F2 B D2
R' L2 F' U B F2 D
R' L2 F' U B F2 D'
R' L2 F' U B F2 D2
R' U L2 F D' L2 B
R' U L2 F D' B L2
R' U L2 F B D' L2
R' U L2 B F D' L2
U L2 F U2 R F' U2
D' L2 F2 U F' L' B'
R' U F D' L2 F B
R' U F D' L2 B F
L2 U F U2 R F' U2
U2 R U F' B' R' U2
U2 R U B' F' R' U2
U' R D F' B' R' U2
U' R D B' F' R' U2
U' R D' F' B' R' U2
U' R D' B' F' R' U2
U' R D2 F' B' R' U2
U' R D2 B' F' R' U2
U' R F B' R' F2 U2
U' R F' R B' R' U2
U' R F' R' B' R' U2
U' R F' R2 B' R' U2
U' R F' D B' R' U2
U' R F' D' B' R' U2
U' R F' D2 B' R' U2
U' R F' B' R' U2 D
U' R F' B' R' U2 D'
U' R F' B' R' U2 D2
U' R F' B' R' D U2
U' R F' B' R' D' U2
U' R F' B' R' D2 U2
U' R F' B' D R' U2
U' R F' B' D' R' U2
U' R F' B' D2 R' U2
U' R F2 B' R' F U2
U' R B' D F' R' U2
U' R B' D' F' R' U2
U' R B' D2 F' R' U2
U' R B' F R' F2 U2
U' R B' F' R' U2 D
U' R B' F' R' U2 D'
U' R B' F' R' U2 D2
U' R B' F' R' D U2
U' R B' F' R' D' U2
U' R B' F' R' D2 U2
U' R B' F' D R' U2
U' R B' F' D' R' U2
U' R B' F' D2 R' U2
U' R B' F2 R' F U2
F' R' L2 F' U F2 B
F' R' L2 F' U B F2
F2 R' L2 F' U F2 B
F2 R' L2 F' U B F2
F R' L2 F' U F2 B
F R' L2 F' U B F2
U2 R' U B' R' U2 B2
U2 R' U B' U2 B2 L
R U' F' B' U' B2 U'
R U' F' B' U2 D L2
R U' F' B' D U2 L2
R U' F' B' D' R2 U2
R' U' B' U F' U B2
L2 U' B' R' U2 F B
L2 U' B' R' U2 B F
R2 U' B' U' R' B U'
U' R' D B' R' U2 B2
U' R' D B' U2 B2 L
R U' B' D F' U2 L2
R U' B' D' R2 U2 B
R U' B' D' F' R2 U2
R U' B' F' U' B2 U'
R U' B' F' U2 D L2
R U' B' F' D U2 L2
R U' B' F' D' R2 U2
U' R' D' B' R' U2 B2
U' R' D' B' U2 B2 L
U' R' D2 B' R' U2 B2
U' R' D2 B' U2 B2 L
U' R' F B' R' U2 B2
U' R' F B' U2 B2 L
F' R' F' L2 U F B
F' R' F' L2 U B F
F2 R' F' L2 U F B
F2 R' F' L2 U B F
F' R' F' U B D2 F2
F' R' F' U' B' U2 B2
F2 R' F' U B D2 F2
F2 R' F' U' B' U2 B2
U' R' F' B' R' U2 B2
U' R' F' B' U2 B2 L
F R' F' L2 U F B
F R' F' L2 U B F
F R' F' U B D2 F2
F R' F' U' B' U2 B2
U' R' F2 B' R' U2 B2
U' R' F2 B' U2 B2 L
U' R' B L D2 F2 R
L U2 R' U' F' L' B
L U2 R' U' F' B L'
L U2 R' U' B F' L'
U' R' B D2 L F2 R
U' R' B' R' U2 B2 D
U' R' B' R' U2 B2 D'
U' R' B' R' U2 B2 D2
U' R' B' R' D2 F2 U2
U' R' B' R' F U2 B2
U' R' B' R' F' U2 B2
U' R' B' R' F2 U2 B2
U' R' B' U2 L B2 L
U' R' B' U2 L' B2 L
U' R' B' U2 L2 B2 L
U' R' B' U2 B2 L D
U' R' B' U2 B2 L D'
U' R' B' U2 B2 L D2
U' R' B' U2 B2 D L
U' R' B' U2 B2 D' L
U' R' B' U2 B2 D2 L
U' R' B' D2 R' F2 U2
U' R' B' D2 F2 R' U2
U' R' B' F R' U2 B2
U' R' B' F U2 B2 L
U' R' B' F' R' U2 B2
U' R' B' F' U2 B2 L
U' R' B' F2 R' U2 B2
U' R' B' F2 U2 B2 L
R U2 B U F' B2 U2
R U2 B U B2 F' U2
U' R2 D B' R' F' U2
U' R2 D' B' R' F' U2
U' R2 D2 B' R' F' U2
U' R2 F B' R' F' U2
R' D L2 F' U F2 B
R' D L2 F' U B F2
U' R2 F' B' R' F' U2
U' R2 F2 B' R' F' U2
U' R2 B' R' D F' U2
U' R2 B' R' D' F' U2
U' R2 B' R' D2 F' U2
U' R2 B' R' F' U2 D
U' R2 B' R' F' U2 D'
U' R2 B' R' F' U2 D2
U' R2 B' R' F' D U2
U' R2 B' R' F' D' U2
U' R2 B' R' F' D2 U2
U' R2 B' D R' F' U2
U' R2 B' D' R' F' U2
U' R2 B' D2 R' F' U2
U' R2 B' F R' F' U2
U' R2 B' F' R' F' U2
U' R2 B' F2 R' F' U2
R' D F' L2 U F B
R' D F' L2 U B F
R' D F' U B D2 F2
R' D F' U' B' U2 B2
D2 U L2 F' L' F2 B'
D2 U L2 F' L' B' F2
D2 U F2 L2 F L' B'
R' D' L2 F' U F2 B
R' D' L2 F' U B F2
U' D B' R' U L U
R' D' F' L2 U F B
R' D' F' L2 U B F
R' D' F' U B D2 F2
R' D' F' U' B' U2 B2
F' U' R F' B' R' U2
L2 D' F2 U F' L' B'
F' U' R B' F' R' U2
F2 U' R F' B' R' U2
F2 U' R B' F' R' U2
F' U' R' B' R' U2 B2
F' U' R' B' U2 B2 L
F U' R F' B' R' U2
F2 U' R' B' R' U2 B2
F2 U' R' B' U2 B2 L
F U' R B' F' R' U2
F' U' R2 B' R' F' U2
F2 U' R2 B' R' F' U2
F U' R' B' R' U2 B2
F U' R' B' U2 B2 L
F U' R2 B' R' F' U2
U' D' B' D R' U2 B
D' U' B' D R' U2 B
D2 U' B' U2 B2 L B'
D2 U' B' D2 R' U2 B
D U' B' R' U L U
R' D2 L2 F' U F2 B
R' D2 L2 F' U B F2
F' U' F B' R' U2 B
F2 U' F B' R' U2 B
F' U' F' B' R' U2 B
F2 U' F' B' R' U2 B
F U' F B' R' U2 B
F' U' F2 B' R' U2 B
F2 U' F2 B' R' U2 B
F U' F' B' R' U2 B
F' U' B' R F' R2 U2
F' U' B' R' U2 D B
F' U' B' R' U2 D' B
F' U' B' R' U2 D2 B
F' U' B' R' U2 B D
F' U' B' R' U2 B D'
F' U' B' R' U2 B D2
F U' F2 B' R' U2 B
F' U' B' R' D U2 B
F' U' B' R' D' U2 B
F' U' B' R' D2 U2 B
F' U' B' R' F U2 B
F' U' B' R' F' U2 B
F' U' B' R' F2 U2 B
F2 U' B' R F' R2 U2
F2 U' B' R' U2 D B
F2 U' B' R' U2 D' B
F2 U' B' R' U2 D2 B
F2 U' B' R' U2 B D
F2 U' B' R' U2 B D'
F2 U' B' R' U2 B D2
F2 U' B' R' D U2 B
F2 U' B' R' D' U2 B
F2 U' B' R' D2 U2 B
F2 U' B' R' F U2 B
F2 U' B' R' F' U2 B
F2 U' B' R' F2 U2 B
F' U' B' F R' U2 B
F' U' B' F' R' U2 B
F' U' B' F2 R' U2 B
U D2 L2 F' L' F2 B'
