R' U' D L F' B'
R' U' D L B' F'
R' U' D F' L B'
R' U' F' D L B'
D' R' U' L F' B
D' R' U' L B F'
D' R' U' F' L B
D R' U' L F' B'
D R' U' L B' F'
D R' U' F' L B'
B R' B' U' L F'
B R' B' U' F' L
R' D U' L F' B'
R' D U' L B' F'
R' D U' F' L B'
B D' R' B U' F'
L' B R' U' L2 F'
L' B R' U' F' L2
L2 B R' U' L' F'
B L R' B' U' L F'
B L R' B' U' F' L
F' L D' R' F' B R'
F' L D' R' B F' R'
B L D' R' B U' F'
F' L D' B R' F' B
F' L D' B R' B F'
U' L B U L R' U'
U' L B U R' L U'
U' L B' U' L R' U
U' L B' U' R' L U
D' L' R' U' L2 F' B
D' L' R' U' L2 B F'
D' L' R' U' F' L2 B
D' L' R' U' F' B L2
D' L' R' U' B L2 F'
D' L' R' U' B F' L2
D L' R' U' L2 F' B'
D L' R' U' L2 B' F'
B L' R' B' U' L F'
B L' R' B' U' F' L
B L' D' R' B U' F'
L2 R' B2 U' L' F' B'
L2 R' B2 U' L' B' F'
D' L2 R' U' L' F' B
D' L2 R' U' L' B F'
D' L2 R' U' B L' F'
B L2 R' B' U' L F'
B L2 R' B' U' F' L
R' L2 B2 U' L' F' B'
R' L2 B2 U' L' B' F'
B L2 D' R' B U' F'
D R U' L B' D2 F2
F2 R D L R2 F' B'
F2 R D L R2 B' F'
F2 R D R2 L F' B'
F2 R D R2 L B' F'
F2 R D R2 F' L B'
R' U' D L D F' B'
R' U' D L D B' F'
R' U' D L D' F' B'
R' U' D L D' B' F'
R' U' D L D2 F' B'
R' U' D L D2 B' F'
R' U' D L F' D B'
R' U' D L F' D' B'
R' U' D L F' D2 B'
R' U' D L F' B' D
R' U' D L F' B' D'
R' U' D L F' B' D2
R' U' D L B' D F'
R' U' D L B' D' F'
R' U' D L B' D2 F'
R' U' D L B' F' D
R' U' D L B' F' D'
R' U' D L B' F' D2
R' U' D F L F2 B'
R' U' D F L B' F2
R' U' D F' L D B'
R' U' D F' L D' B'
R' U' D F' L D2 B'
R' U' D F' L B' D
R' U' D F' L B' D'
R' U' D F' L B' D2
R U' D L B' D2 F2
R' U' D' F' D2 L B'
D' R' L' U' L2 F' B
D' R' L' U' L2 B F'
D' R' L' U' F' L2 B
D' R' L' U' F' B L2
D' R' L' U' B L2 F'
D' R' L' U' B F' L2
B R' L B' U' L F'
B R' L B' U' F' L
D R' L' U' L2 F' B'
D R' L' U' L2 B' F'
D' R' L2 U' L' F' B
D' R' L2 U' L' B F'
D' R' L2 U' B L' F'
B R' L' B' U' L F'
B R' L' B' U' F' L
R' U' F' D L D B'
R' U' F' D L D' B'
R' U' F' D L D2 B'
R' U' F' D L B' D
R' U' F' D L B' D'
R' U' F' D L B' D2
B R' L2 B' U' L F'
B R' L2 B' U' F' L
R' U' F2 D F L B'
D' R' U' L D F' B
D' R' U' L D B F'
D' R' U' L D' F' B
D' R' U' L D' B F'
D' R' U' L D2 F' B
D' R' U' L D2 B F'
B R' U R2 B R' U2
D' R' U' L F' D B
D' R' U' L F' D' B
D' R' U' L F' D2 B
D' R' U' L F' B D
D' R' U' L F' B D'
D' R' U' L F' B D2
D' R' U' L B D F'
D' R' U' L B D' F'
D' R' U' L B D2 F'
D' R' U' L B F' D
D' R' U' L B F' D'
D' R' U' L B F' D2
D' R' U' L' F' L2 B
D' R' U' L' F' B L2
D' R' U' L' B L2 F'
D' R' U' L' B F' L2
D' R' U' L2 B L' F'
