R F' U B' R' U
L' R D F' B' U2 R
B' L U' R F' U2 F2
L' R D B' F' U2 R
L' R D' F' B' L U2
L' R D' B' L F' U2
L' R D' B' F' L U2
L' R F' D' B' L U2
L' R B' D F' U2 R
R L' D F' B' U2 R
R L' D B' F' U2 R
R L' D' F' B' L U2
R L' D' B' L F' U2
R L' D' B' F' L U2
B' L' U' R F' B' U2
B' L' U' R B' F' U2
B' L' U' B' R F' U2
R L' F' D' B' L U2
R L' B' D F' U2 R
R U R' B' R' U B
R U R2 B' R' U B2
D R U B' L R' U
D R U B' R' L U
R' U B' R' U B2 L
U2 R F' B U B2 U
U2 R F' B U2 D' R2
U2 R F' B D L2 U2
U2 R F' B D' U2 R2
L U' R F' L' U2 F2
L U' R F' U2 F2 R
U2 R B U2 D' R2 B
U2 R B D L2 F' U2
U2 R B D F' L2 U2
U2 R B D' U2 R2 B
U2 R B D' F' U2 R2
U2 R B F' U B2 U
U2 R B F' U2 D' R2
U2 R B F' D L2 U2
U2 R B F' D' U2 R2
U R' B' R' U B2 L
R D F' U B' R' U
F' U B' R' U B L
F2 U B' R' U L' B
F2 U B' R' U B L'
B' U' R F' U' L' U'
R D' F' U B' R' U
R D2 F' U B' R' U
D F B' L U F L'
R F' L' D' B' L U2
F2 D B' L U F L2
R F' U R B' R' U
R F' U R' B' R' U
R F' U R2 B' R' U
R F' U D B' R' U
R F' U D' B' R' U
R F' U D2 B' R' U
R F' U B' R' U D
R F' U B' R' U D'
R F' U B' R' U D2
R F' U B' R' D U
R F' U B' R' D' U
R F' U B' R' D2 U
R F' U B' D R' U
R F' U B' D' R' U
R F' U B' D2 R' U
R F' D U B' R' U
R F' D' U B' R' U
R F' D2 U B' R' U
D F2 B' L U F L2
U F2 B' R' U L' B
U F2 B' R' U B L'
D B' L U F2 L' F'
D B' L U' R U2 F
D B' L F2 U L' F'
L' B' R D F' U2 R
U B' R' U D2 L2 B
U B' R' U D2 B L2
U B' R' U B D2 L2
U B' R' U' R2 F' U2
U B' R' D' F2 U B
U B' R' D2 U L2 B
U B' R' D2 U B L2
U' B' U' R F' B U2
U' B' U' R B F' U2
D B' F L U F L'
D B' F2 L U F L2
U B' F2 R' U L' B
U B' F2 R' U B L'
