D' L U2 R2 F B'
D' L U2 R2 B' F
D' L U2 F R2 B'
D' L U2 F B' R2
D' L U2 B' R2 F
D' L U2 B' F R2
D' L' F B' U2 R2
D' L' B' F U2 R2
D' L R2 D2 F B' L2
D' L R2 D2 B' F L2
D' L R2 F D2 B' L2
D' L R2 F B' D2 L2
D' L R2 B' D2 F L2
D' L R2 B' F D2 L2
D' L U2 R B' R F
D' L U2 R' F R' B'
D' L U2 R2 D F B'
D' L U2 R2 D B' F
D' L U2 R2 D' F B'
D' L U2 R2 D' B' F
D' L U2 R2 D2 F B'
D' L U2 R2 D2 B' F
D' L U2 R2 F D B'
D' L U2 R2 F D' B'
D' L U2 R2 F D2 B'
D' L U2 R2 F B' D
D' L U2 R2 F B' D'
D' L U2 R2 F B' D2
D' L U2 R2 B' D F
D' L U2 R2 B' D' F
D' L U2 R2 B' D2 F
D' L U2 R2 B' F D
D' L U2 R2 B' F D'
D' L U2 R2 B' F D2
D' L U2 F R B' R
D' L U2 F R2 D B'
D' L U2 F R2 D' B'
D' L U2 F R2 D2 B'
D' L U2 F R2 B' D
D' L U2 F R2 B' D'
D' L U2 F R2 B' D2
D' L U2 F B R2 B2
D' L U2 F B' R2 D
D' L U2 F B' R2 D'
D' L U2 F B' R2 D2
D' L U2 F' R2 F2 B'
D' L U2 F' R2 B' F2
F L U2 D' R2 F B2
F L U2 D' R2 B2 F
F L U2 D' F R2 B2
F L U2 D' F B2 R2
F L U2 D' B2 R2 F
F L U2 D' B2 F R2
D' L U2 F' B' R2 F2
D L U2 F B2 R' B
D' L U2 B R2 F B2
F L U2 F D' R2 B2
D' L U2 B R2 B2 F
F L U2 F D' B2 R2
D' L U2 B F R2 B2
D' L U2 B' R' F R'
D' L U2 B' R2 D F
D' L U2 B' R2 D' F
D' L U2 B' R2 D2 F
D' L U2 B' R2 F D
D' L U2 B' R2 F D'
D' L U2 B' R2 F D2
D' L U2 B' F R2 D
D' L U2 B' F R2 D'
D' L U2 B' F R2 D2
D' L U2 B' F' R2 F2
D L U2 B2 R' F B
D L U2 B2 R' B F
D L U2 B2 F R' B
F L D L2 F2 B' U2
F L D L2 B' F2 U2
F L D F2 L2 U2 F'
F L D' U2 R2 F B2
F L D' U2 R2 B2 F
F L D' U2 F R2 B2
F L D' U2 F B2 R2
F L D' U2 B2 R2 F
F L D' U2 B2 F R2
D' L D2 L2 F B' U2
D' L D2 L2 B' F U2
D' L F R2 D2 B' L2
D' L F R2 B' D2 L2
D' L F U2 B' R2 F'
D' L F B' R2 D2 L2
D' L F' U2 R2 F2 B'
D' L F' U2 R2 B' F2
D' L F' U2 F2 R2 B'
D' L F' U2 F2 B' R2
D' L F' U2 B' R2 F2
D' L F' U2 B' F2 R2
D' L F2 U2 F' R2 B'
D' L F2 U2 F' B' R2
D' L F2 U2 B' F' R2
D' L B U2 R2 F B2
D' L B U2 R2 B2 F
D' L B U2 F R2 B2
D' L B U2 F B2 R2
D' L B U2 B2 R2 F
D' L B U2 B2 F R2
D' L B' R2 D2 F L2
D' L B' R2 F D2 L2
D' L B' U2 F R2 B
D' L B' F R2 D2 L2
D' L B2 U2 F B R2
D' L B2 U2 B R2 F
D' L B2 U2 B F R2
D L B2 U2 R' F B
D L B2 U2 R' B F
D L B2 U2 F R' B
D' L' R2 D2 L2 F B'
D' L' R2 D2 L2 B' F
B' L' D' B' L U2 B'
D' L' D2 L2 U2 F B'
D' L' D2 L2 U2 B' F
D' L' D2 F L2 U2 F
D' L' D2 F B' L2 U2
D' L' D2 B' L2 U2 B'
D' L' D2 B' F L2 U2
D L' D2 B' L' F U2
D' L' F L2 U2 R2 F
D' L' F L2 U2 F R2
D' L' F D2 L2 U2 F
D' L' F D2 B' L2 U2
D' L' F B' L U2 R2
D' L' F B' L' U2 R2
D' L' F B' L2 U2 R2
D' L' F B' U2 R2 D
D' L' F B' U2 R2 D'
D' L' F B' U2 R2 D2
D' L' F B' D2 L2 U2
D' L' F B2 U2 R2 F'
D' L' F2 B' U2 R2 B
D' L' B' L2 U2 R2 B'
D' L' B' L2 U2 B' R2
D' L' B' D2 L2 U2 B'
D' L' B' D2 F L2 U2
D' L' B' F L U2 R2
D' L' B' F L' U2 R2
D' L' B' F L2 U2 R2
D' L' B' F U2 R2 D
D' L' B' F U2 R2 D'
D' L' B' F U2 R2 D2
D' L' B' F D2 L2 U2
F L' B' U B' U B
D' L' B' F2 U2 R2 B
D L' B' D2 L' F U2
D' L' B2 F U2 R2 F'
D' R B2 L R F B'
D' R B2 L R B' F
D' R B2 L B' R F
D' R B2 R L F B'
D' R B2 R L B' F
F R B2 L' U L2 F
D' R2 L D2 F B' L2
D' R2 L D2 B' F L2
D' R2 L F D2 B' L2
D' R2 L F B' D2 L2
D' R2 L B' D2 F L2
D' R2 L B' F D2 L2
D' R2 L' D2 L2 F B'
D' R2 L' D2 L2 B' F
L U2 F U' L' B2 U
L U2 F U' B2 L' U
F U L' B' R' B' U
U2 D R D2 R2 F' B
U2 D R D2 R2 B F'
U2 D R' D2 F' B R2
U2 D R' D2 B F' R2
U2 D R' F' D2 B R2
U2 D R' F' B D2 R2
U2 D R' B D2 F' R2
U2 D R' B F' D2 R2
B' U D B' R' U B
B' U D2 B' L R' U
B' U D2 B' R' L U
R' D' R2 B2 L F B'
R' D' R2 B2 L B' F
B' U B' D R' U B
F U B' R' B' L' U
F U B2 D L' U F
U2 D' R' D2 F' R' B
U2 D' R' F' D2 R' B
L' D' B' L U2 R2 B'
L' D' B' L U2 B' R2
L' D' B' L' F U2 R2
B U' R2 F' L' R U'
B U' R2 F' R L' U'
R D' B2 L R2 F B'
R D' B2 L R2 B' F
R D' B2 L F R2 B'
R D' B2 L F B' R2
R D' B2 L B' R2 F
R D' B2 L B' F R2
R D' B2 R2 L F B'
R D' B2 R2 L B' F
D' U2 R' D2 F' R' B
D' U2 R' F' D2 R' B
D U2 R D2 R2 F' B
D U2 R D2 R2 B F'
D U2 R' D2 F' B R2
D U2 R' D2 B F' R2
D U2 R' F' D2 B R2
D U2 R' F' B D2 R2
D U2 R' B D2 F' R2
D U2 R' B F' D2 R2
F' U2 R' D' F' R2 B
D' F L U2 R2 F B'
D' F L U2 R2 B' F
D' F L U2 F R2 B'
D' F L U2 F B' R2
D' F L U2 B' R2 F
D' F L U2 B' F R2
D' F L' F B' U2 R2
D' F L' B' F U2 R2
L2 F U L' B2 U F
L2 F U B2 L' U F
U' F U2 L' R B2 U
U' F U2 L' B2 R U
L F U L' B2 R' U
U' F U2 R L' B2 U
U' F U2 R B2 L' U
U' F U2 B2 L' R U
U' F U2 B2 R L' U
U' F D2 F2 L' R U'
U' F D2 F2 R L' U'
L' F B' U B' L' U
B' D U B' R' U B
D' F' L U2 R2 F B'
D' F' L U2 R2 B' F
D' F' L U2 F R2 B'
D' F' L U2 F B' R2
D' F' L U2 B' R2 F
D' F' L U2 B' F R2
U' F' L' R U' D' R2
U' F' L' R U2 B2 U
U' F' L' R D' U' R2
U' F' L' R D2 F2 U'
U' F' L' D' R U' R
U' F' L' D2 R F2 U'
R F B2 L' U L2 F
D' F' L' F B' U2 R2
D' F' L' B' F U2 R2
U' F' R L' U' D' R2
U' F' R L' U2 B2 U
U' F' R L' D' U' R2
U' F' R L' D2 F2 U'
U' F' R D' L' U' R2
U' F' R D2 L' F2 U'
U2 F' R' D' F' R2 B
U' F' D' L' R U' R
U' F' D' R L' U' R
U' F' D2 L' R F2 U'
U' F' D2 R L' F2 U'
D' F2 L U2 R2 F B'
D' F2 L U2 R2 B' F
D' F2 L U2 F R2 B'
D' F2 L U2 F B' R2
D' F2 L U2 B' R2 F
D' F2 L U2 B' F R2
D' F2 L' F B' U2 R2
D' F2 L' B' F U2 R2
B' D2 U B' L R' U
B' D2 U B' R' L U
D' B L U2 R2 F B'
D' B L U2 R2 B' F
D' B L U2 F R2 B'
D' B L U2 F B' R2
D' B L U2 B' R2 F
D' B L U2 B' F R2
D' B L' F B' U2 R2
D' B L' B' F U2 R2
B' F U B' L' R' U
B' F U B' R' L' U
D' B' L U2 R2 F B'
D' B' L U2 R2 B' F
D' B' L U2 F R2 B'
D' B' L U2 F B' R2
D' B' L U2 B' R2 F
D' B' L U2 B' F R2
D' B' L' F B' U2 R2
D' B' L' B' F U2 R2
L' B' U D2 B' L U
U B' R' D2 B' L U
U B' D R' B' U B2
L' B' D2 U B' L U
L' B' F U B' L' U
U B' D2 R' B' L U
F B' U B' L' R' U
F B' U B' R' L' U
D' B2 L U2 R2 F B'
D' B2 L U2 R2 B' F
D' B2 L U2 F R2 B'
D' B2 L U2 F B' R2
D' B2 L U2 B' R2 F
D' B2 L U2 B' F R2
D' B2 L' F B' U2 R2
D' B2 L' B' F U2 R2
R B2 F L' U L2 F
