U' L U2 L' F U'
L2 U B' L' U L'
U' F U2 L F' U
U' F U2 F' L U
U' L R U2 L' F U'
L2 R U B' L' U L'
U' L R' U2 L' F U'
U' L R2 U2 L' F U'
U' L U2 L' D F U'
U' L U2 L' D' F U'
U' L U2 L' D2 F U'
U' L U2 L' F U' D
U' L U2 L' F U' D'
U' L U2 L' F U' D2
U' L U2 L' F D U'
U' L U2 L' F D' U'
U' L U2 L' F D2 U'
F' L U2 F2 U' F2 L'
F2 L U2 F' U' F L'
U' L B U2 L' F U'
L2 R' U B' L' U L'
U' L B' U2 L' F U'
U' L B2 U2 L' F U'
F' L' U2 D' L B2 R'
F' L' D F2 U2 L R2
F' L' D F2 U2 R2 L
F' L' D' L2 U2 L' B2
F' L' D' L2 U2 B2 L'
F' L' D' U2 L B2 R'
R' L2 U B' L' U L'
L2 R2 U B' L' U L'
R2 L2 U B' L' U L'
R L2 U B' L' U L'
D2 L2 U B' L' U L'
D' L2 U B' L' U L'
D L2 U B' L' U L'
F' L2 U' F2 R U' L2
U' L2 D B' L' U F2
U' L2 D2 R2 B' L' U
L U L B' U L2 B
L U L B' U B L2
U' L2 D2 B' L' R2 U
U' L2 D2 B' R2 L' U
L U L' U F U' F'
L' U L2 B' U L' R'
L' U L2 B' U R' L'
U' L2 B' L' U2 L' U'
U' L2 B' D L' U F2
U' L2 B' D2 L' R2 U
U' L2 B' D2 R2 L' U
U L2 B' L' U2 B U'
L2 U D B' L' F2 U
U' R L U2 L' F U'
L2 U B L' B2 U L'
L2 U B' L' U L' D
L2 U B' L' U L' D'
L2 U B' L' U L' D2
L2 U B' L' U D L'
L2 U B' L' U D' L'
L2 U B' L' U D2 L'
L2 U B' L' D U L'
L2 U B' L' D' U L'
L2 U B' L' D2 U L'
L2 U B' D L' F2 U
L2 U B2 L' B U L'
R' U' L U2 L' F U'
R2 U' L U2 L' F U'
R U' L U2 L' F U'
U' R F U2 L F' U
U' R F U2 F' L U
U R F U2 L R' U
U R F U2 R' L U
U' R' L U2 L' F U'
R' U' F U2 L F' U
R' U' F U2 F' L U
R2 U' F U2 L F' U
R2 U' F U2 F' L U
R U' F U2 L F' U
R U' F U2 F' L U
B2 R' D F L2 U' L2
U' R' F U2 L F' U
U' R' F U2 F' L U
B2 R' F D L2 U' L2
U' R2 L U2 L' F U'
U' R2 F U2 L F' U
U' R2 F U2 F' L U
U R2 F U2 L R2 U
U R2 F U2 R2 L U
L2 D U B' L' F2 U
U' D L U2 L' F U'
F U L U' L' U2 L
B2 U R' D F L2 U'
B2 U R' D2 F U' F
B2 U R' F U B2 U2
B2 U R' F U' D2 F2
B2 U R' F D L2 U'
B2 U R' F D2 U' F2
U' D F U2 L F' U
U' D F U2 F' L U
B2 U D R' F L2 U'
B2 U D F L2 R' U'
B2 U D F R' L2 U'
B2 U D2 R' F U' F
B2 U D2 F R' U' F
B2 U F R' U B2 U2
B2 U F R' U' D2 F2
B2 U F R' D L2 U'
B2 U F R' D2 U' F2
B2 U F D L2 R' U'
B2 U F D R' L2 U'
B2 U F D2 R' U' F2
D' U' L U2 L' F U'
U' D' L U2 L' F U'
D2 U' L U2 L' F U'
D U' L U2 L' F U'
F' U' L U2 L' F2 U'
F2 U' L U2 L' F' U'
D' U' F U2 L F' U
U' D' F U2 L F' U
D' U' F U2 F' L U
U' D' F U2 F' L U
D2 U' F U2 L F' U
D2 U' F U2 F' L U
D U' F U2 L F' U
D U' F U2 F' L U
U' D2 L U2 L' F U'
F2 U' F' U2 F L U
F' U' F2 U2 L F2 U
F' U' F2 U2 F2 L U
F' U' F2 D2 B2 R' U'
L2 D2 R2 U B' L' U
U' D2 F U2 L F' U
U' D2 F U2 F' L U
U' F R U2 L F U
U' F R' B2 R' B U'
U F R U2 L R' U
U F R U2 R' L U
U' F R2 B2 R' B' U'
U F R' U2 L R U
U F R' U2 R L U
U F R2 U2 L R2 U
U F R2 U2 R2 L U
U' F U2 L D F' U
U' F U2 L D' F' U
U' F U2 L D2 F' U
U' F U2 L F' U D
U' F U2 L F' U D'
U' F U2 L F' U D2
U' F U2 L F' D U
U' F U2 L F' D' U
U' F U2 L F' D2 U
U' F U2 L' F' L2 U
U' F U2 D L F' U
U' F U2 D F' L U
U' F U2 D' L F' U
U' F U2 D' F' L U
U' F U2 D2 L F' U
U' F U2 D2 F' L U
U' F U2 F L F2 U
U' F U2 F' L U D
U' F U2 F' L U D'
U' F U2 F' L U D2
U' F U2 F' L D U
U' F U2 F' L D' U
U' F U2 F' L D2 U
U' F U2 F' D L U
U' F U2 F' D' L U
U' F U2 F' D2 L U
U2 F U2 L U L' F'
U' F D U2 L F' U
U' F D U2 F' L U
U F U2 L U2 L' U'
U' F D' U2 L F' U
U' F D' U2 F' L U
U' F D2 U2 L F' U
U' F D2 U2 F' L U
U' F B R2 B R' U'
B2 D R' F L2 U' L2
U' F B' U2 F' L' U
U' F B2 R2 B R U'
B2 D U R' F L2 U'
B2 D U F L2 R' U'
B2 D U F R' L2 U'
B2 D F L2 R' U' L2
B2 D F R' L2 U' L2
F' D' L2 U L' U L'
U' F2 D2 F' B2 R' U'
U' F2 D2 B2 F' R' U'
B2 D2 U R' F U' F
B2 D2 U F R' U' F
L2 B L' B2 U L' F
B2 D2 F2 U F' R' U'
U B L2 F B' L U
U B L2 B' F L U
U' B F R2 B R' U'
B2 F R' D L2 U' L2
L2 B' L' R2 U L' F'
L2 B' L' U' B U2 L'
B2 F D L2 R' U' L2
B2 F D R' L2 U' L2
L2 B' R2 L' U L' F'
U B' U2 F B R U'
U B' U2 B F R U'
U' B' F U2 F' L' U
U' B2 R F R2 B U'
U' B2 R' F U2 F' U
F B2 R' D L2 U' L2
U B2 U2 R' F B2 U'
U B2 U2 R' B2 F U'
U B2 U2 F R' B2 U'
U' B2 F R2 B R U'
F B2 D L2 R' U' L2
F B2 D R' L2 U' L2
