U B2 L' R'
U B2 R' L'
U' L U2 L2 B2
U' L U2 B2 L2
U L' B2 D2 R2
U R B2 L' R'
U R B2 R' L'
U R' B2 L' R'
U R' B2 R' L'
U R2 B2 L' R'
U R2 B2 R' L'
B U L' B R'
B U B L' R'
B U B R' L'
U B L' B R'
U B2 L' R' D
U B2 L' R' D'
U B2 L' R' D2
U B2 L' D R'
U B2 L' D' R'
U B2 L' D2 R'
U B2 R' L' D
U B2 R' L' D'
U B2 R' L' D2
U B2 R' D L'
U B2 R' D' L'
U B2 R' D2 L'
U B2 D L' R'
U B2 D R' L'
U B2 D' L' R'
U B2 D' R' L'
U B2 D2 L' R'
U B2 D2 R' L'
U' L R U2 L2 B2
U' L R U2 L2 B2
U' L R U2 B2 L2
U' L R' U2 L2 B2
U' L R' U2 B2 L2
U' L R2 U2 L2 B2
U' L R2 U2 B2 L2
B L U L2 B R'
B L U B L2 R'
B L U B R' L2
U' L U2 L' B2 L'
U' L U2 L2 B2 D
U' L U2 L2 B2 D'
U' L U2 L2 B2 D2
U' L U2 B L2 B
U' L U2 B2 L2 D
U' L U2 B2 L2 D'
U' L U2 B2 L2 D2
U' L D2 R2 F2 U2
U' L D2 F2 R2 U2
U' L F U2 L2 B2
U' L F U2 B2 L2
U' L F' U2 L2 B2
U' L F' U2 B2 L2
U' L F2 U2 L2 B2
U' L F2 U2 B2 L2
U L B2 L2 D2 R2
U L B2 L2 D2 R2
U L' R B2 D2 R2
B2 L' R' U' R U
U L' R' B2 D2 R2
B2 L' R2 D' R F2
U L' R2 B2 D2 R2
U L' U2 L2 U2 B2
U L' D2 R2 D2 B2
U L' B D2 B R2
U L' B D2 B R2
U L' B' D2 R2 B'
U L' B' D2 B' R2
U' L' B2 D2 R2 F2
U' L' B2 D2 F2 R2
U L' B2 R D2 R2
U L' B2 R' D2 R2
U L' B2 R2 D2 R2
U L' B2 U2 L2 U2
U L' B2 D2 R2 D
U L' B2 D2 R2 D'
U L' B2 D2 R2 D2
D L2 U L D2 R2
B L2 U L B R'
D L2 U' L' U2 L2
L2 U L B2 D2 R2
L2 U L2 B2 L' R'
L2 U L2 B2 R' L'
L U L2 B2 D' R2
D L2 F2 U L R
D L2 F2 U R L
U' R L U2 L2 B2
U' R L U2 B2 L2
U R L' B2 D2 R2
U2 R U' B2 L' R'
U2 R U' B2 R' L'
U' R U2 B2 L' R'
U' R U2 B2 R' L'
L U B2 L2 D' R2
L2 U' L' U2 L2 B2
L2 U' L' U2 B2 L2
U R B L' B R'
U R B2 L' R' D
U R B2 L' R' D'
U R B2 L' R' D2
U R B2 L' D R'
U R B2 L' D' R'
U R B2 L' D2 R'
U R B2 R' L' D
U R B2 R' L' D'
U R B2 R' L' D2
U R B2 R' D L'
U R B2 R' D' L'
U R B2 R' D2 L'
U' R' L U2 L2 B2
U' R' L U2 B2 L2
U R B2 D L' R'
U R B2 D R' L'
U R B2 D' L' R'
U R B2 D' R' L'
U R B2 D2 L' R'
U R B2 D2 R' L'
B2 R' L' U' R U
U R' L' B2 D2 R2
B2 R' U' R U L'
U2 R' U' B2 L' R'
U2 R' U' B2 R' L'
U' R' U2 B2 L' R'
U' R' U2 B2 R' L'
L U2 L2 B2 D F2
U R' B L' B R'
U R' B2 L' R' D
U R' B2 L' R' D'
U R' B2 L' R' D2
U R' B2 L' D R'
U R' B2 L' D' R'
U R' B2 L' D2 R'
U' R2 L U2 L2 B2
U' R2 L U2 L2 B2
U R' B2 R' L' D
U R' B2 R' L' D'
U R' B2 R' L' D2
U R' B2 R' D L'
U' R2 L U2 B2 L2
U R' B2 R' D' L'
U R' B2 R' D2 L'
U R' B2 D L' R'
U R' B2 D R' L'
U R' B2 D' L' R'
U R' B2 D' R' L'
U R' B2 D2 L' R'
U R' B2 D2 R' L'
B2 R2 L' D' R F2
U R2 L' B2 D2 R2
U2 R2 U' B2 L' R'
U2 R2 U' B2 R' L'
U' R2 U2 B2 L' R'
U' R2 U2 B2 R' L'
B2 R2 D' L' R F2
B2 R2 D' R L' F2
L U2 B2 L2 D F2
U R2 B L' B R'
U R2 B2 L' R' D
U R2 B2 L' R' D'
U R2 B2 L' R' D2
U R2 B2 L' D R'
U R2 B2 L' D' R'
U R2 B2 L' D2 R'
U R2 B2 R' L' D
U R2 B2 R' L' D'
U R2 B2 R' L' D2
U R2 B2 R' D L'
U R2 B2 R' D' L'
U R2 B2 R' D2 L'
U R2 B2 D L' R'
U R2 B2 D R' L'
U R2 B2 D' L' R'
U R2 B2 D' R' L'
U R2 B2 D2 L' R'
U R2 B2 D2 R' L'
D2 U L' D2 R2 B2
D2 U L' D2 B2 R2
B U L B L2 R'
B U L B R' L2
B U L' B R' D
B U L' B R' D'
B U L' B R' D2
B U L' B D R'
B U L' B D' R'
B U L' B D2 R'
F2 U R2 B2 L R'
F2 U R2 B2 R' L
B U B L' R' D
B U B L' R' D'
B U B L' R' D2
B U B L' D R'
B U B L' D' R'
B U B L' D2 R'
D2 U' L F2 U2 L2
B U B R' L' D
B U B R' L' D'
B U B R' L' D2
B U B R' D L'
B U B R' D' L'
B U B R' D2 L'
B U B D L' R'
B U B D R' L'
B U B D' L' R'
B U B D' R' L'
B U B D2 L' R'
B U B D2 R' L'
F2 U B2 R' D2 L2
F2 U' L R U2 B2
F2 U' R L U2 B2
F2 U' R U2 B2 R'
D2 U' F2 L R U2
D2 U' F2 R L U2
U' D2 L F2 U2 L2
U D2 L' D2 R2 B2
U D2 L' D2 B2 R2
U' D2 F2 L R U2
U' D2 F2 R L U2
U' F2 L R U2 B2
U' F2 L R U2 B2
U F' B2 R' F L'
U' F2 R L U2 B2
U' F2 R U2 B2 R'
L2 F2 U L R B2
L2 F2 U L B2 R
L2 F2 U R L B2
U B L B L2 R'
U B L B R' L2
U B L' B R' D
U B L' B R' D'
U B L' B R' D2
U B L' B R' D2
U B L' B D R'
U B L' B D' R'
U B L' B D2 R'
U2 B U' L' B R'
U2 B U' B L' R'
U2 B U' B R' L'
U B' R B' L' R'
U B' R B' R' L'
U B' R' B' L' R'
U B' R' B' R' L'
U B' R2 B' L' R'
U B' R2 B' R' L'
U B' D B' L' R'
U B' D B' R' L'
U B' D' B' L' R'
U B' D' B' R' L'
R' B2 L' R' D' F2
U B' D2 B' L' R'
U B' D2 B' R' L'
U' B2 L' R' D2 F2
U' B2 L' D2 R' F2
U' B2 L' D2 F2 R'
R2 B2 L' D' R' F2
R2 B2 L' D' F2 R'
R' B2 R' L' D' F2
R' B2 R' D' L' F2
U' B2 R' L' D2 F2
D B2 L2 U L R'
D B2 L2 U R' L
D B2 L2 U R' L
U B2 L' R2 D R
U B2 L' R2 D' R
U B2 L' R2 D2 R
U' B2 R' D2 L' F2
U B2 L' D R' D
U B2 L' D R' D'
U B2 L' D R' D2
U B2 L' D' R' D
U B2 L' D' R' D'
U B2 L' D' R' D2
U B2 L' D2 R' D
U B2 L' D2 R' D'
U B2 L' D2 R' D2
U B2 L' F' R' F
U B2 L' F2 R' F2
R B2 L' R' D F2
U B2 L2 R' D L
U B2 L2 R' D' L
U B2 L2 R' D2 L
R B2 L' D R' F2
R B2 L' D F2 R'
U B2 L2 D L R'
U B2 L2 D R' L
U B2 L2 D' L R'
U B2 L2 D' R' L
U B2 L2 D2 L R'
U B2 L2 D2 R' L
U B2 R' L2 D L
U B2 R' L2 D' L
U B2 R' L2 D2 L
U B2 R' D L' D
U B2 R' D L' D'
U B2 R' D L' D2
U B2 R' D' L' D
U B2 R' D' L' D'
U B2 R' D' L' D2
U B2 R' D2 L' D
U B2 R' D2 L' D'
U B2 R' D2 L' D2
U B2 R' B' L' B
U B2 R' B2 L' B2
R B2 R' L' D F2
U B2 R2 L' D R
U B2 R2 L' D' R
U B2 R2 L' D2 R
U B2 R2 D L' R
U B2 R2 D R L'
U B2 R2 D' L' R
U B2 R2 D' R L'
U B2 R2 D2 L' R
U B2 R2 D2 R L'
L' B2 D2 R2 D' F2
R2 B2 D' L' R' F2
R2 B2 D' L' F2 R'
U' B2 D2 L' R' F2
R2 B2 D' R' L' F2
U' B2 D2 L' F2 R'
U' B2 D2 R' L' F2
U B2 D L' R' D
U B2 D L' R' D'
U B2 D L' R' D2
U B2 D L' D R'
U B2 D L' D' R'
U B2 D L' D2 R'
U B2 D R' L' D
U B2 D R' L' D'
U B2 D R' L' D2
U B2 D R' D L'
U B2 D R' D' L'
U B2 D R' D2 L'
U B2 D R' D2 L'
U B2 D' L' R' D
U B2 D' L' R' D'
U B2 D' L' R' D2
U B2 D' L' D R'
U B2 D' L' D' R'
U B2 D' L' D2 R'
U B2 D' R' L' D
U B2 D' R' L' D'
U B2 D' R' L' D2
U B2 D' R' D L'
U B2 D' R' D' L'
U B2 D' R' D2 L'
U B2 D2 L' R' D
U B2 D2 L' R' D'
U B2 D2 L' R' D2
U B2 D2 L' D R'
U B2 D2 L' D' R'
U B2 D2 L' D2 R'
U B2 D2 R' L' D
U B2 D2 R' L' D'
U B2 D2 R' L' D2
U B2 D2 R' D L'
U B2 D2 R' D' L'
U B2 D2 R' D2 L'
F2 L R U R' U B2
U B2 F' R' F L'
U' L R U2 L' B2 L'
U' L R U2 L2 B2 D
U' L R U2 L2 B2 D'
U' L R U2 L2 B2 D2
R' L U R U L2 B2
R' L U R U B2 L2
U' L R U2 B L2 B
U' L R U2 B2 L2 D
U' L R U2 B2 L2 D'
U' L R U2 B2 L2 D2
L R U R' U L2 B2
L R U R' U B2 L2
U' L R D2 R2 F2 U2
U' L R D2 F2 R2 U2
R2 L U R2 U L2 B2
R2 L U R2 U B2 L2
U' L R F U2 L2 B2
U' L R F U2 B2 L2
U' L R F' U2 L2 B2
U' L R F' U2 B2 L2
R L U R' U L2 B2
R L U R' U B2 L2
U' L R F2 U2 L2 B2
U' L R F2 U2 B2 L2
U' L R' U2 L' B2 L'
U' L R' U2 L2 B2 D
U' L R' U2 L2 B2 D'
U' L R' U2 L2 B2 D2
B2 L R' U' R U L2
U L R B2 L2 D2 R2
U' L R' U2 B L2 B
U' L R' U2 B2 L2 D
U' L R' U2 B2 L2 D'
U' L R' U2 B2 L2 D2
U' L R' D2 R2 F2 U2
U' L R' D2 F2 R2 U2
U' L R' F U2 L2 B2
U' L R' F U2 B2 L2
U' L R' F' U2 L2 B2
U' L R' F' U2 B2 L2
U' L R' F2 U2 L2 B2
U' L R' F2 U2 B2 L2
U' L R2 U2 L' B2 L'
U' L R2 U2 L2 B2 D
U' L R2 U2 L2 B2 D'
U' L R2 U2 L2 B2 D2
U L R' B2 L2 D2 R2
U' L R2 U2 B L2 B
U' L R2 U2 B2 L2 D
U' L R2 U2 B2 L2 D'
U' L R2 U2 B2 L2 D2
U' L R2 D2 R2 F2 U2
U' L R2 D2 F2 R2 U2
U' L R2 F U2 L2 B2
U' L R2 F U2 B2 L2
U' L R2 F' U2 L2 B2
U' L R2 F' U2 B2 L2
U' L R2 F2 U2 L2 B2
U' L R2 F2 U2 B2 L2
R2 L U2 L2 B2 D' F2
U' L U L U L B2
U' L U L' U L' B2
U' L U L' U B2 L'
U L R2 B2 L2 D2 R2
B L U L' B L' R'
B L U L' B R' L'
B L U L2 B R' D
B L U L2 B R' D'
B L U L2 B R' D2
B L U L2 B D R'
B L U L2 B D' R'
B L U L2 B D2 R'
U' L U D L2 F2 U
U' L U D F2 L2 U
R2 L U2 B2 L2 D' F2
U' L U F U L2 B2
U' L U F U B2 L2
U' L U F' U L2 B2
U' L U F' U B2 L2
U' L U F2 U L2 B2
U' L U F2 U B2 L2
B L U B L2 R' D
B L U B L2 R' D'
B L U B L2 R' D2
B L U B L2 D R'
B L U B L2 D' R'
B L U B L2 D2 R'
B L U B R' L2 D
B L U B R' L2 D'
B L U B R' L2 D2
U2 L U' L' U' L' B2
U2 L U' L' U' B2 L'
U' L U' R U' L2 B2
U' L U' R U' B2 L2
U' L U' R' U' L2 B2
U' L U' R' U' B2 L2
U' L U' R2 U' L2 B2
U' L U' R2 U' B2 L2
U' L U' D' R2 B2 U'
U' L U' D' B2 R2 U'
U' L U' B U' L2 B
U' L U' B U' B L2
U' L U' B' U' B' L2
B L U' B L2 R' F
B L U' B L2 F R'
B L U' B R' L2 F
U' L U2 L' B L' B
U' L U2 L' B2 L' D
U' L U2 L' B2 L' D'
U' L U2 L' B2 L' D2
U' L U2 L' B2 D L'
U' L U2 L' B2 D' L'
U' L U2 L' B2 D2 L'
U' L U2 L2 R' B2 R
U' L U2 L2 R2 B2 R2
D' L U2 L2 D F2 B2
D' L U2 L2 D B2 F2
U' L U2 L2 B D B
U' L U2 L2 B D' B
U' L U2 L2 B D2 B
U' L U2 L2 B' D B'
U' L U2 L2 B' D' B'
U' L U2 L2 B' D2 B'
U' L U2 R' L2 B2 R
U' L U2 R' B2 L2 R
U' L U2 R' B2 R L2
D' L U2 R2 U' L2 R2
D' L U2 R2 U' R2 L2
U' L U2 R2 L2 B2 R2
U' L U2 R2 B2 L2 R2
U' L U2 R2 B2 R2 L2
U L U2 L2 B2 D2 F2
U' L U2 F L2 F' B2
U' L U2 F L2 B2 F'
U' L U2 F B2 L2 F'
U' L U2 F2 L2 F2 B2
U' L U2 F2 L2 B2 F2
U' L U2 F2 B2 L2 F2
U' L U2 B L' B L'
U' L U2 B L2 D B
U' L U2 B L2 D' B
U' L U2 B L2 D2 B
U' L U2 B L2 B D
U' L U2 B L2 B D'
U' L U2 B L2 B D2
U' L U2 B2 L D L
U' L U2 B2 L D' L
U' L U2 B2 L D2 L
U' L U2 B2 L' D L'
U' L U2 B2 L' D' L'
U' L U2 B2 L' D2 L'
U' L U2 B2 F L2 F'
U' L U2 B2 F2 L2 F2
U L U2 B L2 F B
U L U2 B L2 B F
D L D L F2 U R
U L U2 B2 L2 D2 F2
U' L D U L2 F2 U
U' L D U F2 L2 U
U' L D' U' R2 B2 U'
U' L D' U' B2 R2 U'
U' L D2 R F2 U2 L'
U' L D2 R' F2 R' U2
U' L D2 R2 U2 D2 B2
U' L D2 R2 D2 U2 B2
U' L D2 R2 F2 U2 D
U' L D2 R2 F2 U2 D'
U' L D2 R2 F2 U2 D2
U' L D2 R2 F2 D U2
U' L D2 R2 F2 D' U2
U' L D2 R2 F2 D2 U2
U L D2 R2 F2 U2 F2
U' L D2 F R2 F U2
U' L D2 F' R2 U2 B
U' L D2 F2 R2 U2 D
U' L D2 F2 R2 U2 D'
U' L D2 F2 R2 U2 D2
U' L D2 F2 R2 D U2
U' L D2 F2 R2 D' U2
U' L D2 F2 R2 D2 U2
U' L D2 F2 U2 D2 L2
U' L D2 F2 D2 U2 L2
U L D2 F2 R2 U2 F2
U' L F R U2 L2 B2
U' L F R U2 B2 L2
U' L F R' U2 L2 B2
U' L F R' U2 B2 L2
U' L F R2 U2 L2 B2
U' L F R2 U2 B2 L2
B L F U L2 B R'
U' L F U2 L' B2 L'
U' L F U2 L2 B2 D
U' L F U2 L2 B2 D'
U' L F U2 L2 B2 D2
B L F U B L2 R'
B L F U B R' L2
U' L F U2 B L2 B
U' L F U2 B2 L2 D
U' L F U2 B2 L2 D'
U' L F U2 B2 L2 D2
