R' B2 L U F L'
R2 L U' F L' D' R2
R2 L U' F D' L' R2
R2 L U' F D' R2 L'
B' L R2 U' F L' R
B' L R2 U' F R L'
B L R2 F' U' F2 L'
R2 L U2 B2 U F L'
B2 L U F L' D B2
B2 L U F D L' B2
B2 L U F D B2 L'
B2 L U2 R2 U' F L'
D L B2 D' R' F L'
D L B2 D' F L' R'
D L B2 D' F R' L'
F L' D B2 D2 R2 F'
L R2 U' F L' D' R2
L R2 U' F D' L' R2
L R2 U' F D' R2 L'
L R2 U2 B2 U F L'
B' L2 R2 F U' L' F
B' L2 F R2 U' L' F
F R' B2 L U F L2
B' R2 L U' F L' R
B' R2 L U' F R L'
B R2 L F' U' F2 L'
B' R2 L2 F U' L' F
R2 D' L B' U' R2 F
R2 D' L B' U' F R2
L F L' D B2 D2 R2
L F L' D' R2 D2 B2
L F L2 D L B2 R'
F D L F B2 L2 R'
F D L F B2 R' L2
F D L B2 R' F L2
F D L B2 F L2 R'
F D L B2 F R' L2
L F D L B2 L2 R'
L F D L B2 R' L2
L F D B2 D2 L' R2
L F D B2 D2 R2 L'
L F D' L' R2 D2 B2
L F D' R2 L' D2 B2
L F D' R2 D2 L' B2
L F D' R2 D2 B2 L'
R' F B2 L U F L2
F D' L R2 F L2 B'
F D' L F L2 R2 B'
F D' L F L2 B' R2
F D' L F R2 L2 B'
F' D' R F2 L' B' U2
F' D' R2 D2 B2 L F
F D' R2 L F L2 B'
L F2 D' F' L' R2 B
L F2 D' F' R2 L' B
L F2 D' F' R2 B L'
B' D2 B' L2 U L' F
L B R2 F' U' F2 L'
R2 B' L U' F L' R
R2 B' L U' F R L'
R2 B' L2 F U' L' F
D2 B' D' L F B2 R'
D2 B' D' L B2 R' F
D2 B' D' L B2 F R'
R' B2 L R U F L'
R' B2 L R' U F L'
R' B2 L R2 U F L'
R' B2 L U F L' D
R' B2 L U F L' D'
R' B2 L U F L' D2
R' B2 L U F D L'
R' B2 L U F D' L'
R' B2 L U F D2 L'
R' B2 L F' U F2 L'
R' B2 R L U F L'
R' B2 R' L U F L'
R' B2 R2 L U F L'
L B2 U F L' D B2
L B2 U F D L' B2
L B2 U F D B2 L'
L B2 U2 R2 U' F L'
R' B2 F L U F L2
