D' L F2 B U' B
D' L B F2 U' B
B2 L2 R' F U R'
B2 L2 F R' U R'
B2 R' L2 F U R'
L2 U2 L' B U' R2
L2 U2 B L' U' R2
D' F2 L B U' B
R2 L U' L F' U F
R' L U2 L F U R'
D2 L D B U' B R'
D L D2 F2 B U' B
D L D2 B F2 U' B
D' L F2 D' B R2 U'
D' L F2 B U' D B
D' L F2 B U' D' B
D' L F2 B U' D2 B
D' L F2 B U' B D
D' L F2 B U' B D'
D' L F2 B U' B D2
D' L F2 B D U' B
D' L F2 B D' U' B
D' L F2 B D2 U' B
L R B2 R' B U' R2
R L B2 R' B U' R2
D' L B U' D B R2
D' L B U' B D R2
D' L B D U' B R2
D L B D R2 F' U'
D' L B F2 U' D B
D' L B F2 U' D' B
D' L B F2 U' D2 B
D' L B F2 U' B D
D' L B F2 U' B D'
D' L B F2 U' B D2
D' L B F2 D U' B
D' L B F2 D' U' B
D' L B F2 D2 U' B
D2 L B2 R2 B' U' R
L R' U2 L F U R'
B L' D' F2 R U' F'
D' L' F2 L2 B U' B
L R2 U' L F' U F
D' L' F2 B L2 U' B
D' L' B L2 F2 U' B
D' L' B F2 L2 U' B
B2 L2 R' D F U R'
B2 L2 R' D' F U R'
B2 L2 R' D2 F U R'
B2 L2 R' F U R' D
B2 L2 R' F U R' D'
B2 L2 R' F U R' D2
B2 L2 R' F U D R'
B2 L2 R' F U D' R'
B2 L2 R' F U D2 R'
B2 L2 R' F D U R'
B2 L2 R' F D' U R'
B2 L2 R' F D2 U R'
L2 R2 F2 R F U R'
R2 L2 F2 R F U R'
D2 L2 U' L' B R2 U'
D2 L2 U' B L' R2 U'
D2 L2 U' B R2 L' U'
F' L2 U2 L' B U' R2
U' L2 U2 L' B U' R2
F2 L2 U2 L' B U' R2
U2 L2 U2 L' B U' R2
F L2 U2 L' B U' R2
U L2 U2 L' B U' R2
F' L2 U2 B L' U' R2
U' L2 U2 B L' U' R2
F2 L2 U2 B L' U' R2
U2 L2 U2 B L' U' R2
F L2 U2 B L' U' R2
U L2 U2 B L' U' R2
B2 L2 D R' F B2 U
B2 L2 D R' B2 F U
B2 L2 D F R' B2 U
R2 U L U2 L F' U
R2 U L U2 F' L U
B2 L2 F R' U R' D
B2 L2 F R' U R' D'
B2 L2 F R' U R' D2
B2 L2 F R' U D R'
B2 L2 F R' U D' R'
B2 L2 F R' U D2 R'
B2 L2 F R' D U R'
B2 L2 F R' D' U R'
B2 L2 F R' D2 U R'
L2 U L' B U' R2 B'
L2 U L' B U' B' R2
B2 L2 F D R' B2 U
B2 L2 F' R' F2 U R'
D' L2 B L' F2 U' B
R2 U D2 L R2 B U'
R2 U D2 R2 L B U'
B R U' D' R F' B2
B R U' D' R B2 F'
B R U' D' B2 R F'
B R D' U' R F' B2
B R D' U' R B2 F'
B R D' U' B2 R F'
R2 U' L2 F2 R F U
L U' R2 U' L F' U
L U' R2 U' F' L U
R2 U' F L2 F2 R U
B2 R' L2 D F U R'
B2 R' L2 D' F U R'
B2 R' L2 D2 F U R'
B2 R' L2 F U R' D
B2 R' L2 F U R' D'
B2 R' L2 F U R' D2
B2 R' L2 F U D R'
B2 R' L2 F U D' R'
B2 R' L2 F U D2 R'
B2 R' L2 F D U R'
B2 R' L2 F D' U R'
B2 R' L2 F D2 U R'
R2 U' F' L2 U2 L' U'
L2 U2 L B L2 U' R2
L U2 L U2 B U' R2
L2 U2 L' D' F2 B U'
L2 U2 L' D' B F2 U'
B2 R' F L2 F U R'
L2 U2 L' F B U' R2
L2 U2 L' F' B U' R2
L2 U2 L' F2 B U' R2
L2 U2 L' B U' R2 D
L2 U2 L' B U' R2 D'
L2 U2 L' B U' R2 D2
L2 U2 L' B D' F2 U'
L2 U2 L' B F U' R2
L2 U2 L' B F' U' R2
L2 U2 L' B F2 U' R2
B2 R' F' L2 F U R'
B2 R' F2 L2 F U R'
L2 U2 D' L' F2 B U'
L2 U2 D' L' B F2 U'
L2 U2 D' B L' F2 U'
B2 R2 U' L2 R F U
B2 R2 U' R L2 F U
L2 U2 B L' U' R2 D
L2 U2 B L' U' R2 D'
L2 U2 B L' U' R2 D2
L2 U2 B L' D' F2 U'
L2 U2 B L' F U' R2
L2 U2 B L' F' U' R2
L2 U2 B L' F2 U' R2
L2 U2 B D' L' F2 U'
L2 U2 B' L' B2 U' R2
D' U L F2 B U' B
D' U L B F2 U' B
B2 U L2 R' F U R'
B2 U L2 F R' U R'
B2 U R' L2 F U R'
L2 D B2 U2 B' L' U'
D' U F2 L B U' B
D' U' L F2 B U' B
U' D' L F2 B U' B
D' U' L B F2 U' B
U' D' L B F2 U' B
U2 D' L F2 B U' B
U2 D' L B F2 U' B
U D' L F2 B U' B
U D' L B F2 U' B
L2 D' U2 L' F2 B U'
L2 D' U2 L' B F2 U'
L2 D' U2 B L' F2 U'
B2 U' L2 R' F U R'
B2 U' L2 F R' U R'
B2 U' R' L2 F U R'
B U' R D' R F' B2
B U' R D' R B2 F'
B U' R D' B2 R F'
U' D' F2 L B U' B
D' U' F2 L B U' B
L D' F2 B2 R' B' U'
U2 D' F2 L B U' B
U D' F2 L B U' B
R2 D' B2 U' F' R' U
L D' B2 R' F2 B' U'
L D' B2 R' B' F2 U'
R2 D2 L R2 B U' R2
L D' B2 F2 R' B' U'
R D2 L B' R2 U' R'
D' U2 L F2 B U' B
D' U2 L B F2 U' B
R2 D2 R2 L B U' R2
R2 D2 U L R2 B U'
R2 D2 U R2 L B U'
B2 U2 L2 R' F U R'
D' U2 F2 L B U' B
B2 U2 L2 F R' U R'
B U2 L2 B R' U R'
B2 U2 R' L2 F U R'
R2 F L2 F2 R U R'
B U2 B L2 R' U R'
B U2 B R' L2 U R'
R2 F U' L2 F2 R U
L2 F U2 B L U' R2
D' F' L F' B U' B
D' F' L B F' U' B
L2 F' R2 F' R U R'
F' D' L F2 B U' B
F' D' L B F2 U' B
F2 D' L F2 B U' B
F2 D' L B F2 U' B
F D' L F2 B U' B
F D' L B F2 U' B
B D' R F2 U' F B2
B D' R F2 U' B2 F
D' F2 L D' B R2 U'
R2 F' B2 L2 R' U R
R2 F' B2 R' L2 U R
D' F2 L B U' D B
D' F2 L B U' D' B
D' F2 L B U' D2 B
D' F2 L B U' B D
D' F2 L B U' B D'
D' F2 L B U' B D2
D' F2 L B D U' B
D' F2 L B D' U' B
D' F2 L B D2 U' B
D' F2 L' B L2 U' B
D' F2 L2 B L' U' B
L' F2 L2 B R U' R
F' D' F2 L B U' B
F2 D' F2 L B U' B
B D' F2 R U' F' B2
B D' F2 R U' B2 F'
F D' F2 L B U' B
L2 F2 R2 F' R' U R
D' F2 D' L B R2 U'
L' F2 B L2 R U' R
L' F2 B R L2 U' R
L2 B L' U2 L U R2
L' B L2 U2 L U R2
L B R' U' D' R' B
L B R' D' U' R' B
L B U' R' D' R' B
B2 F L2 R' F U R'
B2 F L2 F R' U R'
L B U2 B' L U R2
B2 F R' L2 F U R'
L B D' R' F2 U' B
L B D' F2 R' U' B
L' B F2 L2 R U' R
L' B F2 R L2 U' R
L2 B' L' B2 R' U' R'
L' B' L2 B2 R' U' R'
B2 F' L2 R' F U R'
B2 F' L2 F R' U R'
L2 B' U2 L' B2 U' R2
B2 F' R' L2 F U R'
L2 B' U2 B2 L' U' R2
U' B2 L2 R' F U R'
U' B2 L2 F R' U R'
U2 B2 L2 R' F U R'
U2 B2 L2 F R' U R'
U' B2 R' L2 F U R'
R2 B2 L2 F' R' U R
U B2 L2 R' F U R'
F' B2 L2 R' F U R'
U B2 L2 F R' U R'
U2 B2 R' L2 F U R'
B2 F2 L2 R' F U R'
F2 B2 L2 R' F U R'
F' B2 L2 F R' U R'
B2 F2 L2 F R' U R'
F2 B2 L2 F R' U R'
D B2 R' D' L2 F U
L B2 R B' R2 U' R'
U B2 R' L2 F U R'
F B2 L2 R' F U R'
F' B2 R' L2 F U R'
B2 F2 R' L2 F U R'
F B2 L2 F R' U R'
F2 B2 R' L2 F U R'
L B2 R2 B' R U' R'
R2 B2 U' L2 F' R' U
F B2 R' L2 F U R'
R2 B2 U' F' L2 R' U
R2 B2 U' F' R' L2 U
L2 B2 U2 B' L' U' R2
D B2 D' L2 R' F U
D B2 D' L2 F R' U
D B2 D' R' L2 F U
L B2 D' R' F2 B' U'
L B2 D' R' B' F2 U'
L B2 D' F2 R' B' U'
R2 B2 F' L2 R' U R
R2 B2 F' R' L2 U R
