F' R' B' L U' L'
F' L R' U' D L' F
F' L R' D U' L' F
F' L R' B' L U' L2
F' L D R' U' L' F
D L' F' R' U' L F2
D L' F' R' U' F2 L
F' L2 R' B' L U' L
R' U' R' B R' U B'
F' R B' L R2 U' L'
F' R B' R2 L U' L'
F' R' L U' D L' F
F' R' L D U' L' F
F' R' L B' L U' L2
F' R' L2 B' L U' L
R' U' B R' B U B2
R2 U' B R' U D B2
R2 U' B R' U2 R2 U'
R2 U' B R' D U B2
R2 U' B R' D2 L2 U
U R' U' D' R F' R
U R' U' D' F' R F'
F' R' D L' U' F L
U R' U2 R' B R' U
U R' U2 B R' B U
U R' D' U' R F' R
U R' D' U' F' R F'
U R' D' F' U' R F'
F2 R' D2 F L' U' L
U R' D2 L' F L' U'
U R' D2 F L' F U'
F2 R' F B' L U' L'
F R' F2 B' L U' L'
F' R' B' L U' L' D
F' R' B' L U' L' D'
F' R' B' L U' L' D2
F' R' B' L U' D L'
F' R' B' L U' D' L'
F' R' B' L U' D2 L'
F' R' B' L D U' L'
F' R' B' L D' U' L'
F' R' B' L D2 U' L'
F' R' B' L B U' L'
F' R' B' L B' U' L'
F' R' B' L B2 U' L'
F' R' B' D L U' L'
F' R' B' D' L U' L'
F' R' B' D2 L U' L'
F' R' B2 L' U' L F
F2 R' B' F L U' L'
F R' B' F2 L U' L'
B2 R2 U' L B U F
U' R2 B R' U D B2
U' R2 B R' U2 R2 U'
U' R2 B R' D U B2
U' R2 B R' D2 L2 U
B R2 B L R U L'
B R2 B R L U L'
F' R2 B' L R U' L'
F' R2 B' R L U' L'
B' U L D2 F' R U'
D U L' F' R' U' F2
U D L' F' R' U' F2
F2 U R' D2 F L' U'
D2 U F L' R' F2 U'
B' U D L F' U' B'
D2 U F L' F2 R' U'
D2 U F R' L' F2 U'
B' U D F' L U' B'
D' U F' R' U B U2
D2 U F' R' U' D' F2
D2 U F' R' U2 R2 U
D2 U F' R' D' U' F2
D2 U F' R' D2 L2 U'
B' U D2 L F' R U'
D U F' L' R' U' F
B' U D2 F' L R U'
B' U D2 F' R L U'
D U F' R' L' U' F
F2 U D2 R' F L' U'
U D F' L' R' U' F
F2 U D2 F L' R' U'
F2 U D2 F R' L' U'
U D F' R' L' U' F
B' U F' D L U' B'
B2 U F' U2 L U F
R' D' R F' R D B2
B2 U' L R U F R
B2 U' L R2 B U F
B2 U' L U F D R2
B2 U' L U2 F' U' F2
B2 U' R L U F R
B2 U' R2 L B U F
U D' F' R' U B U2
R' D2 L' F L' U' L2
F' U' B R' U R B
R' D2 F L' F U' L
U D2 F L' R' F2 U'
U D2 F L' F2 R' U'
U D2 F R' L' F2 U'
U D2 F' R' U' D' F2
U D2 F' R' U2 R2 U
U D2 F' R' D' U' F2
U D2 F' R' D2 L2 U'
D2 F L' R' F2 U' L
D2 F L' F2 R' U' L
D' F R D F' R2 B2
D' F R D F' B2 R2
D' F R D B2 F' R2
D2 F R' L' F2 U' L
D2 F U L' R' F2 U'
D2 F U L' F2 R' U'
D2 F U R' L' F2 U'
F' D L' R' U' F L
F' D R' L' U' F L
B' D U L F' U' B'
B' D U F' L U' B'
U' F' L2 R' B' L U'
D F' L' R' U' F L
B' D F' L U' B' L'
U' F' R' L2 B' L U'
D2 F' R' D2 L2 U' L2
D F' R' L' U' F L
L2 F' R' B' L U' L
U F' R' D L' U' F
U F' R' B' L B U'
U F' R2 D' R U' F'
U F' D L' R' U' F
U F' D R' L' U' F
F2 D' R F' D R2 B2
F2 D' R F' D B2 R2
U F' D' R' U B U2
U F' B' L B R' U'
D' F2 R F' D R2 B2
D' F2 R F' D B2 R2
U F2 R' D2 F L' U'
R2 F2 U' L' B R' U
R2 F2 U' B L' R' U
R2 F2 U' B R' L' U
F2 D2 R' F L' U' L
R2 F2 B L' R' U L
U F2 D2 R' F L' U'
B' D2 U L F' R U'
R2 F2 B R' L' U L
U F2 D2 F L' R' U'
U F2 D2 F R' L' U'
B' D2 U F' L R U'
B' D2 U F' R L U'
F2 D2 U R' F L' U'
F2 D2 U F L' R' U'
F2 D2 U F R' L' U'
F2 D2 F L' R' U' L
F2 D2 F R' L' U' L
B' D2 F' L R U' L'
B' D2 F' R L U' L'
U' B R2 B L R U
U' B R2 B R L U
R2 B R' D2 L2 U L2
R' B U' R' B U B'
R2 B F2 L' R' U L
R2 B F2 R' L' U L
U B' L F' B R' U'
U B' L B F' R' U'
B' F' L B R' U' L'
B' F' L B2 U' L' B'
F' B' L B R' U' L'
F' B' L B2 U' L' B'
B' F' D L U' B' L'
F' B' D L U' B' L'
U' B2 L U2 F' L' U'
U B' F' L B R' U'
