D B R' U R' B
D L B R' U R' B
D2 L B2 R2 U F' B
D2 L B2 R2 U B F'
D2 L B2 U' F' B U2
D2 L B2 U' B F' U2
D2 L' R2 B2 U F B'
D2 L' R2 B2 U B' F
D2 L' U D' R2 F B
D2 L' U D' R2 B F
D2 L' D' U R2 F B
D2 L' D' U R2 B F
D L' B R' U R' B
D2 L' B2 R2 U F B
D2 L' B2 R2 U B F
D2 L' B2 U F D2 B2
D2 L' B2 U' F' U2 F2
D' L2 F' U R F U
D L2 B R' U R' B
F' R U F U R F2
F2 R U' D' L2 F' B'
F2 R U' D' L2 B' F'
U R D F' R B R
F2 R D' U' L2 F' B'
F2 R D' U' L2 B' F'
U2 R F2 R U' F B
U2 R F2 R U' B F
D R B R' U R2 B
R2 U2 L F2 U' F' B
R2 U2 L F2 U' B F'
R U2 L' F2 U' F B'
R U2 L' F2 U' B' F
D2 R2 L' B2 U F B'
D2 R2 L' B2 U B' F
F' R2 U F B R U
F' R2 U B F R U
R2 U2 F2 L U' F B
R2 U2 F2 L U' B F
U R2 D B R' F' R'
U R2 B R D R2 F'
U R2 B R' D F' R2
U R2 B D R' F' R'
D U R D' R F' B
D U R D' R B F'
L' D B R' U R' B
U D R D' R F' B
U D R D' R B F'
L2 D B R' U R' B
L D B R' U R' B
D U R2 B U' R' U
U D R2 B U' R' U
U' D' L2 F' U R U
D' U' L2 F' U R U
U' D' F' L2 U R U
D' U' F' L2 U R U
R2 D2 B2 R' U F' B'
R2 D2 B2 R' U B' F'
U F R F' D R2 B
B' D B R' U R' B
B2 D B R' U R' B
B D B R' U R' B
F D' L2 F' R B' U
F D' L2 F' B' R U
F D' L2 B' F' R U
U2 F2 L2 R U' F' B'
U2 F2 L2 R U' B' F'
U2 F2 R L2 U' F' B'
U2 F2 R L2 U' B' F'
U2 F2 R U F U2 F2
U2 F2 R U' F' D2 B2
U2 F2 R' U F B U2
U2 F2 R' U B F U2
D B L R' U R' B
D B L' R' U R' B
D B L2 R' U R' B
D B R' L U R' B
D B R' L' U R' B
D B R' L2 U R' B
D B R' U R' D B
D B R' U R' D' B
D B R' U R' D2 B
D B R' U R' B D
D B R' U R' B D'
D B R' U R' B D2
D B' U2 L U' R2 B
D2 B2 L U' F' B' U2
D2 B2 L U' B' F' U2
D2 B2 L' R2 U F B
D2 B2 L' R2 U B F
D2 B2 L' U F D2 B2
D2 B2 L' U' F' U2 F2
D2 B2 R2 L' U F B
D2 B2 R2 L' U B F
D B2 R' U R' F' B
D B2 R' U R' B F'
D B2 U R' F' R' B
