U L U2 R F L' U'
F' L' U L' R U B'
F' L' U R L' U B'
F' R U' L' R' F' U2
F' R U' R' L' F' U2
U' R U2 D2 B R' U
U' R D2 U2 B R' U
U' R F L' U2 B U
U' R F' U2 B R U
U' R' F L' R2 F2 U'
U' R' F L' F2 R2 U'
U' R' F R2 L' F2 U'
U' R' F' R2 U2 R' U
U' D R U2 B U F'
U' D R' F' R2 U' F'
D2 U' R U2 B R' U
D U' R U2 B U F'
D U' R' F' R2 U' F'
U' D2 R U2 B R' U
U' F L' R' F' R U'
R F L' U R' U2 R2
R F L' U' R D2 L2
R F L' B2 U' L R
R F L' B2 U' R L
U' F R' L' F' R U'
R F B2 L' U' L2 R
R F B2 L' U' R L2
U' F2 U2 L' B' R' U
R B2 F L' U' L2 R
R B2 F L' U' R L2
