F L' U' L B' U' F
F L' B U' L B' U'
D' L2 F U B' R' F'
B' R' U F L' U2 F'
B' R' U' F L' U2 L
B' U F L' U R' U
B' U2 R' U' F L' U2
U' F L' D' B' U2 L
L2 F' B' R D' L2 F2
L2 F' B' R D' F2 L2
B F L' U' L2 B2 U'
B F L' U' B2 L2 U'
B F L' U2 D L2 F2
B F L' U2 D F2 L2
B F L' D U2 L2 F2
B F L' D U2 F2 L2
B F L' D' R2 B2 U2
B F L' D' B2 R2 U2
F B L' U' L2 B2 U'
F B L' U' B2 L2 U'
F B L' U2 D L2 F2
F B L' U2 D F2 L2
F B L' D U2 L2 F2
F B L' D U2 F2 L2
F B L' D' R2 B2 U2
F B L' D' B2 R2 U2
U2 B' U F L' B' U2
L2 B' F' R D' L2 F2
L2 B' F' R D' F2 L2
